disclosure_cycle,cdp_requesting_org_number,requesting_organization,cdp_disclosing_org_number,disclosing_organization,disclosing_org_type,cdp_region,discloser_country_or_area,public_status,question_number,question_text,row_order,row_name,col1_Response,col2_Provide an attachment to the strategy or standards addressing emissions from the jurisdiction's procurement,"col3_Provide a link, if applicable, and highlight any specific action(s) the jurisdiction is implementing to reduce emissions from its own consumption"
2025 Disclosure Cycle,779465,CDP,10894,"City of Los Angeles, CA",City,North America,United States of America,Public,Q8.4,Does your jurisdiction have a strategy or standard for reducing emissions from the jurisdiction's procurement and purchase of goods and services?,1,Response,Yes,"2025-04-11_FINAL_Analysis of City Expenditure.pdf,2025-06-19_Final Draft_EIOLCA_Task 3.pdf,2025-07-29_GHG Reduction Opportunities_Final.pdf",The City of LA has an Embodied Carbon Study for the procurement of goods and services.
2025 Disclosure Cycle,779465,CDP,11315,City of Manchester,City,UKWW,United Kingdom,Public,Q8.4,Does your jurisdiction have a strategy or standard for reducing emissions from the jurisdiction's procurement and purchase of goods and services?,1,Response,Yes,8.4 Zero Carbon Toolkit for Commissioners and Contract Managers.pdf,"Yes, Manchester City Council (MCC) has a comprehensive strategy and set of standards aimed at reducing emissions from its procurement and purchasing activities. These are embedded within the Council's Climate Change Action Plan (CCAP) 2025-2030 that will be published in October 2025 and supported by practical tools, training, and supplier engagement initiatives.\n\nKey Strategic Actions and Standards\n1. Scope 3 Emissions Baseline and Reduction Planning\na. The Council is currently working\ntowards a full Scope 3 carbon footprint for the Council, including detailed analysis of\nemissions from purchased goods and services.\nb. This work includes prioritisation of Scope 3 categories for decarbonisation and the\ndevelopment of targeted interventions and action plans.\n2. Procurement Weightings and Supplier Requirements\na. All MCC tenders include a 10% weighting specifically for environmental impact, separate\nfrom the 20% social value weighting.\nb. Suppliers are required to provide carbon reduction plans (and when they don't have such\nplan, provide an overview of how they are planning to reduce their carbon emissions in\nthe duration of their contracts) and baseline data, enabling MCC to assess and monitor\nemissions during contract delivery.\n3. Zero Carbon Toolkit and Training\na. MCC has developed a Zero Carbon Toolkit for Commissioners and Contract Managers,\nwhich provides practical guidance on embedding environmental requirements throughout\nthe commissioning cycle—from need definition to contract management (please see\nattached).\nb. An e-learning module has been rolled out to support staff in understanding and applying\nzero carbon principles in procurement. Further workshops will be delivered in September\nand November that will offer a focused recap of the Zero Carbon Toolkit in Commissioning and Procurement, reinforcing the key concepts, tools, and methodologies that support environmentally responsible decision-making across the\ncommissioning cycle.\n4. Contract Management and KPI Monitoring\na. Environmental KPIs are embedded in contracts and tracked via the Council's contract\nmanagement system (Atamis), supporting performance monitoring and Scope 3\nreporting.\n5. Supplier Engagement and Circular Economy\na. MCC works with suppliers, including SMEs and VCFSEs, to support carbon reduction\nand circular economy practices.\nb. A supplier toolkit is being developed in partnership with the Growth Company to help\nsuppliers understand and meet sustainability expectations. This is expected to be\nlaunched in autumn.\n6. CCAP 2025-2030 Commitments. The Council's CCAP includes specific procurement actions such as:\na. Maximising the impact of environmental weighting in tenders.\nb. Embedding zero carbon priorities in service design and contract specifications.\nc. Monitoring supplier performance on environmental KPIs.\nd. Promoting sustainable materials and reducing single-use plastics.\n"
2025 Disclosure Cycle,779465,CDP,13067,"City of New Orleans, LA",City,North America,United States of America,Public,Q8.4,Does your jurisdiction have a strategy or standard for reducing emissions from the jurisdiction's procurement and purchase of goods and services?,1,Response,No,,
2025 Disclosure Cycle,779465,CDP,13113,Newcastle City Council,City,UKWW,United Kingdom,Public,Q8.4,Does your jurisdiction have a strategy or standard for reducing emissions from the jurisdiction's procurement and purchase of goods and services?,1,Response,Yes,"NCC Carbon Baseline Report 2023-24.pdf,Net Zero Newcastle - 2030 Action Plan_0.pdf","The Net Zero Action Plan 2030 covers a specific action which states that Newcastle will produce a Green and Sustainable Procurement guidance document for our city's businesses.\n\nIn addition Newcastle City Council commissioned Smart Carbon to carry out an emissions inventory analysis including a detailed overview of our scope 3 supply chain emissions. This is primarily City Council focused however we are working with our partners across the city, a number of which use Smart Carbon, to tackle scope 3 emissions derived from goods and services. Our first baseline for 2023/4 has been completed and we are now working on a number of interventions which aim to reduce emissions from our own consumption"
2025 Disclosure Cycle,779465,CDP,13506,Nottingham City Council,City,UKWW,United Kingdom,Public,Q8.4,Does your jurisdiction have a strategy or standard for reducing emissions from the jurisdiction's procurement and purchase of goods and services?,1,Response,Yes,"187637.pdf,NTU-Net-Zero-Carbon-case-study.pdf,final-commercial-and-procurement-strategy-2025-29-version-71.pdf","https://www.nottinghamcity.gov.uk/media/2619917/2028-carbon-neutral-action-plan-v2-160620.pdf Nottingham's ambitious Carbon Neutral Action Plan includes a section around consumption and making consumption more sustainable. Key objectives are to increase local and low-carbon production, reduce the consumption of high carbon products, encourage more low carbon cooking and meals and to reduce local waste and link all remaining waste to energy, composting and a circular economy. These objectives each have a series of actions to realise them.\n\nNottingham's Green Partnership formed in 1992 and is now made up of over 30 organisations across Nottingham, including large and small businesses, public sector organisations, the third sector and both universities. The organisations are working together to tackle the city's environmental challenges and to minimise its environmental impact. \n\nSome examples from across Nottingham:\n\nfinal-commercial-and-procurement-strategy-2025-29-version-71.pdf Nottingham City Council's Procurement Strategy (2025 - 2029) aims to maximise local spend ensuring local growth and job creation. The newly implemented strategy prioritises sustainable and fair procurement as one of it's key aims. To achieve this, it aims to set appropriate carbon emissions reduction requirements in tenders, ask suppliers to submit their carbon emissions data and a carbon reduction plan, and to consider holding carbon footprint and target setting workshops for smaller suppliers alongside a phased introduction of tender requirements over time. The policy also sets out to identify areas of climate risk in their supply chains and ask contractors to tell them how they will manage possible risks arising due to extreme weather and climate change. Finally, it looks to minimise any negative environmental impacts of procuring goods, services and works through considering impacts to air quality and climate change, resource efficiency, waste reduction, and product lifespan. \n\nNTU-Net-Zero-Carbon-case-study.pdf Nottingham Trent University (27,000 students, 1150 staff) have employed a Sustainable Procurement Project Manager and Sustainable Procurement Project Assistant to aid in decarbonising their supply chain. They have developed a Net Zero Carbon Supplier Tool, enabling the collation of suppliers' Scope 1 and 2 carbon emissions. Using this tool, they have enabled over 400 SME's to create bespoke carbon reduction plans. \n\n187637.pdf Nottingham Trent University has received the Silver 'Food for Life' award, recognising the sustainable sourcing of ingredients in their catering (22% local, 72% UK-based, and 11% organic). Their procurement team have ensured sustainability questions are now embedded in the majority of tenders that are sent to potential suppliers.\n\nSustainable procurement - The University of Nottingham The University of Nottingham (over 45,000 students and over 7000 staff) have developed a Responsible Procurement Policy. This policy has key objectives to specify sustainable environmentally friendly products wherever appropriate and ensure where appropriate sustainable environmental criteria are used in the award of contracts.\n"
2025 Disclosure Cycle,779465,CDP,14088,Oslo Municipality,City,Europe,Norway,Public,Q8.4,Does your jurisdiction have a strategy or standard for reducing emissions from the jurisdiction's procurement and purchase of goods and services?,1,Response,Yes,,"Yes. \nEnglish version of the City of Oslo's procurement strategy, politically adopted in 2017: https://sustainable-procurement.org/fileadmin/templates/sp_platform/lib/sp_platform_resources/tools/push_resource_file.php?uid=71f3f1e2\nA number of processes have been initiated to reduce emissions resulting from the municipality's procurements. The municipality has developed a guide for reduced and smarter use of plastic in procurements, along with a guide to the circular economy in procurements. The latter explains how the municipal entities can contribute to sustainable and reduced consumption through measures such as prioritising reuse, repair and upgrading over new purchases. \nOslo has an Action plan for sustainable, healthy and more plant-based food in the City of Oslo. The main objective of the action plan is that the City of Oslo's food consumption contributes to good public health and animal welfare, while indirect greenhouse gas emissions and negative impacts on the environment and society is significantly reduced. One of the goals in the action plan is to develop the supplier market for sustainable food and emphasize animal welfare and working conditions through the procurement and consumption of food and drink.\nThe City of Oslo has adopted standard climate and environmental requirements for procurement of transport (in procurements of goods and services) and procurements of building and construction sites. Both of these standard requirements were revised in 2025, and will be translated into English in the near future. The former standard requirements from 2019 are available in the links below. \n* Standard requirements transport (2019): https://www.klimaoslo.no/collection/standard-climate-and-environmental-requirements-for-transport-for-the-city-of-oslos-goods-and-services-procurements/ \n\n* Standard requirements building and construction sites (2019): https://www.klimaoslo.no/rapport/climate-requirements-construction-sites/ \n\nThe revised standard requirements for transport, building and construction adopted in 2025, follows up market development and increases the focus on emission-free solutions, both for vehicles and machinery. Emission free machines are now the minimum requirement. 85% of energy use on our building and construction sites was emission free in 2024. \nWe are currently working on increasing the scope to include embodied emissions from building and construction materials. \nRegarding social and ethical procurement practices: \nThe City of Oslo continues to be at the forefront fighting work-related crime, and ensuring decent labour conditions for workers in our domestic and global supply chains. In 2017 the City of Oslo adopted the Oslo Model - a comprehensive framework of measures and requirements to help combat social dumping and to promote decent working conditions, using public procurement as a strategic tool. The model was revised and adopted in May 2023. One of the main changes is requirements for suppliers to work with due diligence for responsible business conduct, included in global supply chains. \nThere is high risk of human rights breeches in many categories, among them, batteries and ICT-equipments, food and beverages and textiles. \nAnother key instrument to work towards fair procurements, beside standard criteria, is use of fair labels certifications. \nThe City of Oslo is a Fairtrade-city. A Steering Committee comprised of representatives from the municipality, business enterprises and NGOs is established and is taking actions to promote fair trade in the central functions of the city, including in procurement, and among the citizens. The most important step in this area in the past few years is the joint agreements in the food sector combined with category management to increase the share of fairtrade certified goods. \nMore info on procurement practices and indicators is outlined in the different categories of goods and services listed above. Indicators for Scope 3 emissions from procurement are available here (this will be updated with improved calculations due to a newly purchased emissions calculator and a current project on data quality): https://www.klimaoslo.no/klimabarometeret/indirekte-utslipp/indirekte-utslipp-fra-kommunens-innkjop/ (in Norwegian)\n"
2025 Disclosure Cycle,779465,CDP,14874,"City of Portland, OR",City,North America,United States of America,Public,Q8.4,Does your jurisdiction have a strategy or standard for reducing emissions from the jurisdiction's procurement and purchase of goods and services?,1,Response,Yes,,"The City of Portland has a sustainable procurement policy and program, attached. \nhttps://www.portland.gov/procurement/sustainable-procurement-program\n\nThe City of Portland's 2016 Sustainable Supply Chain Analysis identified construction services as the top spend category contributing to the City's supply chain greenhouse gas (GHG) emissions. Within construction services, concrete is one of the most GHG-intensive materials typically used on City construction projects. As a result, in 2019, after gathering both internal and external stakeholder input, the City established its Low-Carbon Concrete Initiative to reduce the overall carbon intensity of the concrete mixes used on City projects. From 2019 to early 2022, the Initiative involved: 1) establishing a product-specific Environmental Product Declaration (EPD) requirement for concrete mixes used on City projects; 2) conducting pilot tests of lower-embodied carbon concrete mixes; and 3) defining Global Warming Potential (GWP) Thresholds for concrete mixes. Based on the same supply chain analysis we also piloted warm mix asphalt: https://www.portlandoregon.gov/brfs/article/368274\n\nA variety of our case studies on sustainable procurement can be found here: https://www.portlandoregon.gov/brfs/article/368274\n\nRegarding vehicle and fuel purchasing, the fleet procurement team is incorporating a carbon shadow price into lifecycle cost assessments for new vehicles, which supports accelerated adoption of EV and alternative fuel vehicles. "
2025 Disclosure Cycle,779465,CDP,16581,"City of Seattle, WA",City,North America,United States of America,Public,Q8.4,Does your jurisdiction have a strategy or standard for reducing emissions from the jurisdiction's procurement and purchase of goods and services?,1,Response,Yes,,"The City is committed to promoting environmental stewardship and reducing greenhouse gas emissions when buying goods, materials, services and capital improvements. The Green Purchasing Program is a cooperative effort among City departments. Staff from City departments strategize, promote and review outcomes, identifying market transformation opportunities, developing specifications and selection criteria, and educating vendors and end users. Seattle Public Utilities Waste Reduction Program provides environmental technical assistance.The Green Purchasing Program supports several City policies and goals, and provides tools for City departments to be a model for local citizens, businesses and other governmental agencies. For more info please review: https://seattle.gov/purchasing-and-contracting/purchasing/green-purchasing"
2025 Disclosure Cycle,779465,CDP,19233,Municipality of Torres Vedras,City,Europe,Portugal,Public,Q8.4,Does your jurisdiction have a strategy or standard for reducing emissions from the jurisdiction's procurement and purchase of goods and services?,1,Response,Yes,,"A redução de emissões através das compras públicas está a ser trabalhada em diversas áreas, estando refletida nos seguintes planos:\n\nPlano Municipal de Ação Climática - ações de mitigação (ver 2.1.1 questionário CDP)\n\nPrograma de Sustentabilidade na Alimentação Escolar (ver 8.2 questionário CDP)\n\nPlano de Eficiência e Descarbonização (ver 8.2 questionário CDP)\n\nDe destacar que o Município de Torres Vedras recebeu, pela Agência Portuguesa do Ambiente, o Galardão de Embaixador Compras Públicas Ecológicas 2023, distinguindo-o como vencedor do 2º prémio ECO360 na categoria “Entidade da Administração Local”."
2025 Disclosure Cycle,779465,CDP,20113,"City of Vancouver, BC",City,North America,Canada,Public,Q8.4,Does your jurisdiction have a strategy or standard for reducing emissions from the jurisdiction's procurement and purchase of goods and services?,1,Response,Yes,,https://vancouver.ca/doing-business/sustainable-procurement.aspx
