disclosure_cycle,cdp_requesting_org_number,requesting_organization,cdp_disclosing_org_number,disclosing_organization,disclosing_org_type,cdp_region,discloser_country_or_area,public_status,question_number,question_text,row_order,row_name,col1_Response,col2_Provide an attachment to the strategy or standards addressing emissions from the jurisdiction's procurement,"col3_Provide a link, if applicable, and highlight any specific action(s) the jurisdiction is implementing to reduce emissions from its own consumption"
2025 Disclosure Cycle,779465,CDP,31154,Bogotá Distrito Capital,City,Latin America,Colombia,Public,Q8.4,Does your jurisdiction have a strategy or standard for reducing emissions from the jurisdiction's procurement and purchase of goods and services?,1,Response,Do not know,,
2025 Disclosure Cycle,779465,CDP,31155,City of Buenos Aires,City,Latin America,Argentina,Public,Q8.4,Does your jurisdiction have a strategy or standard for reducing emissions from the jurisdiction's procurement and purchase of goods and services?,1,Response,Yes,,"Las guías de recomendaciones para la compra pública sustentables son herramientas que brindan apoyo técnico en áreas específicas, que contienen información esencial en lenguaje accesible, permiten incorporar criterios de sustentabilidad y orientan sobre mecanismos de verificación y son confeccionados por expertos en cada tema. Dentro de las desarrolladas con criterios de sustentabilidad se puede mencionar: \nGuía de eficiencia energética https://buenosaires.gob.ar/sites/default/files/media/document/2021/07/18/77cd644bab4eb9083bf4ecb865e79084b16b0ab3.pdf\nGuía para la incorporación de criterios de sustentabilidad con enfoque de género en la contratación pública de bienes y servicios, https://buenosaires.gob.ar/sites/default/files/2023-03/Guia_de_Recomendaciones-ICEGCPBS.pdf\nGuía para la compra pública sustentable de indumentaria textil, https://buenosaires.gob.ar/sites/default/files/media/document/2022/04/06/fe98bf189e4b3c2ebe8bbecc572cf135ceb57472.pdf\nGuía para la promoción de la Economía Social y Popular en la contratación pública de bienes y servicios,https://buenosaires.gob.ar/sites/default/files/media/document/2022/11/03/9f149dd4955352b8f39f9da22f0a644afa6092fd.pdf\nGuía de Recomendaciones para el Consumo y Compra Responsable de Papel https://buenosaires.gob.ar/sites/default/files/media/document/2022/04/06/187fce149b613de3a071a4efec96e55cc0107ecf.pdf \n"
2025 Disclosure Cycle,779465,CDP,31156,Municipality of Curitiba,City,Latin America,Brazil,Public,Q8.4,Does your jurisdiction have a strategy or standard for reducing emissions from the jurisdiction's procurement and purchase of goods and services?,1,Response,Yes,Decreto 1346 2023 de Curitiba PR.pdf,Decreto Municipal nº 1346/2023.Curitiba faz parte do Programa de Cargas Emissões Zero que tem como foco a inserção de veículos elétricos em sua frota por meios de contratos públicos.
2025 Disclosure Cycle,779465,CDP,31163,Istanbul Metropolitan Municipality,City,UKWW,Türkiye,Public,Q8.4,Does your jurisdiction have a strategy or standard for reducing emissions from the jurisdiction's procurement and purchase of goods and services?,1,Response,Yes,,"Reducing emissions from the procurement and purchase of our goods and services are listed below;\n\n- The Directorate of Logistics Management and Terminals issues 'route usage permits' to freight transport vehicles. The fee for the 'Commercial Lorry Truck (N1 Class) Permit Certificate' applied by pickup trucks is halved if the vehicle is electric.\n\n- While creating value for our world and our country, we support sustainable and integrated urban public transportation policies with environmentally sensitive, innovative projects, as expressed in our mission and core values, while keeping our environmental responsibilities at the forefront. We meet the requirements of ISO 14001 Environmental Management System and ISO 50001 Energy Management System, for which we were certified in 2011. In order to reduce energy consumption, risks and opportunities related to energy saving were evaluated and necessary actions were planned.\n\n- IETT (bus company of IMM) have been awarded the ISO 14064-1 Greenhouse Gas Management Standard certificate. Within the scope of this study, an institutional greenhouse gas inventory was prepared. The calculations also take into account the activities of our organisation in three administration and service buildings and 16 parks and maintenance and repair garages. Emissions from the daily travelling of IETT's vehicles were also included in the calculation. IETT have own ISO 14064-1 Greenhouse Gas Management Standard certificate verified by accredited organisations every two years.\n\n- Şehir Hatları: If the fleet becomes electric, it is aimed to reduce the purchase of fossil fuels.\n\n- Metro İstanbul: \n\nEvaluation of energy demands of rentable areas.\nImplementation of efficiency criteria in the design of newly constructed lines.\n"
2025 Disclosure Cycle,779465,CDP,31164,Ho Chi Minh City,City,South East Asia & Oceania,Viet Nam,Public,Q8.4,Does your jurisdiction have a strategy or standard for reducing emissions from the jurisdiction's procurement and purchase of goods and services?,1,Response,Yes,,Requirement on encourage using unburnt bricks in construction of State projects in Ho Chi Minh City.
2025 Disclosure Cycle,779465,CDP,31165,City of Heidelberg,City,Europe,Germany,Public,Q8.4,Does your jurisdiction have a strategy or standard for reducing emissions from the jurisdiction's procurement and purchase of goods and services?,1,Response,Yes,,"Specific measures include requirements for the procurement of building materials in civil engineering, requirements for catering at municipal events, recycling of furniture, shorter renewal times for hardware such as computers or laptops, and requirements in the entire office supplies area.Special emphasis is placed on employee mobility. Promotion of cycling and bus or rail among city employees is being greatly expanded. This includes making parking fees more expensive, subsidies for the job ticket and vouchers for bicycle use."
2025 Disclosure Cycle,779465,CDP,31166,Jakarta City Government,City,South East Asia & Oceania,Indonesia,Public,Q8.4,Does your jurisdiction have a strategy or standard for reducing emissions from the jurisdiction's procurement and purchase of goods and services?,1,Response,No,,
2025 Disclosure Cycle,779465,CDP,31167,City of Lagos,City,UKWW,Nigeria,Public,Q8.4,Does your jurisdiction have a strategy or standard for reducing emissions from the jurisdiction's procurement and purchase of goods and services?,1,Response,No,,
2025 Disclosure Cycle,779465,CDP,31168,City District Government Karachi,City,UKWW,Pakistan,Public,Q8.4,Does your jurisdiction have a strategy or standard for reducing emissions from the jurisdiction's procurement and purchase of goods and services?,1,Response,Yes,,https://transkarachi.pk/
2025 Disclosure Cycle,779465,CDP,31169,Government of Hong Kong Special Administrative Region,City,China,"China, Hong Kong Special Administrative Region",Public,Q8.4,Does your jurisdiction have a strategy or standard for reducing emissions from the jurisdiction's procurement and purchase of goods and services?,1,Response,Yes,,"Links: \nGreen Procurement Information Portal -\nhttps://www.eeb.gov.hk/en/susdev/green_procure/green_procure.html\n\nGovernment Circular on “Green Procurement in the Government” -\nhttps://www.eeb.gov.hk/en/susdev/green_procure/scr/ENB_CM_1-2021.pdf\n\nElectronic systems:\n\nhttps://www1.ets.gov.hk/eTp_ext/views/index.zul\nhttps://pcms2.gld.gov.hk/iprod/#/home\nhttps://www.gov.hk/tc/theme/eprocurement/eppp/\n\n\nSpecific actions:\n1. The Government has all along led by example by adopting green procurement for implementation of the concept of environmental protection. The Government's Stores and Procurement Regulations require bureaux and departments (B/Ds) to take environmental factors into consideration in drawing up tender specifications, so as to allow for fair competition of compliant products and services on a cost-effective basis, thereby promoting green procurement while ensuring the prudent use of public funds. \n\nHaving regard to the practices and standards generally adopted in the market, the Government has developed a set of green specifications and guidelines for the products and services commonly used by the Government, so that B/Ds may practise green procurement in accordance with the relevant specifications. The Government reviews the green procurement list and relevant specifications from time to time to keep abreast of the latest market development and the procurement needs of B/Ds. In July 2021, the Government expanded the green procurement list from 150 to 183 items, updating the specifications for each product and providing additional tips for green procurement. In February 2024, the Government updated the green procurement circular to set electric vehicles as the standard for the procurement or replacement of all government private cars as far as possible. Recently, the Government further updated the green specifications for the procurement of LED lamps with motion sensor function and filtered water dispensers. In 2024, the Government procured green products and services with a total value of $8.42 billion, which is an increase of about 19.3% as compared to $7.06 billion in 2023. The Government will continue to promote green procurement by disseminating the latest green procurement list, relevant specifications, tips and both local and international best practices online for public reference.\n\n\n2. The Environmental Protection Department is using the electronic procurement system to handle the quotation exercises. The Environmental Protection Department also adopts the electronic tendering system for processing tendering matters and receiving electronic submission of offer. The subject teams of the Environmental Protection Department are required to adopt the green procurement practice with details as stipulated in the Environment Bureau Circular Memorandum No. 1/2021."
2025 Disclosure Cycle,779465,CDP,31170,Metropolitan Municipality of Lima,City,Latin America,Peru,Public,Q8.4,Does your jurisdiction have a strategy or standard for reducing emissions from the jurisdiction's procurement and purchase of goods and services?,1,Response,Yes,RGMM-073-DIRECTIVA-SOBRE-MEDIDAS-DE-ECOEFICIENCIA.pdf,"Mediante RESOLUCIÓN DE GERENCIA MUNICIPAL METROPOLITANA N° 073-19- MML/GMM se aprobó la Directiva N° 001-2019-MML-GA, en la cual se contempla los Lineamientos para la implementación de Medidas de Ecoeficiencia en la Municipalidad Metropolitana de Lima, tales como: \n\n- Elaborar una programación de mejora de equipos de iluminación, a fin que éstos sean\nreemplazados progresivamente por lámparas ahorradoras y dispositivos que maximicen la luminosidad y, que cuenten en lo posible, con la\netiqueta de 'eficiencia energética' conforme a la Guía de la Etiqueta de Eficiencia Energética recomendada por el Ministerio de Energía y Minas.\n- Reemplazar progresivamente los equipos de cómputo, obsoletos е ineficientes, por otros con tecnología avanzada y ahorro en el consumo\nde energía. \n-El área correspondiente deberá emitir, a través de un informe técnico, la posibilidad que los vehículos que utilicen gasohol 90 y 95 o petróleo\ndiesel, puedan cambiar de forma progresiva a Gas Natural Vehicular (GNV), Gas Licuado de Petróleo (GLP) o electricidad, o la incorporación\ngradual de catalizadores dentro de los tanques de combustible, que permitan reducir los gases contaminantes al ambiente. Para el caso de las nuevas adquisiciones, sólo deberán incorporarse vehículos que utilicen GNV y/o dual. Además, deberán solicitar lo mismo para los vehículos de las empresas que presten servicios a la MML.\n-Los colaboradores de cada órgano o unidad orgánica, deben contribuir en la recolección del material reciclable, depositando los residuos\nsólidos en los lugares establecidos. Dichos residuos serán reciclados por el grupo de recicladores del programa \'Segrega Lima\', quienes se encargarán de la recolección y selección de los residuos sólidos reciclables desde los puntos de acopio de cada oficina.\n\n\nAdicional a ello, se implementó LA PLATAFORMA VIRTUAL \'LIMA COMPRA\'\nEsta plataforma permite que las personas naturales o jurídicas que quieran ofertar sus bienes y/o servicios, de acuerdo a las convocatorias publicadas por la Municipalidad Metropolitana de Lima para contrataciones por montos menores o iguales a ocho (08) Unidades Impositivas Tributarias, disminuyendo así el consumo de recursos necesarios para dichos trámites. \nhttps://limacompra.munlima.gob.pe/\n"
2025 Disclosure Cycle,779465,CDP,31171,City of Madrid,City,Europe,Spain,Public,Q8.4,Does your jurisdiction have a strategy or standard for reducing emissions from the jurisdiction's procurement and purchase of goods and services?,1,Response,Yes,"AIR QUALITY AND SUSTAINABILITY MUNICIPAL BYLAW.pdf,Diagnóstico contratación publica ecológica Madrid 2023.pdf,EASSM-Plan-de-Accion-2022_2023.pdf,Estrategia alimentacion sostenible 2022 2025.pdf,Herramienta HC_ Versión Abierta 1.0.xlsx","Acording to the municipal strategy on environmental procurement, Madrid City Council has aproved a municipal catalog of eco-friendly products and services. This handbook has structured the municipal procurement process into 8 big areas and provides city officers advise on sustainable procurement. This document provides and specification of clauses to be used in orden to use in the procedures to reach common criteria. It is a way of stardarize purchasing with environmental criteria. A Municipal Bylaw on Air Quality and Sustainability has implemented restriccions on events held within the city. Events over 5,000 visitors are requiered to stimate their carbon foot print and to compensate their emissions taking part in reforestation projects withing the city. To support city officers the Climate Change Department has designed an specific Carbon footprint Calculator for Events.\nMadrid City Council also launched in 2022 an strategy to promote healthy and sustainable food systems"
2025 Disclosure Cycle,779465,CDP,31172,Mexico City,City,Latin America,Mexico,Public,Q8.4,Does your jurisdiction have a strategy or standard for reducing emissions from the jurisdiction's procurement and purchase of goods and services?,1,Response,Yes,Líneamientos de Adquisiciones CDMX.pdf,"El Gobierno de la Ciudad de México, publicó los \'Lineamientos Generales para la Adquisición de Bienes, Características y Especificaciones de Menor Grado de Impacto Ambiental\' con el objetivo de que la Administración Pública(AP), adopte en sus actividades cotidianas acciones sustentables que contribuyan a mitigar las emisiones de gases de efecto invernadero, causantes del cambio climático.\nEn el documento se establecen las características y especificaciones de compra de bienes, esto a fin de que el gobierno considere el impacto que tienen los productos en el medio ambiente a lo largo de su ciclo de vida (desde los materiales utilizados durante su fabricación, hasta la manera en que son usados, así como su disposición final).\nLa adquisición de bienes de menor impacto ambiental o “compras verdes”, promueve un modelo de eficiencia al interior de la AP con principios de sustentabilidad."
2025 Disclosure Cycle,779465,CDP,31173,City of Milan,City,Europe,Italy,Public,Q8.4,Does your jurisdiction have a strategy or standard for reducing emissions from the jurisdiction's procurement and purchase of goods and services?,1,Response,Yes,,"In the CAP one of the actions is about GPP. Accordingly, in line with the Italian GPP regulation and the recently updated Procurement Code, we adopted purchasing procedures that apply 'green' criteria in selected sectors of the Municipal Administration and of the in-house companies; we would like to extend the field of action to products and services that are not yet regulated. We aim at promoting supply chains with a lower overall environmental impact and lower environmental emissions of pollutants and carbon footprint. Sectors covered are buildings, office goods and services, food, electricity, events, etc. As of year 2022, we are monitoring goods and services tenders and contracts on the real implementation of the GPP requirements. In 2024 a special effort was done on GPP for public events has been introduced with the intent to engage also organisers of private events hold in public spaces (e.g. open air concerts) or sponsored by the municipality"
2025 Disclosure Cycle,779465,CDP,31175,City of Paris,City,Europe,France,Public,Q8.4,Does your jurisdiction have a strategy or standard for reducing emissions from the jurisdiction's procurement and purchase of goods and services?,1,Response,Yes,2e Schema parisien de la commande publique responsable.pdf,"Following a first public procurement scheme from 2016 to 2020, the Paris City Council adopted a new responsible public procurement scheme (SPASER) in December 2021. With 1.6 billion euros in annual public contracts and a total turnover of over 1.4 billion euros per year for concession contracts an ambitious responsible purchasing policy is an important lever to promote social inclusion social and solidarity economy (SSE) and to meet the ecological transition commitments outlined in the City's Climate Plan. This includes aiming for 75% and 50% of contracts respectively incorporating provisions favorable to the circular economy and biodiversity. \n(https://cdn.paris.fr/paris/2021/12/20/3acce5e0b9de3a605f0a1ef85fd4a5fc.pdf)\n\nIn addition to its SPASER, the City of Paris conducts a yearly climate assessment of the local government budget by public policy. The climate assessment of the City of Paris budget is based on a methodology developed by the Institute for Climate Economics (I4CE) It categorizes the operating and investment expenses of the local government based on their impact favorable unfavorable neutral or undefined on greenhouse gas (GHG) emissions mitigation. First conducted in 2020 for the 2019 financial statement the climate assessment has been carried out annually since then. The results are published each year on Paris.fr in the financial report of the previous years financial statement. The climate assessment for the 2024 financial statement was conducted on an analysis scope of €8,215 million. Expenses that are strictly financial remain excluded from the analysis scope. \n\nThe results obtained in 2024 confirm the trends observed in previous years. According to the methodology, a significant proportion of expenses are classified as neutral in terms of GHG emissions mitigation 79,6%. A continued reduction in the share of expenses with an undefined impact decreasing from 17.2% in 2020 to 2,3% in 2022. This phenomenon can be explained with an increase of positive impact projects and a shift of certain operational costs (such as the City 100% renewable electricity contract). \n\n"
2025 Disclosure Cycle,779465,CDP,31176,Prefeitura do Rio de Janeiro,City,Latin America,Brazil,Public,Q8.4,Does your jurisdiction have a strategy or standard for reducing emissions from the jurisdiction's procurement and purchase of goods and services?,1,Response,Yes,,"Em 2023, a Prefeitura começou a comprar eletricidade no Ambiente de Contratação Livre para abastecer sua sede. Para esta nova fase do projeto, foram realizadas licitações de compra de energia limpa direta com as geradoras, pelo período de 60 meses, para abastecer 20 unidades de saúde, como os hospitais Miguel Couto, Albert Schweitzer, Rocha Faria, Lourenço Jorge, e Pedro II, além do Centro de Operações Rio (COR). https://doweb.rio.rj.gov.br/portal/visualizacoes/pdf/6629#/p:1/e:6629?find=mercado%20livre \nTambém foi estabelecida uma lei municipal que obriga que toda a frota de ônibus seja elétrica até 2024."
2025 Disclosure Cycle,779465,CDP,31178,City of Mumbai,City,India,India,Public,Q8.4,Does your jurisdiction have a strategy or standard for reducing emissions from the jurisdiction's procurement and purchase of goods and services?,1,Response,Yes,,"Maharashtra EV Policy 2021 describes - Starting 1st April 2022, all new govt. /semi govt./ urban local bodies / govt. funded organizations vehicles operating within the cities to be battery electric vehicles. All vehicles leased for Govt. official purpose shall be battery electric vehicles.The Brihanmumbai Electricity Supply and Transport Undertaking (BEST) aims to make its fleet 50% electric by the end of 2023--which means over 2,000 electric buses, including electric double-deckers. It has targeted to have almost 100% electric fleet before the end of 2027"
2025 Disclosure Cycle,779465,CDP,31179,Municipality of Rotterdam,City,Europe,Netherlands,Public,Q8.4,Does your jurisdiction have a strategy or standard for reducing emissions from the jurisdiction's procurement and purchase of goods and services?,1,Response,Yes,CE_Delft_220119_Impactanalyse_MVI_Rotterdam_Samenvatting_Openbaar-1-1.pdf,Link: https://www.rotterdam.nl/inkoop-en-aanbesteding \n\ne.g. we have mapped the CO2 footprint of our procurement ( https://ce.nl/publicaties/impactanalyse-mvi-rotterdam/ ) and award progressive emission reduction when purchasing goods and services \n\n
2025 Disclosure Cycle,779465,CDP,31180,Región Metropolitana de Santiago,City,Latin America,Chile,Public,Q8.4,Does your jurisdiction have a strategy or standard for reducing emissions from the jurisdiction's procurement and purchase of goods and services?,1,Response,Yes,R.e.3921-politica-ambiental.pdf,"El Gobierno de Chile a implementado el sistema Estado Verde, el cual es un programa de acreditación que desarrolla el Ministerio del Medio Ambiente, y su objetivo es incorporar buenas prácticas ambientales en el quehacer diario de los órganos del Estado, mediante un proceso de acreditación que certifica que las entidades suscriptoras desarrollan distintas medidas de sostenibilidad interna.El programa Sistema Estado Verde, cuenta con cinco etapas de acreditación: Pre-Acreditación, Acreditación Nivel Básico; Acreditación Nivel Intermedio; Acreditación Nivel de Excelencia y Acreditación Nivel Excelencia Sobresaliente.Actualmente el Gobierno Regional ha iniciado el proceso de acreditación en su primera etapa: Pre-Acreditación, la cual se logra cumpliendo exigencias como:-Creación de Comité Interno Estado Verde. (Res. Ex. 711/28.04.23)-Elaboración del diagnóstico ambiental y de un Plan de Gestión Ambiental.(deberá estar elaborado a diciembre 2023)-Diseño de una campaña comunicacional y de sensibilización interna.-Elaboración de un cronograma para implementar las medidas propuestas.(Res. Ex3921/2024)"
2025 Disclosure Cycle,779465,CDP,31181,"City of Philadelphia, PA",City,North America,United States of America,Public,Q8.4,Does your jurisdiction have a strategy or standard for reducing emissions from the jurisdiction's procurement and purchase of goods and services?,1,Response,No,,
2025 Disclosure Cycle,779465,CDP,31182,"City of San Francisco, CA",City,North America,United States of America,Public,Q8.4,Does your jurisdiction have a strategy or standard for reducing emissions from the jurisdiction's procurement and purchase of goods and services?,1,Response,Yes,,"In 2005, Chapter 2 of the San Francisco Environment Code set a comprehensive system for the City to identify, purchase, and use environmentally preferred products. This ordinance was strengthened by executive directive in 2008 and created the SF Approved service operated by the San Francisco Environment Department. SF Approved provides a list of products that have been screened for environmental benefits, cost, reduced toxicity, and performance. Categories include, but are not limited to, janitorial cleaners, office paper, disposable food containers and utensils, building supplies, furniture, electronics, lighting, and landscaping products. The City has also implemented a 'Green Technology Policy' that requires the Department of Environment to spend no less than 90% of purchase dollars on compliant technology products including personal computers, servers, imaging equipment, televisions and large displays. \n\nIn 2024, San Francisco Environment Department began to work with its infrastructure agencies including SFO, Port, and Public Works to develop progressive design and construction standards. These standards will result in the reduction of embodied carbon starting with pilots on municipal vertical and non-vertical projects that encourage the procurement of low carbon materials whether sourced from existing building materials deconstructed and reused or, if new, assembled from low carbon materials such as for concrete. In 2025, Public Works' Bureau of Architects and Engineers are modifying master concrete specifications to be low carbon for both structural and non-structural concrete, hence forcing industry to provide low carbon concrete for all municipal projects.\n\nhttps://sfapproved.org/"
2025 Disclosure Cycle,779465,CDP,31184,Prefeitura de São Paulo,City,Latin America,Brazil,Public,Q8.4,Does your jurisdiction have a strategy or standard for reducing emissions from the jurisdiction's procurement and purchase of goods and services?,1,Response,Yes,LEI Nº 17.260 DE 8 DE JANEIRO DE 2020 « Catálogo de Legislação Municipal.pdf,"A Política, instituída pela Lei nº 17.260/2020, disciplina a licitação sustentável para a aquisição de bens, contratação de serviços ou obras pela Administração Pública Municipal direta, autárquica e fundacional, permitindo a adoção de critérios ambientalmente corretos, socialmente justos e economicamente viáveis e dá outras providências que contribuem para redução das emissões na jurisdição. Vale destacar que a Lei poderia ser revisada com o objetivo de incorporar critérios mais específicos para a reduzir as emissões. Pode ser acessada a partir do link: https://legislacao.prefeitura.sp.gov.br/leis/lei-17260-de-8-de-janeiro-de-2019/consolidado"
2025 Disclosure Cycle,779465,CDP,31185,City of Warsaw,City,Europe,Poland,Public,Q8.4,Does your jurisdiction have a strategy or standard for reducing emissions from the jurisdiction's procurement and purchase of goods and services?,1,Response,No,,
2025 Disclosure Cycle,779465,CDP,31186,Changwon City,City,South East Asia & Oceania,Korea (The Republic of),Public,Q8.4,Does your jurisdiction have a strategy or standard for reducing emissions from the jurisdiction's procurement and purchase of goods and services?,1,Response,Yes,창원시 기후위기 대응을 위한 탄소중립ㆍ녹색성장 기본 조례(경상남도 창원시조례)(제1712호)(20221115).pdf,"「창원시 기후위기 대응을 위한 탄소중립ㆍ녹색성장 기본 조례(제1712호)」 제17조는 시장이 자동차를 구매할 때 전기자동차, 태양광자동차, 수소전기자동차(“친환경차”)를 우선적으로 구매·공급해야 함을 명확히 규정합니다.\n\n<조례 제17조(친환경차 보급 확대) 주요 내용>\n1)시장은 「환경친화적 자동차의 개발 및 보급 촉진에 관한 법률」에서 정의한 ▲전기자동차 ▲태양광자동차 ▲수소전기자동차 등 친환경차를 우선적으로 구매해야 합니다.\n2)창원시는 행정기관, 공공기관, 산하 기관 차량도 신규 또는 교체 시 친환경차 도입을 원칙으로 하고, 친환경차 공급 확대에 적극 노력해야 합니다.\n3)이 조항은 공공부문의 모범적 역할을 통해 민간 부문으로의 저탄소차량 보급 확대도 유도한다는 정책적 의미를 가집니다.\n\n<연계 정책 및 이행내용>\n1)창원시는 해당 조례와 연동해 매년 전기차·수소차, 충전 인프라 보급사업을 적극 추진하고 있으며, 2025년에도 다수의 전기차, 수소차, 충전소 지원사업을 실시 중입니다.\n2)“친환경차 의무구매 조항”은 모든 공공조달, 구매사업 정책의 필수 준수사항입니다.\n3)즉, 창원시의 친환경차 우선 구매·보급은 조례에 명확히 규정된 행정책임이며, 시장은 법적 근거를 토대로 친환경차 확대와 온실가스 저감의 이행 주체 역할을 수행해야 합니다."
2025 Disclosure Cycle,779465,CDP,31187,Seoul Metropolitan Government,City,South East Asia & Oceania,Korea (The Republic of),Public,Q8.4,Does your jurisdiction have a strategy or standard for reducing emissions from the jurisdiction's procurement and purchase of goods and services?,1,Response,Yes,"2025년 서울시 녹색제품 구매이행계획(최종).xlsx,붙임 1. 2024년 서울시 녹색제품 구매이행계획.xlsx","The Green Product Pre-Review System has been implemented. All procurement-related contracts require prior approval from the Head of the Governance and Implementation Team. Through this process, the existence of certified green products is reviewed before the contract is finalized, ensuring that green products are mandatorily purchased for project implementation."
2025 Disclosure Cycle,779465,CDP,31446,Taipei City Government,City,China,East Asia,Public,Q8.4,Does your jurisdiction have a strategy or standard for reducing emissions from the jurisdiction's procurement and purchase of goods and services?,1,Response,No,,
2025 Disclosure Cycle,779465,CDP,32480,City of Adelaide,City,South East Asia & Oceania,Australia,Public,Q8.4,Does your jurisdiction have a strategy or standard for reducing emissions from the jurisdiction's procurement and purchase of goods and services?,1,Response,Yes,City of Adelaide Integrated Climate Strategy 2030.pdf,"The Integrated Climate Strategy 2030 includes a priority of \'Procurement decisions that localise supply, prioritise reuse and drive green industries\' and a target to \'Increase sustainable supply chains commonly used by City of Adelaide\'. A baseline for the number of sustainable supply chains is being developed in FY2025/26."
2025 Disclosure Cycle,779465,CDP,32550,"City of Denver, CO",City,North America,United States of America,Public,Q8.4,Does your jurisdiction have a strategy or standard for reducing emissions from the jurisdiction's procurement and purchase of goods and services?,1,Response,Yes,,See Memorandum 123-D The City's environmentally preferable purchasing (EPP) policy applies to the procurement of goods and services by all agencies under the Mayor. All other City-related entities should purchase environmentally preferable goods and services wherever possible
2025 Disclosure Cycle,779465,CDP,35268,"City of Boston, MA",City,North America,United States of America,Public,Q8.4,Does your jurisdiction have a strategy or standard for reducing emissions from the jurisdiction's procurement and purchase of goods and services?,1,Response,Yes,DOC080223.pdf,"Renew Boston Trust (RBT) began in 2017. It is a City program that conducts energy audits and invests in conservation upgrades for municipal buildings. In 2022, Renew Boston Trust extended its scope to include an energy audit of all exterior City-owned lighting to accelerate the transition away from gas-powered lighting. This program is an important tool for the City as it leads by example in reaching carbon neutrality and becoming a Green New Deal city. https://www.boston.gov/departments/environment/renew-boston-trust\nIn 2023, Mayor Michelle Wu signed “An Executive Order Eliminating the Use of Fossil Fuels in New Construction and Major\nRenovations of City Buildings” to move City buildings away from on-site fuel consumption."
2025 Disclosure Cycle,779465,CDP,35449,City of Zürich,City,Europe,Switzerland,Public,Q8.4,Does your jurisdiction have a strategy or standard for reducing emissions from the jurisdiction's procurement and purchase of goods and services?,1,Response,Yes,,"Currently, there is a team tasked with forming a strategy for sustainable procurement of goods and services int the city. A strategy is therefore in the works but not currently published."
2025 Disclosure Cycle,779465,CDP,35475,"City of Calgary, AB",City,North America,Canada,Public,Q8.4,Does your jurisdiction have a strategy or standard for reducing emissions from the jurisdiction's procurement and purchase of goods and services?,1,Response,Yes,"8.4 Benefit Driven Procurement-Strategy.pdf,8.4 City of Calgary Procurement policy.pdf","The City of Calgary (“The City”) recognizes all its procurement creates public value. Through intentional and strategic procurement decision-making in accordance with public procurement law, The City is committed to creating additional public value impact to improve community outcomes for Calgarians. \n\nPublic value includes The City's intentional investment through procurement activities in economic, socio-cultural, environmental, and political outcomes valued by citizens and businesses in Calgary. \n\nOne of the tools under this Policy is the Social Procurement Program and the Social Procurement Questionaire that is used on all over threshold competitive procurements. The questionaire has a section on Climate and Environment where the following questions are asked: \n4.1 Climate or Environmental Policy \nReference guide (for context): The purpose of The City of Calgary is set out in legislation of the Government of Alberta (Municipal Government Act R.S.A. 2000 Chapter M-26). The City's purpose includes providing \'good government and to foster the well-being of the environment\'. \n\nThe City of Calgary has approved an Environment Strategy and a Climate Strategy which requires commitment not only from our own organization as demonstrated in our Environmental Policy, but depend on the collective contribution by those we interact and do business with in order to achieve results. \n\nQuestion: Does your company have a climate or environmental policy? If yes, please provide evidence of your policies or strategies. \nNo \nYes \n\n 4.2 Climate or Environmental Targets \nReference guide (for context): Companies have an important role in addressing the climate and environmental challenges. \n\nQuestion: Does your company have climate or environmental targets? \nNo \nYes \n\nPlease select the target types and attach evidence that includes the target value. \nEnvironmental Target \nClimate Target \nGreenhouse Reduction Target \nOther related-targets \n \nPotential Suppliers that have their own climate and environmental policy along with specific targets receive a competitive advantage in winning City contracts. \n\n\n"
