disclosure_cycle,cdp_requesting_org_number,requesting_organization,cdp_disclosing_org_number,disclosing_organization,disclosing_org_type,cdp_region,discloser_country_or_area,public_status,question_number,question_text,row_order,row_name,col1_Response,col2_Provide an attachment to the strategy addressing emissions from consumption of the most relevant goods and services,"col3_Provide a link, if applicable, and highlight any specific action the jurisdiction is implementing to reduce emissions from the consumption of goods and services in this category"
2025 Disclosure Cycle,779465,CDP,1093,"City of Atlanta, GA",City,North America,United States of America,Public,Q8.3,Does your jurisdiction have a strategy for reducing emissions from consumption of the most relevant goods and services?,1,Food,Yes,Fresh+Food+Access+Report+2020-digital.pdf,"Yes, the City of Atlanta incorporates food systems as a core part of its sustainability and resilience strategy. Our approach prioritizes reducing lifecycle emissions from food production focusing on supporting hyper local agriculture production and distribution, and food/organics landfill division through composting and other methods while ensuring equitable access to healthy food. Even though emissions reductions aren't the primary driver for our Urban AG and Food Systems goal, GHG reductions are certainly an important benefit to these programs, policies, and partnerships. "
2025 Disclosure Cycle,779465,CDP,1093,"City of Atlanta, GA",City,North America,United States of America,Public,Q8.3,Does your jurisdiction have a strategy for reducing emissions from consumption of the most relevant goods and services?,2,Construction and demolition,Yes,"ALT-ESG-2024-Report_FINAL (1).pdf,ALT-ESG-2024-Report_FINAL (1).pdf,Sustainable Development Standards_FINAL_05192025.pdf","At Hartsfield-Jackson Atlanta International Airport, the Department of Aviation (DOA) has implemented a policy requiring contractors to divert at least 90% of C&D debris from landfill disposal. This includes recycling and reusing concrete, asphalt, metals, drywall, and wood, as well as prioritizing deconstruction techniques where feasible. Materials are either recycled on-site, sent to certified recycling facilities, or redirected for community reuse programs. The DOA's diversion program has become a national model for airports, demonstrating how large-scale capital projects can significantly reduce embodied carbon emissions and landfill dependency. Department of Aviation has set a target to divert 90 percent of all airport waste from landfills by 2035. This includes both operational waste and construction and demolition debris, with diversion tracked and required in all major capital projects. Since 2016, the airport has diverted more than 95,000 tons of C&D waste from landfill and achieved an average diversion rate of 87 percent.\n\nThe City also partners with local deconstruction and reuse organizations to extend the life cycle of salvaged building materials, integrating them into affordable housing and community development projects. Together, these measures position Atlanta as a leader in embedding circular economy principles into the construction sector while cutting carbon emissions associated with both material production and disposal.\n\nATL is committed to employing sustainable design and construction practices while maintaining operations as the world's busiest airport. ATL's Planning and Development (P&D) Sustainability Standards integrate industry best practices, aiming to reduce water use, energy consumption, and environmental impacts, including embodied carbon in building materials. ATL was the first airport to earn LEED for Communities certification and continues to pursue additional certifications across numerous projects and rating systems, including LEED, Parksmart, and Envision. Innovative practices and technologies, like the modular construction approach, carbon mineralization of concrete, and maturity meters that more accurately predict in-situ strength of concrete—reducing overall cement content and associated embodied carbon, further exemplifying ATL's commitment."
2025 Disclosure Cycle,779465,CDP,1093,"City of Atlanta, GA",City,North America,United States of America,Public,Q8.3,Does your jurisdiction have a strategy for reducing emissions from consumption of the most relevant goods and services?,6,Aviation,Yes,ALT-ESG-2024-Report_FINAL (1).pdf,"Yes, the City of Atlanta Department of Aviation is going beyond measuring aviation-related emissions and is actively pursuing strategies to reduce them through partnerships, sustainable fuel systems, and electrification. Hartsfield-Jackson Atlanta International Airport (ATL). The Airport is already reducing its Scope 1 and 2 emissions through efficiency projects, renewable energy generation, fleet electrification, and the use of low-carbon construction materials. Recognizing the influence it has over Scope 3 emissions, ATL will begin tracking tenant and airline-related emissions in 2025 through expanded data collection, including electricity and fuel use in leased spaces. A key element of this strategy is preparing for Sustainable Aviation Fuel adoption. In 2024, the Department of Aviation prioritized a supply chain and infrastructure study to bring SAF to ATL, positioning the airport to partner with airlines, fuel providers, and regulators to scale lower-carbon fuel use.\n\nATL finances this transition through innovative mechanisms such as its Green Bond Framework, which directs investment into projects like the Concourse D Widening and new parking decks with embedded low-carbon and energy-efficient features. Together, these actions demonstrate that Atlanta is not only measuring aviation emissions but is embedding climate action into every level of its aviation operations, from fuel systems and fleet electrification to renewable energy and green finance."
2025 Disclosure Cycle,779465,CDP,1093,"City of Atlanta, GA",City,North America,United States of America,Public,Q8.3,Does your jurisdiction have a strategy for reducing emissions from consumption of the most relevant goods and services?,7,Waste management,Yes,"ALT-ESG-2024-Report_FINAL (1).pdf,Sustainable Development Standards_FINAL_05192025.pdf","Department of Aviation has set a target to divert 90 percent of all airport waste from landfills by 2035. This includes both operational waste and construction and demolition debris, with diversion tracked and required in all major capital projects. Since 2016, the airport has diverted more than 95,000 tons of C&D waste from landfill and achieved an average diversion rate of 87 percent. These collective efforts help support progressing collective goals for net zero by 2050. "
2025 Disclosure Cycle,779465,CDP,1184,"City of Austin, TX",City,North America,United States of America,Public,Q8.3,Does your jurisdiction have a strategy for reducing emissions from consumption of the most relevant goods and services?,1,Food,No strategy that addresses consumption-based emissions from this sector,,
2025 Disclosure Cycle,779465,CDP,1184,"City of Austin, TX",City,North America,United States of America,Public,Q8.3,Does your jurisdiction have a strategy for reducing emissions from consumption of the most relevant goods and services?,2,Construction and demolition,Yes,Austin_CBEI_final.pdf,"The City of Austin will explore a plan to transition all future City contracts and projects to low-embodied-carbon concrete. Goal 1 in Sustainable Buildings Sector of the Austin Climate Equity Plan addresses the strategy, target emission reduction, and challenges towards reaching the target (page 48-50). Attached is the emissions report developed from scope 3 emissions in several sectors."
2025 Disclosure Cycle,779465,CDP,1184,"City of Austin, TX",City,North America,United States of America,Public,Q8.3,Does your jurisdiction have a strategy for reducing emissions from consumption of the most relevant goods and services?,3,Transportation,Yes,202402_AMD_ASMP-compressed.pdf,Transportation sector is quickly becoming our largest source of GHG emissions. Work is underway to electrify vehicles and avoid trips all together. The Austin Strategic Mobility Plan (attached) includes implementable strategies to reduce GHG emissions. This website link shows one of City's Transportation Demand Management programs called \'GetThereAtx\': https://www.getthereatx.com/. The website provides all possible sustainable trip options to users based on their origin and destinations.
2025 Disclosure Cycle,779465,CDP,1184,"City of Austin, TX",City,North America,United States of America,Public,Q8.3,Does your jurisdiction have a strategy for reducing emissions from consumption of the most relevant goods and services?,4,Clothing and textiles,Yes,ARR Comprehensive Plan.pdf,"Austin Resource Recovery works on this topic and provides curbside services to collect such items from single family homes and multifamily properties. The Austin Resource Recovery Comprehensive Plan (attached) discusses this topic in Chapter 9, Page 51-54."
2025 Disclosure Cycle,779465,CDP,1184,"City of Austin, TX",City,North America,United States of America,Public,Q8.3,Does your jurisdiction have a strategy for reducing emissions from consumption of the most relevant goods and services?,5,Household appliances and electronics,Yes,ARR Comprehensive Plan.pdf,"Austin Resource Recovery works on this topic and provides curbside services to collect such items from single family homes and multifamily properties. The Austin Resource Recovery Comprehensive Plan (attached) discusses this topic in Chapter 9, Page 51-54."
2025 Disclosure Cycle,779465,CDP,1184,"City of Austin, TX",City,North America,United States of America,Public,Q8.3,Does your jurisdiction have a strategy for reducing emissions from consumption of the most relevant goods and services?,6,Aviation,Yes,Austin-International Airport Comprehensive Report.pdf,"Many major airlines serving Austin have committed to decarbonizations. Austin's International Airport is working to reduce the emissions that they control as well. Recently, Austin-Bergstrom International Airport has been recognized as one of four airports in North America to reach carbon neutrality, with a Level 3+ Accreditation by Airports Council International - North America's Airport Carbon Accreditation Program, link here: https://www.airportcarbonaccreditation.org/"
2025 Disclosure Cycle,779465,CDP,1184,"City of Austin, TX",City,North America,United States of America,Public,Q8.3,Does your jurisdiction have a strategy for reducing emissions from consumption of the most relevant goods and services?,7,Waste management,Yes,ARR Comprehensive Plan.pdf,Austin Resource Recovery works on this topic and has recently updated their Comprehensive Plan (attached) for the City's waste reduction management.
2025 Disclosure Cycle,779465,CDP,1184,"City of Austin, TX",City,North America,United States of America,Public,Q8.3,Does your jurisdiction have a strategy for reducing emissions from consumption of the most relevant goods and services?,8,Other,Do not know,,
2025 Disclosure Cycle,779465,CDP,1499,City of Barcelona,City,Europe,Spain,Public,Q8.3,Does your jurisdiction have a strategy for reducing emissions from consumption of the most relevant goods and services?,1,Food,Yes,Barcelona Healthy and Sustainable Food Strategy 2030.pdf,https://www.alimentaciosostenible.barcelona/en/urban-food-policies/documents
2025 Disclosure Cycle,779465,CDP,1499,City of Barcelona,City,Europe,Spain,Public,Q8.3,Does your jurisdiction have a strategy for reducing emissions from consumption of the most relevant goods and services?,2,Construction and demolition,Yes,guia_descarbonitzacio_rehabilitacio.pdf,"https://bithabitat.barcelona/es/proyectos/urbanew/\n\nMain framework is URBANEW, a european project among all 7 spanish EU mission cities. Barcelona pilot intends to reduce carbon footprint of construction. This lead to publish a construction decarbonisation guide gathering all the learnings.\n\nIMHAB (Barcelona Housing Institute) managed to reduce the footprint around 45-50% thanks to some strategies (chapter 2 of the guide), for instance industrialisation and wood construction."
2025 Disclosure Cycle,779465,CDP,1499,City of Barcelona,City,Europe,Spain,Public,Q8.3,Does your jurisdiction have a strategy for reducing emissions from consumption of the most relevant goods and services?,3,Transportation,No strategy that addresses consumption-based emissions from this sector,,
2025 Disclosure Cycle,779465,CDP,1499,City of Barcelona,City,Europe,Spain,Public,Q8.3,Does your jurisdiction have a strategy for reducing emissions from consumption of the most relevant goods and services?,4,Clothing and textiles,No strategy that addresses consumption-based emissions from this sector,,
2025 Disclosure Cycle,779465,CDP,1499,City of Barcelona,City,Europe,Spain,Public,Q8.3,Does your jurisdiction have a strategy for reducing emissions from consumption of the most relevant goods and services?,5,Household appliances and electronics,No strategy that addresses consumption-based emissions from this sector,,
2025 Disclosure Cycle,779465,CDP,1499,City of Barcelona,City,Europe,Spain,Public,Q8.3,Does your jurisdiction have a strategy for reducing emissions from consumption of the most relevant goods and services?,6,Aviation,No strategy that addresses consumption-based emissions from this sector,,
2025 Disclosure Cycle,779465,CDP,1499,City of Barcelona,City,Europe,Spain,Public,Q8.3,Does your jurisdiction have a strategy for reducing emissions from consumption of the most relevant goods and services?,7,Waste management,Yes,EstrategiaResiduZeroBarcelona-201611.pdf,https://ajuntament.barcelona.cat/ecologiaurbana/en/zero-waste/zero-waste-strategy
2025 Disclosure Cycle,779465,CDP,1499,City of Barcelona,City,Europe,Spain,Public,Q8.3,Does your jurisdiction have a strategy for reducing emissions from consumption of the most relevant goods and services?,8,Other,No strategy that addresses consumption-based emissions from this sector,,
2025 Disclosure Cycle,779465,CDP,2621,Cambridgeshire County Council,City,UKWW,United Kingdom,Public,Q8.3,Does your jurisdiction have a strategy for reducing emissions from consumption of the most relevant goods and services?,1,Food,No strategy that addresses consumption-based emissions from this sector,,
2025 Disclosure Cycle,779465,CDP,2621,Cambridgeshire County Council,City,UKWW,United Kingdom,Public,Q8.3,Does your jurisdiction have a strategy for reducing emissions from consumption of the most relevant goods and services?,2,Construction and demolition,No strategy that addresses consumption-based emissions from this sector,,
2025 Disclosure Cycle,779465,CDP,2621,Cambridgeshire County Council,City,UKWW,United Kingdom,Public,Q8.3,Does your jurisdiction have a strategy for reducing emissions from consumption of the most relevant goods and services?,3,Transportation,Yes,,https://www.cambridgeshire.gov.uk/residents/travel-roads-and-parking/transport-plans-and-policies/cambridgeshire-transport-strategies
2025 Disclosure Cycle,779465,CDP,2621,Cambridgeshire County Council,City,UKWW,United Kingdom,Public,Q8.3,Does your jurisdiction have a strategy for reducing emissions from consumption of the most relevant goods and services?,4,Clothing and textiles,No strategy that addresses consumption-based emissions from this sector,,
2025 Disclosure Cycle,779465,CDP,2621,Cambridgeshire County Council,City,UKWW,United Kingdom,Public,Q8.3,Does your jurisdiction have a strategy for reducing emissions from consumption of the most relevant goods and services?,5,Household appliances and electronics,No strategy that addresses consumption-based emissions from this sector,,
2025 Disclosure Cycle,779465,CDP,2621,Cambridgeshire County Council,City,UKWW,United Kingdom,Public,Q8.3,Does your jurisdiction have a strategy for reducing emissions from consumption of the most relevant goods and services?,6,Aviation,No strategy that addresses consumption-based emissions from this sector,,
2025 Disclosure Cycle,779465,CDP,2621,Cambridgeshire County Council,City,UKWW,United Kingdom,Public,Q8.3,Does your jurisdiction have a strategy for reducing emissions from consumption of the most relevant goods and services?,7,Waste management,Yes,,https://www.cambridgeshire.gov.uk/residents/waste-and-recycling/what-happens-to-your-waste
2025 Disclosure Cycle,779465,CDP,2621,Cambridgeshire County Council,City,UKWW,United Kingdom,Public,Q8.3,Does your jurisdiction have a strategy for reducing emissions from consumption of the most relevant goods and services?,8,Other,No strategy that addresses consumption-based emissions from this sector,,
2025 Disclosure Cycle,779465,CDP,3203,City of Chicago,City,North America,United States of America,Public,Q8.3,Does your jurisdiction have a strategy for reducing emissions from consumption of the most relevant goods and services?,1,Food,Yes,,"The City launched the Food Scrap Drop-Off program in 2023, starting with 15 public sites and expanding to 20 locations, serving over 5,700 registered households as of October 2024. The program provides free composting services for fruit, vegetable, and yard waste, with collected material diverted from landfills and processed into soil amendments for local urban farms and gardens. Additional initiatives include a 2024 backyard compost bin distribution program for residents, and ongoing planning for a citywide residential organics collection service as outlined in the 2024 Environmental Justice Action Plan. These actions collectively reduce methane emissions from food waste, improve local soil health, and strengthen community resilience to climate change. This effort continued under Streets and Sanitation's budget expansion for 2025, signaling sustained City investment in composting infrastructure. \nFor more information see: https://www.chicago.gov/city/en/depts/streets/supp_info/food-scrap-drop-off.html, https://www.chicago.gov/city/en/depts/mayor/press_room/press_releases/2024/october/compost-bin-giveaway.html, https://www.chicago.gov/content/dam/city/depts/cdph/environmental-justice/ej-action-plan-annual-report-2024.pdf"
2025 Disclosure Cycle,779465,CDP,3203,City of Chicago,City,North America,United States of America,Public,Q8.3,Does your jurisdiction have a strategy for reducing emissions from consumption of the most relevant goods and services?,2,Construction and demolition,Yes,,"The Department of Streets and Sanitation (DSS) and Department of Planning and Development (DPD) are evaluating construction franchise models to improve waste hauling efficiency and accountability, while the updated 2024 Sustainable Development Policy requires projects to incorporate waste diversion, deconstruction practices, and material reuse strategies into design and construction phases. In addition, the City's 2024 Environmental Justice Action Plan identifies developing a plan to implement Commercial Waste Franchise Zoning as a priority for 2025-2028. Together, these measures reduce embodied carbon in construction materials, divert waste from landfills, and contribute to the City's broader strategy of reducing consumption-based emissions. \nFor more information see: https://www.chicago.gov/content/dam/city/depts/dcd/Projects/SDP_Handbook_December2024.pdf, https://www.chicago.gov/content/dam/city/depts/cdph/environment/community_information/2024/EJ-Action-Plan-2024-Report-FULL.pdfI"
2025 Disclosure Cycle,779465,CDP,3203,City of Chicago,City,North America,United States of America,Public,Q8.3,Does your jurisdiction have a strategy for reducing emissions from consumption of the most relevant goods and services?,3,Transportation,Yes,,"In 2024, the City completed installations providing 211 charging ports with a focus on the South and West corridors, strengthening the foundation for public and community charging access going into 2025. As part of the City's goals to reduce transportation carbon emissions and advance environmental justice, CDOT executed on its communicated aim of developing a framework plan, releasing the Chicago Moves Electric Framework Plan in April 2025. The plan outlines strategies to expand equitable public charging, support e-mobility, and close infrastructure gaps. The City currently has more than 860 public EV charging locations and over 4,800 charging ports citywide. However, much of that infrastructure is concentrated in and around downtown, while many neighborhoods on the South and West Sides face limited access. EV ownership continues to rise in Chicago, with more than 20,000 registered EVs—a number that has shown consistent growth year over year. The Framework provides a guide for addressing these infrastructure gaps and ensuring that all communities have access to the benefits of low-emission transportation. The Framework aligns with Chicago's Climate Action Plan, which sets ambitious targets including full electrification of the City fleet by 2035, zero-emission ride-hail and taxi fleets by 2030, and deployment of 2,500 new public EV charging stations by 2035. Chicago is also participating in the Metropolitan Mayor's Caucus' EV Readiness Program, which will support vehicle transition for residents and the City's fleet through investing in the deployment of public charging infrastructure. For more information see: https://mayorscaucus.org/initiatives/environment/becoming-ev-ready/ ,https://www.chicago.gov/content/dam/city/depts/obm/supp_info/2025Budget/2025-Overview-DIGITAL.pdf, https://www.chicago.gov/city/en/depts/mayor/press_room/press_releases/2025/april/Chicagos-First-Comprehensive-Ev-Framework-Plan-Introduced.html "
2025 Disclosure Cycle,779465,CDP,3203,City of Chicago,City,North America,United States of America,Public,Q8.3,Does your jurisdiction have a strategy for reducing emissions from consumption of the most relevant goods and services?,4,Clothing and textiles,Strategy in this sector does not focus on emissions reduction,,
2025 Disclosure Cycle,779465,CDP,3203,City of Chicago,City,North America,United States of America,Public,Q8.3,Does your jurisdiction have a strategy for reducing emissions from consumption of the most relevant goods and services?,5,Household appliances and electronics,Strategy in this sector does not focus on emissions reduction,,
2025 Disclosure Cycle,779465,CDP,3203,City of Chicago,City,North America,United States of America,Public,Q8.3,Does your jurisdiction have a strategy for reducing emissions from consumption of the most relevant goods and services?,6,Aviation,No strategy that addresses consumption-based emissions from this sector,,
2025 Disclosure Cycle,779465,CDP,3203,City of Chicago,City,North America,United States of America,Public,Q8.3,Does your jurisdiction have a strategy for reducing emissions from consumption of the most relevant goods and services?,7,Waste management,Yes,,"The City launched the Food Scrap Drop-Off program in 2023, starting with 15 public sites and expanding to 20 locations, serving over 5,700 registered households as of October 2024. The program provides free composting services for fruit, vegetable, and yard waste, with collected material diverted from landfills and processed into soil amendments for local urban farms and gardens. Additional initiatives include a 2024 backyard compost bin distribution program for residents, and ongoing planning for a citywide residential organics collection service as outlined in the 2024 Environmental Justice Action Plan. These actions collectively reduce methane emissions from food waste, improve local soil health, and strengthen community resilience to climate change. This effort continued under Streets and Sanitation's budget expansion for 2025, signaling sustained City investment in composting infrastructure. In addition, the Department of Streets and Sanitation (DSS) and Department of Planning and Development (DPD) are evaluating construction franchise models to improve waste hauling efficiency and accountability, while the updated 2024 Sustainable Development Policy requires projects to incorporate waste diversion, deconstruction practices, and material reuse strategies into design and construction phases. In addition, the City's 2024 Environmental Justice Action Plan identifies developing a plan to implement Commercial Waste Franchise Zoning as a priority for 2025-2028. Together, these measures reduce embodied carbon in construction materials, divert waste from landfills, and contribute to the City's broader strategy of reducing consumption-based emissions. \n\nFor more information see: https://www.chicago.gov/city/en/depts/streets/supp_info/food-scrap-drop-off.html, https://www.chicago.gov/city/en/depts/mayor/press_room/press_releases/2024/october/compost-bin-giveaway.html, https://www.chicago.gov/content/dam/city/depts/cdph/environmental-justice/ej-action-plan-annual-report-2024.pdf, https://www.chicago.gov/content/dam/city/depts/dcd/Projects/SDP_Handbook_December2024.pdf, https://www.chicago.gov/content/dam/city/depts/cdph/environment/community_information/2024/EJ-Action-Plan-2024-Report-FULL.pdf \n \n"
2025 Disclosure Cycle,779465,CDP,3203,City of Chicago,City,North America,United States of America,Public,Q8.3,Does your jurisdiction have a strategy for reducing emissions from consumption of the most relevant goods and services?,8,Other,No strategy that addresses consumption-based emissions from this sector,,
2025 Disclosure Cycle,779465,CDP,3417,"New York City, NY",City,North America,United States of America,Public,Q8.3,Does your jurisdiction have a strategy for reducing emissions from consumption of the most relevant goods and services?,1,Food,Yes,"NYC_Food Policy Plan.pdf,PPCC Annual report 2024.pdf","NYC joined Good Food Cities Declaration, a C40 Cities initiative to develop consumption-based emissions inventories. The first inventory was released in 2022 for 2021's consumption data that suggested that food-based emissions were (20%) third largest source of overall emissions behind transportation and buildings in the city. Soon after the city made a public commitment to a 33 percent reduction in food-based emissions by 2030. Mayor's Office of Food Policy signed Cool Food Pledge, with a commitment to reduce greenhouse gasses associated with the food we serve to the community by 25 percent by 2030, and began the Plant Powered Carbon Challenge, which is a voluntary challenge with leaders in private, institutional, and nonprofit sectors to commit to decarbonizing food purchases 25% by 2030. The attached files include the City's 10-year food policy plan and the annual report on this initiative."
2025 Disclosure Cycle,779465,CDP,3417,"New York City, NY",City,North America,United States of America,Public,Q8.3,Does your jurisdiction have a strategy for reducing emissions from consumption of the most relevant goods and services?,2,Construction and demolition,Yes,NYCEDC-Circular-Construction-Guidelines-03-07-2024.pdf,"NYC has a commitment to reducing the carbon footprint of the construction industry 50% by 2033, and is making efforts to curb waste from construction and demolition material through the promotion of \'circular economy\' principles. MOCEJ is developing a set of guidelines for City capital agencies covered by the Clean Construction Executive Order (EO23) to transform their construction and demolition waste (CDW) into CDM for direct and indirect reuse within a circular economy framework. It is aimed for release by end of 2025.\nMore information- https://edc.nyc/sites/default/files/2024-03/NYCEDC-Circular-Construction-Guidelines-03-07-2024.pdf"
2025 Disclosure Cycle,779465,CDP,3417,"New York City, NY",City,North America,United States of America,Public,Q8.3,Does your jurisdiction have a strategy for reducing emissions from consumption of the most relevant goods and services?,3,Transportation,Yes,,"NYC announced it is joining a C40 Cities initiative to develop consumption-based emissions inventories. The first consumption-based GHG inventory was released in 2022 for 2021's consumption data in NYC. \nThe NYC congestion pricing plan began in January 2025 and limits vehicles entering the Central business District of Manhattan (below the 60th street) by charging $9 per day during certain times. This initiative aims to reduce traffic congestion, reduce emissions from transportation and improve public transportation in the city. Press release: https://www.nyc.gov/html/dot/html/pr2024/nyc-dot-congestion-pricing-program.shtml\nMore information: https://congestionreliefzone.mta.info/"
2025 Disclosure Cycle,779465,CDP,3417,"New York City, NY",City,North America,United States of America,Public,Q8.3,Does your jurisdiction have a strategy for reducing emissions from consumption of the most relevant goods and services?,4,Clothing and textiles,Yes,2023-donateNYC-AnnualReport.pdf,"NYC announced it is joining a C40 Cities initiative to develop consumption-based emissions inventories. The first inventory was released in 2022 for 2021's consumption data. Attachment is NYC's 2023 report on DonateNYC, a program to reduce waste from many sectors including textiles and clothing."
2025 Disclosure Cycle,779465,CDP,3417,"New York City, NY",City,North America,United States of America,Public,Q8.3,Does your jurisdiction have a strategy for reducing emissions from consumption of the most relevant goods and services?,5,Household appliances and electronics,Yes,NYC-Household-Consumption-GHG-Emissions-Inventory.pdf,"NYC accounts for consumption-based emissions inventory includes estimates on life cycle GHG emissions associated with consumer spending on household electronics and appliances. The household category in the inventory includes household energy use, home construction and maintenance. The inventory also includes household purchases of electronics under the goods category. The City has worked to expand the range of convenient options (alternatives to landfill waste) for New Yorkers to \nrecycle computers, printers, televisions, cell phones, and other electronic/audiovisual equipment, in accordance with \nthe NY State Electronic Equipment Recycling and Reuse Act of 2010. As of the end of Fiscal Year 2024, almost 19,000 buildings were enrolled in ecycleNYC, City's in-building electronics recycling program. Department of Sanitation has collected \n708 tons of e-waste through FY24, and over 11,200 tons since the launch of the program in 2013.\n"
2025 Disclosure Cycle,779465,CDP,3417,"New York City, NY",City,North America,United States of America,Public,Q8.3,Does your jurisdiction have a strategy for reducing emissions from consumption of the most relevant goods and services?,6,Aviation,Strategy in this sector does not focus on emissions reduction,,
2025 Disclosure Cycle,779465,CDP,3417,"New York City, NY",City,North America,United States of America,Public,Q8.3,Does your jurisdiction have a strategy for reducing emissions from consumption of the most relevant goods and services?,7,Waste management,Yes,zero-waste-report-2024.pdf,"Legislation includes: -Foam Ban (Local Law 142 of 2013)-NY State Bag Waste Reduction Law-NY Environmental Conservation Law ECL Article 27, Title 28-Commercial Waste Zones (Local Law 142 of 2013)-Waste Equity Law (Local Law 152 of 2018) Attachment is DSNY's most recent report on waste diversion.\nThe NYC Department of Sanitation submitted its 2024 Zero Waste Report (attached) which provides the overview of the waste diversion targets, programs and recommendations fulfilling the reporting requirements necessary under Local laws including 86 (divertible waste), 87 (waste diversion from landfill and incineration), 88 (community recycling centers and advocacy events) and 89 (organic waste drop-off sites) of 2023"
2025 Disclosure Cycle,779465,CDP,3417,"New York City, NY",City,North America,United States of America,Public,Q8.3,Does your jurisdiction have a strategy for reducing emissions from consumption of the most relevant goods and services?,8,Other,Yes,,"Building consumption of energy is a massive contributor to GHG emissions, which is why LL97 and the Getting 97 Done report is critical to lowering emissions from this sector. More information- https://www.nyc.gov/content/climate/pages/reports-and-publications/getting-97-done"
2025 Disclosure Cycle,779465,CDP,3422,Greater London Authority,City,UKWW,United Kingdom,Public,Q8.3,Does your jurisdiction have a strategy for reducing emissions from consumption of the most relevant goods and services?,1,Food,Yes,,"In his London Environment Strategy (LES) the Mayor set a target to reduce food waste by 20% per head by 2025 and by 50 % per head by 2030, and to send zero biodegradable waste to landfill by 2026, in line with emerging Sustainable Development Goal 12.3 reduction targets, and signed up as '12.3 Champion'. Achieving this target will lead to a significant reduction in the core materials associated with food packaging: paper, card, plastic, glass, tins and cans, which collectively make up around 75 per cent of municipal waste.https://www.london.gov.uk/sites/default/files/london_environment_strategy_0.pdf. The Mayor of London also published the London Food Strategy in 2018 that aims to ensure a Londoners have access to healthy and sustainable food.https://www.london.gov.uk/sites/default/files/final_london_food_strategy.pdf. The Mayor entered into a partnership with ReLondon and the Ellen MacArthur Foundation in 2019 to deliver against his LES targets, the Food Flagship Initiative (FFI). Through the FFI the Mayor together with ReLondon and London Councils commissioned research exploring the way material flows through the entire food and beverage supply chain within Greater London: from production, to imports, to consumption, to how waste is managed. Following the publication of the report - London's Food Footprint - the Mayor committed to: convening a food supply roundtable with representatives of the food sector with the largest impact to reduce consumption emissions from the supply chain; producing a pathway to the achieving the food waste reduction targets set out in the LES; and leading by example by using the purchasing power of the GLA and wider GLA group to measure and reduce food waste and consumption-based emissions of supply chains, working with suppliers, including catering contractors to achieve this. https://relondon.gov.uk/wp-content/uploads/2021/11/ReLondon_Londons_food_footprint_online.pdfhttps://relondon.gov.uk/wp-content/uploads/2021/11/London-food-commitment-2021.pdf. The Mayor has delivered against all three commitments. London's Food Supply Chain Roundtable was held in September 2023 with 35 of the largest businesses from across the food system attending and committing to work with the city to accelerate food waste reduction. The GLA' Group Responsible Procurement Policy and Implementation Plans were published in August 2022, providing guidelines for reducing emissions through the GLA's purchasing activities. The Mayor commissioned the Waste & Resources Action Programme to produce London's Food Waste Reduction Pathway outlining actions to take to release his LES targets. This report will be published in August 2024. ReLondon identified the reduction of consumption-based emissions of CO2e as a focus of its Business Plan 2020 -25. ReLondon also identified five focus areas in its Circular Economy Route Map: food, plastics, electronics and electrical equipment, textiles and the built environment. ReLondon continues to fund activities that can reduce waste and increase recycling in these five areas and accelerate a transition to a circular economy. They place an emphasis on activities relating to municipal waste, and in particular food. Food is both a significant contributor to London's consumption-based emissions, and a large component of the municipal waste stream.https://relondon.gov.uk/wp-content/uploads/2021/03/LWARB-Business-Plan-FINAL.pdf . ReLondon are continuing to deliver projects to reduce food waste and transition to a circular food system, through a pan-London awareness raising campaign Eat Like A Londoner, researching barriers to efficient food redistribution and creating a circular food neighbourhood with Islington Council. "
2025 Disclosure Cycle,779465,CDP,3422,Greater London Authority,City,UKWW,United Kingdom,Public,Q8.3,Does your jurisdiction have a strategy for reducing emissions from consumption of the most relevant goods and services?,2,Construction and demolition,Yes,,"The London Environment Strategy has a commitment to monitor and report on London's scope 3 emissions. This includes construction emissions. The London Plan 2021 requires all strategic developments to calculate and reduce whole life-cycle carbon emissions (including embodied carbon from construction), using GLA benchmarks to enable performance comparison and report on actual embodied carbon reductions achieved post-construction. This provides an estimation of the carbon emissions resulting from the materials, construction and the use of a building over its entire life, including its demolition and disposal. A WLC assessment provides a true picture of a building's carbon impact on the environment. Guidance and a reporting template to support this process has been developed setting out the detailed requirements: https://www.london.gov.uk/what-we-do/planning/implementing-london-plan/london-plan-guidance/whole-life-cycle-carbon-assessments-guidance. Additionally, the London's NRMM Low Emission Zone uses the Mayor and London Borough's planning powers to control emissions from NRMM used on construction sites. To date, the policy has delivered a significant improvement in emissions from construction site equipment, equivalent to an annual reduction of 42 per cent PM, 36 per cent NOX and 11 per cent CO2, when compared to a 2019 base year. The standards become progressively tighter over time, and by 2040 only zero emission NRMM will be permissible at all construction sites in London. Full details of current and future standards can be found on the website, https://www.london.gov.uk/what-we-do/environment/pollution-and-air-quality/nrmm "
