disclosure_cycle,cdp_requesting_org_number,requesting_organization,cdp_disclosing_org_number,disclosing_organization,disclosing_org_type,cdp_region,discloser_country_or_area,public_status,question_number,question_text,row_order,row_name,col1_Administrative boundary of reporting government,col2_Next highest level of government,col3_Next lowest level of government,col4_Area of the jurisdiction boundary (in square km),"col5_Percentage range of jurisdiction area that is natural or modified terrestrial, freshwater, coastal and/or marine ecosystem",col6_Current (or most recent) population size,col7_Population year,col8_Projected population size,col9_Projected population year,col10_Select the currency used for all financial information reported throughout your response,col11_Select which Common Reporting Framework level you are reporting to^
2025 Disclosure Cycle,779465,CDP,31185,City of Warsaw,City,Europe,Poland,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,State / regional,Sub-municipal district,517.0,21-30%,2220000,2022,2225000,2050,PLN Zloty,CRF Complete level
2025 Disclosure Cycle,779465,CDP,31186,Changwon City,City,South East Asia & Oceania,Korea (The Republic of),Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,State / regional,Sub-municipal district,748.81,51-60%,1020000,2024,950000,2050,KRW South Korean Won,CRF Complete level
2025 Disclosure Cycle,779465,CDP,31187,Seoul Metropolitan Government,City,South East Asia & Oceania,Korea (The Republic of),Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,Special city / municipality,National,Sub-municipal district,605.24,31-40%,9592166,2025,7920000,2050,KRW South Korean Won,CRF Complete level
2025 Disclosure Cycle,779465,CDP,31446,Taipei City Government,City,China,East Asia,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,National,Intercommunality / Intermunicipality,271.79,51-60%,2490869,2024,2390118,2030,TWD New Taiwan Dollar,CRF Complete level
2025 Disclosure Cycle,779465,CDP,32480,City of Adelaide,City,South East Asia & Oceania,Australia,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,State / regional,No lower level of government,15.57,51-60%,29118,2024,36059,2046,AUD Australian Dollar,CRF Complete level
2025 Disclosure Cycle,779465,CDP,32550,"City of Denver, CO",City,North America,United States of America,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,State / regional,Consolidated city-county,400.739,21-30%,729019,2024,764577,2030,USD US Dollar,
2025 Disclosure Cycle,779465,CDP,35268,"City of Boston, MA",City,North America,United States of America,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,State / regional,No lower level of government,231.14,31-40%,706000,2023,723506.0,2030,USD US Dollar,CRF Complete level
2025 Disclosure Cycle,779465,CDP,35274,"City of Portland, ME",City,North America,United States of America,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,State / regional,No lower level of government,55.19,21-30%,68408.0,2020,67043,2032,USD US Dollar,
2025 Disclosure Cycle,779465,CDP,35449,City of Zürich,City,Europe,Switzerland,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,State / regional,No lower level of government,91.9,31-40%,448664,2024,515200,2040,CHF Swiss Franc,CRF Simplified level
2025 Disclosure Cycle,779465,CDP,35475,"City of Calgary, AB",City,North America,Canada,Public,Q1.2,Provide details of your jurisdiction in the table below.,1,Response,City/Municipality,County / Province,No lower level of government,849.1,11-20%,1509800,2024,1660100,2029,CAD Canadian Dollar,CRF Complete level
