disclosure_cycle,cdp_requesting_org_number,requesting_organization,cdp_disclosing_org_number,disclosing_organization,disclosing_org_type,cdp_region,discloser_country_or_area,public_status,question_number,question_text,row_order,row_name,col1_Does your jurisdiction have a consumption-based emissions inventory?,"col2_Attach your consumption-based inventory, along with any supporting documents","col3_Provide an overview of your consumption-based inventory, including URL links, if applicable, along with any supporting methods/calculations"
2025 Disclosure Cycle,779465,CDP,10894,"City of Los Angeles, CA",City,North America,United States of America,Public,Q3.2,"Does your jurisdiction have a consumption-based emissions inventory to measure emissions from consumption of goods and services? The consumption-based approach captures direct and lifecycle GHG emissions of goods and services and allocates GHG emissions to the final consumers, rather than to the producers.",1,Response,"No, and we are not intending to develop and report one in the next 2 years due to other higher priorities",,
2025 Disclosure Cycle,779465,CDP,11315,City of Manchester,City,UKWW,United Kingdom,Public,Q3.2,"Does your jurisdiction have a consumption-based emissions inventory to measure emissions from consumption of goods and services? The consumption-based approach captures direct and lifecycle GHG emissions of goods and services and allocates GHG emissions to the final consumers, rather than to the producers.",1,Response,"Yes, our jurisdiction has a consumption-based emissions inventory to measure emissions from consumption of goods and services",CBE_manchester_Inventory_2021.xlsx,"https://localfootprint.uk/charts/ - this consumption based inventory for the City of Manchester was produced by the University of Leeds in 2021.\nThe Council is currently working on producing a detailed Scope 3 emissions inventory for its own organisational emissions. This exercise will be followed by an action plan to reduce those emissions, and will be completed during 2027.\nIn addition, the Council has a 10% 'environmental weighting' in place on all purchasing."
2025 Disclosure Cycle,779465,CDP,13067,"City of New Orleans, LA",City,North America,United States of America,Public,Q3.2,"Does your jurisdiction have a consumption-based emissions inventory to measure emissions from consumption of goods and services? The consumption-based approach captures direct and lifecycle GHG emissions of goods and services and allocates GHG emissions to the final consumers, rather than to the producers.",1,Response,"No, and we are not intending to develop and report one in the next 2 years due to lack of financial capacity and expertise/technical capacity",,
2025 Disclosure Cycle,779465,CDP,13113,Newcastle City Council,City,UKWW,United Kingdom,Public,Q3.2,"Does your jurisdiction have a consumption-based emissions inventory to measure emissions from consumption of goods and services? The consumption-based approach captures direct and lifecycle GHG emissions of goods and services and allocates GHG emissions to the final consumers, rather than to the producers.",1,Response,"No, but intending to develop and report a consumption-based emissions inventory in the next 2 years",,
2025 Disclosure Cycle,779465,CDP,13506,Nottingham City Council,City,UKWW,United Kingdom,Public,Q3.2,"Does your jurisdiction have a consumption-based emissions inventory to measure emissions from consumption of goods and services? The consumption-based approach captures direct and lifecycle GHG emissions of goods and services and allocates GHG emissions to the final consumers, rather than to the producers.",1,Response,"Yes, our jurisdiction has a consumption-based emissions inventory to measure emissions from consumption of goods and services",,Nottingham has a consumption based emissions inventory available at https://localfootprint.uk/charts/\nThe full methodology for this is included under the Methodology tab on this website.
2025 Disclosure Cycle,779465,CDP,14088,Oslo Municipality,City,Europe,Norway,Public,Q3.2,"Does your jurisdiction have a consumption-based emissions inventory to measure emissions from consumption of goods and services? The consumption-based approach captures direct and lifecycle GHG emissions of goods and services and allocates GHG emissions to the final consumers, rather than to the producers.",1,Response,"Yes, our jurisdiction has a consumption-based emissions inventory to measure emissions from consumption of goods and services",,"The city of Oslo just published the first set of indicators for indirect emissions: https://www.klimaoslo.no/klimabarometeret/. These will be used to trace the change in indirect, consumption-based emissions, i.e. procurement, mobility and food consumption. This is an ongoing effort, and more indicators will be added in the near future. These include indirect emissions from the municipality's own consumption of goods and services and the municipality's own building projects, kg waste produced per capita, and the number of cars per capita. The data-quality for these indicators is high, and they reflect the city's most impactful means for tackling indirect emissions. The City of Oslo has conducted a full consumption-based inventory using the currently available data from Statistics Norway: https://www.klimaoslo.no/wp-content/uploads/sites/88/2018/12/Asplan-Viak-Forbruksbasert-klimaregnskap.pdf This inventory was done in 2018, mainly with data from 2012. Poor data quality, sporadic updates and lack of data indicate that an annual consumption-based inventory is not feasible at this point. The city has requested cooperation with several state agencies that have the jurisdiction and means to gather consumer purchase data, to establish routines for consumption-based reporting on a national level that follows the established routines for the direct emission accounting. "
2025 Disclosure Cycle,779465,CDP,14874,"City of Portland, OR",City,North America,United States of America,Public,Q3.2,"Does your jurisdiction have a consumption-based emissions inventory to measure emissions from consumption of goods and services? The consumption-based approach captures direct and lifecycle GHG emissions of goods and services and allocates GHG emissions to the final consumers, rather than to the producers.",1,Response,"Yes, our jurisdiction has a consumption-based emissions inventory to measure emissions from consumption of goods and services",Multnomah_County_CBEI_2021_9_16_25.xlsx,"Portland's consumption-based inventory for 2015 was most recently published in our 2021 Sustainable Consumption and Production Report: https://www.portland.gov/bps/scp/sustainable-consumption\n\nPortland has completed an updated CBEI this year, for calendar year 2021 and will have the data posted to our Climate and Energy Dashboard in early 2026. The 2021 CBEI has been uploaded here. "
2025 Disclosure Cycle,779465,CDP,16581,"City of Seattle, WA",City,North America,United States of America,Public,Q3.2,"Does your jurisdiction have a consumption-based emissions inventory to measure emissions from consumption of goods and services? The consumption-based approach captures direct and lifecycle GHG emissions of goods and services and allocates GHG emissions to the final consumers, rather than to the producers.",1,Response,"Yes, our jurisdiction has a consumption-based emissions inventory to measure emissions from consumption of goods and services",seattle consumption based emissions inventory 2019 update.pdf,"We have completed another effort in partnership with King County and other regional agencies on the Puget Sound Regional Emissions Analysis create a consumption-based emissions inventory for the region for calendar year 2019. The CBEI analysis shows that in 2019, the typical Seattle household was responsible forroughly 33 metric tons of CO2e annually (MTCO2e), or about 16 MTCO2e per person. Seattle's total per household emissions are lower than King County's as a whole (42 MTCO2e)and the US average (45 MTCO2e). With 343,988 households in the city, this is a total of roughly 11million MTCO2e in 2019 attributable to residents of Seattle."
2025 Disclosure Cycle,779465,CDP,19233,Municipality of Torres Vedras,City,Europe,Portugal,Public,Q3.2,"Does your jurisdiction have a consumption-based emissions inventory to measure emissions from consumption of goods and services? The consumption-based approach captures direct and lifecycle GHG emissions of goods and services and allocates GHG emissions to the final consumers, rather than to the producers.",1,Response,"No, and we are not intending to develop and report one in the next 2 years due to other higher priorities",,
2025 Disclosure Cycle,779465,CDP,20113,"City of Vancouver, BC",City,North America,Canada,Public,Q3.2,"Does your jurisdiction have a consumption-based emissions inventory to measure emissions from consumption of goods and services? The consumption-based approach captures direct and lifecycle GHG emissions of goods and services and allocates GHG emissions to the final consumers, rather than to the producers.",1,Response,"Yes, our jurisdiction has a consumption-based emissions inventory to measure emissions from consumption of goods and services",EcoCity-Footprint-Tool-Vancouver-Summary-Report-REV-MAR-18.pdf,"The City partnered with the BC Institute of Technology (Dr. Jennie Moore) to update its ecoCity Footprint-generated CBEI in 2017, for 2015 inventory year. CBEI begins page 18 of attached Summary Report. The CBEI provides sectoral inventories for buildings, transportation, food, consumables and waste, and water. There are no updates planned for a consumption-based inventory at the moment."
