disclosure_cycle,cdp_requesting_org_number,requesting_organization,cdp_disclosing_org_number,disclosing_organization,disclosing_org_type,cdp_region,discloser_country_or_area,public_status,question_number,question_text,row_order,row_name,col1_Global initiative/convention,col2_Please describe your region's involvement
2025 Disclosure Cycle,779465,CDP,72927,Autonomous Community of Catalonia,States & Regions,Europe,Spain,Public,Q10.6.1,Please provide the details of the global initiatives or conventions your region participates in.,2,Row 2,Sustainable Development Goals,"Cataluña es miembro del Comité Asesor de Gobiernos Subnacionales (AC SNG), uno de los dos órganos asesores de la Alianza Global para la Acción Local y Subnacional en Biodiversidad. El otro es el Comité Asesor de la Ciudad. La Asociación, en el marco del Convenio de las Naciones Unidas sobre la Diversidad Biológica (CDB), da voz a las administraciones subestatales en el ámbito de la conservación del patrimonio natural y la biodiversidad. Cataluña, con el impulso de resoluciones en el marco de la Unión Internacional para la Conservación de la Naturaleza (UICN), y también a través de la Red Regions4, promueve activamente este reconocimiento a escala internacional. El principal objetivo del Plan Nacional para la implementación del La Agenda 2030 en Cataluña es garantizar que se cumplan los 17 Objetivos de Desarrollo Sostenible (ODS) de la Agenda 2030, a través de políticas impulsadas y gestionadas por la Generalitat de Catalunya. El Plan también pretende contribuir a la consecución de los ODS a escala global, fortaleciendo it El compromiso de Cataluña con la comunidad internacional.\n\nhttp://cads.gencat.cat/web/.content/00_agenda_2030/Memoria-Pla-nacional-Agenda-2030.pdf"
2025 Disclosure Cycle,779465,CDP,72953,Autonomous Region of the Azores,States & Regions,Europe,Portugal,Public,Q10.6.1,Please provide the details of the global initiatives or conventions your region participates in.,1,Row 1,Other: Forest Stewardship Council since 2014,"The Government of the Azores, through the Forestry Services, began implementing a global initiative for responsible forestry management in public areas in 2014, promoting this initiative to private owners and entrepreneurs to form part of the chain of custody."
2025 Disclosure Cycle,779465,CDP,72958,Autonomous Region of Madeira,States & Regions,Europe,Portugal,Public,Q10.6.1,Please provide the details of the global initiatives or conventions your region participates in.,1,Row 1,,"A Região Autónoma da Madeira participa em iniciativas globais de conservação florestal, nomeadamente através do compromisso nacional com a Declaração dos Líderes de Glasgow sobre Florestas e Uso da Terra, no âmbito da UNFCCC.\nA nível regional, destacam-se projetos como o Projeto REGIS, financiado pelo programa europeu PRODERAM, que promove a conservação genética de espécies florestais nativas. A região também integra a Rede Natura 2000, contribuindo para a proteção de ecossistemas florestais de elevado valor ecológico."
2025 Disclosure Cycle,779465,CDP,72994,Cross River State,States & Regions,UKWW,Nigeria,Public,Q10.6.1,Please provide the details of the global initiatives or conventions your region participates in.,2,Row 2,Governors' Climate and Forests (GCF) Task Force,periodic biodiversity assessment and studies on anthropogenic impact on status trend in forest regeneration
2025 Disclosure Cycle,779465,CDP,72994,Cross River State,States & Regions,UKWW,Nigeria,Public,Q10.6.1,Please provide the details of the global initiatives or conventions your region participates in.,3,Row 3,Sustainable Development Goals, focus on degraded forest land restoration under Sustainable fuelwood management for fuelwood and clean energy cook stove
2025 Disclosure Cycle,779465,CDP,72994,Cross River State,States & Regions,UKWW,Nigeria,Public,Q10.6.1,Please provide the details of the global initiatives or conventions your region participates in.,4,Row 4,REDD+,"done with readiness phrase, preparing for the investment"
2025 Disclosure Cycle,779465,CDP,72994,Cross River State,States & Regions,UKWW,Nigeria,Public,Q10.6.1,Please provide the details of the global initiatives or conventions your region participates in.,5,Row 5,Rio Branco Declaration,signatory and working out strategy for implementation
2025 Disclosure Cycle,779465,CDP,73013,Campeche,States & Regions,Latin America,Mexico,Public,Q10.6.1,Please provide the details of the global initiatives or conventions your region participates in.,1,Row 1,REDD+,"La estretegia es esfuerzo de cooperación único para promover el tránsito hacia una política integral de mitigación y desarrollo económico con bajas emisiones, así mismo se constituye como un instrumento de ordenamiento y gestión del territorio que permita establecer el aprovechamiento sustentable de los recursos naturales y promueva la participación, la responsabilidad y la prosperidad de las comunidades incluyendo a los grupos más vulnerables y marginados de la geografía estatal."
2025 Disclosure Cycle,779465,CDP,73013,Campeche,States & Regions,Latin America,Mexico,Public,Q10.6.1,Please provide the details of the global initiatives or conventions your region participates in.,4,Row 4,Governors' Climate and Forests (GCF) Task Force,"Conjuntar esfuerzos estatales para promover el desarrollo rural de bajas emisiones, la conservación de los bosques, y la reducción de la deforestación y degradación forestal a través del intercambio de mejores prácticas, la colaboración entre gobiernos subnacionales y la movilización de financiamiento para impulsar una economía forestal sostenible. Sus acciones incluyen la mejora de la gobernanza forestal, la creación de mecanismos de pago por servicios ambientales, el apoyo a comunidades locales e indígenas, y la influencia en políticas climáticas nacionales e internacionales. Campeche es miembro desde el año 2011."
2025 Disclosure Cycle,779465,CDP,73013,Campeche,States & Regions,Latin America,Mexico,Public,Q10.6.1,Please provide the details of the global initiatives or conventions your region participates in.,5,Row 5,Sustainable Development Goals,El Gobierno del Estado de Campeche alineo su Plan Estatal de Desarrollo a los Objetivos de Desarrollo Sostenible
2025 Disclosure Cycle,779465,CDP,73013,Campeche,States & Regions,Latin America,Mexico,Public,Q10.6.1,Please provide the details of the global initiatives or conventions your region participates in.,6,Row 6,Other: Manaos Action Plan,"Con el Plan de Acción de Manaos, los gobiernos subnacionales renovamos nuestros compromisos de reducir la deforestación en un ochenta por ciento respecto a los niveles actuales para 2030 si se dispone de financiación y apoyo suficientes a largo plazo. También estamos renovando nuestro compromiso de proporcionar una parte sustancial de cualquier financiación de pago por resultados que recibamos a los Pueblos Indígenas y Comunidades Locales (IPLC) dentro de nuestros estados y provincias. Y reafirmamos nuestra adhesión a los Principios Rectores de la Colaboración y la Asociación entre los Gobiernos Subnacionales, los Pueblos Indígenas y las Comunidades Locales, y subrayamos nuestro firme compromiso de colaborar con los representantes de los Pueblos Indígenas y las Comunidades Locales para crear procesos conjuntos que nos permitan asociarnos en el diseño y la aplicación de nuestros programas jurisdiccionales. "
2025 Disclosure Cycle,779465,CDP,73013,Campeche,States & Regions,Latin America,Mexico,Public,Q10.6.1,Please provide the details of the global initiatives or conventions your region participates in.,7,Row 7,RegionsWithNature,"Esta red que lidera ICLEI, formamos parte desde nuestra participación en la red de gobiernos Regions4, cuyo fin es apoyar a gobiernos y otras partes interesadas para mejorar la restauración de ecosistemas, conservar la biodiversidad, impulsar soluciones basadas en la naturaleza y fortalecer la gobernanza multinivel para la protección de la naturaleza. Esta iniciativa busca conectar a las comunidades con la naturaleza y promover un mundo más sostenible, abordando así la triple crisis planetaria de pérdida de biodiversidad, cambio climático y contaminación. Estamos en la fase de prueba para incorporarnos en la plataforma digital."
2025 Disclosure Cycle,779465,CDP,73013,Campeche,States & Regions,Latin America,Mexico,Public,Q10.6.1,Please provide the details of the global initiatives or conventions your region participates in.,8,Row 8,,"Declaración de Nueva York sobre los Bosques. Campeche comparte la visión de desacelerar, detener y revertir la pérdida global de bosques mientras se mejora, al mismo tiempo, la seguridad alimentaria para todos. La reducción de las emisiones provenientes de la deforestación y el aumento de la restauración forestal son de extrema importancia para limitar el calentamiento global a 2°C por todas estas razones nos sumamos a la declaración y alineamos nuestras acciones en materia forestal para abonar al cumplimiento de la meta global."
2025 Disclosure Cycle,779465,CDP,73014,Quintana Roo,States & Regions,Latin America,Mexico,Public,Q10.6.1,Please provide the details of the global initiatives or conventions your region participates in.,1,Row 1,Bonn Challenge,"El Gobierno del Estado de Quintana Roo define su compromiso para lograr la meta de restauración de 700,000 hectáreas para el año 2030, promoviendo la integración de financiamiento público federal, estatal y de la iniciativa privada nacional e internacional en el marco de una estrategia de restauración definida a través de la evaluación de las oportunidades de restauración."
2025 Disclosure Cycle,779465,CDP,73018,Aguascalientes,States & Regions,Latin America,Mexico,Public,Q10.6.1,Please provide the details of the global initiatives or conventions your region participates in.,1,Row 1,Sustainable Development Goals,"Aguascalientes está alineando sus esfuerzos con varios Objetivos de Desarrollo Sostenible (ODS), especialmente en lo que se refiere a la conservación de bosques. Aquí te detallo la participación de Aguascalientes en relación a los ODS pertinentes:\n\nODS 15: Vida de Ecosistemas Terrestres\nConservación de bosques: Aguascalientes ha implementado programas de reforestación que buscan restaurar áreas degradadas y aumentar la cobertura forestal.\n\nManejo sostenible: Se promueve el uso sostenible de los recursos forestales, fomentando prácticas agrícolas que reduzcan el impacto en los ecosistemas forestales.\n\nÁreas naturales protegidas: Se han creado y mantenido áreas naturales protegidas para salvaguardar la biodiversidad y los servicios ecosistémicos que los bosques proporcionan.\n\nODS 4: Educación de Calidad\nEducación ambiental: Se llevan a cabo programas de educación ambiental en escuelas y comunidades, enfocándose en la importancia de los bosques y la conservación de la biodiversidad.\n\nODS 13: Acción por el Clima\nMitigación del cambio climático: A través de la reforestación y la conservación de bosques, Aguascalientes está contribuyendo a la captura de carbono y la mitigación de los efectos del cambio climático.\n\nODS 17: Alianzas para Lograr los Objetivos\nColaboración interinstitucional: Aguascalientes trabaja en colaboración con ONGs, universidades y el sector privado para llevar a cabo proyectos de conservación y desarrollo sostenible.\n\nODS 11: Ciudades y Comunidades Sostenibles\nEspacios verdes en áreas urbanas: Se promueve la creación y mantenimiento de espacios verdes y áreas boscosas en el entorno urbano, mejorando la calidad de vida de los habitantes."
2025 Disclosure Cycle,779465,CDP,73019,Yucatan,States & Regions,Latin America,Mexico,Public,Q10.6.1,Please provide the details of the global initiatives or conventions your region participates in.,1,Row 1,Other: Marco de Biodiversidad de Kunming-Montreal,Para el año 2030 el 30% del territorio del estado deberá ser considerado Área Natural Protegida
2025 Disclosure Cycle,779465,CDP,73019,Yucatan,States & Regions,Latin America,Mexico,Public,Q10.6.1,Please provide the details of the global initiatives or conventions your region participates in.,2,Row 2,Governors' Climate and Forests (GCF) Task Force,"En el año 2022, el gobernador de Yucatán, Mauricio Vila Dosal, resultó elegido como presidente del Grupo de Trabajo de Gobernadores sobre Clima, Selvas y Bosques (GCF), durante la 12 Reunión Anual de ese organismo que se llevó a cabo en la ciudad de Manaos, Amazonas, Brasil, en la que participan los representantes de América, Asia, Europa y África. En la segunda jornada de actividades de este encuentro internacional, Vila Dosal y el resto de los integrantes del GCF también firmaron el Plan de Acción de Manaos, documento que ha identificado los objetivos y problemáticas en común y que se transformaron en componentes, líneas de acción y presupuesto para que sirva de guía para el sector forestal."
2025 Disclosure Cycle,779465,CDP,73019,Yucatan,States & Regions,Latin America,Mexico,Public,Q10.6.1,Please provide the details of the global initiatives or conventions your region participates in.,3,Row 3,New York Declaration on Forests,"Yucatán se adhiere al compromiso de colaborar en la reducción de la deforestación global, destacando acciones en el marco de la Declaración Forestal de Nueva York, enfocadas en reducir al menos a la mitad la tasa de pérdida de bosques naturales al año 2020 y terminar por completo con su pérdida en 2030; apoyando y ayudando al objetivo del sector privado de eliminar la deforestación como parte de la producción de productos agrícolas como el aceite de palma, la soja, el papel o la carne vacuna a más tardar en 2020; y brindar alternativas para poner fin a la deforestación causada por necesidades básicas, como la agricultura de subsistencia y el uso de leña como combustible, de manera que alivien la pobreza y promuevan el desarrollo sostenible y equitativo; fortaleciendo la gobernanza forestal, la transparencia y el estado de derecho al tiempo que se empodera a las comunidades y se reconocen los derechos de los pueblos indígenas, especialmente aquellos relacionados con sus tierras y recursos."
2025 Disclosure Cycle,779465,CDP,73019,Yucatan,States & Regions,Latin America,Mexico,Public,Q10.6.1,Please provide the details of the global initiatives or conventions your region participates in.,4,Row 4,Bonn Challenge,"El Gobierno impulsa la alineación de los programas estatales y federales a las metas del Bonn Challenge, con el compromiso de restaurar 550.000 ha hasta 2030, promoviendo la integración del financiamiento público y privado."
2025 Disclosure Cycle,779465,CDP,73019,Yucatan,States & Regions,Latin America,Mexico,Public,Q10.6.1,Please provide the details of the global initiatives or conventions your region participates in.,5,Row 5,Rio Branco Declaration,"Yucatán se alinea al compromiso de reducir significativamente la deforestación, bajo la colaboración de gobiernos, socios y el sector privado del GCF para el logro de cadenas de suministro de deforestación neta cero que permitan la implementación del programa jurisdiccional REDD+ ; asegurar la distribución de los beneficios a las comunidades dependientes de los bosques, los pequeños agricultores y los pueblos indígenas."
2025 Disclosure Cycle,779465,CDP,73019,Yucatan,States & Regions,Latin America,Mexico,Public,Q10.6.1,Please provide the details of the global initiatives or conventions your region participates in.,6,Row 6,REDD+,"El estado de Yucatán participa en REDD+ mediante un enfoque jurisdiccional alineado con la Estrategia Nacional REDD+ de México. Impulsa acciones de conservación forestal, reducción de deforestación y degradación, y desarrollo rural sustentable. Integra sistemas de Monitoreo, Reporte y Verificación (MRV) y busca financiamiento climático internacional"
2025 Disclosure Cycle,779465,CDP,73019,Yucatan,States & Regions,Latin America,Mexico,Public,Q10.6.1,Please provide the details of the global initiatives or conventions your region participates in.,7,Row 7,Sustainable Development Goals,"La pasada administración estatal (2018 - 2024) trabajó en incorporar los ODS en su plan estatal de gobierno, mismos que se continúan implementando a través del actual Plan Estatal de Desarrollo (2024 - 2030): Visión del Renacimiento Maya, el cual incluye metas y componentes que incorporan una visión sostenible y equitativa."
2025 Disclosure Cycle,779465,CDP,73019,Yucatan,States & Regions,Latin America,Mexico,Public,Q10.6.1,Please provide the details of the global initiatives or conventions your region participates in.,8,Row 8,LEAF Coalition,"La LEAF Coalition (Lowering Emissions by Accelerating Forest finance) es una alianza público-privada internacional que canaliza financiamiento climático a gran escala para reducir emisiones por deforestación y degradación. Apoya programas jurisdiccionales bajo estándares como ART TREES, garantizando integridad ambiental, transparencia y beneficios sociales para comunidades locales e indígenas. Actualmente el estado se encuentra en proceso de certificación bajo el estándar ART-TREES\n"
2025 Disclosure Cycle,779465,CDP,73023,Jalisco,States & Regions,Latin America,Mexico,Public,Q10.6.1,Please provide the details of the global initiatives or conventions your region participates in.,1,Row 1,REDD+,"Jalisco inicio su proceso con las acciones tempranas REDD+ en 2010, su Estrategia Estatal REDD+ fue publicada en el 2021."
2025 Disclosure Cycle,779465,CDP,73023,Jalisco,States & Regions,Latin America,Mexico,Public,Q10.6.1,Please provide the details of the global initiatives or conventions your region participates in.,2,Row 2,Other: NAMA de Ganadería Sustentable y de Bajas Emisiones en Condiciones de Pastoreo,"Se desarrolla a través del Instituto Interamericano de Cooperación para la Agricultura (IICA), para contribuir a incrementar la productividad y competitividad del sector ganadero y a la vez conservar el capital natural del Estado de Jalisco, es un mecanismo voluntario de control de emisiones y buenas prácticas en la ganadería (RN-SEMADET). "
2025 Disclosure Cycle,779465,CDP,73023,Jalisco,States & Regions,Latin America,Mexico,Public,Q10.6.1,Please provide the details of the global initiatives or conventions your region participates in.,3,Row 3,Other: Reducción en las emisiones del sector forestal por deforestación y degradación,"La Iniciativa de Reducción de Emisiones (IRE) es una propuesta presentada por México ante el Fondo Cooperativo para el Carbono de los Bosques (FCPF, por sus siglas en inglés) como la principal iniciativa nacional en este tema, al tiempo que se pilotea el modelo de intervención en cinco estados del país, entre ellos Jalisco. La IRE busca proveer incentivos positivos para reducir las emisiones de gases de efecto invernadero (GEI), al tiempo que se protegen los bosques, se conserva la biodiversidad y se mejoran los medios de vida de poblaciones indígenas y comunidades locales dependientes de los bosques (RN-SEMADET). "
2025 Disclosure Cycle,779465,CDP,73023,Jalisco,States & Regions,Latin America,Mexico,Public,Q10.6.1,Please provide the details of the global initiatives or conventions your region participates in.,6,Row 6,Other: Protección de Bosques Tropicales,"El Grupo de Trabajo de Gobernadores Sobre el Clima y los Bosques (GCF Task Force) reafirmó que trabaja para proteger los bosques tropicales, reducir las emisiones derivadas de la deforestación y la degradación de los bosques, y promover vías realistas para el desarrollo rural conservando los ecosistemas. Tal cual como se mencionó en la declaración de Río Branco en Brasil “Estamos comprometidos a reducir significativamente las emisiones a condición de que la financiación basada en el rendimiento sea adecuada, suficiente y esté disponible a largo plazo, ya sea a través de fuentes mercantiles o no. Si se garantiza esta financiación, nos comprometemos a reducir la deforestación en un 80% en 2020.” Jalisco es el coordinador regional de la mesa agropecuaria del GCF Task Force (RN-SEMADET)."
2025 Disclosure Cycle,779465,CDP,73023,Jalisco,States & Regions,Latin America,Mexico,Public,Q10.6.1,Please provide the details of the global initiatives or conventions your region participates in.,7,Row 7,Other: Mecanismo de donación dedicado para pueblos indígenas y comunidades locales en México,"Consta de tres componentes: Mecanismo de Financiamiento para el manejo comunitario del bosque; Fortalecimiento de capacidades, comunicación y la abogacía; y Administración, Monitoreo y Evaluación. Los principales beneficiarios son los estados que se encuentran operando las Áreas de Acción Temprana REDD+ (Jalisco, Oaxaca, Campeche, Yucatán y Quintana Roo). El proyecto es financiado por el Banco Mundial y operado por Rainforest Alliance (RN-SEMADET)"
2025 Disclosure Cycle,779465,CDP,73025,Tabasco,States & Regions,Latin America,Mexico,Public,Q10.6.1,Please provide the details of the global initiatives or conventions your region participates in.,1,Row 1,REDD+,Cuenta con su Estrategia Estatal REDD+
2025 Disclosure Cycle,779465,CDP,73025,Tabasco,States & Regions,Latin America,Mexico,Public,Q10.6.1,Please provide the details of the global initiatives or conventions your region participates in.,2,Row 2,Rio Branco Declaration,"Tabasco se encuentra trabajando en cumplir con esta declaración, cuya meta es reducir en 80% la deforestación. Por ello se esta desarrollando la Estrategia Estatal REDD+ Tabasco. En los primeros resultados del monitoreo de la vegetación se ha visto que hay ganancia de vegetación derivada de las plantaciones forestales en el territorio estatal. La meta es lograr una tasa 0% deforestación en 2030."
2025 Disclosure Cycle,779465,CDP,73027,Chiapas,States & Regions,Latin America,Mexico,Public,Q10.6.1,Please provide the details of the global initiatives or conventions your region participates in.,1,Row 1,Governors' Climate and Forests (GCF) Task Force,"Firmada el 11 de agosto de 2014 en la VIII Reunion Anual del Grupo de Trabajo de Gobernadores por el Clima y Bosques (GCF), Chiapas se compromete a reducir el 80% de la tasa de deforestación con respecto a la línea base."
2025 Disclosure Cycle,779465,CDP,73027,Chiapas,States & Regions,Latin America,Mexico,Public,Q10.6.1,Please provide the details of the global initiatives or conventions your region participates in.,2,Row 2,Bonn Challenge,La Secretaria de Medio Ambiente e Historia Natural (SEMAHN) del Gobierno del Estado de Chiapas y la Unión Internacional para la Conservación de la Naturaleza (UICN) llevan a cabo el diseño de una estrategia funcional de restauración del paisaje con un enfoque que fomenta la productividad lo que facilita el cumplimiento de los compromisos asumidos en diferentes acuerdos internacionales a nivel nacional para Chiapas es restaurar 0.17 mil ha deforestadas para 2020 y 0.18 para el 2030.
2025 Disclosure Cycle,779465,CDP,73027,Chiapas,States & Regions,Latin America,Mexico,Public,Q10.6.1,Please provide the details of the global initiatives or conventions your region participates in.,3,Row 3,Sustainable Development Goals,Chiapas integra en su Plan Estatal de Desarrollo Chiapas 2019-2024 la atención y el compromiso del cumplimiento a los Objetivos de Desarrollo Sostenible
2025 Disclosure Cycle,779465,CDP,73027,Chiapas,States & Regions,Latin America,Mexico,Public,Q10.6.1,Please provide the details of the global initiatives or conventions your region participates in.,4,Row 4,Rio Branco Declaration,"Firmada el 11 de agosto de 2014 en la VIII Reunion Anual del Grupo de Trabajo de Gobernadores por el Clima y Bosques (GCF), Chiapas se compromete a reducir el 80% de la tasa de deforestación con respecto a la línea base."
2025 Disclosure Cycle,779465,CDP,73027,Chiapas,States & Regions,Latin America,Mexico,Public,Q10.6.1,Please provide the details of the global initiatives or conventions your region participates in.,5,Row 5,REDD+,"Chiapas es parte del programa desde el año 2011 y se han alineado políticas publicas para su desarrollo e implementación, se han fortalecido capacidades y llevado acciones tempranas. Se adoptó a REDD como desarrollo rural sostenible. Se cuenta con una estrategia estatal REDD y una ley para la adaptación y mitigación ante el cambio climático que considera a REDD, así mismo se crearon la comisión de coordinación intersecretarial, un grupo consultivo de cambio climático y grupos de trabajo como MRV, CTC-REDD, Ganadería sostenible "
2025 Disclosure Cycle,779465,CDP,73051,East Kalimantan,States & Regions,South East Asia & Oceania,Indonesia,Public,Q10.6.1,Please provide the details of the global initiatives or conventions your region participates in.,1,Row 1,Other: Under 2 Coallition,Endorsers of the U2MOU https://www.under2coalition.org/members 
2025 Disclosure Cycle,779465,CDP,73051,East Kalimantan,States & Regions,South East Asia & Oceania,Indonesia,Public,Q10.6.1,Please provide the details of the global initiatives or conventions your region participates in.,2,Row 2,Rio Branco Declaration,Endorsers of the Rio Branco Declaration (https://earthinnovation.org/wp-content/uploads/2014/10/RioBrancoDeclaration_EN.pdf)
2025 Disclosure Cycle,779465,CDP,73051,East Kalimantan,States & Regions,South East Asia & Oceania,Indonesia,Public,Q10.6.1,Please provide the details of the global initiatives or conventions your region participates in.,3,Row 3,Other: GCF Task Force,Members of the Governors' Climate and Forests Task Force (GCF) https://www.gcftf.org/member-states
2025 Disclosure Cycle,779465,CDP,73051,East Kalimantan,States & Regions,South East Asia & Oceania,Indonesia,Public,Q10.6.1,Please provide the details of the global initiatives or conventions your region participates in.,4,Row 4,World Heritage Convention,Currently proposing and included in the tentative list
2025 Disclosure Cycle,779465,CDP,73051,East Kalimantan,States & Regions,South East Asia & Oceania,Indonesia,Public,Q10.6.1,Please provide the details of the global initiatives or conventions your region participates in.,5,Row 5,Forest Carbon Partnership Facility,"Currently, East Kalimantan Province is implementing a performance-based emission reduction program from deforestation and land degradation in the forest carbon partnership facility carbon fund (FCPF-CF) scheme.\n\nhttps://www.forestcarbonpartnership.org/country/indonesia"
2025 Disclosure Cycle,779465,CDP,73064,West Kalimantan,States & Regions,South East Asia & Oceania,Indonesia,Public,Q10.6.1,Please provide the details of the global initiatives or conventions your region participates in.,1,Row 1,Other: Manaus Action Plan,"Manaus Action Plan is part of the commitment under GCF TF. This initiative aimed to reduce emission from deforestation and degradation, 80% from the current level emission by 2030. There 6 pillar to implement MAP. Those are: (1) Facilitation of communication/stakeholder forum; (2) support for the development of jurisdictional model and low carbon plan; (3) support for innovative sustainable financing schemes; (4) support for REDD+ monitoring system; (5) Steering Committee on Sustainable Agriculture (SCAI); (6) Steering Committee on Indigenous People and Local Community (IPLC)."
2025 Disclosure Cycle,779465,CDP,73064,West Kalimantan,States & Regions,South East Asia & Oceania,Indonesia,Public,Q10.6.1,Please provide the details of the global initiatives or conventions your region participates in.,2,Row 2,Other: United Nation Framework on Climate Change Conference,West Kalimantan has participated in the Conference of Parties (COP) of UNFCCC as active participants and presenting the local effort to tackling the climate changes in collaboration with the National Government (MoEF).
2025 Disclosure Cycle,779465,CDP,73064,West Kalimantan,States & Regions,South East Asia & Oceania,Indonesia,Public,Q10.6.1,Please provide the details of the global initiatives or conventions your region participates in.,3,Row 3,Rio Branco Declaration,West Kalimantan Province as one of six provinces in Indonesia which signed the Rio Branco Declaration on 2014. The GoWK has shown its commitment on Rio Branco Declaration by revising its SRAP REDD+ which stated the commitment to reduce the GHG emissions by 60% on 2020 (equal to 80% of deforestation).
2025 Disclosure Cycle,779465,CDP,73064,West Kalimantan,States & Regions,South East Asia & Oceania,Indonesia,Public,Q10.6.1,Please provide the details of the global initiatives or conventions your region participates in.,4,Row 4,Governors' Climate and Forests (GCF) Task Force,Members of the Governors' Climate and Forests Task Force (GCF)https://www.gcftf.org/member-states
2025 Disclosure Cycle,779465,CDP,73088,State of Hesse,States & Regions,Europe,Germany,Public,Q10.6.1,Please provide the details of the global initiatives or conventions your region participates in.,1,Row 1,Sustainable Development Goals,"Hesse participates, through Germany and the EU, in all major international agreements. Regionally, implementation takes place through forest conversion strategies, climate adaptation, biodiversity protection, and sustainability certification."
2025 Disclosure Cycle,779465,CDP,73088,State of Hesse,States & Regions,Europe,Germany,Public,Q10.6.1,Please provide the details of the global initiatives or conventions your region participates in.,2,Row 2,World Heritage Convention,Hessen is engaged in the UNESCO World Heritage as parts of the Kellerwald-Edersee National Park are included in the transnational World Heritage site 'Primeval Beech Forests and Ancient Beech Forests of Germany\nhttps://www.hessen-tourismus.de/stadt-land/naturlandschaften/unesco-welterbe-nationalpark-kellerwald-edersee?utm_source=chatgpt.com
2025 Disclosure Cycle,779465,CDP,73119,Pastaza,States & Regions,Latin America,Ecuador,Public,Q10.6.1,Please provide the details of the global initiatives or conventions your region participates in.,2,Row 2,Rio Branco Declaration,Miembro del GCF Task Force
2025 Disclosure Cycle,779465,CDP,73119,Pastaza,States & Regions,Latin America,Ecuador,Public,Q10.6.1,Please provide the details of the global initiatives or conventions your region participates in.,3,Row 3,New York Declaration on Forests,Conservación y restauración en territorio
2025 Disclosure Cycle,779465,CDP,73119,Pastaza,States & Regions,Latin America,Ecuador,Public,Q10.6.1,Please provide the details of the global initiatives or conventions your region participates in.,4,Row 4,REDD+,Plan Nacional REDD+ a traves de la ejecución del Plan de Implementación de Medidas y Acciones REDD+ de la provincia de Pastaza
2025 Disclosure Cycle,779465,CDP,73149,Quebec,States & Regions,North America,Canada,Public,Q10.6.1,Please provide the details of the global initiatives or conventions your region participates in.,1,Row 1,Other: Convention on biological diversity,"As part of Québec's engagement to contribute to global targets of the Kunming-Montreal Global Biodiversity Framework adopted at COP15 (the 15th Conference of Parties at the UN Convention on Biological Diversity) in Dec. 2022, Quebec launched (in Oct. 2024) its 2030 Nature Plan, which includes:\n- Target 3 to \'Preserve 30% of terrestrial and inland water areas and 30% of marine areas in Québec with a focus on effective management, representativeness and ecological connectivity of the sites preserved, while improving access to nature\'. Quebec is already protecting almost 17% of its terrestrial area, and works actively to conserve 30% of its territory, using a variety of tools adapted to the different terrestrial contexts throughout its territory. These protected or conserved areas already include or will continue to include forests.\n- Target 7 to \'Maintain the sustainability of forest practices, in particular through sustainable resource use and the maintenance of ecosystem services for the benefit of everyone, including the Indigenous and local communities\'. To implement this target, the 2024-2028 Action Plan presents two objectives, i.e. Objective 7.1 (Encourage the implementation of measures aimed at adapting forest management and development, especially with respect to climate change) and Objective 7.2 (Promote forest conservation and sustainable use on private land and support private landowners to act accordingly). \nQuébec's 2030 Nature Plan and its 2024-2028 Action Plan can be accessed at: https://www.quebec.ca/en/government/ministere/environnement/publications/nature-plan \nA visual summary of these two documents can be accessed at: https://cdn-contenu.quebec.ca/cdn-contenu/environnement/biodiversite/nature-plan-summary.pdf \n"
2025 Disclosure Cycle,779465,CDP,73149,Quebec,States & Regions,North America,Canada,Public,Q10.6.1,Please provide the details of the global initiatives or conventions your region participates in.,2,Row 2,Sustainable Development Goals,The Sustainable Development Goals of the United Nations are starting to be integrated in the Sustainable Development Strategies developed by the Government of Québec and by each of the ministries and government organizations (see: https://www.quebec.ca/gouvernement/politiques-orientations/developpement-durable/strategie-gouvernementale/).
2025 Disclosure Cycle,779465,CDP,73172,Acre,States & Regions,Latin America,Brazil,Public,Q10.6.1,Please provide the details of the global initiatives or conventions your region participates in.,1,Row 1,LEAF Coalition," Em dezembro de 2023, o Acre tornou-se o primeiro no Brasil a assinar o Term Sheet (Folha de Termos) com Emergent/Leaf, na 28ª Conferência do Clima da Organização das Nações Unidas (ONU). "
2025 Disclosure Cycle,779465,CDP,73172,Acre,States & Regions,Latin America,Brazil,Public,Q10.6.1,Please provide the details of the global initiatives or conventions your region participates in.,2,Row 2,Governors' Climate and Forests (GCF) Task Force,Acre é membro da Força-Tarefa de Governadores para o Clima e Florestas - GCF
2025 Disclosure Cycle,779465,CDP,73172,Acre,States & Regions,Latin America,Brazil,Public,Q10.6.1,Please provide the details of the global initiatives or conventions your region participates in.,3,Row 3,REDD+,"Governança para a Redução do Desmatamento e da Degradação no Estado, para adequação ao padrão “Art Trees”."
2025 Disclosure Cycle,779465,CDP,73177,Mato Grosso,States & Regions,Latin America,Brazil,Public,Q10.6.1,Please provide the details of the global initiatives or conventions your region participates in.,2,Row 2,Other: Convenção de Ramsar," Convenção sobre Zonas Úmidas- Convenção de Ramsar, áreas úmidas e áreas protegidas designadas como sítios Ramsar, título conferido internacionalmente. A Convenção estabelece marcos para ações nacionais e para a cooperação entre países com o objetivo de promover a conservação e o uso racional de áreas úmidas no mundo."
