disclosure_cycle,cdp_requesting_org_number,requesting_organization,cdp_disclosing_org_number,disclosing_organization,disclosing_org_type,cdp_region,discloser_country_or_area,public_status,question_number,question_text,row_order,row_name,col1_Document,col2_Attachment,"col3_Comment and URL link, if applicable"
2025 Disclosure Cycle,779465,CDP,50203,Gaziantep Metropolitan Municipality,City,UKWW,Türkiye,Public,Q11.2,"Where available, please provide the following documentation relevant to your membership in the Green Climate Cities program.",5,Row 5,Council decision stating climate action as priority (official document with date),GeneratePdf (2).pdf,"Pollutant Release and Transfer Register (PRTR) Regulation\nThrough the PRTR system, Gaziantep monitors the environmental performance of facilities with potential to release air, water, and soil pollutants. This regulation reinforces the city's data-driven environmental governance approach. Gaziantep is responsible for compiling and reporting emissions data from key polluting sectors, aiding transparency, public awareness, and evidence-based climate action planning."
2025 Disclosure Cycle,779465,CDP,50203,Gaziantep Metropolitan Municipality,City,UKWW,Türkiye,Public,Q11.2,"Where available, please provide the following documentation relevant to your membership in the Green Climate Cities program.",6,Row 6,Council decision stating climate action as priority (official document with date),GeneratePdf (3).pdf,"Regulation on the Qualification of Environmental Measurement and Analysis Laboratories\nGaziantep is responsible for ensuring that environmental quality measurements—particularly air, water, noise, and soil—are conducted by accredited laboratories as per this regulation. Accurate and reliable environmental data collection supports the city's capacity to track progress toward its emission reduction targets and respond promptly to environmental health threats."
2025 Disclosure Cycle,779465,CDP,50203,Gaziantep Metropolitan Municipality,City,UKWW,Türkiye,Public,Q11.2,"Where available, please provide the following documentation relevant to your membership in the Green Climate Cities program.",7,Row 7,Awareness-raising and communication plan,AĞLAR BİLGİ NOTU.docx,Membership networks\n•\tEurocities\n•\tEnergy Cities\n•\tCIVITAS - Sustainable and Smart Mobility for All\n•\tMedcities \n•\tUITP - International Association of Public Transportation
2025 Disclosure Cycle,779465,CDP,50203,Gaziantep Metropolitan Municipality,City,UKWW,Türkiye,Public,Q11.2,"Where available, please provide the following documentation relevant to your membership in the Green Climate Cities program.",8,Row 8,Any award won or recognition of climate leadership at national or international level,GAZİANTEP EUROPE PRIZE DOSSIER - 2025 .pdf,"The Europe Prize, launched in 1955 by the Parliamentary Assembly of the Council of Europe, is the highest distinction awarded to a town or city for its outstanding efforts in promoting European unity and cooperation. It recognizes municipalities that have demonstrated significant commitment to European ideals through:\n\nTwinning relationships with other cities,\n\nCultural exchange programs,\n\nYouth and student mobility,\n\nParticipation in European projects and events,\n\nAnd contributions to peace, democracy, and sustainability.\n\nIn 2025, Gaziantep was nominated for the Europe Prize, and the submitted dossier (uploaded by you) details the city's strong engagement with European values. Key highlights of Gaziantep's candidacy include:\n\nActive sister city partnerships with numerous European and global cities,\n\nParticipation in international cooperation platforms such as EU programs, UNDP, and UN-Habitat initiatives,\n\nCommitment to climate and environmental policies, including memberships in CDP, Covenant of Mayors, and the Green City Accord,\n\nCultural diplomacy efforts such as international festivals, European cultural days, and youth exchange programs,\n\nSustainable urban development projects in energy efficiency, smart city practices, and inclusive planning.\n\nThe Europe Prize is not just symbolic—it provides international recognition and positions the winning city as a role model in urban diplomacy and European integration. Recipients are viewed as leading municipalities contributing to the future of Europe."
2025 Disclosure Cycle,779465,CDP,50203,Gaziantep Metropolitan Municipality,City,UKWW,Türkiye,Public,Q11.2,"Where available, please provide the following documentation relevant to your membership in the Green Climate Cities program.",9,Row 9,Any award won or recognition of climate leadership at national or international level,"CoL_Gaziantep.pdf,WWF_WLC2022_Sertifika (1).pdf","The certificate shown is for the \'WWF One Planet City Challenge 2022\', where Gaziantep was awarded as the regional winner.\n\nGaziantep was recognized as the Regional Winner in the WWF One Planet City Challenge (OPCC) 2022, a prestigious global initiative led by the World Wide Fund for Nature (WWF). This award acknowledges cities that demonstrate ambitious climate action plans aligned with the goals of the Paris Agreement, particularly in reducing greenhouse gas emissions and fostering sustainable urban development. Gaziantep earned this recognition for its comprehensive climate strategies, including its Sustainable Energy and Climate Action Plan (SECAP), and its strong performance in areas such as energy efficiency, sustainable transportation, waste management, and urban resilience. The award reflects Gaziantep's leadership and commitment to building a climate-resilient, low-carbon future."
2025 Disclosure Cycle,779465,CDP,50203,Gaziantep Metropolitan Municipality,City,UKWW,Türkiye,Public,Q11.2,"Where available, please provide the following documentation relevant to your membership in the Green Climate Cities program.",10,Row 10,Document evaluation of climate action planning processes: mid-term or final report,S25C-0i25091108170.pdf,"Gaziantep Metropolitan Municipality has been awarded the ISO 50001 Energy Management System Certificate in order to enhance energy efficiency, ensure environmental sustainability, and carry out energy management in accordance with international standards. With this certification, the municipality documents its commitment to continuously improving energy performance and managing energy through a systematic approach."
2025 Disclosure Cycle,779465,CDP,50203,Gaziantep Metropolitan Municipality,City,UKWW,Türkiye,Public,Q11.2,"Where available, please provide the following documentation relevant to your membership in the Green Climate Cities program.",11,Row 11,Document describing how the city has contributed to climate advocacy at the national or international level leveraging their actions as best practice,BREEM USE SERTİFİKASI.docx,"Gaziantep Metropolitan Municipality has been awarded the BREEAM In Use “Excellent” level green building certificate for its service building, by implementing the necessary improvements and practices to ensure environmental sustainability, increase energy and water efficiency, enhance user comfort, and deliver environmentally responsible public services.\n\nWith this certificate:\n\nEnergy and water consumption has been reduced, leading to lower operational costs.\n\nCarbon emissions have been minimized, reducing environmental impact.\n\nPublic resources have been used efficiently.\n\nA sustainable building management approach has been adopted, setting an example for other public institutions.\n\nIn this context, the building has been officially recognized as an environmentally friendly and efficient public facility in accordance with international standards."
2025 Disclosure Cycle,779465,CDP,50203,Gaziantep Metropolitan Municipality,City,UKWW,Türkiye,Public,Q11.2,"Where available, please provide the following documentation relevant to your membership in the Green Climate Cities program.",12,Row 12,Awareness-raising and communication plan,SOLAR EĞİTİM İNGİLİZCE.docx,"Gaziantep Metropolitan Municipality is taking a significant step in energy transformation under the European Bank for Reconstruction and Development's (EBRD) Green Cities Program. Aiming to meet all of its electricity consumption from renewable sources, the Municipality is drawing attention with its Solar Power Plant (SPP) project, which has a total installed capacity of 27 MW.\n\nThis major initiative not only targets energy production but also aims to promote social development. The training program, which seeks to empower women and youth in the energy sector in Gaziantep, contributes to sustainable development and accelerates women's employment.\n\nThrough the project, technical training programs on photovoltaic (PV) systems are being provided specifically for women, helping to cultivate a qualified workforce in the field of renewable energy. The program, designed to increase women's participation in the economy, also aims to involve young people in the sector.\n\nWithin the scope of the program, which is carried out in cooperation with Gaziantep University and the Hasan Kalyoncu University Built Environment Implementation and Research Center, 44 students received technical training. The curriculum included advanced content such as production analyses, simulations, and reporting related to Solar Energy Systems, alongside career development support.\n\nThe trainings were reinforced with hands-on field visits. Through technical tours to panel production factories and ground-mounted SPP sites, students had the opportunity to observe the functioning of PV systems on-site and gain practical experience.\n\nGaziantep is transforming the power of the sun not only into energy, but also into a brighter future, increased employment, and social transformation."
2025 Disclosure Cycle,779465,CDP,50203,Gaziantep Metropolitan Municipality,City,UKWW,Türkiye,Public,Q11.2,"Where available, please provide the following documentation relevant to your membership in the Green Climate Cities program.",13,Row 13,Awareness-raising and communication plan,TESEV.UNICEF.GBB-23.5.2025.pdf,"In cooperation with TESEV and UNICEF, a child-centered disaster risk reduction plan was developed in Gaziantep to prevent children from being disproportionately affected by disasters, using data analysis, stakeholder engagement, and child participation."
2025 Disclosure Cycle,779465,CDP,50203,Gaziantep Metropolitan Municipality,City,UKWW,Türkiye,Public,Q11.2,"Where available, please provide the following documentation relevant to your membership in the Green Climate Cities program.",14,Row 14,Any award won or recognition of climate leadership at national or international level,2014-2025 Ödüller (1).pdf,"Gaziantep Metropolitan Municipality has received numerous national and international awards for its work in urban management, sustainability, social services, and innovative projects in line with recognized standards."
2025 Disclosure Cycle,779465,CDP,50203,Gaziantep Metropolitan Municipality,City,UKWW,Türkiye,Public,Q11.2,"Where available, please provide the following documentation relevant to your membership in the Green Climate Cities program.",15,Row 15,Stakeholder engagement plan,EKOLOJİK BİNA.docx,"\'Gaziantep Ecological Building is a structure and information center constructed within the framework of sustainable urbanization principles through the collaboration of Gaziantep Metropolitan Municipality and Gaziantep University. The building has been designed in line with PassivHaus and LEED Platinum standards, either as a candidate or certified, and is one of the passive house examples in Turkey."
2025 Disclosure Cycle,779465,CDP,50203,Gaziantep Metropolitan Municipality,City,UKWW,Türkiye,Public,Q11.2,"Where available, please provide the following documentation relevant to your membership in the Green Climate Cities program.",16,Row 16,Awareness-raising and communication plan,çevre koruma sıfır atık eğitim.pdf,"Gaziantep Metropolitan Municipality carries out various training programs and awareness activities, especially for children, young people, and technical staff, to raise environmental awareness, promote energy efficiency, and combat climate change."
2025 Disclosure Cycle,779465,CDP,50203,Gaziantep Metropolitan Municipality,City,UKWW,Türkiye,Public,Q11.2,"Where available, please provide the following documentation relevant to your membership in the Green Climate Cities program.",17,Row 17,Document describing how the city has contributed to climate advocacy at the national or international level leveraging their actions as best practice,GREEN CITIES.pdf,"A total of 51 cities worldwide have committed to becoming green cities, and Gaziantep, which has a long-standing track record of successful projects with the EBRD, has become the fourth Turkish city to join the Green Cities program. https://www.ebrdgreencities.com/news-and-events/news/gaziantep-ebrd-yeil-ehirler-kapsamnda-iklim-eylemini-taahhuet-ediyor-02-11-21/"
2025 Disclosure Cycle,779465,CDP,50203,Gaziantep Metropolitan Municipality,City,UKWW,Türkiye,Public,Q11.2,"Where available, please provide the following documentation relevant to your membership in the Green Climate Cities program.",18,Row 18,Document describing how the city has contributed to climate advocacy at the national or international level leveraging their actions as best practice,NET ZERO CITIES.pdf,"Gaziantep Metropolitan Municipality has joined the Net Zero Cities / EU Cities Mission Twinning and Learning Program. As one of the three cities selected from Türkiye, Gaziantep has been paired with Košice and Bratislava from Slovakia. The aim is to reduce building emissions, increase energy efficiency, and move towards becoming a carbon-neutral city. The program will last for 17 months and aims to promote knowledge sharing, collaboration, and the transfer of best practices between cities. https://netzerocities.eu/twin-cities-cohort-3-2025/"
2025 Disclosure Cycle,779465,CDP,50381,Municipio de Torreón,City,Latin America,Mexico,Public,Q11.2,"Where available, please provide the following documentation relevant to your membership in the Green Climate Cities program.",1,Row 1,Any award won or recognition of climate leadership at national or international level,Reconocimiento Alcalde GCoM.pdf,
2025 Disclosure Cycle,779465,CDP,50390,Prefeitura de Teresina,City,Latin America,Brazil,Public,Q11.2,"Where available, please provide the following documentation relevant to your membership in the Green Climate Cities program.",1,Row 1,Other: Clipping de notícias referentes à transição para mobilidade elétrica em Teresina,acoplare 2_merged_merged.pdf,"Teresina, comprometida com a sustentabilidade, avança na modernização do transporte público, alinhando-se aos Objetivos de Desenvolvimento Sustentável (ODSs) e ao Acordo de Paris.\nA eletrificação das frotas é um passo estratégico para reduzir emissões de GEE e promover a qualidade de vida.\n\nhttps://pmt.pi.gov.br/2025/08/05/prefeitura-de-teresina-e-ministerio-de-minas-e-energia-realizam-reuniao-em-busca-de-solucoes-para-o-transporte-publico-da-capital/\n\nhttps://pmt.pi.gov.br/2025/08/08/teresina-avanca-nos-estudos-para-implantacao-de-onibus-eletricos-no-transporte-publico/\n\nhttps://pmt.pi.gov.br/2025/09/10/agenda-teresina-2030-apresenta-estudo-de-eletrificacao-do-transporte-publico-durante-simposio-no-rj/"
2025 Disclosure Cycle,779465,CDP,50390,Prefeitura de Teresina,City,Latin America,Brazil,Public,Q11.2,"Where available, please provide the following documentation relevant to your membership in the Green Climate Cities program.",2,Row 2,"Other: Procedimento de Manifestação de Interesse para realização de estudos de modelagem técnica, econômico-financeira e jurídica",PMI_EFICIÊNCIA-ENERGÉTICA_TERESINA.pdf,"O município de Teresina possui 1.222 (um mil, duzentos e vinte e duas) unidades consumidoras de energia elétrica, as quais pagam aproximadamente R$ 20.000.000,00 (vinte milhões de reais) por ano pelo referido consumo. Além disso, possui mais de 470 prédios próprios, passíveis de receber investimentos que possibilitem a redução do consumo de energia elétrica.\nCom isso, a Prefeitura Municipal de Teresina coordenará estudos de modelagem técnica, econômico-financeira e jurídica para possibilitar contratação e execução de parcerias público-privadas de projetos de eficiência energética em edifícios públicos com base no desempenho. (https://semplan.pmt.pi.gov.br/concessoes-e-parcerias-ppp/projetos/projetos-eficiencia-energetica/). Os documentos são de 2018, mas o município planeja retomar projeto de eficiência energética para os prédios públicos da Prefeitura.\n\nhttps://semplan.pmt.pi.gov.br/concessoes-e-parcerias-ppp/projetos/projetos-eficiencia-energetica/"
2025 Disclosure Cycle,779465,CDP,50390,Prefeitura de Teresina,City,Latin America,Brazil,Public,Q11.2,"Where available, please provide the following documentation relevant to your membership in the Green Climate Cities program.",3,Row 3,Other: Documento assinado pela autoridade municipal,Global Cooling Pledge for COP28 TERESINA.pdf,"Teresina assinou, em 2024, o Acordo para Redução da Temperatura (Global Cooling Pledge): Adotar práticas de resfriamento do clima. A meta é reduzir a temperatura da cidade em 2°C, um desafio ambicioso que demonstra o reconhecimento da urgência climática."
2025 Disclosure Cycle,779465,CDP,54306,Medan City Government,City,South East Asia & Oceania,Indonesia,Public,Q11.2,"Where available, please provide the following documentation relevant to your membership in the Green Climate Cities program.",1,Row 1,"Document identifying local capacity and resources, opportunities, challenges and constraints, staff capacity assessment, available finances to address climate action planning, implementation, monitoring and reporting",(4.6) 24.08.2024 Laporan Akhir GRK Kota Medan_2024.pdf,https://drive.google.com/file/d/1OOxBFuUms-NugqVg2SImQB_CvDN_Pa9W/view?usp=drive_link\n\nDokumen Laporan Inventarisasi GRK Tahun 2024 yaitu bukti bahwa Kota Medan melakukan pengukuran dan pelaporan emisi secara sistematis.
2025 Disclosure Cycle,779465,CDP,54306,Medan City Government,City,South East Asia & Oceania,Indonesia,Public,Q11.2,"Where available, please provide the following documentation relevant to your membership in the Green Climate Cities program.",2,Row 2,Any award won or recognition of climate leadership at national or international level,Penghargaan.pdf,https://drive.google.com/file/d/1oOGRl-mJFvaNr4bAWqOOm1BuU3Iw2RYk/view?usp=drive_link\n\nPenghargaan yang diterima Pemerintah Kota Medan Terkait Adaptasi Perubahan Iklim GRK yaitu:\n1. Penghargaan Sertifikat Adipura Tahun 2022\n2. Penghargaan Adipura Tahun 2023 kategori Kota Metropolitan\n3. Penghargaa Green Leadership Kinerja Pengelolaan Lingkungan Hidup Daerah Tahun 2023 \n4. Penghargaan Proklim Untuk Lingkungan XI Kelurahan Simpang Selayang Kecamatan Medan Tuntungan Tahun 2023.
2025 Disclosure Cycle,779465,CDP,54306,Medan City Government,City,South East Asia & Oceania,Indonesia,Public,Q11.2,"Where available, please provide the following documentation relevant to your membership in the Green Climate Cities program.",3,Row 3,"Document that shows local context (what is in place already): outlining existing policies, regulations and in-house capacity of the local/regional government to address climate action planning and implementation",Laporan Akhir RAD GRK Kota Medan 2022 Rev.3.0 (2)-1.pdf,https://drive.google.com/file/d/1Q022GBHueyhQpvTwFz7s6bRgVYCXojhm/view?usp=drive_link\n\nDokumen RAD-GRK (Rencana Aksi Daerah Gas Rumah Kaca) 2022-2030 yaitu menetapkan target penurunan emisi GRK sebesar 29% pada 2030.
2025 Disclosure Cycle,779465,CDP,54310,Government of Palembang,City,South East Asia & Oceania,Indonesia,Public,Q11.2,"Where available, please provide the following documentation relevant to your membership in the Green Climate Cities program.",1,Row 1,"Summary document with mandates, roles and responsibilities of the Climate Coordination Team (or equivalent group)",SK Pokja Iklim Kota Palembang 2020.pdf,"Kota Palembang mengeluarkan surat keputusan walikota palembang tentang kelompok kerja perubahan iklim tahun 2020, dimana kelompok kerja ini bertanggung jawab dalam penyusunan rencana aksi iklim terdiri dari rencana aksi mitigasi dan adaptasi perubahan iklim di Kota Palembang. \n\nhttps://drive.google.com/file/d/1gwgeb2xO0AeX1U-bFxd8K58Rwjp7kT4g/view?usp=sharing"
2025 Disclosure Cycle,779465,CDP,54650,Prefeitura de Palmas,City,Latin America,Brazil,Public,Q11.2,"Where available, please provide the following documentation relevant to your membership in the Green Climate Cities program.",1,Row 1,"List of possible (wide range of options) climate actions and potential impacts, both for Government Operations and across the territory (all sectors, all stakeholders)","E2RELATÓRIOESTUDODEVULNERABILIDADESERISCOS.pdf,PALMAS_Relatório de diagnóstico.pdf,PALMAS_Relatório de diagnóstico.pdf",
2025 Disclosure Cycle,779465,CDP,54650,Prefeitura de Palmas,City,Latin America,Brazil,Public,Q11.2,"Where available, please provide the following documentation relevant to your membership in the Green Climate Cities program.",2,Row 2,"Feasibility studies conducted (environmental impact assessment, project design, scheduling, operational plan, maintenance, risk management, detailed budget, identified need for supplementary studies, financing options)",CLIMA360_Objetivos_Componentes_Metas_Indicador.pdf,"O CLIMA 360° é o Programa de Transformação Ambiental de Palmas frente às Mudanças Climáticas , desenhado para tornar a cidade uma referência nacional em resiliência climática e sustentabilidade urbana. O programa se estrutura em seis componentes principais: Infraestrutura Verde , Restauração Ambiental , Monitoramento de Riscos , Gestão de Resíduos e Economia Circular , Estudos e Capacitação , e Gestão do Programa. Com um orçamento detalhado, o plano prevê ações concretas como a revitalização de parques , a elaboração do Plano Municipal de Ação Climática e do Inventário de Emissões de Gases de Efeito Estufa. Suas metas para 2030 incluem aumentar as áreas verdes restauradas de 3% para 20% e capacitar 5.000 pessoas em sustentabilidade."
2025 Disclosure Cycle,779465,CDP,54650,Prefeitura de Palmas,City,Latin America,Brazil,Public,Q11.2,"Where available, please provide the following documentation relevant to your membership in the Green Climate Cities program.",3,Row 3,"Other: Ata de aprovação do Projeto Programa de Resiliência Climática e Desenvolvimento Urbano Integrado na área do Córrego Machado, em Palmas/TO.",sei_51429327_pauta-da-180a-reuniao-cofiex (1).pdf,"Ata da 58ª Reunião Ordinária do Conselho Municipal de Meio Ambiente (CMMA), realizada em 6 de fevereiro de 2025. O documento evidencia a governança climática ativa em Palmas, formalizando as discussões de um conselho multissetorial que inclui representantes do poder público , setor privado e sociedade civil. A pauta incluiu a apresentação de um plano de mudanças climáticas e o incentivo à elaboração de uma proposta de adaptação para a cidade, visando minimizar o desconforto climático e um colapso ambiental. A reunião também deliberou sobre o plano de trabalho da Fundação Municipal de Meio Ambiente (FMA) para 2025 e o relatório de atividades de 2024, ambos aprovados por unanimidade."
2025 Disclosure Cycle,779465,CDP,60003,Baguio City,City,South East Asia & Oceania,Philippines,Public,Q11.2,"Where available, please provide the following documentation relevant to your membership in the Green Climate Cities program.",1,Row 1,Document describing how the city has contributed to climate advocacy at the national or international level leveraging their actions as best practice,presentation_Baguio CC and DRR- Cebu.pdf,
2025 Disclosure Cycle,779465,CDP,60003,Baguio City,City,South East Asia & Oceania,Philippines,Public,Q11.2,"Where available, please provide the following documentation relevant to your membership in the Green Climate Cities program.",2,Row 2,Any award won or recognition of climate leadership at national or international level,,https://www.bworldonline.com/the-nation/2023/11/29/560562/baguios-climate-initiative-wins-kaohsiung-award/
2025 Disclosure Cycle,779465,CDP,60003,Baguio City,City,South East Asia & Oceania,Philippines,Public,Q11.2,"Where available, please provide the following documentation relevant to your membership in the Green Climate Cities program.",3,Row 3,"Summary document with mandates, roles and responsibilities of the Climate Coordination Team (or equivalent group)",Baguio Climate Change Council.pdf,
2025 Disclosure Cycle,779465,CDP,60003,Baguio City,City,South East Asia & Oceania,Philippines,Public,Q11.2,"Where available, please provide the following documentation relevant to your membership in the Green Climate Cities program.",5,Row 5,Any award won or recognition of climate leadership at national or international level,,https://www.philstar.com/nation/2024/11/24/2402580/asia-pacific-sustainable-development-baguio-ranks-2nd
2025 Disclosure Cycle,779465,CDP,60003,Baguio City,City,South East Asia & Oceania,Philippines,Public,Q11.2,"Where available, please provide the following documentation relevant to your membership in the Green Climate Cities program.",6,Row 6,Any award won or recognition of climate leadership at national or international level,,https://www.rappler.com/philippines/luzon/baguio-wins-bloomberg-philanthropies-award-tobacco-control-2025/
2025 Disclosure Cycle,779465,CDP,60051,Kakinada Municipal Corporation,City,India,India,Public,Q11.2,"Where available, please provide the following documentation relevant to your membership in the Green Climate Cities program.",1,Row 1,Pre-feasibility studies conducted to assess operational and financial viability of climate actions,Kakinada_Water pumping and municipal offices_Energy Audit_Final Report.pdf,
2025 Disclosure Cycle,779465,CDP,73413,Commune de Cocody,City,UKWW,Côte d'Ivoire,Public,Q11.2,"Where available, please provide the following documentation relevant to your membership in the Green Climate Cities program.",1,Row 1,"Document that shows local context (what is in place already): outlining existing policies, regulations and in-house capacity of the local/regional government to address climate action planning and implementation",PLAN CLIMAT COCODY.pdf,https://www.climate-chance.org/bonne-pratique/cocody-cite-verte-puits-de-carbone/
2025 Disclosure Cycle,779465,CDP,73413,Commune de Cocody,City,UKWW,Côte d'Ivoire,Public,Q11.2,"Where available, please provide the following documentation relevant to your membership in the Green Climate Cities program.",2,Row 2,Council decision stating climate action as priority (official document with date),Arrêté Municipal Création Désignation Groupe de Travail Cocody.pdf,Un Arrêté Municipal a été pris le 10 Juin 2020 pour la création d'un groupe de travail pour la gestion des questions climatiques.
2025 Disclosure Cycle,779465,CDP,834348,Phuentsholing Municipality,City,India,Bhutan,Public,Q11.2,"Where available, please provide the following documentation relevant to your membership in the Green Climate Cities program.",1,Row 1,Other: No documents are available,,
2025 Disclosure Cycle,779465,CDP,840105,Samdrup Jongkhar Municipality,City,India,Bhutan,Public,Q11.2,"Where available, please provide the following documentation relevant to your membership in the Green Climate Cities program.",1,Row 1,Other: Not available,,
2025 Disclosure Cycle,779465,CDP,918366,City of Gradiška,City,Europe,Bosnia and Herzegovina,Public,Q11.2,"Where available, please provide the following documentation relevant to your membership in the Green Climate Cities program.",1,Row 1,Council decision stating climate action as priority (official document with date),"Council decision on climate as a priority is embedded in the Development Strategy .pdf,Strategija-razvoja-GGradiska-period-2021-2027god.pdf","Council decision on climate action as a priority is embedded in the Development Strategy of the City of Gradiška 2021-2027, where environmental protection and climate change mitigation and adaptation are defined as one of the key strategic goals. This document was officially adopted by City Council and provides the policy framework for substantiable urban development.\nhttps://www.gradgradiska.com/wp-content/uploads/2024/08/Strategija-razvoja-GGradiska-period-2021-2027god.pdf\nhttps://www.gradgradiska.com/wp-content/uploads/2019/01/SLGL_15_2018.pdf\n"
2025 Disclosure Cycle,779465,CDP,918366,City of Gradiška,City,Europe,Bosnia and Herzegovina,Public,Q11.2,"Where available, please provide the following documentation relevant to your membership in the Green Climate Cities program.",2,Row 2,"Document that shows local context (what is in place already): outlining existing policies, regulations and in-house capacity of the local/regional government to address climate action planning and implementation","-LOKALNI-PLAN-UPRAVLJANJA-OTPADOM-GRAD-GRADIŠKA-22.10-ET-Z5 (1).pdf,SECAP_Gradiska_0408.pdf,Smart-mobility-Grad-Gradiska.pdf,Strategija-razvoja-GGradiska-period-2021-2027god.pdf","The City of Gradiška has several key documents and capacities in place that define its local context for climate action planning and implementation:\nSustainable Energy and Climate Action Plan (SECAP), adopted in 2020, which includes a greenhouse gas inventory, mitigation measures, and adaptation actions.\nDevelopment Strategy of the City of Gradiška, where environmental protection, energy efficiency, and climate resilience are strategic priorities.\nLocal Waste Managment Plan, which outlines the city`s approach to sustainable waste management, reduction of waste generation, and improvement of recycling and circular economy practices. \nSmart Mobility Study (2020), amid at improving sustainable urban mobility and reducing transport-related emissions.\nInstitutional capacity is established within the City Administration - Department for Communal and Housing Affairs, Energy Efficiency and Environmental Protection Unit, responsible for coordinating and implementing climate and environmental policies."
2025 Disclosure Cycle,779465,CDP,929965,Çorlu Belediyesi,City,UKWW,Türkiye,Public,Q11.2,"Where available, please provide the following documentation relevant to your membership in the Green Climate Cities program.",1,Row 1,Council decision stating climate action as priority (official document with date),YASEMİN.PDF,"The signing of the Covenant of Mayors by the Municipality of Çorlu can be considered a critical step in officially demonstrating the municipality's commitment to national and international pledges in the field of climate and sustainability. This signature demonstrates that the municipality takes its environmental responsibilities seriously and is determined to implement concrete actions such as reducing its carbon footprint, increasing the use of renewable energy, and promoting sustainable transportation and infrastructure investments. In the process of signing the agreement, the municipality must first complete preparations such as a current status analysis and greenhouse gas inventory, then ensure the compliance of municipal units by conducting information and training activities with relevant stakeholders. Furthermore, this step increases opportunities for cooperation by demonstrating the municipality's commitment to climate policies to the public and other city actors. Finally, after signing the agreement, the municipality must establish mechanisms for reporting progress, monitoring targets, and continuous improvement, ensuring that the commitment is implemented not only symbolically but effectively and measurably."
