disclosure_cycle,cdp_requesting_org_number,requesting_organization,cdp_disclosing_org_number,disclosing_organization,disclosing_org_type,cdp_region,discloser_country_or_area,public_status,question_number,question_text,row_order,row_name,col1_Document,col2_Attachment,"col3_Comment and URL link, if applicable"
2025 Disclosure Cycle,779465,CDP,826201,Ayuntamiento de Zapopan,City,Latin America,Mexico,Public,Q11.2,"Where available, please provide the following documentation relevant to your membership in the Green Climate Cities program.",3,Row 3,"Report to Council summarizing results of all assessments and baselines (e.g. GHG emissions, main climate risks and vulnerabilities) to inform next steps (“climate readiness review”) for planning",Análisis de Riesgos y Vulnerabilidades Climáticas Zapopan feb 2022.pdf,Análisis de Riesgos Y Vulnerabilidades Climáticas del Municipio de Zapopan. Disponible en: https://drive.google.com/file/d/1l-dlraIvGuwNravouAXpGK4LghEMGHnP/view.\nInventario de Gases de Efecto Invernadero año base 2016. Disponible en: https://drive.google.com/file/d/1PYwDT0ALzWUhkvuQBwAnttFdKD3ttOKr/view
2025 Disclosure Cycle,779465,CDP,826201,Ayuntamiento de Zapopan,City,Latin America,Mexico,Public,Q11.2,"Where available, please provide the following documentation relevant to your membership in the Green Climate Cities program.",4,Row 4,Any award won or recognition of climate leadership at national or international level,Medallas GCoM 2023 Zapopan.pdf,"En el año 2023, el Pacto Global de Alcaldes por el Clima y la Energía otorgó al municipio de Zapopan 3 medallas de Adaptación, 3 medallas de Mitigación, la medalla de Conformidad y 2 medallas de Energía. Por lo que, somos una de las 4 ciudades de México que han sido honradas con medallas en los 4 pilares y la primera y única ciudad en el Estado de Jalisco que cuenta con medallas de Adaptación, Mitigación, Conformidad y Energía. Al otorgarnos estas medallas, el Pacto Global de Alcaldes por el Clima y la Energía reconoce el compromiso de Zapopan en la lucha global contra el cambio climático, considerando que hemos demostrado un liderazgo ejemplar en la construcción de un futuro más sostenible y resiliente para las generaciones futuras"
2025 Disclosure Cycle,779465,CDP,826201,Ayuntamiento de Zapopan,City,Latin America,Mexico,Public,Q11.2,"Where available, please provide the following documentation relevant to your membership in the Green Climate Cities program.",5,Row 5,Any award won or recognition of climate leadership at national or international level,Correo Zapopan Ganador Ciudades Emblemáticas.pdf,"En diciembre del año 2022, el municipio de Zapopan fue seleccionado como una de las 15 Ciudades Emblemáticas de América Latina; esta iniciativa promovida por el Pacto Global de Alcaldes por el Clima y la Energía consistió en la selección de un grupo de ciudades de América Latina, como un reconocimiento por nuestra ambición en la mitigación y adaptación climática. Cabe señalar que solamente fueron seleccionadas 2 ciudades de México, siendo Ciudad de México y Zapopan. El objetivo fue desarrollar un proyecto de acción climática bajo un programa de tutoría, desde la fase de conceptualización hasta el diseño de implementación, preparándolo para ser financiado. El proyecto que fue desarrollado durante este programa de mentoría fue \'Sistemas fotovoltaicos en Edificios Públicos de Zapopan\'."
2025 Disclosure Cycle,779465,CDP,826201,Ayuntamiento de Zapopan,City,Latin America,Mexico,Public,Q11.2,"Where available, please provide the following documentation relevant to your membership in the Green Climate Cities program.",6,Row 6,"Prioritized (shortlisted) list of actions, their estimated impacts and costs",PMACC Zapopan 2021-2030.pdf,"Las medidas y acciones de mitigación y adaptación en materia de cambio climático que fueron seleccionadas como resultado de las mesas de trabajo realizadas, son las que quedaron establecidas en el Programa Municipal para la Acción ante el Cambio Climático 2021-2030, aprobado y publicado en la Gaceta Municipal el 12 de mayo del año 2022."
2025 Disclosure Cycle,779465,CDP,826201,Ayuntamiento de Zapopan,City,Latin America,Mexico,Public,Q11.2,"Where available, please provide the following documentation relevant to your membership in the Green Climate Cities program.",7,Row 7,Any award won or recognition of climate leadership at national or international level,Correo Zapopan WWF Desafío de Ciudades _ ¡Tu ciudad ha sido preseleccionada!.pdf,"En febrero del año 2024, Zapopan fue pre-seleccionada por WWF como una de las 3 ciudades de México para ganar el Desafío de Ciudades (One Planet City Challenge OPCC) en su edición 2023-2024."
2025 Disclosure Cycle,779465,CDP,826201,Ayuntamiento de Zapopan,City,Latin America,Mexico,Public,Q11.2,"Where available, please provide the following documentation relevant to your membership in the Green Climate Cities program.",8,Row 8,Document tracking implementation progress of identified prioritized climate actions / interventions,,"El Instituto de Planeación y Gestión de Desarrollo del Área Metropolitana de Guadalajara, que lidera el monitoreo y reporte del Plan de Acción Climática del Área Metropolitana de Guadalajara (PACmetro), cuenta con una plataforma denominada SIMER: Sistema de Monitoreo, Evaluación y Reporte, en la cual los municipios involucrados en la implementación de las acciones climáticas realizados la captura de forma anual de los avances en las metas, medidas y acciones de mitigación y adaptación climática, misma que se encuentra disponible de forma abierta a cualquier ciudadano, solamente registrando un usuario y contraseña. Se puede acceder a la plataforma a través del siguiente link: http://simer.imeplan.mx/"
2025 Disclosure Cycle,779465,CDP,826201,Ayuntamiento de Zapopan,City,Latin America,Mexico,Public,Q11.2,"Where available, please provide the following documentation relevant to your membership in the Green Climate Cities program.",9,Row 9,Any award won or recognition of climate leadership at national or international level,"Correo 2024_Calificación CDP_Zapopan.pdf,Insignia 2024_Calificación CDP_Zapopan.pdf","Respecto al reporte realizado en el año 2024, a través de la plataforma CDP-ICLEI Track, se otorgó a Zapopan la calificación de A-, lo que significa que somos una ciudad en la etapa de Liderazgo, es decir, que hemos demostrado adoptar las mejores prácticas en la adaptación, mitigación y energía y que contamos con planes estratégicos integrales para garantizar que las acciones que estamos realizando reduzcan los impactos del cambio climático y las vulnerabilidades de los ciudadanos. "
2025 Disclosure Cycle,779465,CDP,866903,Prefeitura de Itapipoca,City,Latin America,Brazil,Public,Q11.2,"Where available, please provide the following documentation relevant to your membership in the Green Climate Cities program.",1,Row 1,Council decision stating climate action as priority (official document with date),PLANO DE ADAPTAÇÃO.pdf,Em anexo 
2025 Disclosure Cycle,779465,CDP,866903,Prefeitura de Itapipoca,City,Latin America,Brazil,Public,Q11.2,"Where available, please provide the following documentation relevant to your membership in the Green Climate Cities program.",2,Row 2,"Document outlining institutional structures in place (i.e. decision-making and internal reporting process, could include an organigram).",Plano de ArborizaÃ§Ã£o da Ã_rea Urbana Consolidada no MunicÃ_pio de Itapipoca.vp.pdf,Em anexo 
2025 Disclosure Cycle,779465,CDP,866903,Prefeitura de Itapipoca,City,Latin America,Brazil,Public,Q11.2,"Where available, please provide the following documentation relevant to your membership in the Green Climate Cities program.",3,Row 3,Awareness-raising and communication plan,PLANO-LITORAL-OESTE.pdf,Em anexo 
2025 Disclosure Cycle,779465,CDP,866903,Prefeitura de Itapipoca,City,Latin America,Brazil,Public,Q11.2,"Where available, please provide the following documentation relevant to your membership in the Green Climate Cities program.",4,Row 4,Council decision stating climate action as priority (official document with date),Relatório GEE Itapipoca.pdf,Em anexo 
2025 Disclosure Cycle,779465,CDP,866903,Prefeitura de Itapipoca,City,Latin America,Brazil,Public,Q11.2,"Where available, please provide the following documentation relevant to your membership in the Green Climate Cities program.",5,Row 5,Council decision stating climate action as priority (official document with date),4. PROGRAMA DE PROTEÇÃO E CONSERVAÇÃO DAS TARTARUGA MARINHAS DO LITORAL DE ITAPIPOCA.pdf,Em anexo 
2025 Disclosure Cycle,779465,CDP,866903,Prefeitura de Itapipoca,City,Latin America,Brazil,Public,Q11.2,"Where available, please provide the following documentation relevant to your membership in the Green Climate Cities program.",6,Row 6,Council decision stating climate action as priority (official document with date),2. PROGRAMA OLHOS DÁGUA E NASCESTE.pdf,Em anexo 
2025 Disclosure Cycle,779465,CDP,866903,Prefeitura de Itapipoca,City,Latin America,Brazil,Public,Q11.2,"Where available, please provide the following documentation relevant to your membership in the Green Climate Cities program.",7,Row 7,Council decision stating climate action as priority (official document with date),Lei de Controle de Desmatamento e Queimadas.pdf,Em anexo 
2025 Disclosure Cycle,779465,CDP,2033709,Prefeitura de Altamira,City,Latin America,Brazil,Public,Q11.2,"Where available, please provide the following documentation relevant to your membership in the Green Climate Cities program.",1,Row 1,"Document that shows local context (what is in place already): outlining existing policies, regulations and in-house capacity of the local/regional government to address climate action planning and implementation",,
2025 Disclosure Cycle,779465,CDP,2033709,Prefeitura de Altamira,City,Latin America,Brazil,Public,Q11.2,"Where available, please provide the following documentation relevant to your membership in the Green Climate Cities program.",2,Row 2,"Document that shows local context (what is in place already): outlining existing policies, regulations and in-house capacity of the local/regional government to address climate action planning and implementation","PORTIFOLIO EQUIPE PROJETOS_FINAL (1)_compressed.pdf,Portifólio EA.pdf",
