disclosure_cycle,cdp_requesting_org_number,requesting_organization,cdp_disclosing_org_number,disclosing_organization,disclosing_org_type,cdp_region,discloser_country_or_area,public_status,question_number,question_text,row_order,row_name,col1_Use of carbon credits,col2_Identify target,col3_Emissions purchased/sold (metric tonnes CO2e),col4_Verified to which standard,col5_Outline the crediting period and country(ies)/area(s) where offsetting efforts are or will be taking place,col6_Comment
2025 Disclosure Cycle,779465,CDP,43940,City of Malmö,City,Europe,Sweden,Public,Q6.1.2,"If you are using or plan to use carbon credits sold to or purchased from outside the jurisdiction or target boundary, provide details.",1,Row 1,Other: We plan to do so from 2030.,Target 3,0,Do not know,Within the city boundary.,"The city of Malmö has a goal to achieve net-zero greenhouse gas emissions within its organization by 2030. To offset parts of the remaining hard-to-abate emissions, the city of Malmö has signed a letter of intent to purchase negative emission certificates from the local waste-to-energy plant, where a BECCS facility is planned."
2025 Disclosure Cycle,779465,CDP,43970,Alcaldía Distrital de Barranquilla,City,Latin America,Colombia,Public,Q6.1.2,"If you are using or plan to use carbon credits sold to or purchased from outside the jurisdiction or target boundary, provide details.",1,Row 1,We do not currently purchase or sell offset credit transactions,,,,,
2025 Disclosure Cycle,779465,CDP,44080,City of Kitakyushu,City,Japan,Japan,Public,Q6.1.2,"If you are using or plan to use carbon credits sold to or purchased from outside the jurisdiction or target boundary, provide details.",1,Row 1,We do not currently purchase or sell offset credit transactions,,,,,
2025 Disclosure Cycle,779465,CDP,44180,Daegu Metropolitan City,City,South East Asia & Oceania,Korea (The Republic of),Public,Q6.1.2,"If you are using or plan to use carbon credits sold to or purchased from outside the jurisdiction or target boundary, provide details.",1,Row 1,Offset credit transactions generated within the boundary and sold,Target 1,6267507,Carbon Registry,"□ Greenhouse Gas Emission Trading Scheme in Daegu Metropolitan City\n\n1. First Phase (2015-2017)\n - 19 facilities (including water treatment plants) and 6 facilities managed by Daegu Public Facilities Management Corporation were allocated and managed.\n - July 2017: Signed a Consolidated Operational Management Agreement, integrating a total of 25 facilities.\n - Outcome: Remaining 51,290 tons of allowances (less than 10% of allocated amount) carried forward to Phase 2.\n\n2. Second Phase (2018-2020)\n - 25 basic environmental facilities received annual allocation of 1.21 million tons (91.12% of 2014-2016 average emissions).\n - Market Prices: End of 2018 (KAU18): 25,000 KRW/ton, End of 2019 (KAU19): 38,100 KRW/ton\n\n3. Third Phase (2021-2025)\n - Allocation for 2021-2022: 80.28% of past emissions (over 10% reduction from previous phase).\n - Despite tighter allocations, Daegu achieved surplus trading results:\n - 2022: Net sale of 12,521 tons → Revenue ~170 million KRW; Carry-over: 25,141 tons\n - 2023: Net sale of 11,248 tons → Revenue ~100 million KRW; Carry-over: 23,098 tons\n - 2024: Net sale of 1,62 tons → Revenue ~10 million KRW; Carry-over: 5,104 tons","The Emission Trading Scheme (ETS), introduced in South Korea in 2015 under the Kyoto Protocol framework, allocates emission reduction obligations to businesses, allowing the purchase of allowances if targets are unmet. Despite its developing country status, Korea faces international pressure to reduce emissions, targeting a 40% reduction from 2018 levels by 2030. Established by the 2012 Act on the Allocation and Trading of Greenhouse Gas Emission Rights and guided by six operational rules, the ETS supports low-carbon growth, fosters the domestic carbon market, and positions Korea as a potential hub for the Asian carbon market."
2025 Disclosure Cycle,779465,CDP,44180,Daegu Metropolitan City,City,South East Asia & Oceania,Korea (The Republic of),Public,Q6.1.2,"If you are using or plan to use carbon credits sold to or purchased from outside the jurisdiction or target boundary, provide details.",2,Row 2,Offset credit transactions generated within the boundary and sold,Target 2,2957471,Clean Development Mechanism,"Daegu Metropolitan City has been obtaining certification from the UNFCCC for the greenhouse gas (CO2) reductions achieved through its landfill gas resource recovery project, and utilizing the resulting carbon credits (CERs) for trading and other purposes. Since the project commenced in 2007, a total of 2,957,471 tons of emission allowances have been secured and sold, generating approximately 56.2 billion KRW in revenue. The CDM project plans to continue until 2030 in the short term and until 2050 in the long term, with a goal of securing a minimum of 270,000 tons of carbon credits annually.","Project Summary: Resource Recovery from Landfill Gas at Bangcheon-ri Sanitary Landfill, Daegu\n- UNFCCC Registration No.: 0851\n- Overview: Since 2006, landfill gas at Bangcheon-ri has been captured, refined, and supplied as boiler fuel to Korea District Heating Corporation.\n- Milestone: Registered as a UNFCCC CDM project in 2007 — the first local government-led climate change mitigation project in Korea.\n- Achievements: Annual greenhouse gas (CO₂) reduction: approx. 270,000 tons\n- Certified by the UN, generating carbon credits for domestic and international sales."
2025 Disclosure Cycle,779465,CDP,44181,Gwangju Metropolitan City,City,South East Asia & Oceania,Korea (The Republic of),Public,Q6.1.2,"If you are using or plan to use carbon credits sold to or purchased from outside the jurisdiction or target boundary, provide details.",1,Row 1,We do not currently purchase or sell offset credit transactions,,,,,
2025 Disclosure Cycle,779465,CDP,44184,Ulsan Metropolitan City,City,South East Asia & Oceania,Korea (The Republic of),Public,Q6.1.2,"If you are using or plan to use carbon credits sold to or purchased from outside the jurisdiction or target boundary, provide details.",1,Row 1,We do not currently purchase or sell offset credit transactions,,,,,"산업분야가 아닌 비산업분야(건물, 수송, 농축산 등)로서 탄소배출권 사용 무관함"
2025 Disclosure Cycle,779465,CDP,44185,Suwon City,City,South East Asia & Oceania,Korea (The Republic of),Public,Q6.1.2,"If you are using or plan to use carbon credits sold to or purchased from outside the jurisdiction or target boundary, provide details.",1,Row 1,Offset credit transactions generated within the boundary and sold,Target 1,8222,Carbon Registry,"수원시의 탄소배출권 대상시설은 폐기물처리 시설 10개소로 공공하수처리장, 자원회수시설, 광교정수장, 파장정수장, 위생처리장, 음식물 사료화 시설, 음실물 퇴비화 시설, 자원순환센터, 서호생태수자원센터, 상수도 공급시설이 있다. ","1차 계획기간('15~'17)에는 2,388톤 배출권 잉여로 2차 계획기간으로 이월했으며 2차 계획기간('18~'20)은 8,222톤 배출권 부족으로 매입하였다. 3차 계획기간('21~'25)에는 851,384톤을 할당받아 역대 가장 높은 강도의 감축부담이 예상됨. 할당률도 할당대상 전체 6개 부문(전환/산업/수송/건물/폐기물/공공기타) 중 폐기물 부문이 가장 낮은 것으로 파악됨. 2022년 잉여 배출권은 8,298톤임 "
2025 Disclosure Cycle,779465,CDP,44187,Goyang City,City,South East Asia & Oceania,Korea (The Republic of),Public,Q6.1.2,"If you are using or plan to use carbon credits sold to or purchased from outside the jurisdiction or target boundary, provide details.",1,Row 1,Offset credit transactions purchased from outside of the boundary,Target 1,35941,Carbon Registry,"Goyang's environment-related facilities (four wastewater treatments, one waste incineration, one biomass, one water purification, and one recycling sorting station) have annual emission targets set by government guidelines since 2015, and the city has been purchasing emission credits to meet them since 2021.","In the second half of 2023, the purchase of emission allowances was higher than usual due to a decrease in the efficiency of power generation at the Goyang waste incinerator."
2025 Disclosure Cycle,779465,CDP,44188,Yongin City,City,South East Asia & Oceania,Korea (The Republic of),Public,Q6.1.2,"If you are using or plan to use carbon credits sold to or purchased from outside the jurisdiction or target boundary, provide details.",1,Row 1,We do not currently purchase or sell offset credit transactions,,,,,
2025 Disclosure Cycle,779465,CDP,44191,Ansan City,City,South East Asia & Oceania,Korea (The Republic of),Public,Q6.1.2,"If you are using or plan to use carbon credits sold to or purchased from outside the jurisdiction or target boundary, provide details.",1,Row 1,Offset credit transactions generated within the boundary and sold,Target 1,4519,Other: 한국거래소를 통하여 할당받은 배출권 범위 내의 배출권거래,- 2030년까지 2018년의 온실가스 배출량 대비 40% 감축하기 위한 목표로 온실가스 배출사업장에 배출권을 할당하고 할당범위내에서 사업장간 배출권거래를 할 수 있음.\n- 배출권거래제에 대하여 안산시는 현재 3차 계획기간 중 3차 이행연도업무를 수행했다.,"- 2023년 안산시의 폐기물 부문 할당량 126,667톤 중 117,917톤을 배출하여 8750톤의 잉여분을 발생시켰고, 그중 4,519톤의 잉여분을 매도함"
2025 Disclosure Cycle,779465,CDP,44194,Jeonju City,City,South East Asia & Oceania,Korea (The Republic of),Public,Q6.1.2,"If you are using or plan to use carbon credits sold to or purchased from outside the jurisdiction or target boundary, provide details.",1,Row 1,We do not currently purchase or sell offset credit transactions,,,,,"Currently, Jeonju City does not purchase or sell credits. However, to use the ETS market mechanism, Jeonju City conducts related research projects in 2024 and 2025."
2025 Disclosure Cycle,779465,CDP,44196,Hwaseong City,City,South East Asia & Oceania,Korea (The Republic of),Public,Q6.1.2,"If you are using or plan to use carbon credits sold to or purchased from outside the jurisdiction or target boundary, provide details.",1,Row 1,Offset credit transactions purchased from outside of the boundary,Target 1,35709,Not yet verified,,
