disclosure_cycle,cdp_requesting_org_number,requesting_organization,cdp_disclosing_org_number,disclosing_organization,disclosing_org_type,cdp_region,discloser_country_or_area,public_status,question_number,question_text,row_order,row_name,col1_Electricity consumption (MWh),col2_Heating and cooling consumption (MWh),col3_Year data applies to,col4_Comment
2025 Disclosure Cycle,779465,CDP,54408,Aarhus Municipality,City,Europe,Denmark,Public,Q4.1.4,Report the total jurisdiction-wide annual electricity and heating and cooling consumption for each sector listed and for your government operations.,4,Agricultural sector,14278,54083,2023,Distribution loss is included in the consumption
2025 Disclosure Cycle,779465,CDP,54408,Aarhus Municipality,City,Europe,Denmark,Public,Q4.1.4,Report the total jurisdiction-wide annual electricity and heating and cooling consumption for each sector listed and for your government operations.,5,Transport sector,38333,0,2023,Distribution loss is included in the consumption
2025 Disclosure Cycle,779465,CDP,54408,Aarhus Municipality,City,Europe,Denmark,Public,Q4.1.4,Report the total jurisdiction-wide annual electricity and heating and cooling consumption for each sector listed and for your government operations.,6,Government operations,219249,292333,2023,Distribution loss is included in the consumption 
2025 Disclosure Cycle,779465,CDP,54510,Umeå Municipality,City,Europe,Sweden,Public,Q4.1.4,Report the total jurisdiction-wide annual electricity and heating and cooling consumption for each sector listed and for your government operations.,1,Household/residential sector (Buildings),395000,500000,2023,
2025 Disclosure Cycle,779465,CDP,54510,Umeå Municipality,City,Europe,Sweden,Public,Q4.1.4,Report the total jurisdiction-wide annual electricity and heating and cooling consumption for each sector listed and for your government operations.,2,Commercial sector,401150,156000,2022,
2025 Disclosure Cycle,779465,CDP,54510,Umeå Municipality,City,Europe,Sweden,Public,Q4.1.4,Report the total jurisdiction-wide annual electricity and heating and cooling consumption for each sector listed and for your government operations.,3,Industrial sector,575000,50515,2023,
2025 Disclosure Cycle,779465,CDP,54510,Umeå Municipality,City,Europe,Sweden,Public,Q4.1.4,Report the total jurisdiction-wide annual electricity and heating and cooling consumption for each sector listed and for your government operations.,4,Agricultural sector,8929,0,2023,
2025 Disclosure Cycle,779465,CDP,54510,Umeå Municipality,City,Europe,Sweden,Public,Q4.1.4,Report the total jurisdiction-wide annual electricity and heating and cooling consumption for each sector listed and for your government operations.,5,Transport sector,6805,0,2023,
2025 Disclosure Cycle,779465,CDP,54510,Umeå Municipality,City,Europe,Sweden,Public,Q4.1.4,Report the total jurisdiction-wide annual electricity and heating and cooling consumption for each sector listed and for your government operations.,6,Government operations,109063,160427,2023,
2025 Disclosure Cycle,779465,CDP,54650,Prefeitura de Palmas,City,Latin America,Brazil,Public,Q4.1.4,Report the total jurisdiction-wide annual electricity and heating and cooling consumption for each sector listed and for your government operations.,1,Household/residential sector (Buildings),412561,,2023,
2025 Disclosure Cycle,779465,CDP,54650,Prefeitura de Palmas,City,Latin America,Brazil,Public,Q4.1.4,Report the total jurisdiction-wide annual electricity and heating and cooling consumption for each sector listed and for your government operations.,2,Commercial sector,228641,,2023,
2025 Disclosure Cycle,779465,CDP,54650,Prefeitura de Palmas,City,Latin America,Brazil,Public,Q4.1.4,Report the total jurisdiction-wide annual electricity and heating and cooling consumption for each sector listed and for your government operations.,3,Industrial sector,13126,,2023,
2025 Disclosure Cycle,779465,CDP,54650,Prefeitura de Palmas,City,Latin America,Brazil,Public,Q4.1.4,Report the total jurisdiction-wide annual electricity and heating and cooling consumption for each sector listed and for your government operations.,4,Agricultural sector,6878,,2023,
2025 Disclosure Cycle,779465,CDP,54650,Prefeitura de Palmas,City,Latin America,Brazil,Public,Q4.1.4,Report the total jurisdiction-wide annual electricity and heating and cooling consumption for each sector listed and for your government operations.,5,Transport sector,,,2023,"Este indicador não foi estimado devido à alta complexidade na agregação de dados de todas as fontes de energia consumidas no município. O cálculo exigiria a soma do consumo final de eletricidade (cujos dados são detidos pela concessionária), de todos os combustíveis de transporte (gasolina, etanol, diesel) e de gás (GLP/GN). Atualmente, o município não possui acordos de compartilhamento de dados ou acesso a bases unificadas que permitam consolidar o volume de venda de combustíveis e gás no território municipal para realizar o cálculo per capita de forma precisa."
2025 Disclosure Cycle,779465,CDP,54650,Prefeitura de Palmas,City,Latin America,Brazil,Public,Q4.1.4,Report the total jurisdiction-wide annual electricity and heating and cooling consumption for each sector listed and for your government operations.,6,Government operations,65998,,2023,
2025 Disclosure Cycle,779465,CDP,60216,Växjö Municipality,City,Europe,Sweden,Public,Q4.1.4,Report the total jurisdiction-wide annual electricity and heating and cooling consumption for each sector listed and for your government operations.,1,Household/residential sector (Buildings),210402,673818,2024,data includes the distribution losses. Electricity used for heating is mentioned under electricity instead of heating.
2025 Disclosure Cycle,779465,CDP,60216,Växjö Municipality,City,Europe,Sweden,Public,Q4.1.4,Report the total jurisdiction-wide annual electricity and heating and cooling consumption for each sector listed and for your government operations.,2,Commercial sector,309967,244694,2024,Includes commercial and public sector. data includes the distribution losses. Electricity used for heating is mentioned under electricity instead of heating.
2025 Disclosure Cycle,779465,CDP,60216,Växjö Municipality,City,Europe,Sweden,Public,Q4.1.4,Report the total jurisdiction-wide annual electricity and heating and cooling consumption for each sector listed and for your government operations.,3,Industrial sector,84662,45433,2024,data includes the distribution losses. Electricity used for heating is mentioned under electricity instead of heating.
2025 Disclosure Cycle,779465,CDP,60216,Växjö Municipality,City,Europe,Sweden,Public,Q4.1.4,Report the total jurisdiction-wide annual electricity and heating and cooling consumption for each sector listed and for your government operations.,4,Agricultural sector,21165,651,2024,data includes the distribution losses. Electricity used for heating is mentioned under electricity instead of heating.
2025 Disclosure Cycle,779465,CDP,60216,Växjö Municipality,City,Europe,Sweden,Public,Q4.1.4,Report the total jurisdiction-wide annual electricity and heating and cooling consumption for each sector listed and for your government operations.,5,Transport sector,14634,0.0,2024,data includes distribution losses
2025 Disclosure Cycle,779465,CDP,60216,Växjö Municipality,City,Europe,Sweden,Public,Q4.1.4,Report the total jurisdiction-wide annual electricity and heating and cooling consumption for each sector listed and for your government operations.,6,Government operations,0,0,2024,data for governmental operations is included in commercial and public sector
2025 Disclosure Cycle,779465,CDP,73413,Commune de Cocody,City,UKWW,Côte d'Ivoire,Public,Q4.1.4,Report the total jurisdiction-wide annual electricity and heating and cooling consumption for each sector listed and for your government operations.,1,Household/residential sector (Buildings),3138996.683,24965.6394,2023,"Ces données datent de 2023 en Kilo tonne équivalent pétrole (Ktep) par Ménage\nConsommation finale d'énergie en Côte d'Ivoire: 7,3025 Ktep/Ménage\nConcernant la Commune de Cocody par Ménage:\nConsommation totale d'énergie: 0,1110 Ktep\nDe manière désagrégée\nBois et résidus : 0,0772 Ktep soit 69,6% de la conso totale\nCharbon de Bois: 0,0186 Ktep soit 16,8% de la conso totale\nElectricité: 0,0057 Ktep soit 5,1% de la conso totale \nGaz de pétrole liquéfié (GPL): 0,0093 Ktep soit 8,4% de la conso totale\nPétrole lampant: 0,0111 Ktep soit 0,1% de la conso totale.\n"
2025 Disclosure Cycle,779465,CDP,73413,Commune de Cocody,City,UKWW,Côte d'Ivoire,Public,Q4.1.4,Report the total jurisdiction-wide annual electricity and heating and cooling consumption for each sector listed and for your government operations.,2,Commercial sector,327103.0267,390132.3133,2023,"Ces données datent de 2023 en Kilo tonne équivalent pétrole (Ktep) par Ménage\nConsommation finale d'énergie en Côte d'Ivoire: 7,3025 Ktep/Ménage\nConcernant la Commune de Cocody par Ménage:\nConsommation totale d'énergie: 0,1110 Ktep\nDe manière désagrégée\nBois et résidus : 0,0772 Ktep soit 69,6% de la conso totale\nCharbon de Bois: 0,0186 Ktep soit 16,8% de la conso totale\nElectricité: 0,0057 Ktep soit 5,1% de la conso totale \nGaz de pétrole liquéfié (GPL): 0,0093 Ktep soit 8,4% de la conso totale\nPétrole lampant: 0,0111 Ktep soit 0,1% de la conso totale.\n"
2025 Disclosure Cycle,779465,CDP,73413,Commune de Cocody,City,UKWW,Côte d'Ivoire,Public,Q4.1.4,Report the total jurisdiction-wide annual electricity and heating and cooling consumption for each sector listed and for your government operations.,3,Industrial sector,17459475,147611.97,2023,"Ces données datent de 2023 en Kilo tonne équivalent pétrole (Ktep) par Ménage\nConsommation finale d'énergie en Côte d'Ivoire: 7,3025 Ktep/Ménage\nConcernant la Commune de Cocody par Ménage:\nConsommation totale d'énergie: 0,1110 Ktep\nDe manière désagrégée\nBois et résidus : 0,0772 Ktep soit 69,6% de la conso totale\nCharbon de Bois: 0,0186 Ktep soit 16,8% de la conso totale\nElectricité: 0,0057 Ktep soit 5,1% de la conso totale \nGaz de pétrole liquéfié (GPL): 0,0093 Ktep soit 8,4% de la conso totale\nPétrole lampant: 0,0111 Ktep soit 0,1% de la conso totale.\n"
2025 Disclosure Cycle,779465,CDP,73413,Commune de Cocody,City,UKWW,Côte d'Ivoire,Public,Q4.1.4,Report the total jurisdiction-wide annual electricity and heating and cooling consumption for each sector listed and for your government operations.,4,Agricultural sector,13721.7391,3911.97,2023,Il n'existe pas véritablement d'industries agricoles dans la commune de Cocody. Ce sont de petites entreprises familiales se trouvant dans les villages côtiers où quelques plantations existent encore.
2025 Disclosure Cycle,779465,CDP,73413,Commune de Cocody,City,UKWW,Côte d'Ivoire,Public,Q4.1.4,Report the total jurisdiction-wide annual electricity and heating and cooling consumption for each sector listed and for your government operations.,5,Transport sector,3601956.78,1139249.25,2023,Parc Automobile: 5115\nNombre de Taxis: 4414\nNombre de Voiture Personnelle: 662\nBus: 40\n
2025 Disclosure Cycle,779465,CDP,73413,Commune de Cocody,City,UKWW,Côte d'Ivoire,Public,Q4.1.4,Report the total jurisdiction-wide annual electricity and heating and cooling consumption for each sector listed and for your government operations.,6,Government operations,366406.3472,20514.702,2023,"Ces données datent de 2023 en Kilo tonne équivalent pétrole (Ktep) par Ménage\nConsommation finale d'énergie en Côte d'Ivoire: 7,3025 Ktep/Ménage\nConcernant la Commune de Cocody par Ménage:\nConsommation totale d'énergie: 0,1110 Ktep\nDe manière désagrégée\nBois et résidus : 0,0772 Ktep soit 69,6% de la conso totale\nCharbon de Bois: 0,0186 Ktep soit 16,8% de la conso totale\nElectricité: 0,0057 Ktep soit 5,1% de la conso totale \nGaz de pétrole liquéfié (GPL): 0,0093 Ktep soit 8,4% de la conso totale\nPétrole lampant: 0,0111 Ktep soit 0,1% de la conso totale.\n"
2025 Disclosure Cycle,779465,CDP,929994,Uskudar Municipality,City,UKWW,Türkiye,Public,Q4.1.4,Report the total jurisdiction-wide annual electricity and heating and cooling consumption for each sector listed and for your government operations.,1,Household/residential sector (Buildings),517482424.95,0,2024,"The total annual electricity and heating-cooling consumption for buildings, commercial, industrial, agricultural, transportation sectors, and government operations within the jurisdiction is as shown in the table. Data is sourced from AYEDAŞ."
2025 Disclosure Cycle,779465,CDP,929994,Uskudar Municipality,City,UKWW,Türkiye,Public,Q4.1.4,Report the total jurisdiction-wide annual electricity and heating and cooling consumption for each sector listed and for your government operations.,2,Commercial sector,612212830.23,0,2024,"The total annual electricity and heating-cooling consumption for buildings, commercial, industrial, agricultural, transportation sectors, and government operations within the jurisdiction is as shown in the table. Data is sourced from AYEDAŞ."
2025 Disclosure Cycle,779465,CDP,929994,Uskudar Municipality,City,UKWW,Türkiye,Public,Q4.1.4,Report the total jurisdiction-wide annual electricity and heating and cooling consumption for each sector listed and for your government operations.,3,Industrial sector,0,0,2024,"The total annual electricity and heating-cooling consumption for buildings, commercial, industrial, agricultural, transportation sectors, and government operations within the jurisdiction is as shown in the table. Data is sourced from AYEDAŞ."
2025 Disclosure Cycle,779465,CDP,929994,Uskudar Municipality,City,UKWW,Türkiye,Public,Q4.1.4,Report the total jurisdiction-wide annual electricity and heating and cooling consumption for each sector listed and for your government operations.,4,Agricultural sector,5364.9,0,2024,"The total annual electricity and heating-cooling consumption for buildings, commercial, industrial, agricultural, transportation sectors, and government operations within the jurisdiction is as shown in the table. Data is sourced from AYEDAŞ."
2025 Disclosure Cycle,779465,CDP,929994,Uskudar Municipality,City,UKWW,Türkiye,Public,Q4.1.4,Report the total jurisdiction-wide annual electricity and heating and cooling consumption for each sector listed and for your government operations.,5,Transport sector,0,0,2024,"The total annual electricity and heating-cooling consumption for buildings, commercial, industrial, agricultural, transportation sectors, and government operations within the jurisdiction is as shown in the table. Data is sourced from AYEDAŞ."
2025 Disclosure Cycle,779465,CDP,929994,Uskudar Municipality,City,UKWW,Türkiye,Public,Q4.1.4,Report the total jurisdiction-wide annual electricity and heating and cooling consumption for each sector listed and for your government operations.,6,Government operations,34085720.9,1,2024,"The total annual electricity and heating-cooling consumption for buildings, commercial, industrial, agricultural, transportation sectors, and government operations within the jurisdiction is as shown in the table. Data is sourced from AYEDAŞ."
2025 Disclosure Cycle,779465,CDP,826201,Ayuntamiento de Zapopan,City,Latin America,Mexico,Public,Q4.1.4,Report the total jurisdiction-wide annual electricity and heating and cooling consumption for each sector listed and for your government operations.,1,Household/residential sector (Buildings),676245.64,0.0,2022,No se cuenta con información desagregada por consumo de calefacción y refrigeración. 
2025 Disclosure Cycle,779465,CDP,826201,Ayuntamiento de Zapopan,City,Latin America,Mexico,Public,Q4.1.4,Report the total jurisdiction-wide annual electricity and heating and cooling consumption for each sector listed and for your government operations.,2,Commercial sector,234249.57,0.0,2022,No se cuenta con información desagregada por consumo de calefacción y refrigeración. 
2025 Disclosure Cycle,779465,CDP,826201,Ayuntamiento de Zapopan,City,Latin America,Mexico,Public,Q4.1.4,Report the total jurisdiction-wide annual electricity and heating and cooling consumption for each sector listed and for your government operations.,3,Industrial sector,1545022.54,0.0,2022, No se cuenta con información desagregada por consumo de calefacción y refrigeración. 
2025 Disclosure Cycle,779465,CDP,826201,Ayuntamiento de Zapopan,City,Latin America,Mexico,Public,Q4.1.4,Report the total jurisdiction-wide annual electricity and heating and cooling consumption for each sector listed and for your government operations.,4,Agricultural sector,3683.74,0.0,2022, No se cuenta con información desagregada por consumo de calefacción y refrigeración. 
2025 Disclosure Cycle,779465,CDP,826201,Ayuntamiento de Zapopan,City,Latin America,Mexico,Public,Q4.1.4,Report the total jurisdiction-wide annual electricity and heating and cooling consumption for each sector listed and for your government operations.,5,Transport sector,0,0.0,,No se cuenta con información desagregada 
2025 Disclosure Cycle,779465,CDP,826201,Ayuntamiento de Zapopan,City,Latin America,Mexico,Public,Q4.1.4,Report the total jurisdiction-wide annual electricity and heating and cooling consumption for each sector listed and for your government operations.,6,Government operations,0,0.0,2022,Se incluye en en sector de viviendas/residencial (edificios)
