disclosure_cycle,cdp_requesting_org_number,requesting_organization,cdp_disclosing_org_number,disclosing_organization,disclosing_org_type,cdp_region,discloser_country_or_area,public_status,question_number,question_text,row_order,row_name,col1_Climate component,"col2_Other types of governments engaged in the development, implementation and/or monitoring of component",col3_Outline the purpose of this engagement,col4_Comment
2025 Disclosure Cycle,779465,CDP,31184,Prefeitura de São Paulo,City,Latin America,Brazil,Public,Q1.5,Report on your engagement with other levels of government regarding your jurisdiction's climate action.,3,Row 3,Climate action plan,State/Regional-level government,"To facilitate the integration of this component into assessments and policy developed across different levels of government|The development of this component is required by a higher-level of government that is not the national government (e.g., by law, regulation and/or agreement)|To facilitate the integration of this component into the National Adaptation Plan (NAP)|To facilitate the integration of this component into the Nationally Determined Contribution (NDC)",O plano de ação climática inclui as metas e objetivos de adaptação e mitigação. 
2025 Disclosure Cycle,779465,CDP,31184,Prefeitura de São Paulo,City,Latin America,Brazil,Public,Q1.5,Report on your engagement with other levels of government regarding your jurisdiction's climate action.,4,Row 4,Climate risk and vulnerability assessment,State/Regional-level government|National-level government,"To facilitate the integration of this component into the Nationally Determined Contribution (NDC)|Progress tracking and/or updates associated with this component are shared with a higher-level of government (e.g., via a digital platform)|The development of this component is required by the national government (e.g., by law, regulation and/or agreement)|To collect data and/or feedback from other levels of government to inform its development",Análise de risco e vulnerabilidade climática realizado no Plano de Ação Climática 
2025 Disclosure Cycle,779465,CDP,31185,City of Warsaw,City,Europe,Poland,Public,Q1.5,Report on your engagement with other levels of government regarding your jurisdiction's climate action.,1,Row 1,Climate action plan,Lower level of government|State/Regional-level government|National-level government,To facilitate capacity building across different levels of government,"CapaCITIES collaboration platform - supports Polish cities participating in the EC Mission \'100 Climate Neutral and Smart Cities by 2030\' by building national and regional governance and cooperation structures, and aims to create the conditions and provide the means for cities to implement the Climate Neutral and Smart Cities Mission. The project has initiated a dialogue between cities and the regional (marshal offices) and national (ministries) levels on organizational, financial and legislative barriers, and discussed how to increase the influence of cities on climate policy. Currently, Warsaw's representatives, together with other cities submitting Municipal Climate Contracts as part of the EC Mission \'100 Climate Neutral and Smart Cities by 2030\', are meeting regularly with representatives of the Ministry of Climate and Environment. The aim of the cooperation is to discuss the main systemic barriers to the implementation of the contracts and possible solutions to support the cities. The Ministry is a signatory to the Climate Contracts. Warsaw actively participates in the work of the Energy, Climate, and Environment Team of the Joint Commission of the National Government and Local Governments, whose goal is to develop a common stance on climate and environmental policy, including proposing legislative initiatives, issuing opinions on legal acts, and developing solutions."
2025 Disclosure Cycle,779465,CDP,31185,City of Warsaw,City,Europe,Poland,Public,Q1.5,Report on your engagement with other levels of government regarding your jurisdiction's climate action.,2,Row 2,Community-wide GHG emissions inventory,State/Regional-level government|Lower level of government,To collect data and/or feedback from other levels of government to inform its development|To facilitate the integration of this component into assessments and policy developed across different levels of government,The City of Warsaw is relentlessly undertaking various efforts to spread good practice and open data for wider use.\n
2025 Disclosure Cycle,779465,CDP,31185,City of Warsaw,City,Europe,Poland,Public,Q1.5,Report on your engagement with other levels of government regarding your jurisdiction's climate action.,3,Row 3,Climate risk and vulnerability assessment,National-level government|State/Regional-level government|Lower level of government,"Progress tracking and/or updates associated with this component are shared with a higher-level of government (e.g., via a digital platform)|The development of this component is required by the national government (e.g., by law, regulation and/or agreement)|To facilitate the integration of this component into the National Adaptation Plan (NAP)|To collect data and/or feedback from other levels of government to inform its development|To facilitate information sharing across different levels of government",All Polish cities and towns with over 20000 residents are required to develop systems for climate risk and vulnerability assessment and include them into their monitoring frameworks. This component is required by law on several levels of government. The component is an integral part of Urban Adaptation Plans. The City of Warsaw is in the process of developing the new Urban Adaptation Plan.
2025 Disclosure Cycle,779465,CDP,31185,City of Warsaw,City,Europe,Poland,Public,Q1.5,Report on your engagement with other levels of government regarding your jurisdiction's climate action.,4,Row 4,Climate adaptation goal,State/Regional-level government|Lower level of government|National-level government,"To facilitate the integration of this component into assessments and policy developed across different levels of government|To collect data and/or feedback from other levels of government to inform its development|The development of this component is required by the national government (e.g., by law, regulation and/or agreement)|The method used to develop this component was required or recommended by a higher-level of government|To facilitate capacity building across different levels of government|The development of this component is required by a higher-level of government that is not the national government (e.g., by law, regulation and/or agreement)|To facilitate information sharing across different levels of government|Progress tracking and/or updates associated with this component are shared with a higher-level of government (e.g., via a digital platform)",All Polish cities and towns with over 20000 residents are required by law to set adaptional goals. The component is an integral part of Urban Adaptation Plans on varios levels of Government. The City of Warsaw is in the process of developing the new Urban Adaptation Plan.
2025 Disclosure Cycle,779465,CDP,31185,City of Warsaw,City,Europe,Poland,Public,Q1.5,Report on your engagement with other levels of government regarding your jurisdiction's climate action.,5,Row 5,Climate mitigation target,Lower level of government|State/Regional-level government|National-level government,To facilitate information sharing across different levels of government|To facilitate the integration of this component into the National Adaptation Plan (NAP)|Other: ,The targets are not set on a National level. There is no established methodology for setting mitigation targets beyond GHG Protocol. National Energy and Climate Plan is in the development phase. We hope to report on the plan in the next CDP reporting cycle. The City of Warsaw currently reports only a part of climate actions associated with mitigated targets to the Environmental Protection Programme on a regional level (Voievodship).
2025 Disclosure Cycle,779465,CDP,31186,Changwon City,City,South East Asia & Oceania,Korea (The Republic of),Public,Q1.5,Report on your engagement with other levels of government regarding your jurisdiction's climate action.,1,Row 1,Climate action plan,State/Regional-level government,To facilitate capacity building across different levels of government,"창원시는 기후변화 대응과 관련하여 국가·광역·주민 단위 등 다양한 수준의 정부 및 이해관계자와 협력체계를 구축·운영하고 있다.\n\n1. 기후 요소 협력 범위\n1)국가 차원의 온실가스 인벤토리, NDC 이행 점검, 국가 기후적응대책 등과 연계하여 지역 데이터를 제공·검증.\n2)광역 지자체(경상남도)와는 광역 탄소중립 계획 및 재난대응 연계사업을 공동 추진.\n3)시민·민간단체와는 에너지 절약·탄소중립 시민 캠페인 및 생활 속 실천운동을 공동 실행.\n\n2. 참여 수준\n1)국가 정부: 기초 지자체 온실가스 인벤토리 작성·제출, 기후적응 이행평가 참여, 국가정책 협의체 참여.\n2)광역 정부(경상남도): 광역-기초 공동 적응사업(산림·물관리·재난대응) 추진, 광역계획과 지역계획 정합성 검토.\n3)시민·주민: 지역 단위 실천 프로그램(자전거 출퇴근 챌린지, 공유텀블러, 주민참여형 에너지 절감 캠페인) 직접 참여.\n\n3. 참여 목적\n1)국가 목표 부합: 창원시 온실가스 감축성과가 국가 NDC 달성에 기여할 수 있도록 데이터와 사업성과를 상향 보고.\n2)적응 계획 연계: 지역 기후취약성 평가 결과를 국가 NAP 및 광역계획에 반영, 중앙정부 예산 확보의 근거로 활용.\n3)성과 공유: 정책·사업 성과를 디지털 플랫폼을 통해 공개하고, 상위 정부 및 시민사회와 지속적으로 피드백 교환.\n4)정책 정합성 강화: 창원시 자체 사업(적응·감축·교육)이 국가정책 및 법제와 충돌하지 않도록 정기적인 협의·조정 실시.\n\n창원시는 기초지자체 단위에서 생산되는 정량적 데이터와 정책 성과를 국가 및 광역정부와 긴밀히 공유하고, 주민·민간과의 협력 네트워크를 통해 실천력을 높이며 정책 정합성을 확보하고 있다. \n\n이러한 다층적 협력은 창원시 단위 사업이 국가 NDC 및 법제도와 연동되어 상위 정부 목표 달성과 지역 주민 삶의 질 개선에 동시에 기여하는 기반이 되고 있다."
2025 Disclosure Cycle,779465,CDP,31187,Seoul Metropolitan Government,City,South East Asia & Oceania,Korea (The Republic of),Public,Q1.5,Report on your engagement with other levels of government regarding your jurisdiction's climate action.,1,Row 1,Climate action plan,National-level government,"The method used to develop this component was required or recommended by a higher-level of government|The development of this component is required by the national government (e.g., by law, regulation and/or agreement)|To facilitate information sharing across different levels of government|Progress tracking and/or updates associated with this component are shared with a higher-level of government (e.g., via a digital platform)|The development of this component is required by a higher-level of government that is not the national government (e.g., by law, regulation and/or agreement)","Pursuant to the Seoul City Climate Change Response Ordinance, Seoul has been proactively developing and implementing its own Comprehensive Climate Change Plan. To align with the national climate action framework, Seoul developed its Framework Plan for Carbon Neutrality and Green Growth in 2024, as stipulated in the Framework Act on Carbon Neutrality and Green Growth. The city is obligated to provide annual updates on the plan's progress to the Ministry of Environment. To ensure a coordinated approach, Seoul's 25 autonomous districts have also developed their own district-level plans by April 2025, building upon the national and city-level plans. "
2025 Disclosure Cycle,779465,CDP,31446,Taipei City Government,City,China,East Asia,Public,Q1.5,Report on your engagement with other levels of government regarding your jurisdiction's climate action.,1,Row 1,Climate risk and vulnerability assessment,State/Regional-level government,To facilitate the integration of this component into assessments and policy developed across different levels of government,"In accordance with the Greenhouse Gas Reduction and Management Act, Taiwan adopts a phased and hierarchical approach to greenhouse gas (GHG) mitigation and management:\n1.Central Government: Formulates the National Climate Change Action Plan and GHG Reduction Promotion Projects, integrating national economic, energy, and environmental conditions to serve as the overarching policy framework.\n2.Central Sectoral Authorities: Based on the national action plan, sector-specific authorities (e.g., energy, manufacturing, transportation, residential, commercial, and agriculture) prepare GHG emission control action plans. These plans include sectoral reduction targets, implementation schedules, and economic incentive measures.\n3.Local Governments (e.g., Taipei City Government): Following central government guidance, local governments revise and implement their GHG Control Action Plans. These plans must be approved by the central government and are subject to review and updates every five years."
2025 Disclosure Cycle,779465,CDP,32480,City of Adelaide,City,South East Asia & Oceania,Australia,Public,Q1.5,Report on your engagement with other levels of government regarding your jurisdiction's climate action.,1,Row 1,Climate action plan,State/Regional-level government,To collect data and/or feedback from other levels of government to inform its development,"Various State Government departments were included in sector specific community consultations that informed the Climate Action Plan 2022-2025, and followed up with targeted engagements for the subsequent Integrated Climate Strategy 2030. These sessions were focused on determining what is already happening within these sectors across our jurisdiction and identifying ways in which the CoA can support or collaborate on projects that would reduce emissions and assist with a community-wide transition towards a low carbon economy. In addition to the community consultation process specific state government bodies were approached to discuss details of relevant actions to ensure alignment with State Government actions and to identify where City of Adelaide and the State Government could work together in delivering more ambitious actions."
2025 Disclosure Cycle,779465,CDP,32550,"City of Denver, CO",City,North America,United States of America,Public,Q1.5,Report on your engagement with other levels of government regarding your jurisdiction's climate action.,1,Row 1,Community-wide GHG emissions inventory,State/Regional-level government,"Progress tracking and/or updates associated with this component are shared with a higher-level of government (e.g., via a digital platform)",The City and County of Denver participated in the Denver Regional Council of Governments' regional GHG Inventory process. CCD was one of 10 counties that participated to provide data and contribute to the collaboration. 
2025 Disclosure Cycle,779465,CDP,32550,"City of Denver, CO",City,North America,United States of America,Public,Q1.5,Report on your engagement with other levels of government regarding your jurisdiction's climate action.,2,Row 2,Climate action plan,State/Regional-level government,To facilitate the integration of this component into assessments and policy developed across different levels of government,"Denver and the State of Colorado are both leaders in Climate Action Planning. Denver engages with the Colorado Energy Office and other Departments to ensure awareness of both local and state level policy impacts. In some cases, strategies developed by the City and County of Denver have been expanded into state level programs. "
2025 Disclosure Cycle,779465,CDP,32550,"City of Denver, CO",City,North America,United States of America,Public,Q1.5,Report on your engagement with other levels of government regarding your jurisdiction's climate action.,3,Row 3,Climate action plan,State/Regional-level government,To facilitate capacity building across different levels of government|To facilitate the integration of this component into assessments and policy developed across different levels of government|To facilitate information sharing across different levels of government,"The City and County of Denver participated in the Denver Regional Council of Governments' United States Environmental Protection Agency Climate Pollution Reduction Grant Program. As a Stakeholder in the both the Preliminary and Comprehensive Climate Action Plans, Denver is sharing resources and best practices across the region. Part of that input was incorporated into a successful Implementation Grant awarded to the Region for Building and Transportation Sector emissions mitigation."
2025 Disclosure Cycle,779465,CDP,32550,"City of Denver, CO",City,North America,United States of America,Public,Q1.5,Report on your engagement with other levels of government regarding your jurisdiction's climate action.,4,Row 4,Climate risk and vulnerability assessment,Other: Inter-agency coordination,To facilitate the integration of this component into assessments and policy developed across different levels of government|To facilitate information sharing across different levels of government|To facilitate capacity building across different levels of government,"Denver is seeing more extreme heat days than ever before, posing an increasing threat to public health and safety, particularly for vulnerable populations. CASR, Denver's Department of Public Health and the Environment (DDPHE) and Office of Energy Management (OEM) initiated the city's 2024 Heat Summit series to identify gaps in services to the community and opportunities to address extreme heat. The Summits also identified immediate areas to take action, including consolidating information about extreme heat preparedness on the city website, expanding the urban tree canopy and developing a cooling and air purifier pilot program. "
2025 Disclosure Cycle,779465,CDP,35268,"City of Boston, MA",City,North America,United States of America,Public,Q1.5,Report on your engagement with other levels of government regarding your jurisdiction's climate action.,1,Row 1,Climate adaptation goal,Higher level of government (not listed above),To facilitate information sharing across different levels of government|To collect data and/or feedback from other levels of government to inform its development,"As part of the City of Boston's Climate Ready Boston program, the City regularly engages with other cities, State government, and Federal government in support of the City's adaptation and resilience goals. For example, the City participates in the Metropolitan Area Planning Council's Metro Mayors Task Force, which is a group of cities in the Greater Boston region focused on coordination and knowledge sharing around climate resilience priorities. The City participates in the Resilient Mystic Collaborative, a group created by the Mystic River Watershed Association to coordinate among cities along the Mystic River around climate resilience priorities. The City participates in the Charles River Climate Compact, a group created by the Charles River Watershed Association to coordinate among cities along the Charles River around climate resilience priorities. And the City participates with the Neponset River Watershed Association on proposals for regional coordination among cities along the Neponset River around climate resilience priorities. Boston also serves on the steering committee of the Greater Boston Regional Advisory Group (GBRAG), which develops updated regional climate risk assessments for the Greater Boston region. In terms of State engagement, the City serves on various working groups with the State's on-going Massachusetts Climate Change Assessment project led by the Massachusetts Executive Office of Energy and Environmental Affairs, which develops additional information and guidance for municipalities on climate vulnerabilities in Massachusetts. The City also works closely with the Massachusetts Emergency Management Agency (MEMA), the Massachusetts Office of Coastal Zone Management (CZM), and other State agencies around grant opportunities to move identified resilience projects forward. In terms of Federal engagement, the City works closely with the Federal Emergency Management Agency (FEMA), the U.S. Department of Transportation (USDOT), the Army Corps of Engineers (USACE), the Environmental Protection Agency (EPA), and other partners on areas of shared priority for climate action and resilience. In particular, the City regularly works with FEMA on grant proposals to move identified resilience projects forward."
