disclosure_cycle,cdp_requesting_org_number,requesting_organization,cdp_disclosing_org_number,disclosing_organization,disclosing_org_type,cdp_region,discloser_country_or_area,public_status,question_number,question_text,row_order,row_name,col1_Total annual jurisdiction-wide electricity consumption in MWh,col2_Data source used to provide percentage breakdown of consumption by energy type,col3_Percentage of total consumption from coal (%),col4_Percentage of total consumption from gas (%),col5_Percentage of total consumption from oil (%),col6_Percentage of total consumption from nuclear (%),col7_Percentage of total consumption from hydropower (%),col8_Percentage of total consumption from bioenergy (biomass and biofuels) (%),col9_Percentage of total consumption from wind (%),col10_Percentage of total consumption from geothermal (%),col11_Percentage of total consumption from solar (%),col12_Percentage of total consumption from waste to energy (excluding biomass component) (%),col13_Percentage of total consumption from wave (%),col14_Percentage of total consumption from tidal (%),col15_Percentage of total consumption from other renewable sources (%),col16_Percentage of total consumption from other non-renewable sources (%),col17_Year data applies to,col18_Comment
2025 Disclosure Cycle,779465,CDP,35859,"City of Cleveland, OH",City,North America,United States of America,Public,Q4.1.1,Report the total electricity consumption in MWh and the energy mix used for electricity consumption in your jurisdiction.,1,Electricity consumption,5651801.28,Utility-level data,19.3,40.4,0,27.5,6.8,0.03,3.34,0,0.9,0,,,1.7,0,2023,"Combined data from FirstEnergy (Cleveland Electric Illuminating Company) and Cleveland Public Power, including CPP purchases from PJM Marketplace."
2025 Disclosure Cycle,779465,CDP,35863,eThekwini Municipality,City,UKWW,South Africa,Public,Q4.1.1,Report the total electricity consumption in MWh and the energy mix used for electricity consumption in your jurisdiction.,1,Electricity consumption,10700000,Jurisdiction-level data,0,0,0,0,0,0,0,0,0,0,0,0,10,90,2023,"The energy mix is from 2023 financial year from Eskom annual report. However, there is small component of renewables penetration at eThekwini Municipality at at least 1% from landfill gas to power projects and residential scale solar PV. The mix is traditionally from Eskom mix since Eskom supplies almost 99% of eThelkwini electricity consumption."
2025 Disclosure Cycle,779465,CDP,35865,Municipality of Fortaleza,City,Latin America,Brazil,Public,Q4.1.1,Report the total electricity consumption in MWh and the energy mix used for electricity consumption in your jurisdiction.,1,Electricity consumption,13349978,Regional/State-level data,1.5,8.0,4.0,2.0,62.5,8.5,9.8,0.0,1.7,0.0,0,0,1.0,1.0,2021,"A Empresa de Pesquisa Energética (EPE) apresenta o Anuário Estatístico de Energia Elétrica 2021, onde são divulgados os dados relacionados ao consumo de energia elétrica na rede de distribuição nos últimos cinco anos, com ênfase em 2020 (ano-base). Cumpre ressaltar que os dados aqui apresentados não contemplam a parcela consumida em unidades autoprodutoras de energia elétrica. Por fim, vale registrar que a série histórica mensal de consumo de energia elétrica por classe de consumo e regiões geográficas é mantida atualizada pela EPE em seu portal, assim como a versão digital deste Anuário e seus mais novos produtos relacionados, tais como o seu Sumário Executivo e as suas planilhas de dados: Link: http://www.epe.gov.br."
2025 Disclosure Cycle,779465,CDP,35870,"City of Miami, FL",City,North America,United States of America,Public,Q4.1.1,Report the total electricity consumption in MWh and the energy mix used for electricity consumption in your jurisdiction.,1,Electricity consumption,5878694.654,Utility-level data,0.4,68.8,0.1,18.7,0.0,0.0,0.0,0.0,9.2,0.0,0.0,0.0,0.0,2.9,2023,"Natural Gas: 68.8%; Nuclear 18.7%; Solar 9.2%; Purchased Power 2.9%; Coal 0.4%; Oil 0.1%.\n\nData reported from Florida Power & Light (FPL) 2025 quarterly publication (July 2025). Miami has a single electricity utility provider. FPL recently announced they are aiming to reach zero carbon energy by 2045 under their “FPL Real Zero” plan, meaning completely eliminating carbon emissions from operations (fuel mix will be solar, wind, nuclear, and green hydrogen).\n\nhttps://www.investor.nexteraenergy.com/~/media/Files/N/NEE-IR/Sustainability/NextEraEnergyZeroCarbonBlueprint.pdf\n\nhttps://www.fpl.com/content/dam/fplgp/us/en/news/2025/fpl-energy-news-q3.pdf"
2025 Disclosure Cycle,779465,CDP,35872,Municipality of Recife,City,Latin America,Brazil,Public,Q4.1.1,Report the total electricity consumption in MWh and the energy mix used for electricity consumption in your jurisdiction.,1,Electricity consumption,3204353,Regional/State-level data,0,0,0,0,31,43,19,0,7,0,0,0,0,0,2022,-
2025 Disclosure Cycle,779465,CDP,35873,Medellín,City,Latin America,Colombia,Public,Q4.1.1,Report the total electricity consumption in MWh and the energy mix used for electricity consumption in your jurisdiction.,1,Electricity consumption,3596506,National-level data,11.05,17.41,0.9,0.0,65.45,1.05,0.18,0.0,3.97,0,0.0,0.0,0.0,0.0,2024,Datos de composición de matriz eléctrica fueron consultados en los registros del Balance Energético Colombiano de la Unidad de Planeación Minero Energética UPME- https://www1.upme.gov.co/informacioncifras/paginas/BECOCONSULTA.aspx y en el sistema de información del operador del Sistema Interconectado Nacional (SIN) y administrador del Mercado de Energía Mayorista (MEM) -MX https://sinergox.xm.com.co/oferta/Paginas/Informes/GeneracionSIN.aspx 
2025 Disclosure Cycle,779465,CDP,35874,"City of Phoenix, AZ",City,North America,United States of America,Public,Q4.1.1,Report the total electricity consumption in MWh and the energy mix used for electricity consumption in your jurisdiction.,1,Electricity consumption,18264728,Regional/State-level data,15.7,44.3,0.0,18.7,3.1,0.3,7.4,3.4,7,0.0,0.0,0.0,0.0,0.0,2022,https://www.epa.gov/system/files/documents/2024-01/egrid2022_summary_tables.pdf Electricity mix is from eGRID 2022 for the Arizona-New Mexico region and Total electricity consumption (MWh) is from the 2022 GHG Inventory Report 
2025 Disclosure Cycle,779465,CDP,35877,"City of Pittsburgh, PA",City,North America,United States of America,Public,Q4.1.1,Report the total electricity consumption in MWh and the energy mix used for electricity consumption in your jurisdiction.,1,Electricity consumption,4826649,Jurisdiction-level data,10,54,,32,1.2,0.8,1.6,,0.48,,,,,,2022,Source from electricity mix by source: https://www.eia.gov/state/analysis.php?sid=PA
2025 Disclosure Cycle,779465,CDP,35882,"City of Tampa, FL",City,North America,United States of America,Public,Q4.1.1,Report the total electricity consumption in MWh and the energy mix used for electricity consumption in your jurisdiction.,1,Electricity consumption,5623432.508,"Other data source: Regional-level data using account for the zip codes that cross the boundary between City limits and unincorporated Hillsborough County, total electricity consumption in those areas was apportioned by using the percent land in each zip code",6.9,92.2,0.0,0.0,0.0,0.0,0.0,0.0,2.2,0.0,0.0,0.0,0.0,0.0,2025,
2025 Disclosure Cycle,779465,CDP,35883,"City of San José, CA",City,North America,United States of America,Public,Q4.1.1,Report the total electricity consumption in MWh and the energy mix used for electricity consumption in your jurisdiction.,1,Electricity consumption,5178262,Utility-level data,0.0,0.0,0.0,25.4,16,1.2,31.1,0.2,21.7,0.0,0.0,0.0,0.0,4.4,2023,"This is the electric power generation mix for San Jose Clean Energy's GreenSource plan, which applies to the majority of electricity customers in San Jose. The 4.4% reported as \'other non-renewable sources\' refers to electricity from \'Unspecified Sources of Power\' - electricity that is not traceable to a specific generating facility, such as electricity traded through open market transactions. This is typically a mix of all resource types, and may include renewables. More info is available in San Jose Clean Energy's 2023 Power Content Label: https://sanjosecleanenergy.org/wp-content/uploads/2024/11/SJCE-2023-PCL.pdf. Electricity consumption value is for 2023.\n"
2025 Disclosure Cycle,779465,CDP,35885,Tel Aviv-Yafo Municipality,City,UKWW,Israel,Public,Q4.1.1,Report the total electricity consumption in MWh and the energy mix used for electricity consumption in your jurisdiction.,1,Electricity consumption,2872.56,National-level data,14.3,70.6,,,,,,,14.1,,,,,,2024,"Data taken from the Knesset of Israel website, Energy Sector Report, May 2025.\nhttps://fs.knesset.gov.il/globaldocs/MMM/02d111de-302f-f011-a85f-005056aa9911/2_02d111de-302f-f011-a85f-005056aa9911_11_20951.pdf \n(P/3)\n\n"
2025 Disclosure Cycle,779465,CDP,35894,"Ville de Montreal, QC",City,North America,Canada,Public,Q4.1.1,Report the total electricity consumption in MWh and the energy mix used for electricity consumption in your jurisdiction.,1,Electricity consumption,29924378.25,Regional/State-level data,0.0167,0.0167,0.0167,0.05,98.84,0.91,0.15,0.0,0,0,0.0,0.0,0.0,0.0,2023,see following file for electricity source mix and total province consumption https://www.hydroquebec.com/data/developpement-durable/pdf/label-hq-main-power-grid-2023.pdf
2025 Disclosure Cycle,779465,CDP,35898,Greater Manchester Combined Authority,City,UKWW,United Kingdom,Public,Q4.1.1,Report the total electricity consumption in MWh and the energy mix used for electricity consumption in your jurisdiction.,1,Electricity consumption,9991870,National-level data,1.6,30.43,41.82,0,0,0,0.0,0.0,0.0,4.35,0.0,0.0,20.74,0.0,,"Data sourced from IEA using table \'Total energy supply (TES) by source, United Kingdom 1990-2022\'\n\n'Renewables and waste' is reported under the category of 'consumption from waste to energy'.\n\n'Electricity' is reported as percentage of total consumption from other renewable sources' "
2025 Disclosure Cycle,779465,CDP,35993,Singapore Government,City,South East Asia & Oceania,Singapore,Public,Q4.1.1,Report the total electricity consumption in MWh and the energy mix used for electricity consumption in your jurisdiction.,1,Electricity consumption,55386900,National-level data,0.91,94.45,0.38,0.0,0.0,0.0,0.0,0.0,,,0,0,,,2023,"Total electricity consumption data is as of 2023 and can be referenced from SES T3.2.\n\nThe generation fuel mix is as of 2023 and can be referenced from SES T2.2. Other energy products (e.g. municipal waste, biomass and solar) accounted for ~4.27% of total energy generation."
2025 Disclosure Cycle,779465,CDP,36037,Santiago de Cali,City,Latin America,Colombia,Public,Q4.1.1,Report the total electricity consumption in MWh and the energy mix used for electricity consumption in your jurisdiction.,1,Electricity consumption,2774637,Utility-level data,9,15,6,0,67,0,0,0,2,0,0,0,0,0,2022,La información oficial de la jurisdicción no discrimina que porcentaje de la energía eléctrica consumida viene de la generación de los diferentes energéticos de la matriz energética nacional. Por ende se reportan los mismos porcentajes de la matriz energética nacional de la UPME
2025 Disclosure Cycle,779465,CDP,36152,City of Tallinn,City,Europe,Estonia,Public,Q4.1.1,Report the total electricity consumption in MWh and the energy mix used for electricity consumption in your jurisdiction.,1,Electricity consumption,1963000,Jurisdiction-level data,0,0,0.0,0.0,0.0,35,5,0.0,0.9,1.8,0.0,0.0,,49,2021,Largest sources of electricity generation in Estonia in 2021 were oil shale 49% and biomass 23%.
2025 Disclosure Cycle,779465,CDP,36159,City of Lisbon,City,Europe,Portugal,Public,Q4.1.1,Report the total electricity consumption in MWh and the energy mix used for electricity consumption in your jurisdiction.,1,Electricity consumption,2945664,National-level data,1.8,59.2,0.0,7.5,11.6,2.4,8.1,0.0,5,0.9,0.0,0.0,0.5,3,2022,"The breakdown of consumption by energy type presented above corresponds to the national production mix from the national energy regulator (https://www.erse.pt/eletricidade/garantias-de-origem-e-rotulagem/rotulagem/). There are more than 20 utilities companies that supply electricity in Lisbon with very different production mixes. On the other hand, the wholesale electricity market is Iberian (PT ans ES) which makes it even more difficult to have credible information on the mix of electricity consumed in the city on a market approach basis. Taking into account these limitations, the Lisbon Emissions Inventory considers, for calculation purposes, the emission factor published by the International Energy Agency (IEA). In 2022, the FE = 157.5 gCO2e/kWh"
2025 Disclosure Cycle,779465,CDP,36218,Fukuoka City,City,Japan,Japan,Public,Q4.1.1,Report the total electricity consumption in MWh and the energy mix used for electricity consumption in your jurisdiction.,1,Electricity consumption,6680000,Utility-level data,29,19,1,23,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,1,2022,その他の再生可能エネルギー源からの消費量の割合に、太陽光・風力・地熱・バイオマスを含む。その他の非再生可能エネルギー源からの消費量の割合には、エネルギー源が不明なもの。
2025 Disclosure Cycle,779465,CDP,36219,City of Sapporo,City,Japan,Japan,Public,Q4.1.1,Report the total electricity consumption in MWh and the energy mix used for electricity consumption in your jurisdiction.,1,Electricity consumption,8649043,Utility-level data,42,10,17,1,10,0,0,0,0,0,0,0,17,4,2022,　その他の再生可能エネルギー源からの消費量の割合に、太陽光・風力・地熱・バイオマスを含む。\n　その他の非再生可能エネルギー源からの消費量の割合には、コージェネレーションシステムなど分散電源を含む。
2025 Disclosure Cycle,779465,CDP,36285,City of Florence,City,Europe,Italy,Public,Q4.1.1,Report the total electricity consumption in MWh and the energy mix used for electricity consumption in your jurisdiction.,1,Electricity consumption,1445300,National-level data,8.34,48.66,1.16,0,7,9,7,0.6,13.35,0.0,0.0,0.0,0.0,4.89,2022,data from GSE https://www.gse.it/servizi-per-te/fonti-rinnovabili/fuel-mix/documenti
2025 Disclosure Cycle,779465,CDP,36410,"City of Memphis, TN",City,North America,United States of America,Public,Q4.1.1,Report the total electricity consumption in MWh and the energy mix used for electricity consumption in your jurisdiction.,1,Electricity consumption,9396501,Utility-level data,15.42,28,0.0,42.835,9.44,0.228,1.393,0.0,0.317,0.0,0,0,2.307,0.06,2023,Data comes from the MLGW 2023 Annual Report and Calendar Year 2023 Scope 2 Carbon Emission Rate for Customers on General Power Rate. The percentages listed above have been checked and they add up to 100%.
2025 Disclosure Cycle,779465,CDP,36501,City of Prato,City,Europe,Italy,Public,Q4.1.1,Report the total electricity consumption in MWh and the energy mix used for electricity consumption in your jurisdiction.,1,Electricity consumption,748575.65,National-level data,6.34,42.28,0.48,3.22,18.32,7.56,7.23,2.32,9.61,0.0,0,0,0.0,2.64,2020,Electricity national mix 2020 and Summary Report GSE - FER 2020. 
2025 Disclosure Cycle,779465,CDP,42120,City of Salvador,City,Latin America,Brazil,Public,Q4.1.1,Report the total electricity consumption in MWh and the energy mix used for electricity consumption in your jurisdiction.,1,Electricity consumption,3839670,National-level data,2.2,9.5,2.3,2.4,61.9,8.5,13,0,5.1,3.6,0,0,0,,2022,"O consumo de eletricidade de Salvador em 2022 foi estimado a partir das emissões atribuídas ao setor elétrico municipal (163.600 tCO₂e) e do fator médio de emissão do Sistema Interligado Nacional (0,0426 tCO₂e/MWh), resultando em 3.839.670 MWh. O mix de eletricidade utilizado corresponde à participação efetiva das fontes na geração elétrica nacional em 2022, conforme o Balanço Energético Nacional - Síntese 2023 (EPE, ano base 2022). Salvador não dispõe de geração local que permita caracterizar uma matriz diferenciada, sendo portanto apropriado adotar a matriz média do SIN como proxy para o consumo do município.O restante do consumo de eletricidade no município é suprido pelo Sistema Interligado Nacional (SIN), cujo mix médio de geração é predominantemente renovável (com destaque para hidrelétricas), mas não é possível determinar sua composição específica aplicada ao consumo final de Salvador."
2025 Disclosure Cycle,779465,CDP,42178,Distrito Metropolitano de Quito,City,Latin America,Ecuador,Public,Q4.1.1,Report the total electricity consumption in MWh and the energy mix used for electricity consumption in your jurisdiction.,1,Electricity consumption,3229335.26,Utility-level data,0.0,0.0,20,0,80,0.0,0.0,0.0,0.0,0.0,0,0,0.1,0.0,2023,"Los datos de fuentes de energía corresponden al sistema Nacional Interconectado, los datos de consumo de electricidad corresponden a datos generados por la empresa Eléctrica."
2025 Disclosure Cycle,779465,CDP,43905,"City of San Antonio, TX",City,North America,United States of America,Public,Q4.1.1,Report the total electricity consumption in MWh and the energy mix used for electricity consumption in your jurisdiction.,1,Electricity consumption,31984859,Jurisdiction-level data,15.8,43.9,0,27.4,0,0.1,7.6,0.0,3.6,0,0,0,0,,2023|2024,https://www.cpsenergy.com/en/about-us/programs-services/energy-generation.html
2025 Disclosure Cycle,779465,CDP,43909,"City of Orlando, FL",City,North America,United States of America,Public,Q4.1.1,Report the total electricity consumption in MWh and the energy mix used for electricity consumption in your jurisdiction.,1,Electricity consumption,4882634,Utility-level data,18.41,71.78,0,5.04,0.0,0.0,0.0,0.0,4.69,0.0,0,0,0.0,0.07,2024,"The major electricity providers in the city are Orlando Utilities Commission (OUC) and Duke Energy. Additionally, several city-owned facilities are equipped with solar rooftops. Consequently, the total electricity consumption of the city comprises electricity supplied by OUC, Duke Energy, and its own onsite solar generation. Specifically, OUC accounts for approximately 95% of the total electricity supply, whereas Duke Energy and onsite solar contribute 5% and 0.1%, respectively.\n\nIn terms of fuel mix, OUC's data for 2024 reveals the following: nuclear (5.3%), natural gas (71%), solar (4.7%), and coal (19%). Meanwhile, Duke Energy's fuel mix for 2024 includes nuclear (0.2%), oil (0.1%), natural gas (87.6%), solar (3.3%), coal (7.4%), and other sources (1.4%). \n\nConsidering OUC's fuel mix, Duke Energy's fuel mix, and the contributions from onsite solar, the overall fuel mix for the city can be summarized as follows: nuclear (5.04%), natural gas (71.78%), solar (4.69%), coal (18.41%), and other non-renewable sources (0.07). This breakdown highlights the city's reliance on various energy sources in its electricity consumption.\n\n"
2025 Disclosure Cycle,779465,CDP,43910,"City of Columbus, OH",City,North America,United States of America,Public,Q4.1.1,Report the total electricity consumption in MWh and the energy mix used for electricity consumption in your jurisdiction.,1,Electricity consumption,8749304.16,Regional/State-level data,14.8,44.15,0.34,32.61,0.95,0.53,3.75,0.0,2.12,0.08,0,0,0,0.65,2024,"Using the last two year's reporting methodology: Calculated by adding up residential and commercial usage (between both AEP and DPU) & leaving out industrial electric usage from DPU. Using the same methodology, the 2024 value is 7,926,899.70 MWh (residential & commercial, both AEP & DPU).Including industrial: 8,574,033.92 MWh (residential, commercial, & industrial, both AEP & DPU).Including electricity used for wastewater and water treatment plants the total is 8,749,304.16 MWh (residential, commercial, industrial, & wastewater & water treatment plants, both AEP & DPU). Information source for the breakdown of energy consumption by energy type was provided by PJM, the regional transmission organization (RTO) that coordinates the movement of wholesale electricity in all of its 13 states and Washington DC territory. The PJM is the RTO for Columbus, Ohio. When consulting the Public Utilities Commission of Ohio (PUCO), the PUCO recommended using PJM data. When consulting PJM, they provided the attached spreadsheet for electricity generation in 2024. Their \'PJM System Mix\' reflect the average attributes of all PJM generation (i.e., every MWh of generation sold in the PJM wholesale market). The percentages and methodologies do not take into account the RECs purchased since most generation projects are outside of PJM territory. "
2025 Disclosure Cycle,779465,CDP,43912,"City of Edmonton, AB",City,North America,Canada,Public,Q4.1.1,Report the total electricity consumption in MWh and the energy mix used for electricity consumption in your jurisdiction.,1,Electricity consumption,7100000,Regional/State-level data,10,68.9,,,2,4.5,11.9,,2.7,,,,,,2023,Data provided by the Alberta Electric System Operator. Total Alberta electricity generation proportions. No ability to separate waste to energy from biomass energy. Biomass energy includes waste to energy component.
2025 Disclosure Cycle,779465,CDP,43914,"City of Charlotte, NC",City,North America,United States of America,Public,Q4.1.1,Report the total electricity consumption in MWh and the energy mix used for electricity consumption in your jurisdiction.,1,Electricity consumption,10623683.01,Other data source: This is the breakdown from Duke Energy for municipal-level. This is representative of the total electricity consumption for all customers within the city's municipal borders.,11.7,31.3,0,52.4,1.5,0.1,0.0,0.0,1.8,0.0,0.0,0.0,0.0,1.3,2024,"\'Other\' is for energy which Duke purchased for which they do not have documentation on the source of the energy. This is 2023 data. We were unable to secure 2024 data by the scoring deadline. Please note that the North Carolina Utility Commission (NCUC), the state level commission that set legal requirements for regulated utilities in North Carolina, recently adopted an order concerning rules for data sharing by utilities in North Carolina, as a result the utilities are still setting their processes and procedures to ensure that they are in compliance with NCUC rules. The docket (https://starw1.ncuc.gov/NCUC/page/docket-docs/PSC/DocketDetails.aspx?DocketId=92a4833b-c6cf-4103-b47e-8cd294768aa6) has more information on the new Rule along with the companies plan for implementation which includes final implementation not being until July 2027. "
2025 Disclosure Cycle,779465,CDP,43917,Capital Municipality of Sofia,City,Europe,Bulgaria,Public,Q4.1.1,Report the total electricity consumption in MWh and the energy mix used for electricity consumption in your jurisdiction.,1,Electricity consumption,2206960,National-level data,43.3,4.1,,32.7,7.6,4.5,3,,4.2,,,,,,2022,
2025 Disclosure Cycle,779465,CDP,43920,City of Ljubljana,City,Europe,Slovenia,Public,Q4.1.1,Report the total electricity consumption in MWh and the energy mix used for electricity consumption in your jurisdiction.,1,Electricity consumption,1609047,National-level data,23.7,3,0.1,21.2,41.9,1.5,0.1,0,8.5,0.1,0,0,0,0,2024,"Most of the electricity is imported into the City of Ljubljana, so nacional data is given."
2025 Disclosure Cycle,779465,CDP,43926,City of Mannheim,City,Europe,Germany,Public,Q4.1.1,Report the total electricity consumption in MWh and the energy mix used for electricity consumption in your jurisdiction.,1,Electricity consumption,2237851,Jurisdiction-level data,46,18,0,16,0,0,0,0,0.0,0.0,0.0,0.0,17.0,3,2022,2022 data
2025 Disclosure Cycle,779465,CDP,43930,Municipality of The Hague,City,Europe,Netherlands,Public,Q4.1.1,Report the total electricity consumption in MWh and the energy mix used for electricity consumption in your jurisdiction.,1,Electricity consumption,1731667,National-level data,6,36,0,3,0.1,5,27,2,17,0.0,0.0,0.0,2,3,2024,"Electricity is obtained from the national grid. Therefore, the energy mix of the Hague is the same as the national mix. We have no data on how local renewable electricity (solar) influences this mix."
2025 Disclosure Cycle,779465,CDP,43932,Auckland Council,City,South East Asia & Oceania,New Zealand,Public,Q4.1.1,Report the total electricity consumption in MWh and the energy mix used for electricity consumption in your jurisdiction.,1,Electricity consumption,9705987,National-level data,2.4,9.4,0,0,60.5,1.6,7.4,17.8,0.8,0.1,0.0,0.0,0.0,0.0,2023,Auckland's electricity is supplied from national grids
2025 Disclosure Cycle,779465,CDP,43937,Wellington City Council,City,South East Asia & Oceania,New Zealand,Public,Q4.1.1,Report the total electricity consumption in MWh and the energy mix used for electricity consumption in your jurisdiction.,1,Electricity consumption,1499473,National-level data,4,8.4,0.1,0.0,55.6,0.6,9.3,20.6,1.4,0.0,0,0,0,0.0,2024,"Electricity mix data is sourced from the national grid, while MWh consumption figures are specific to the Wellington City area. For a breakdown of the electricity mix by fuel type, please download the 'Data tables for electricity' spreadsheet from this link: https://www.mbie.govt.nz/building-and-energy/energy-and-natural-resources/energy-statistics-and-modelling/energy-statistics/electricity-statistics\n\nThe electricity generation and demand spreadsheet by fuel type is also attached under Further Information in Section C11."
2025 Disclosure Cycle,779465,CDP,43940,City of Malmö,City,Europe,Sweden,Public,Q4.1.1,Report the total electricity consumption in MWh and the energy mix used for electricity consumption in your jurisdiction.,1,Electricity consumption,2216517,Jurisdiction-level data,0.3,1.7,0.1,20.3,27.7,11.4,28.4,0.0,3.7,6.4,0,0,0,0,2023,"Data retrieved from https://www.iea.org/countries/sweden/energy-mix and from the Swedish Bureau of Statistics (SCB). The numbers are an approximation. We have used official data to do our calculation, but some of the numbers are uncertain or haven't been updated in some time."
2025 Disclosure Cycle,779465,CDP,44180,Daegu Metropolitan City,City,South East Asia & Oceania,Korea (The Republic of),Public,Q4.1.1,Report the total electricity consumption in MWh and the energy mix used for electricity consumption in your jurisdiction.,1,Electricity consumption,16746899,National-level data,3.5,21,39.1,31.6,0.06,1.39,0.07,0.2,2.13,0.88,0,0,0,0.07,2023,Regional Energy Statistical Yearbook (2024)
2025 Disclosure Cycle,779465,CDP,44187,Goyang City,City,South East Asia & Oceania,Korea (The Republic of),Public,Q4.1.1,Report the total electricity consumption in MWh and the energy mix used for electricity consumption in your jurisdiction.,1,Electricity consumption,5128830,Regional/State-level data,0,88.2,0,0,0,4.9,0,0.8,3,1.3,0,0,1.8,0,2023,"\nThe total electricity consumption of Goyang City is based on data submitted in the 63rd Statistical Yearbook. The percentage for each energy source is calculated by summing the total supply of renewable energy in Goyang City with the energy supply from the Ilsan Combined Heat and Power Plant, and then determining the proportion that each energy source represents of the overall energy consumption. Please note that the actual usage figures are based on the year 2022.\n\n\nhttps://kosis.kr/statHtml/statHtml.do?sso=ok&returnurl=https%3A%2F%2Fkosis.kr%3A443%2FstatHtml%2FstatHtml.do%3Flist_id%3DU_5_6%26obj_var_id%3D%26seqNo%3D%26tblId%3DDT_337001_2023A09%26vw_cd%3DMT_ZTITLE%26orgId%3D337%26path%3D%252FstatisticsList%252FstatisticsListIndex.do%26conn_path%3DMT_ZTITLE%26itm_id%3D%26lang_mode%3Dko%26scrId%3D%26\n\nhttps://kosis.kr/statHtml/statHtml.do?orgId=310&tblId=DT_31002N_A004&vw_cd=MT_ZTITLE&list_id=U_15&scrId=&seqNo=&lang_mode=ko&obj_var_id=&itm_id=&conn_path=MT_ZTITLE&path=%252FstatisticsList%252FstatisticsListIndex.do"
2025 Disclosure Cycle,779465,CDP,44188,Yongin City,City,South East Asia & Oceania,Korea (The Republic of),Public,Q4.1.1,Report the total electricity consumption in MWh and the energy mix used for electricity consumption in your jurisdiction.,1,Electricity consumption,11013610,National-level data,,,,,,,,,,,,,,,2023,
2025 Disclosure Cycle,779465,CDP,46470,Municipality of Vitoria-Gasteiz,City,Europe,Spain,Public,Q4.1.1,Report the total electricity consumption in MWh and the energy mix used for electricity consumption in your jurisdiction.,1,Electricity consumption,1287488,National-level data,1.92,27.3,1.4,20.8,14.4,0,23.3,0,9.9,1.2,0,0,1.8,0,2021,Los porcentajes de fuentes de energía se han obtenido de la información suministrada a través de la página Web de Red Eléctrica Española (REE) y se corresponde con la generación de energía eléctrica peninsular. Se puede consultar en el siguiente enlace: https://www.ree.es/es/datos/generacion/estructura-generacion.
2025 Disclosure Cycle,779465,CDP,46473,Municipality of Zaragoza (Spain),City,Europe,Spain,Public,Q4.1.1,Report the total electricity consumption in MWh and the energy mix used for electricity consumption in your jurisdiction.,1,Electricity consumption,2093992.56,Regional/State-level data,0,4.8,0,0,17.4,0,52.3,0,18.9,0.6,0,0,0.2,5.8,2024,Redeia: https://www.redeia.com/es
2025 Disclosure Cycle,779465,CDP,46514,City of Porto,City,Europe,Portugal,Public,Q4.1.1,Report the total electricity consumption in MWh and the energy mix used for electricity consumption in your jurisdiction.,1,Electricity consumption,1357895,National-level data,0,21.2,2.5,0,30.3,7.7,26.8,0.4,10.5,0,0,0,0,0.4,2023,The values above correspond to the energy mix associated with electricity production. DGEG information - Disponibilidade de energia elétrica para consumo (2000-2023): https://www.dgeg.gov.pt/pt/estatistica/energia/eletricidade/producao-anual-e-potencia-instalada/ 
2025 Disclosure Cycle,779465,CDP,49326,"Ville de Quebec, QC",City,North America,Canada,Public,Q4.1.1,Report the total electricity consumption in MWh and the energy mix used for electricity consumption in your jurisdiction.,1,Electricity consumption,8832091.0,Jurisdiction-level data,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,L'électricité de la collectivité est hydroélectrique.
2025 Disclosure Cycle,779465,CDP,49330,"Kansas City, MO",City,North America,United States of America,Public,Q4.1.1,Report the total electricity consumption in MWh and the energy mix used for electricity consumption in your jurisdiction.,1,Electricity consumption,4658159,Utility-level data,37,25.0,4.0,7.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024|2023|2022,"As of 2021, Kansas City's utility mix includes more wind than reported in the mix above due to participation in the Renewables Direct Program. Mwh data comes from reporting done by OpenEI's Open Energy Data Initiative (OEDI): https://data.openei.org/submissions/149 - when we reached out to the local utility (Evergy) they were unable to provide data that only included our jurisdiction. "
2025 Disclosure Cycle,779465,CDP,49333,"City of Louisville, KY",City,North America,United States of America,Public,Q4.1.1,Report the total electricity consumption in MWh and the energy mix used for electricity consumption in your jurisdiction.,1,Electricity consumption,14819202.68,Jurisdiction-level data,79.2,19.8,0,0,0.9,0,0,0,0.1,0,0,0,0,0,2024,Sourced through direct communication from Utility (LG&E).
2025 Disclosure Cycle,779465,CDP,49335,"Metropolitan Government of Nashville and Davidson County, TN",City,North America,United States of America,Public,Q4.1.1,Report the total electricity consumption in MWh and the energy mix used for electricity consumption in your jurisdiction.,1,Electricity consumption,10600000,Regional/State-level data,20,19,0,49,10,0.6,0,0,1.2,,,,,,2023,EIA Net Generation by source for TN data from 2023.
2025 Disclosure Cycle,779465,CDP,49345,"City of Birmingham, AL",City,North America,United States of America,Public,Q4.1.1,Report the total electricity consumption in MWh and the energy mix used for electricity consumption in your jurisdiction.,1,Electricity consumption,5000000,Jurisdiction-level data,99,1,0,0,0,0,0,0,0,0,,0,0,0,2024,
2025 Disclosure Cycle,779465,CDP,49389,Kyoto City,City,Japan,Japan,Public,Q4.1.1,Report the total electricity consumption in MWh and the energy mix used for electricity consumption in your jurisdiction.,1,Electricity consumption,7875000,Utility-level data,,,,,,,,,,,,,,,,
