disclosure_cycle,cdp_requesting_org_number,requesting_organization,cdp_disclosing_org_number,disclosing_organization,disclosing_org_type,cdp_region,discloser_country_or_area,public_status,question_number,question_text,row_order,row_name,col1_Passenger mode share data to report,col2_Passenger mode share: Walking (%),col3_Passenger mode share: Cycling (%),col4_Passenger mode share: Micromobility (including e-scooters) (%),col5_Passenger mode share: Buses (including Bus Rapid Transit) (%),col6_Passenger mode share: Rail/Metro/Tram (%),col7_Passenger mode share: Ferries/ River boats (%),col8_Passenger mode share: Taxis or shared vehicles (e.g. hire vehicles) (%),col9_Passenger mode share: Private motorized transport (%),col10_Passenger mode share: Informal/paratransit/popular transit systems (%),col11_Passenger mode share: Other (%),col12_Year passenger mode share data applies to,col13_Total passenger mode share reported (%),col14_Freight mode share data to report,col15_Freight mode share: Motorcycle / Two wheeler (%),col16_Freight mode share: Light Goods Vehicles (LGV) (%),col17_Freight mode share: Medium Goods vehicles (MGV) (%),col18_Freight mode share: Heavy Goods vehicles (HGV) (%),col19_Freight mode share: Rail (%),col20_Freight mode share: Inland water transport (%),col21_Freight mode share: Other (%),col22_Year freight mode share data applies to,col23_Total freight mode share reported (%),col24_Comment
2025 Disclosure Cycle,779465,CDP,10495,"City of Las Vegas, NV",City,North America,United States of America,Public,Q4.5,Report your jurisdiction's passenger and/or freight mode share data.,1,Mode share data,Passenger mode share as share of trips (%),1.26,3.05,0,2.42,0.0,0.0,9.9,72.36,0,3.05,2024,92.04,Jurisdiction does not have mode share data for freight transport,,,,,,,,,,a
2025 Disclosure Cycle,779465,CDP,10894,"City of Los Angeles, CA",City,North America,United States of America,Public,Q4.5,Report your jurisdiction's passenger and/or freight mode share data.,1,Mode share data,Passenger mode share as share of trips (%),12.25,1.17,,3.24,,,,83.34,,,2023,100.00,Jurisdiction does not have mode share data for freight transport,,,,,,,,,,Most recently available data is from Google EIE mode share for 2023.\n
2025 Disclosure Cycle,779465,CDP,11315,City of Manchester,City,UKWW,United Kingdom,Public,Q4.5,Report your jurisdiction's passenger and/or freight mode share data.,1,Mode share data,Passenger mode share as share of trips (%),15,2,0.0,22,35,0,0.0,26,0,0.0,2023,100.00,Jurisdiction does not have mode share data for freight transport,,,,,,,,,,We don't currently have data on freight mode share. Average mode from the tables on sheet 23 from the Transport Statistics Manchester 2023 Key Centre Monitoring Section that can be found here https://tfgm.com/commercial/transport-surveys-research/reporting
2025 Disclosure Cycle,779465,CDP,13067,"City of New Orleans, LA",City,North America,United States of America,Public,Q4.5,Report your jurisdiction's passenger and/or freight mode share data.,1,Mode share data,Passenger mode share as share of trips (%),5.6,1.9,0,3.8,0.7,0.1,0.6,71.9,0,15.4,2023,100.00,Freight mode share as share of trips (%),0.0,0.0,0.0,22.0,12.0,32.0,34.0,2018,100.00,"The passenger data is from the 2023 ACS survey, other includes work from home figures. \n\nThe freight figures come from the RPC freight mode share estimates in 2018 (p. 32) and include pipeline freight, which may not be applicable here and do not differentiate between types of goods vehicles.https://www.norpc.org/wp-content/uploads/2021/10/RPC-Freight-Profile-2020-2021-Finalcompressed.pdf"
2025 Disclosure Cycle,779465,CDP,13113,Newcastle City Council,City,UKWW,United Kingdom,Public,Q4.5,Report your jurisdiction's passenger and/or freight mode share data.,1,Mode share data,Passenger mode share as share of trips (%),30.8,1.2,1,7.4,1.5,0.0,1.1,56.9,0,0.1,2023,100.00,,,,,,,,,,,"Data for transport passenger mode share is taken from https://www.gov.uk/government/statistical-data-sets/national-travel-survey-combined-authority-estimates this data is only available for North- East CA level. Given the urban nature of Newcastle, number are likely to be higher for walking, cycling, bus and light rail travel. "
2025 Disclosure Cycle,779465,CDP,13490,Northumberland County Council,City,UKWW,United Kingdom,Public,Q4.5,Report your jurisdiction's passenger and/or freight mode share data.,1,Mode share data,Passenger mode share as share of trips (%),31.6,1.3,0,5.4,0.3,0,1.5,58.9,0,0.7,2023,99.70,Jurisdiction does not have mode share data for freight transport,,,,,,,,,,"Data is taken from the National Travel Survey data released by the Department for Transport. The dataset can be accessed here - https://www.gov.uk/government/statistical-data-sets/nts03-modal-comparisons#mode-by-region \nTable nts9903\n\nThe data refers to the whole of the North East as Local Authority level data is not available. \nData for every category was not available due to levels of aggregation. “Other” contains data referring to air, ferries and light rail. \n"
2025 Disclosure Cycle,779465,CDP,13506,Nottingham City Council,City,UKWW,United Kingdom,Public,Q4.5,Report your jurisdiction's passenger and/or freight mode share data.,1,Mode share data,Passenger mode share as share of trips (%),14.3,3.7,0.6,15.9,3.7,0,7.7,52.2,0,1.9,2021,100.00,Freight mode share as share of trips (%),0,87,0,13,0,0,0,2024,100.00,"Data for Passenger Mode uses 2021 Census data for method or travel to work for Nottingham, for which 323,632 people responded. Mode percentages are adjusted for only those travelling, excluding those working from home or not in employment. Those travelling as a passenger in a car or van are included within Taxis or shared vehicles. \n\nData for Freight Mode uses the Department for Transport's Annual Average Daily Flow estimates by LGVs and and HGVs in Nottingham in 2024. Data for other freight modes is not available."
2025 Disclosure Cycle,779465,CDP,14088,Oslo Municipality,City,Europe,Norway,Public,Q4.5,Report your jurisdiction's passenger and/or freight mode share data.,1,Mode share data,Passenger mode share as share of trips (%),39,7,,,27,,,18,,9,2024,100.00,Freight mode share as share of vehicle distance travelled (%),,79,,21,,,,2024,100.00,"Modal share report is on daily travel from monday to friday, e.g. only weekdays. Split on rail vs buses and ferries is not available, therefore buses and ferries is included in rail/metro/tram. Included in other is micro mobility, taxies, motorcycles and car as passenger. Freight mode share is only available as share of freight on road divided between vans and HGVs."
2025 Disclosure Cycle,779465,CDP,14136,Oxford City Council,City,UKWW,United Kingdom,Public,Q4.5,Report your jurisdiction's passenger and/or freight mode share data.,1,Mode share data,Passenger mode share as share of trips (%),8.5,6.7,0.0,3.4,0.0,0.0,0.6,72.2,0,8.6,2022,100.00,,,,,,,,,,,Data obtained from traffic cameras. Applies to vehicle number not passenger number. Train and water travel not included. Data extrapolated to cover city from key points around the city.
2025 Disclosure Cycle,779465,CDP,14874,"City of Portland, OR",City,North America,United States of America,Public,Q4.5,Report your jurisdiction's passenger and/or freight mode share data.,1,Mode share data,Passenger mode share as share of vehicle distance travelled (%),5,3,1,6,,,,53.6,0,30.85,2023,99.45,Freight mode share as share of vehicle distance travelled (%),0.0,0.0,20.0,35.0,17.0,2.0,26.0,2021,100.00,"Based on US Census data for commute mode share. The City of Portland does not have data on the full private fleet mode share. We are working on new modeling of this data with a more comprehensive mode split, which is intended to be available for future reporting. Currently, the best proxy for mode split come from American Community Survey data on the means of transportation to work. Mode split was calculated from the ACS Public Use Microdata Sample, available here: < https://data.census.gov/mdat/#/search?ds=ACSPUMS5Y2021&cv=JWTRNS&rv=ucgid&wt=PWGTP&g=7950000US4101301,4101302,4101303,4101305,4101314>\n\nNote that the most recent data is from 2021, during which time, COVID-related disruptions were acute. As such, this data may not provide a clear picture of current conditions.\n\nFreight mode share calculated by ton-miles from Freight Analysis Framework 5. Data available from the following link: https://faf.ornl.gov/faf5/Default.aspx. The data does not capture light goods vehicles or motorcycles/two-wheelers, which are therefore excluded from the total mode share. The data also does not differentiate between medium and heavy trucks, so the best effort has been made to estimate the approximate split between these vehicle classifications."
2025 Disclosure Cycle,779465,CDP,15515,Reading Borough Council,City,UKWW,United Kingdom,Public,Q4.5,Report your jurisdiction's passenger and/or freight mode share data.,1,Mode share data,Passenger mode share as share of trips (%),27.9,4.9,0.3,24.6,17.4,0,1.1,23.7,0,0.0,2024,99.90,,,,,,,,,,,"The data shown relates to a cordon count survey conducted by Reading Borough Council in May 2024. Although an equivalent survey was completed in May 2025, the data is not yet available. Compared to our 2024 submission (based on May 2023 data), the main changes are an increase in train mode share (up from 14% to 17.3% decrease of bus mode share* and a decrease in private car mode share (down from 25.2% to 23.0%). *Please note that the bus patronage figure from May 2023 appears to be anomalous (higher that 2022 & 2024) as bus patronage has continued to increase / recover since the pandemic, with a further 2m additional passengers using services within Reading within the last 12 month period and growth of 3m passengers between in 2023 and 2024. "
2025 Disclosure Cycle,779465,CDP,16581,"City of Seattle, WA",City,North America,United States of America,Public,Q4.5,Report your jurisdiction's passenger and/or freight mode share data.,1,Mode share data,Passenger mode share as share of trips (%),16,2.48,0.47,5.34,1.4,0.14,0.59,72.36,0,1.22,2024,100.00,Jurisdiction does not have mode share data for freight transport,,,,,,,,,,Updated with 2024 Fall typical weekday trip data. No Paratransit data or freight data to report. 
2025 Disclosure Cycle,779465,CDP,18078,Swale Borough Council,City,UKWW,United Kingdom,Public,Q4.5,Report your jurisdiction's passenger and/or freight mode share data.,1,Mode share data,Passenger mode share as share of trips (%),11.3,2.2,0.0,2,6.9,0.0,0,70.4,,7.2,,100.00,Freight mode share as share of vehicle distance travelled (%),,,,,,,,,0.00,
2025 Disclosure Cycle,779465,CDP,19233,Municipality of Torres Vedras,City,Europe,Portugal,Public,Q4.5,Report your jurisdiction's passenger and/or freight mode share data.,1,Mode share data,Passenger mode share as share of trips (%),14.0,1.0,0.0,18.0,0.0,0.0,18.0,49.0,0,0,2015,100.00,,,,,,,,,,,A informação atual disponível não permite a quantificação fidedigna da distribuição do modo de transportes para o nível do município.
2025 Disclosure Cycle,779465,CDP,20113,"City of Vancouver, BC",City,North America,Canada,Public,Q4.5,Report your jurisdiction's passenger and/or freight mode share data.,1,Mode share data,Passenger mode share as share of trips (%),29,6,0.4,9.5,7.5,0.1,1,46.4,0,0.1,2024,100.00,Jurisdiction does not have mode share data for freight transport,,,,,,,,,,"The preliminary Travel Panel survey results for 2024 suggest that daily auto trips (personal vehicles) have decreased since 2021 from a 56% mode share to a 45.6% mode share. \n\n• Walk mode share remained stable at 29% compared to 2023 but up from 26% in 2021. • Cycling mode share remains at 7% (including micromobility) • Transit mode share increased to 17%, although still below the 18% survey result in 2019, before the pandemic. A number of factors may contribute to the trends observed above: • the impact of the pandemic on human activity patterns; • increased work-from-home and hybrid work schedules. • The overall daily trip rate increased slightly from 2.9 trips per person in 2022 to 3.2 trips per person in 2024, accounting for an additional 144,000 daily trips in 2024 compared to 2023. This is down from an average of 3.7 trips per person in 2019 before telecommuting became popular during the onset of the COVID-19 global pandemic. \n"
