disclosure_cycle,cdp_requesting_org_number,requesting_organization,cdp_disclosing_org_number,disclosing_organization,disclosing_org_type,cdp_region,discloser_country_or_area,public_status,question_number,question_text,row_order,row_name,col1_Passenger mode share data to report,col2_Passenger mode share: Walking (%),col3_Passenger mode share: Cycling (%),col4_Passenger mode share: Micromobility (including e-scooters) (%),col5_Passenger mode share: Buses (including Bus Rapid Transit) (%),col6_Passenger mode share: Rail/Metro/Tram (%),col7_Passenger mode share: Ferries/ River boats (%),col8_Passenger mode share: Taxis or shared vehicles (e.g. hire vehicles) (%),col9_Passenger mode share: Private motorized transport (%),col10_Passenger mode share: Informal/paratransit/popular transit systems (%),col11_Passenger mode share: Other (%),col12_Year passenger mode share data applies to,col13_Total passenger mode share reported (%),col14_Freight mode share data to report,col15_Freight mode share: Motorcycle / Two wheeler (%),col16_Freight mode share: Light Goods Vehicles (LGV) (%),col17_Freight mode share: Medium Goods vehicles (MGV) (%),col18_Freight mode share: Heavy Goods vehicles (HGV) (%),col19_Freight mode share: Rail (%),col20_Freight mode share: Inland water transport (%),col21_Freight mode share: Other (%),col22_Year freight mode share data applies to,col23_Total freight mode share reported (%),col24_Comment
2025 Disclosure Cycle,779465,CDP,35877,"City of Pittsburgh, PA",City,North America,United States of America,Public,Q4.5,Report your jurisdiction's passenger and/or freight mode share data.,1,Mode share data,Passenger mode share as share of trips (%),12.0,2.0,0.0,14.0,0.0,0.0,0.0,72.0,,0.0,2021,100.00,,,,,,,,,,,2021 American Community Survey - 2021 Commuting Data Largest 60 US Cities - ACS 1-yr estimate
2025 Disclosure Cycle,779465,CDP,35878,"City of Sacramento, CA",City,North America,United States of America,Public,Q4.5,Report your jurisdiction's passenger and/or freight mode share data.,1,Mode share data,Passenger mode share as share of trips (%),2.7,1.4,,,,0,,74.5,,21.4,2023,100.00,,,,,,,,,,,"The City has passenger mode share data, but not in the breakdown of categories requested. According to the 2023 commute trips from American Community Survey, 5-year estimates, Table S0801, Commuting Characteristics, approximately 2.7% of commute trips in Sacramento city were made by walking, 1.4% by biking, 65.5% by driving alone, 9.0% by carpooling, 1.9% by transit, and 1.7 by taxi, motorcycle, other. As these data reflect commute trips, 17.7% of commute “trips” were work from home.\n\nThe 21.4% reported here for Other reflects all public transit (which is not broken out by bus and light rail, as is here), in addition to \'work from home\' commute \'trips.\'\n\nThe Climate Action and Adaptation Plan does not address freight mode share."
2025 Disclosure Cycle,779465,CDP,35880,Municipality of Porto Alegre,City,Latin America,Brazil,Public,Q4.5,Report your jurisdiction's passenger and/or freight mode share data.,1,Mode share data,Jurisdiction does not have passenger mode share data,,,,,,,,,,,,,,,,,,,,,,,"No ano de 2023 a EPTC (Empresa Pública de Transporte e Circulação) levantou dados referentes a distribuição de passageiros com origem ou destino ao centro histórico da cidade, sendo distribuídos da seguinte forma: a pé 18%; aplicativos 7%; táxis <1%, bicicletas 5%, automóveis particulares 11%; motocicleta 1%; transporte coletivo metropolitano 13%; transporte coletivo urbano 45%. Para as demais regiões do Município ainda não se tem dados de distribuição de passageiros. A rodagem do sistema de transporte público total em Porto Alegre foi de 55.264.056 km no ano de 2021, conforme dados da EPTC, totalizando o transporte de 116.218.271 passageiros."
2025 Disclosure Cycle,779465,CDP,35882,"City of Tampa, FL",City,North America,United States of America,Public,Q4.5,Report your jurisdiction's passenger and/or freight mode share data.,1,Mode share data,Jurisdiction does not have passenger mode share data,,,,,,,,,,,,,Jurisdiction does not have mode share data for freight transport,,,,,,,,,,
2025 Disclosure Cycle,779465,CDP,35883,"City of San José, CA",City,North America,United States of America,Public,Q4.5,Report your jurisdiction's passenger and/or freight mode share data.,1,Mode share data,Passenger mode share as share of vehicle distance travelled (%),1,0.4,0.0,0.7,0.0,0.0,0.0,97.9,0,0.0,2023,100.00,Freight mode share as share of vehicle distance travelled (%),0.8,59.1,27.1,13,0.0,0.0,0.0,2023,100.00,"Passenger mode share values were calculated based on VMT data from the most recent Google Environmental Insights Explorer data (for 2023.) 100% of in-boundary trips and 50% of inbound and outbound trips were included in calculations. The number given for “private motorized transport” includes motorcycles and all automobiles, including taxis and shared vehicles. Cells left blank are unknown. Rail travel was too small a percent of overall travel to be included in the Google dataset. Freight mode share values were calculated based on VMT data from the California Air Resource Board's EMFAC model (https://arb.ca.gov/emfac/emissions-inventory) for Santa Clara County for 2023. The model does not distinguish between freight and passenger traffic, only between different vehicle types - so while some vehicle types were excluded from this analysis that definitely are not used for freight (eg school buses), vehicle types used for both passenger and freight traffic were included. For this reason, this breakdown likely overestimates the amount of freight transport by motorcycle and light goods vehicles. Regarding rail freight, freight rail does pass through the city, but San Jose does not have a freight rail depot. We do not have data to calculate mode share of freight rail."
2025 Disclosure Cycle,779465,CDP,35884,"City of San Diego, CA",City,North America,United States of America,Public,Q4.5,Report your jurisdiction's passenger and/or freight mode share data.,1,Mode share data,Passenger mode share as share of vehicle distance travelled (%),5.3,0.9,0,3.8,0,0,2.2,87.8,0,0,2023,100.00,Jurisdiction does not have mode share data for freight transport,,,,,,,,,,"2023 data from the American Community Survey (Commuting Characteristics by Sex, 2023: ACS 1-Year Estimates Subjects Tables). Data is for trips related to the work commute. Rail/Metro/Tram percentages are included in the Bus category. "
2025 Disclosure Cycle,779465,CDP,35885,Tel Aviv-Yafo Municipality,City,UKWW,Israel,Public,Q4.5,Report your jurisdiction's passenger and/or freight mode share data.,1,Mode share data,Passenger mode share as share of trips (%),9,11,4,21,7,0.0,1,43,,4,2024,100.00,,,,,,,,,,,"In 2018, a comprehensive transportation survey was conducted, leading to the development of the strategic plan for the city, which transforms the traditional transportation pyramid and establishes trip split targets. Since then, every year or two, a survey has been carried out among residents to examine their commuting habits. While these surveys are partial, they can still indicate emerging trends.\n\nThe trip split data presented here is derived from a survey of residents (aged 18 and over) regarding their commuting methods. It is important to note that these figures do not include commuting data for individuals living outside of Tel Aviv-Yafo. Additionally, the category of bicycles includes e-scooters, and the public transportation category encompasses buses, trains, light rail, taxis, and shared vehicles.\n\nFor additional information, please refer to the attached report.(Hebrew) \nhttps://www.tel-aviv.gov.il/Transparency/DocLib6/%D7%A1%D7%A7%D7%A8%20%D7%AA%D7%97%D7%91%D7%95%D7%A8%D7%94%20%D7%91%D7%A7%D7%A8%D7%91%20%D7%AA%D7%95%D7%A9%D7%91%D7%99%20%D7%AA%D7%9C-%D7%90%D7%91%D7%99%D7%91-%D7%99%D7%A4%D7%95%20%D7%9E%D7%A1%D7%A4%D7%A8%2010,%202024.pdf\n\nThe emissions inventory survey found that the municipal vehicle fleet constitutes less than 1% of the city's total emissions. \n\n\n\n"
2025 Disclosure Cycle,779465,CDP,35886,City of Turin,City,Europe,Italy,Public,Q4.5,Report your jurisdiction's passenger and/or freight mode share data.,1,Mode share data,Passenger mode share as share of trips (%),37,3,0.3,5.7,5.7,0.0,0.4,47.1,0,0.8,2022,100.00,Jurisdiction does not have mode share data for freight transport,,,,,,,,,,These data have been obtained by this report on mobility https://mtm.torino.it/wp-content/uploads/2023/07/IMQ_2022_Risultati_04-10-2023.pdf\n\nPublic transports include both buses and trams.
2025 Disclosure Cycle,779465,CDP,35894,"Ville de Montreal, QC",City,North America,Canada,Public,Q4.5,Report your jurisdiction's passenger and/or freight mode share data.,1,Mode share data,Passenger mode share as share of trips (%),20.41,5.24,0,22.61,0,0,0,51.74,0,0,2023,100.00,Jurisdiction does not have mode share data for freight transport,,,,,,,,,,Origin-Destination Survey 2023 (Enquête métropolitaine 2023 Perspectives mobilité)
2025 Disclosure Cycle,779465,CDP,35897,Municipality of Campinas,City,Latin America,Brazil,Public,Q4.5,Report your jurisdiction's passenger and/or freight mode share data.,1,Mode share data,Passenger mode share as share of trips (%),21.2,0.7,0.0,30.1,0.0,0.0,7.7,40.2,0,0.1,2011,100.00,,,,,,,,,,,"Fonte: Pesquisa Origem-Destino 2011 da Região Metropolitana de Campinas elaborado pela EMPLASA.\n\nhttp://www.emdec.com.br/eficiente/repositorio/1SiteNovo/Plano_Mobilidade_Urbana_2019/21486.pdf\n\nAinda, informamos que as pesquisas são feitas pelo Governo do Estado de São Paulo e que há previsão de atualização em 2026.\n"
2025 Disclosure Cycle,779465,CDP,35898,Greater Manchester Combined Authority,City,UKWW,United Kingdom,Public,Q4.5,Report your jurisdiction's passenger and/or freight mode share data.,1,Mode share data,Passenger mode share as share of trips (%),31,2.0,0,4,2,0.0,0,58,0,2,2023,99.00,Jurisdiction does not have mode share data for freight transport,,,,,,,,,,We don't currently have data on freight mode share.\n\nData for mode share is taken from the 2023 travel diary survey (available at: https://tfgm.com/trads). TRADS data is collected on around 10000 trips made by 4500 residents of 2000 GM households each year. The information gathered includes trip origins and destinations travel times transport modes used and journey purpose. This data (2023) is the latest published data.\n\nFigures only sum to 99% due to rounding. 
2025 Disclosure Cycle,779465,CDP,35914,Greater Hyderabad Municipal Corporation,City,India,India,Public,Q4.5,Report your jurisdiction's passenger and/or freight mode share data.,1,Mode share data,Passenger mode share as share of trips (%),25.8,,30.25,20.8,4.25,0,11.9,6.8,,0.2,2022,100.00,,,,,,,,,,,Modal share was estimated for Hyderabad CRCAP based on the Comprehensive Mobility Plan for Hyderabad Metropolitan Area 2016 
2025 Disclosure Cycle,779465,CDP,35993,Singapore Government,City,South East Asia & Oceania,Singapore,Public,Q4.5,Report your jurisdiction's passenger and/or freight mode share data.,1,Mode share data,Passenger mode share as share of trips (%),19.0,,,26.0,20.0,0.0,7.0,29.0,,0.0,2022,101.00,Jurisdiction does not have mode share data for freight transport,,,,,,,,,,"Walking, cycling and micro-mobility combined = 19. Mode share figures are computed from daily island wide journeys."
2025 Disclosure Cycle,779465,CDP,36032,Ville de Dakar,City,UKWW,Senegal,Public,Q4.5,Report your jurisdiction's passenger and/or freight mode share data.,1,Mode share data,Passenger mode share as share of trips (%),70,7.3,,32.4,1.0,,7.8,56.2,,4.1,,178.80,Jurisdiction does not have mode share data for freight transport,,,,,,,,,,"Les données de fret sont incluses dans la série de données du secteur des transports routiers. Au sein de cette catégorie, aucune répartition n'a été faite et des données détaillées ne sont pas encore disponibles."
2025 Disclosure Cycle,779465,CDP,36036,City of Ibadan,City,UKWW,Nigeria,Public,Q4.5,Report your jurisdiction's passenger and/or freight mode share data.,1,Mode share data,Jurisdiction does not have passenger mode share data,,,,,,,,,,,,,,,,,,,,,,,Not applicable
2025 Disclosure Cycle,779465,CDP,36037,Santiago de Cali,City,Latin America,Colombia,Public,Q4.5,Report your jurisdiction's passenger and/or freight mode share data.,1,Mode share data,Passenger mode share as share of vehicle distance travelled (%),0,0,0,1.1,0,0,0,96.8,0,2.1,2022,100.00,,,,,,,,,,,"El porcentaje en las columnas de los diferentes tipos de transporte de pasajeros, no se encuentra estimado en documentos oficiales. Sin embargo, el uso de los tipos de transporte es utilizado por la comunidad pero su reporte no se ha evaluado, por ende se registra como en ceros. "
2025 Disclosure Cycle,779465,CDP,36039,Accra Metropolitan Assembly,City,UKWW,Ghana,Public,Q4.5,Report your jurisdiction's passenger and/or freight mode share data.,1,Mode share data,Passenger mode share as share of trips (%),45.1,0.7,3.2,2.1,0,0,12,5.4,30,1.5,2023,100.00,Jurisdiction does not have mode share data for freight transport,,,,,,,,,,Source: Developing a roadmap for inclusive transport transformation in Accra.
2025 Disclosure Cycle,779465,CDP,36045,Santiago de Guayaquil,City,Latin America,Ecuador,Public,Q4.5,Report your jurisdiction's passenger and/or freight mode share data.,1,Mode share data,Jurisdiction does not have passenger mode share data,,,,,,,,,,,,,,,,,,,,,,,"Los indicadores son: la cantidad de transporte público, uso de taxis y vehículos particulares; no disponemos de más indicadores o mayor información."
2025 Disclosure Cycle,779465,CDP,36152,City of Tallinn,City,Europe,Estonia,Public,Q4.5,Report your jurisdiction's passenger and/or freight mode share data.,1,Mode share data,Passenger mode share as share of trips (%),14,4,1,35.0,4.0,0.0,2,40.0,,0.0,2024,100.00,,,,,,,,,,,
2025 Disclosure Cycle,779465,CDP,36159,City of Lisbon,City,Europe,Portugal,Public,Q4.5,Report your jurisdiction's passenger and/or freight mode share data.,1,Mode share data,Passenger mode share as share of trips (%),20.7,1.3,,15.4,12,0.1,,47.6,0,2.9,2021,100.00,Jurisdiction does not have mode share data for freight transport,,,,,,,,,,"Data from Census 2021.\nThe year in question covers a period during the pandemic, so they should not be seen as representative of the city “in full operation”. As the most recent official data for a period of normal activity, the modal split resulting from the mobility survey carried out by INE in 2017 can be considered. Data from this survey:\nCar: 45.1%\nMotorcycle/moped: 1%\nBus: 12.2%\nTrain/metro: 8.9%\nBicycle: 0.6%\nWalking: 29.8%\nOthers: 2.4%"
2025 Disclosure Cycle,779465,CDP,36218,Fukuoka City,City,Japan,Japan,Public,Q4.5,Report your jurisdiction's passenger and/or freight mode share data.,1,Mode share data,Passenger mode share as share of trips (%),20.9,14.4,0.0,8.5,16.8,0.0,0.0,39.4,0,0.0,2017,100.00,Jurisdiction does not have mode share data for freight transport,,,,,,,,,,
2025 Disclosure Cycle,779465,CDP,36219,City of Sapporo,City,Japan,Japan,Public,Q4.5,Report your jurisdiction's passenger and/or freight mode share data.,1,Mode share data,Passenger mode share as share of trips (%),19.7,9.2,0,3.4,16,0,0,51.7,0,0,2010,100.00,Jurisdiction does not have mode share data for freight transport,,,,,,,,,,移動回数による旅客輸送モード分担率のデータ年は2006年
2025 Disclosure Cycle,779465,CDP,36247,City of Arezzo,City,Europe,Italy,Public,Q4.5,Report your jurisdiction's passenger and/or freight mode share data.,1,Mode share data,Passenger mode share as share of vehicle distance travelled (%),2.6,0.94,0,0.93,8.92,0,0,85.8,0,0,2023,99.19,,,,,,,,,,,"Source Google environmental insights, where \'0\' = data not available"
2025 Disclosure Cycle,779465,CDP,36254,City of Venice,City,Europe,Italy,Public,Q4.5,Report your jurisdiction's passenger and/or freight mode share data.,1,Mode share data,Passenger mode share as share of vehicle distance travelled (%),20.3,17.1,1.6,0.0,36.0,0.0,0.0,25.0,,0.0,,100.00,,,,,,,,,,,Data from \'ecosistema Urbano 2021\' private motorized includes taxis; rail/metro/tram includes also busses and motorboats; 
2025 Disclosure Cycle,779465,CDP,36262,City of Genoa,City,Europe,Italy,Public,Q4.5,Report your jurisdiction's passenger and/or freight mode share data.,1,Mode share data,Passenger mode share as share of trips (%),24.6,0.1,,23.0,4.3,,,46.5,,1.5,,100.00,Freight mode share as share of trips (%),0.5,53.0,,37.3,,,9.2,,100.00,"Data from matrix O/D 2016, based on metropolitan level"
2025 Disclosure Cycle,779465,CDP,36285,City of Florence,City,Europe,Italy,Public,Q4.5,Report your jurisdiction's passenger and/or freight mode share data.,1,Mode share data,Passenger mode share as share of trips (%),13.0,6.6,0.1,5.6,13.4,0.0,1.0,60.3,0,0.0,2020,100.00,Freight mode share as share of trips (%),0.0,38.0,42.0,17.0,2.0,1.0,0.0,2019,100.00,
2025 Disclosure Cycle,779465,CDP,36410,"City of Memphis, TN",City,North America,United States of America,Public,Q4.5,Report your jurisdiction's passenger and/or freight mode share data.,1,Mode share data,Passenger mode share as share of trips (%),1.7,0.2,0,0.8,0,0.0,1.5,87.9,0,8,2023,100.10,Jurisdiction does not have mode share data for freight transport,,,,,,,,,,Passenger Mode Share question was answered using 2023 data from the American Community Survey 5-Year Estimates. S0801: COMMUTING CHARACTERISTICS BY SEX\n
2025 Disclosure Cycle,779465,CDP,36469,City of L'Aquila,City,Europe,Italy,Public,Q4.5,Report your jurisdiction's passenger and/or freight mode share data.,1,Mode share data,Jurisdiction does not have passenger mode share data,,,,,,,,,,,,,,,,,,,,,,,
2025 Disclosure Cycle,779465,CDP,36496,City of Palermo,City,Europe,Italy,Public,Q4.5,Report your jurisdiction's passenger and/or freight mode share data.,1,Mode share data,Passenger mode share as share of trips (%),27.85,11.22,,19.74,2.95,0,0,74.82,0,1.62,2023,138.20,Jurisdiction does not have mode share data for freight transport,,,,,,,,,,"With resolution of the Municipal Council ( 14/05/2020), the Urban Plan for Sustainable Mobility - P.U.M.S of the City of Palermo was adopted pursuant to the D.M. of\nthe Ministry of Infrastructure and Transport of 08/04/2017.\nhttps://www.comune.palermo.it/pums/scenari-sostenibili.php\nThe objective is to arrive in the next decade to increase the use of public transport and at the same time the use of bicycles by raising the threshold of the modal split\ncoefficient to 15% for bicycles and to 30% for the public transport system with the consequent reduction in the use of private vehicles by a percentage equal to 50%."
2025 Disclosure Cycle,779465,CDP,36501,City of Prato,City,Europe,Italy,Public,Q4.5,Report your jurisdiction's passenger and/or freight mode share data.,1,Mode share data,Passenger mode share as share of trips (%),15.2,9.2,10.8,21.9,2.1,0,0,40.8,0,0,2015,100.00,Jurisdiction does not have mode share data for freight transport,,,,,,,,,,"The data are referred to survey online to Prato's population Data source: allegati-pums page 43 in Italian language (https://www2.comune.prato.it/pums/fasi/approvazione/pagina982.html , link \'Allegati al documento di piano approvato\')"
2025 Disclosure Cycle,779465,CDP,36517,City of Treviso,City,Europe,Italy,Public,Q4.5,Report your jurisdiction's passenger and/or freight mode share data.,1,Mode share data,Jurisdiction does not have passenger mode share data,,,,,,,,,,,,,,,,,,,,,,,
2025 Disclosure Cycle,779465,CDP,37261,City of Pietermaritzburg,City,UKWW,South Africa,Public,Q4.5,Report your jurisdiction's passenger and/or freight mode share data.,1,Mode share data,Jurisdiction does not have passenger mode share data,,,,,,,,,,,,,,,,,,,,,,,"IDP 22/27 pg 88: Pietermaritzburg Airport is the primary airport serving the city of Pietermaritzburg and surrounding areas, including the Midlands and outer west suburbs of Durban. It is the airport's key role to sell aeronautical services and facilities (i.e. the provision of runways, taxiways, aprons and terminals) to airlines. The airlines then sell their own product onto the passengers. The airport also sells services such as shops, office space, hangarage and car parks, usually through concessionaires, direct to the passengers, local residents and other customers. Many of the services which make up the composite airport product, such as air traffic control, security, fire and rescue, emergency response, ground handling and commercial facilities, can be provided either by the airport operator or by a third party. The area where an airport operator has the most control is in the pricing and provision of non-aeronautical services and facilities in the airport terminal and the surrounding land."
2025 Disclosure Cycle,779465,CDP,42120,City of Salvador,City,Latin America,Brazil,Public,Q4.5,Report your jurisdiction's passenger and/or freight mode share data.,1,Mode share data,Passenger mode share as share of trips (%),39.7,0.3,0,12.1,0,0,0,47.9,0,0,2024,100.00,Jurisdiction does not have mode share data for freight transport,,,,,,,,,,"O valor de 12,1% inclui: ônibus (incluindo BRT), Trem/Metrô/Bonde, Balsas/barcos e viagens integradas (onde mais de um meio de transporte é utilizado). \n\nOs dados desagregados de transporte coletivo são: - Ônibus: 8,65%\n- Metrô: 1,55%\n- Integrado: 1,85%\n- Hidroviário: 0,05%\n\nO valor de 47,9% inclui: táxis ou veículos compartilhados (por ex., veículos de aluguel), transporte motorizado particular (%) e sistemas de trânsito informais/paratrânsito/popular (%).\n\nDados referentes ao ano de 2024 atualizados pela SEMOB."
2025 Disclosure Cycle,779465,CDP,42123,City of Goiânia,City,Latin America,Brazil,Public,Q4.5,Report your jurisdiction's passenger and/or freight mode share data.,1,Mode share data,Passenger mode share as share of trips (%),15,3,0,30,0,0,22,30,0,0,2024,100.00,,,,,,,,,,,"Na jurisdição de Goiânia, o transporte de passageiros é fortemente dominado pelo uso de veículos individuais motorizados (cerca de 60-65% dos deslocamentos diários). O transporte coletivo por ônibus representa 25-30%, enquanto a mobilidade ativa (caminhadas e bicicletas) corresponde a aproximadamente 8-12% dos deslocamentos. Os dados refletem a elevada taxa de motorização da cidade e os desafios para ampliar a participação de modos sustentáveis de transporte."
2025 Disclosure Cycle,779465,CDP,42178,Distrito Metropolitano de Quito,City,Latin America,Ecuador,Public,Q4.5,Report your jurisdiction's passenger and/or freight mode share data.,1,Mode share data,Passenger mode share as share of trips (%),13.0,1.0,0.0,56.0,0.0,0.0,3.0,18.0,0,9.0,2021,100.00,Jurisdiction does not have mode share data for freight transport,,,,,,,,,,No se dispone del porcentaje diferenciado de taxis y vehículos compartidos. Tampoco se tiene información de micromovilidad.
2025 Disclosure Cycle,779465,CDP,42388,Intendencia de Montevideo,City,Latin America,Uruguay,Public,Q4.5,Report your jurisdiction's passenger and/or freight mode share data.,1,Mode share data,Passenger mode share as share of trips (%),33.57,2.62,0,26.45,0,0,1.08,36.21,,0.11,2016,100.04,,,,,,,,,,,Datos del Observatorio de Movilidad de la Intendencia de Montevideo para el año 2016. https://montevidata.montevideo.gub.uy/movilidad/viajes-en-montevideo-encuesta-origen-destino-2016
2025 Disclosure Cycle,779465,CDP,43905,"City of San Antonio, TX",City,North America,United States of America,Public,Q4.5,Report your jurisdiction's passenger and/or freight mode share data.,1,Mode share data,Passenger mode share as share of vehicle distance travelled (%),3.2,0.3,0,0.6,0,0,0,95.8,0,0,2024,99.90,Freight mode share as share of vehicle distance travelled (%),0.0,4.0,3.0,58.0,35.0,0.0,0.0,2023,100.00,"The passenger mode data comes from the City's consultant RH&S. They pulled San Antonio data from Replica. Freight mode estimates are derived from the US Department of Transportation, National Transportation Statistics 2021 report.\n\nWhile newer figures could not be located for freight mode share, a Regional Transportation Modeler with our Metropolitan Planning Organization confirmed that the figures previously published would not differ greatly year to year. "
2025 Disclosure Cycle,779465,CDP,43907,"City of Indianapolis, IN",City,North America,United States of America,Public,Q4.5,Report your jurisdiction's passenger and/or freight mode share data.,1,Mode share data,Passenger mode share as share of trips (%),2.2,0.3,0.0,1.2,0.0,0.0,1.6,82.7,0,12,2024,100.00,Jurisdiction does not have mode share data for freight transport,,,,,,,,,,Derived from the U.S. Census American Community Survey (2024) Commuting Characteristics by Sex (S0801): https://data.census.gov/table/ACSST1Y2021.S0801?q=S0801:+COMMUTING+CHARACTERISTICS+BY+SEX&g=160XX00US1836003
2025 Disclosure Cycle,779465,CDP,43908,"City of Milwaukee, WI",City,North America,United States of America,Public,Q4.5,Report your jurisdiction's passenger and/or freight mode share data.,1,Mode share data,Jurisdiction does not have passenger mode share data,,,,,,,,,,,,,Jurisdiction does not have mode share data for freight transport,,,,,,,,,,
2025 Disclosure Cycle,779465,CDP,43909,"City of Orlando, FL",City,North America,United States of America,Public,Q4.5,Report your jurisdiction's passenger and/or freight mode share data.,1,Mode share data,Passenger mode share as share of vehicle distance travelled (%),6.9,2.24,0.19,15.65,0.02,0.0,31,44,0,0.0,2024,100.00,Jurisdiction does not have mode share data for freight transport,,,,,,,,,,"Estimates for cycling, walking, and bus use are derived from Google EIE. Since the 2023 data has not yet been published, the total distance traveled was estimated for 2024. Micromobility estimates are sourced from Populus, a data platform. Rail information is obtained directly from the relevant rail authority. Shared vehicle estimates are based on city fleet vehicle data from 2021. Due to the lack of data for 2024, we have assumed the same percentage of usage as in 2021 and calculated the other figures accordingly. "
2025 Disclosure Cycle,779465,CDP,43910,"City of Columbus, OH",City,North America,United States of America,Public,Q4.5,Report your jurisdiction's passenger and/or freight mode share data.,1,Mode share data,Passenger mode share as share of trips (%),2.6,0.4,0,2.1,0,0.0,1.2,70.1,7.5,0,2021,83.90,Jurisdiction does not have mode share data for freight transport,,,,,,,,,,Transportation Planner updated these figures August 2025 per American Community Survey Commuting Characteristics by Sex. 16.1% reported worked from home. 
2025 Disclosure Cycle,779465,CDP,43911,"City of Ottawa, ON",City,North America,Canada,Public,Q4.5,Report your jurisdiction's passenger and/or freight mode share data.,1,Mode share data,Passenger mode share as share of trips (%),14.2,3.9,,8.5,,,14.9,54.2,,4.3,2022,100.00,Jurisdiction does not have mode share data for freight transport,,,,,,,,,,"Transportation Trends Report, Ottawa Transportation Master Plan Update (May 2024)\n\nhttps://pub-ottawa.escribemeetings.com/filestream.ashx?DocumentId=165537"
2025 Disclosure Cycle,779465,CDP,43912,"City of Edmonton, AB",City,North America,Canada,Public,Q4.5,Report your jurisdiction's passenger and/or freight mode share data.,1,Mode share data,Passenger mode share as share of trips (%),11.0,2.0,,10.0,,,,77.0,,,2015,100.00,Jurisdiction does not have mode share data for freight transport,,,,,,,,,,"Entry for \'Buses\' includes all transit modes (Bus and LRT). No data available for micro-mobility or taxis/shared vehicles or other, these are reported as zero due to the lack of data.Results from 2015 Household Travel Survey:https://www.edmonton.ca/transportation/traffic_reports/travel-pattern-analysis"
2025 Disclosure Cycle,779465,CDP,43914,"City of Charlotte, NC",City,North America,United States of America,Public,Q4.5,Report your jurisdiction's passenger and/or freight mode share data.,1,Mode share data,Passenger mode share as share of trips (%),1.29,0.13,0,0.87,0.58,0.0,7.79,64.84,0,24.48,2022,99.98,Jurisdiction does not have mode share data for freight transport,,,,,,,,,,Other includes those who worked from home and other means
2025 Disclosure Cycle,779465,CDP,43917,Capital Municipality of Sofia,City,Europe,Bulgaria,Public,Q4.5,Report your jurisdiction's passenger and/or freight mode share data.,1,Mode share data,Passenger mode share as share of trips (%),25.4,0.7,0.4,35.8,0.1,0,0.2,37.3,0,0.1,2022,100.00,Jurisdiction does not have mode share data for freight transport,,,,,,,,,,No data available
2025 Disclosure Cycle,779465,CDP,43920,City of Ljubljana,City,Europe,Slovenia,Public,Q4.5,Report your jurisdiction's passenger and/or freight mode share data.,1,Mode share data,Passenger mode share as share of trips (%),28.8,10.1,1.3,10.5,0,0,0,49.3,0,0,2024,100.00,Freight mode share as share of vehicle distance travelled (%),0,63,22.1,14.8,0.1,0,0,2024,100.00,"Ten years after the previous travel behaviour survey of residents of the City of Ljubljana and the Ljubljana Urban Region (2013), a new survey was conducted in which more than 6,000 people from the City of Ljubljana and other municipalities in the Ljubljana Urban Region answered questions about their travel habits, private car ownership, number of trips per day, trip purposes, modes used, and the timing and duration of trips, etc. The data on the share of trips by trip type or mode of transport come from this new survey, carried out in 2024.\n\nData source: https://www.ljubljana.si/sl/aktualno/raziskava-potovalnih-navad-v-mestni-obcini-ljubljana-in-ljubljanski-urbani-regiji-2024/\n\nIn 2017, City of Ljubljana upgraded the Transport Policy into the City's Integrated Transport Strategy, with which City of Ljubljana in cooperation with various stakeholders and based on the achievements to date, redefined the goals for an even better quality of life in Ljubljana. City of Ljubljana has committed that 2/3 of the routes will be completed in a sustainable way - on foot, by bicycle and by public transport by the year 2027.\n\nFreight mode shares are calculated from data on average day traffic for the year 2024. Data for rail mode share is taken from National railway company for the year 2024."
2025 Disclosure Cycle,779465,CDP,43926,City of Mannheim,City,Europe,Germany,Public,Q4.5,Report your jurisdiction's passenger and/or freight mode share data.,1,Mode share data,Passenger mode share as share of trips (%),38,22,0,0,10,0,0,30,0,0,2023,100.00,Jurisdiction does not have mode share data for freight transport,,,,,,,,,,"The modal split surveys are generally carried out in German municipalities every five years. The latest evaluation covers the reporting year 2023.\n\nhttps://www.mannheim.de/sites/default/files/2025-01/Mannheim_Steckbrief_2023_v2.pdf\n\nAlternatively, we have data on the modal split for 2024 from the \'Google Environmental Insights Explorer\'. In our view, however, the Google EIE data is somewhat less meaningful than the survey that is conducted every five years. If required, we can report the figures from Google EIE."
2025 Disclosure Cycle,779465,CDP,43930,Municipality of The Hague,City,Europe,Netherlands,Public,Q4.5,Report your jurisdiction's passenger and/or freight mode share data.,1,Mode share data,Passenger mode share as share of trips (%),28.7,25.5,1.7,7.6,4.2,0,0,30.7,0,1.7,2023,100.10,Jurisdiction does not have mode share data for freight transport,,,,,,,,,,"ODiN (CBS) data on 2023. Passenger mode other includes moped (1,7). 'Bus' includes tram and metro. 'Rail/metro/tram' is trains only. https://denhaag.incijfers.nl/viewer?workspace_guid=9392e5e5-80dd-427e-a52c-4150b7f5713f"
