disclosure_cycle,cdp_requesting_org_number,requesting_organization,cdp_disclosing_org_number,disclosing_organization,disclosing_org_type,cdp_region,discloser_country_or_area,public_status,question_number,question_text,row_order,row_name,col1_Data availability,col2_Percentage of population that is food insecure,col3_Percentage of population that lives in a food desert,col4_Comment
2025 Disclosure Cycle,779465,CDP,31180,Región Metropolitana de Santiago,City,Latin America,Chile,Public,Q4.11,What percentage of your population is food insecure and/or lives in a food desert?,1,Response,Data available for the percentage of population that lives in a food desert,,3.3,El indicador mide el porcentaje de hogares que han experimentado inseguridad alimentaria a niveles graves durante el período de referencia en la Región Metropolitana.https://datasocial.ministeriodesarrollosocial.gob.cl/fichaIndicador/814/1
2025 Disclosure Cycle,779465,CDP,31181,"City of Philadelphia, PA",City,North America,United States of America,Public,Q4.11,What percentage of your population is food insecure and/or lives in a food desert?,1,Response,Data available for the percentage of population that is food insecure,15.2,,https://map.feedingamerica.org/county/2022/overall/pennsylvania/county/philadelphia
2025 Disclosure Cycle,779465,CDP,31182,"City of San Francisco, CA",City,North America,United States of America,Public,Q4.11,What percentage of your population is food insecure and/or lives in a food desert?,1,Response,Data available for the percentage of population that is food insecure,8,,"In 2023, 37% of San Francisco residents at the 200% Federal Poverty Line (about 63,270 residents) were food insecure, according to the Food Security Task Force's 2025 Recommendations Report. Based on the available population data for San Francisco in 2023 (808,988), this maps out to around 8% or more of the population experiencing food insecurity. The Food Security Task Force was created by the City in 2005 to advise the Board of Supervisors on related issues. The task force meets monthly and has issued an updated 2025 report that lays out a new set of recommendations for the City to take to reduce food insecurity, increase access to healthy food options, reduce the average cost of a meal, and extend more food program benefits to the most vulnerable households. \nhttps://media.api.sf.gov/documents/FSTF_2025_RECOMMENDATIONS_Official.pdf"
2025 Disclosure Cycle,779465,CDP,31184,Prefeitura de São Paulo,City,Latin America,Brazil,Public,Q4.11,What percentage of your population is food insecure and/or lives in a food desert?,1,Response,No data available for the percentage of population that is food insecure/lives in a food desert,,,"Não há dados institucionais sobre a porcentagem da população que sofre de insegurança alimentar e/ou que vive em um deserto alimentar na cidade de São Paulo. No entanto, foi lançado em abril de 2023 o Observatório de Segurança Alimentar e Nutricional vinculado ao Conselho Municipal de Segurança Alimentar e Nutricional, com o objetivo de produzir, tratar e disseminar dados e informações sobre alimentação, agricultura, nutrição e cultura alimentar na capital e está previsto a entrega de uma pesquisa realizada pelo para o final de agosto. "
2025 Disclosure Cycle,779465,CDP,31185,City of Warsaw,City,Europe,Poland,Public,Q4.11,What percentage of your population is food insecure and/or lives in a food desert?,1,Response,Data available for the percentage of population that lives in a food desert,,0,Warsaw doesn't have any food desert
2025 Disclosure Cycle,779465,CDP,31186,Changwon City,City,South East Asia & Oceania,Korea (The Republic of),Public,Q4.11,What percentage of your population is food insecure and/or lives in a food desert?,1,Response,No data available for the percentage of population that is food insecure/lives in a food desert,,,"창원시는 식량 불안정이나 식량 사막(푸드 데저트) 문제의 비중이 낮은 도시로 평가됩니다. 도시 내 인프라가 잘 갖추어져 있으며, 대형마트·전통시장·소매점·온라인 유통망 등 다양한 유통 채널이 확보되어 있어, 시민들이 안전한 식품에 쉽게 접근할 수 있습니다.\n\n현재 국가 차원에서도 식량 불안 또는 식량 사막에 대한 정량적 통계는 부족하지만, 창원시의 생활·유통 환경을 고려할 때 취약계층 일부를 제외한 대부분 시민은 안정적으로 식품을 확보하고 있습니다. \n\n특히 기초생활수급자, 독거노인, 저소득 가구 등을 대상으로 한 푸드뱅크, 무료급식, 긴급 식품 바우처 지원 등의 사회안전망이 운영되어, 식량 불안정 가능성을 최소화하고 있습니다.\n\n<의미와 시사점>\n1)창원시는 식품 접근성·안정성이 높은 지역으로, 일반 시민들의 식량 불안 문제는 거의 없는 수준.\n2)다만 일부 취약계층(고령층·저소득층·장애인 등)은 물리적·경제적 요인으로 식품 접근성에 제약을 받을 수 있어, 정책적 맞춤형 지원 강화가 필요.\n3)기후위기·물가상승·글로벌 공급망 차질 등 외부 요인이 확대될 경우, 식품 가격 불안정이 취약계층에 미칠 영향을 면밀히 관리할 필요가 있음.\n4)창원시는 이미 보건복지 서비스와 연계한 다양한 식품 지원 정책을 추진하고 있어, 지속적인 모니터링과 정책 보완으로 식량 안정성을 더욱 강화할 수 있음.\n\n결론적으로, 창원시는 현재 식량 불안과 식량 사막 위험이 낮은 안정적 도시로 분류될 수 있으며, 앞으로도 취약계층을 대상으로 한 선제적 대응이 중요한 과제로 제시됩니다."
2025 Disclosure Cycle,779465,CDP,31187,Seoul Metropolitan Government,City,South East Asia & Oceania,Korea (The Republic of),Public,Q4.11,What percentage of your population is food insecure and/or lives in a food desert?,1,Response,No data available for the percentage of population that is food insecure/lives in a food desert,,,"We don't find the need to have data on food desert as fresh foods are accessible across the city.\n\nHowever, according to a food accessibility survey conducted in Seoul, some areas have seen a decrease in grocery stores offering fresh food, while convenience stores focusing on processed foods have increased.\nThe city plans to continuously monitor this trend on an annual basis."
2025 Disclosure Cycle,779465,CDP,31446,Taipei City Government,City,China,East Asia,Public,Q4.11,What percentage of your population is food insecure and/or lives in a food desert?,1,Response,No data available for the percentage of population that is food insecure/lives in a food desert,,,There are no available data for this item.\n
2025 Disclosure Cycle,779465,CDP,32480,City of Adelaide,City,South East Asia & Oceania,Australia,Public,Q4.11,What percentage of your population is food insecure and/or lives in a food desert?,1,Response,Data available for the percentage of population that lives in a food desert,,0.0,1.6 km is the furthest distance between a supermarket and any other point within the CoA.
2025 Disclosure Cycle,779465,CDP,32550,"City of Denver, CO",City,North America,United States of America,Public,Q4.11,What percentage of your population is food insecure and/or lives in a food desert?,1,Response,Data available for the percentage of population that is food insecure,13.7,,"Impacts of the COVID-19 pandemic have led to widespread impacts on Denver's food security. Emergency food providers and pantries have seen a dramatic increase in the demand for their services. Communities of color have been some of the hardest hit as a result of COVID-19. These communities suffer greater health impacts from both the virus and inadequate access to healthy foods. To help address these needs, Denver granted out funding through the Denver Emergency Food Relief Fund program through the Federal Coronavirus Aid, Relief, and Economic Security (CARES) Act in 2020 and 2021. These grants expanded critical emergency food, grocery, and meal programs for residents affected by COVID-19. (source: https://map.feedingamerica.org/county/2023\n/overall/colorado/county/denver)."
2025 Disclosure Cycle,779465,CDP,35268,"City of Boston, MA",City,North America,United States of America,Public,Q4.11,What percentage of your population is food insecure and/or lives in a food desert?,1,Response,Data available for the percentage of population that is food insecure,18.7,,"Percentage corresponds to the % of adult Boston residents who reported that, within the last 12 months, the food they bought did not last and they did not have money to get more (Boston Behavioral Risk Factor Surveillance System, 2019, 2021, and 2023 combined), according to the report Boston Community Health Collaborative. 2025. Boston Community Health Needs Assessment. Boston, MA: Boston Public Health Commission https://www.boston.gov/sites/default/files/file/2025/06/2025%20Boston%20CHNA%20Final%20Report.pdf "
2025 Disclosure Cycle,779465,CDP,35274,"City of Portland, ME",City,North America,United States of America,Public,Q4.11,What percentage of your population is food insecure and/or lives in a food desert?,1,Response,Data available for the percentage of population that is food insecure,16.4,,Percentage is based on all households in Maine. Source: https://www.preblestreet.org/what-we-do/advocacy/maine-hunger-initiative/
2025 Disclosure Cycle,779465,CDP,35449,City of Zürich,City,Europe,Switzerland,Public,Q4.11,What percentage of your population is food insecure and/or lives in a food desert?,1,Response,Data available for the percentage of population that is food insecure,0.0,,https://www.stadt-zuerich.ch/site/umweltbericht/de/index/treiber/ernaehrung.html
2025 Disclosure Cycle,779465,CDP,35475,"City of Calgary, AB",City,North America,Canada,Public,Q4.11,What percentage of your population is food insecure and/or lives in a food desert?,1,Response,No data available for the percentage of population that is food insecure/lives in a food desert,,,21% of Calgarians accessed community based food services. 29% worry about running out of food. \n\n73% of Calgarians were not within walking distance (800m) of a healthier food store in 2019. \n\nCalgary Foundation 2024 Quality of Life report notes continued financial stress and concerns for affordability that impact food insecurity. \n
2025 Disclosure Cycle,779465,CDP,35848,Municipality of Belo Horizonte,City,Latin America,Brazil,Public,Q4.11,What percentage of your population is food insecure and/or lives in a food desert?,1,Response,Data available for the percentage of population that is food insecure,25.0,,"Os dados de porcentagem da população que vive em insegurança alimentar e/ou que vive em um deserto alimentar em Belo Horizonte é fornecido pela Secretaria Municipal de Segurança Alimentar e Nutricional (SMSAN). A SMSAN é o órgão responsável por planejar, coordenar e executar a Política Municipal de Segurança Alimentar e Nutricional; planejar, coordenar e executar a Política Municipal de Agricultura Urbana e Agroecológica; desenvolver estratégias intersetoriais que visem o atendimento dos públicos assistidos. Em Belo Horizonte, os programas de Segurança Alimentar e Nutricional foram iniciados em 1993 pela prefeitura, e hoje conta com programas como o Programa de Ssistência Alimentar e Nutricional Emergencial que garante o acesso a um subsídeo para a compra de alimentos, a oportunidade de participação das famílias nas ações de cultivo de alimentos, educação alimentar e nutricional \'https://prefeitura.pbh.gov.br/seguranca-alimentar-nutricional/programas-e-projetos/paan). Existem os Restaurantes populares que comercializam refeições prontas, nutricionalmente balanceadas e a preços acessíveis, servidas em locais apropriados e confortáveis, a fim de garantir dignidade ao ato de se alimentar (https://prefeitura.pbh.gov.br/seguranca-alimentar-nutricional/equipamentos/restaurantes-populares). Há Banco de Alimentos de Belo Horizonte que busca contribuir para a redução da insegurança alimentar da população em situação de vulnerabilidade social e nutricional por meio da doação de alimentos, transformando o que seria dispensado em alimento para quem precisa (https://prefeitura.pbh.gov.br/seguranca-alimentar-nutricional/equipamentos/banco-de-alimentos). O Programa Cozinhas Comunitárias objetiva a garantia ao acesso à alimentação saudável e nutritiva à população vulnerável por meio da entrega de refeições gratuitas (https://prefeitura.pbh.gov.br/seguranca-alimentar-nutricional/assistencia-alimentar/cozinhas-comunitarias). O Programa Municipal de Alimentação Escolar (PMAE) garante que todos os estudantes matriculados na rede própria ou parceira do município tenham acesso a refeições nutritiva com qualidade e quantidade suficientes (https://prefeitura.pbh.gov.br/seguranca-alimentar-nutricional/assistencia-alimentar/escolar). O Cesta nas Férias garante a oferta de cestas de aliemntos para as famílias dos estudantes e pobreza matriculados nas escolas municipais ou creches parceiras (https://prefeitura.pbh.gov.br/seguranca-alimentar-nutricional/cesta-nas-ferias)."
2025 Disclosure Cycle,779465,CDP,35852,Ankara Metropolitan Municipality,City,UKWW,Türkiye,Public,Q4.11,What percentage of your population is food insecure and/or lives in a food desert?,1,Response,No data available for the percentage of population that is food insecure/lives in a food desert|Data available for the percentage of population that is food insecure,7,,"According to proxy data derived from Turkish Statistical Institute (TURKSTAT) income and poverty reports, and aligned with FAO's Food Insecurity Experience Scale (FIES), it is estimated that approximately 7% of Ankara's population experiences moderate or severe food insecurity. This group faces difficulties in accessing nutritionally adequate and safe food due to rising food prices, inflation, and limited household income. Vulnerable groups include low-income households, refugees, and unemployed individuals, who often rely on municipal social assistance programs, food banks, or subsidized markets provided by Ankara Metropolitan Municipality (AMM). While no official data exists on “food deserts” in Ankara, preliminary observations suggest that physical access to supermarkets and fresh food markets is relatively widespread in central districts due to the presence of municipal “halk pazarları” (public markets) and grocery stores. However, peri-urban and low-income settlements on the city's outskirts may face challenges in affordable and continuous access to fresh food. Further mapping and collaboration with universities and FAO are required to quantify food desert prevalence using internationally comparable methodologies such as the USDA definition. In the absence of standardized local data, AMM acknowledges the gap and plans to prioritize monitoring systems for food environment and nutrition security within the framework of SDG2."
2025 Disclosure Cycle,779465,CDP,35853,"City of Baltimore, MD",City,North America,United States of America,Public,Q4.11,What percentage of your population is food insecure and/or lives in a food desert?,1,Response,Data available for the percentage of population that is food insecure|Data available for the percentage of population that lives in a food desert,15.5,23.5,"\nCertain groups of residents are affected at disproportional rates. 31% of Black residents live in Healthy Food Priority Areas, the highest of any racial or ethnic group. By comparison, only 9% of White residents live in Priority Areas. On average, children are the most likely of any age group to live in Priority Areas, at 28% of all of Baltimore's children. Seniors also live in Healthy Food Priority Areas at disproportionate rates, with 24% of all of Baltimore's seniors.\n\nData:\nhttps://clf.jhsph.edu/sites/default/files/2019-01/baltimore-city-food-environment-2018-report.pdf\n\nFeeding America 2020 Overall Food Insecurity in Baltimore City, MD - https://map.feedingamerica.org/county/2020/overall/maryland/county/baltimore-city \n\nDHS Monthly SNAP Data - https://dhs.maryland.gov/business-center/documents/"
2025 Disclosure Cycle,779465,CDP,35856,Busan Metropolitan City,City,South East Asia & Oceania,Korea (The Republic of),Public,Q4.11,What percentage of your population is food insecure and/or lives in a food desert?,1,Response,No data available for the percentage of population that is food insecure/lives in a food desert,,,
2025 Disclosure Cycle,779465,CDP,35857,"City of Cincinnati, OH",City,North America,United States of America,Public,Q4.11,What percentage of your population is food insecure and/or lives in a food desert?,1,Response,Data available for the percentage of population that is food insecure|Data available for the percentage of population that lives in a food desert,22,25.0,The previous data source for food deserts is no longer available. The sources for the food insecurity response are below:\n\nFood insecurity: https://map.feedingamerica.org/county/2023/child/ohio/county/hamilton\n\nhttps://www.cdc.gov/places/\n
2025 Disclosure Cycle,779465,CDP,35858,City of Cape Town,City,UKWW,South Africa,Public,Q4.11,What percentage of your population is food insecure and/or lives in a food desert?,1,Response,Data available for the percentage of population that is food insecure,22.6,,"To note: the figure reported here is not an official City of Cape Town statistic, but is based on the below mentioned studies in the absence of official reported figures. Since 2009, the Statistics South Africa General Household Survey (GHS) has also included a set of 8 questions based on the Household Food Insecurity Access Scale to determine household food security. The following index was used;\n\nHouseholds that answered yes to:\n•max one question are considered food secure\n•2-5 questions are considered food insecure\n•6-8 questions are considered severely food insecure.\n\nThe results of the 2024 GHS categorizes 13.5% of households in Cape Town as being food insecure, while 9.1% was found to be severely food insecure. Thus, a total of 22.6%.\n\nThe City has recently committed to conducting socio-economic surveys every two years to obtain accurate, reliable, frequent and updated data on households across the city. Hunger-related questions were included in the CCT Household Survey, which were taken verbatim from the GHS; including:\nIn the last 12 months:\n-did any adult (18 years and older) in this household go hungry because there wasn't enough food?\n-did any child (17 years and younger) in this household go hungry because there wasn't enough food?\n\nThe CCT Household Survey took place in. 2024 and interviews with 10 000 households revealed:\n•16.5% of adults in Cape Town households seldom or sometimes went hungry because there wasn't enough food, while 2% often or always went hungry due to food shortages.\n•13.9% of adults in Cape Town households seldom or sometimes went hungry because there wasn't enough food, while 1.7% often or always went hungry due to food shortages.\n•There are more than double the number of households with child and adult hunger in informal and backyard dwellings compared to formal dwellings.\n\nOther previous research: \n•The National Food and Nutrition Security Report for South Africa 2024 presented the findings, at a provincial level, of a national household food security survey conducted in 2023. Based on the Household Food Insecurity Access Scale approach, 45% of households were food secure, 37% reported mild/moderate food insecurity, while 17% of households reported severe food insecurity. \n•Cape Town City Food Systems Report by AfriFOODlinks (2024) https://afrifoodlinks.org/resource/state-of-the-city-food-system-cape-town/ \n\nTo note: data on food desserts is not currently available and sourcing this will require additional resources. "
2025 Disclosure Cycle,779465,CDP,35859,"City of Cleveland, OH",City,North America,United States of America,Public,Q4.11,What percentage of your population is food insecure and/or lives in a food desert?,1,Response,Data available for the percentage of population that lives in a food desert,,59,"According to 2018 data from Cuyahoga County, over 230,700 Cleveland residents (59% of the total City population) are living in Food Deserts (includes residents that are greater than 1/2 mile from nearest supermarket)\n\nhttps://s3.countyplanning.us/wp-content/uploads/2019/03/Cuyahoga-County-Supermarket-Assessment-2018-Inventory-Update-_FINAL-REPORT-030819.pdf"
2025 Disclosure Cycle,779465,CDP,35860,"City of Dallas, TX",City,North America,United States of America,Public,Q4.11,What percentage of your population is food insecure and/or lives in a food desert?,1,Response,Data available for the percentage of population that lives in a food desert,,36.0,From Goal 7: All Dallas' Communities Have Access to Healthy Local Food. CECAP p. 153 https://www.dallasclimateaction.com/_files/ugd/349b65_e4f9a262cebf41258fd4343d9af0504f.pdf
2025 Disclosure Cycle,779465,CDP,35862,"City of Detroit, MI",City,North America,United States of America,Public,Q4.11,What percentage of your population is food insecure and/or lives in a food desert?,1,Response,Data available for the percentage of population that is food insecure,34.7,,"Source: Department of Population Health, NYU Langone Health. City Health Dashboard. Accessed: August 19, 2025. https://www.cityhealthdashboard.com/MI/Detroit/metric-detail?metricId=50&dataPeriod=2022\n"
2025 Disclosure Cycle,779465,CDP,35863,eThekwini Municipality,City,UKWW,South Africa,Public,Q4.11,What percentage of your population is food insecure and/or lives in a food desert?,1,Response,No data available for the percentage of population that is food insecure/lives in a food desert,,,No data
2025 Disclosure Cycle,779465,CDP,35864,Ekurhuleni Metropolitan Municipality,City,UKWW,South Africa,Public,Q4.11,What percentage of your population is food insecure and/or lives in a food desert?,1,Response,,,,No data available 
2025 Disclosure Cycle,779465,CDP,35865,Municipality of Fortaleza,City,Latin America,Brazil,Public,Q4.11,What percentage of your population is food insecure and/or lives in a food desert?,1,Response,Data available for the percentage of population that lives in a food desert|Data available for the percentage of population that is food insecure,1.62,," População em pobreza - 43.886; População de baixa renda e pobreza -\n58.310; Desertos Alimentares (áreas com 0 a 5 estabelecimentos que ofertam\nalimentos saudáveis, acessíveis em até 15 minutos de caminhada para cada 1 mil\nhabitantes) - 54\nFonte: Estratégia Alimenta Cidades, uma iniciativa do Governo Federal, através do\nMinistério do Desenvolvimento e Assistência Social, Família e Combate à Fome"
2025 Disclosure Cycle,779465,CDP,35867,Region Metropolitana de Guadalajara,City,Latin America,Mexico,Public,Q4.11,What percentage of your population is food insecure and/or lives in a food desert?,1,Response,Data available for the percentage of population that is food insecure,15.2,,"Valor promedio de los 9 municipios del AMG del indicador de acceso a la alimentación nutritiva y de calidad.\nCon base en las fichas del Consejo Nacional de Evaluación de la Política de Desarrollo Social (CONEVAL) de información municipal (2024), con año de referencia 2020. \nDisponible en: https://www.coneval.org.mx/coordinacion/entidades/Paginas/Fichas_Municipales_2024.aspx"
2025 Disclosure Cycle,779465,CDP,35870,"City of Miami, FL",City,North America,United States of America,Public,Q4.11,What percentage of your population is food insecure and/or lives in a food desert?,1,Response,Data available for the percentage of population that is food insecure|Data available for the percentage of population that lives in a food desert,15.1,28,"Miami-Dade County Food Insecurity Rate: https://www.miamidadematters.org/indicators/index/view?indicatorId=2107&localeId=414 \n\nValue represents 2023 measurement from Feeding America \n\nIn 2019, the City of Miami was estimated to have about 28% (129,107) of its residents living in a food desert. We define this using USDA's multi-criteria for establishing limited access to supermarkets, supercenters, grocery stores, or other sources of healthy and affordable food. Criteria used to establish number of individuals within a food desert is based on the USDA's Food Access Research Atlas dataset looking at census tracts within the City that were identified as low income with at least 500 people, or 33% of the population, living more than 1/2 mile from the nearest supermarket, supercenter, or large grocery store. More recent data is not available. "
2025 Disclosure Cycle,779465,CDP,35871,City of Monterrey,City,Latin America,Mexico,Public,Q4.11,What percentage of your population is food insecure and/or lives in a food desert?,1,Response,No data available for the percentage of population that is food insecure/lives in a food desert,,,
2025 Disclosure Cycle,779465,CDP,35872,Municipality of Recife,City,Latin America,Brazil,Public,Q4.11,What percentage of your population is food insecure and/or lives in a food desert?,1,Response,No data available for the percentage of population that is food insecure/lives in a food desert|Data available for the percentage of population that is food insecure,31,,"Segundo o CADINSAN/Recife, instrumento desenvolvido pela SEPLAG/SEPLAN para monitorar a população em vulnerabilidade social e alimentar do município, o modelo estimou a existência de\n492.440 pessoas cadastradas no CadÚnico em situação de Insegurança Alimentar Grave, o que\ncorresponde a aproximadamente 81% do total de cadastrados. Como o total da população do Recife é de 1.588.376 pessoas a porcentagem deu 31,003% que vive com insegurança alimentar."
2025 Disclosure Cycle,779465,CDP,35873,Medellín,City,Latin America,Colombia,Public,Q4.11,What percentage of your population is food insecure and/or lives in a food desert?,1,Response,Data available for the percentage of population that is food insecure,8.07,,"De acuerdo con la agenda ODS 2030 de Medellín, para 2024 el 54,79% de los hogares de Medellín tienen algún nivel de inseguridad alimentaria: inseguridad alimentaria severa, 8.07%; Inseguridad alimentaria moderada, 14,2; e inseguridad alimentaria leve, 32,52%"
2025 Disclosure Cycle,779465,CDP,35874,"City of Phoenix, AZ",City,North America,United States of America,Public,Q4.11,What percentage of your population is food insecure and/or lives in a food desert?,1,Response,Data available for the percentage of population that lives in a food desert,,42.5,"According to USDA there are 43 food deserts in the city of Phoenix, which encompasses 42.5% of the total population."
2025 Disclosure Cycle,779465,CDP,35877,"City of Pittsburgh, PA",City,North America,United States of America,Public,Q4.11,What percentage of your population is food insecure and/or lives in a food desert?,1,Response,Data available for the percentage of population that is food insecure|Data available for the percentage of population that lives in a food desert,20.0,40.0,FeedPGH Report\n\nhttps://apps.pittsburghpa.gov/redtail/images/16669_FeedPGH_Print_Version_11.18.21.pdf\n\nFood Access Data\n\nhttps://pittsburghpa.maps.arcgis.com/apps/dashboards/258efdabee52426f8335890733e8ef49
2025 Disclosure Cycle,779465,CDP,35878,"City of Sacramento, CA",City,North America,United States of America,Public,Q4.11,What percentage of your population is food insecure and/or lives in a food desert?,1,Response,Data available for the percentage of population that is food insecure,8,,See the EJ Factbook: Access to Healthy Food (https://www.cityofsacramento.gov/content/dam/portal/cdd/Planning/General-Plan/Healthy-Food_10192021.pdf)
2025 Disclosure Cycle,779465,CDP,35880,Municipality of Porto Alegre,City,Latin America,Brazil,Public,Q4.11,What percentage of your population is food insecure and/or lives in a food desert?,1,Response,No data available for the percentage of population that is food insecure/lives in a food desert,,,-
2025 Disclosure Cycle,779465,CDP,35882,"City of Tampa, FL",City,North America,United States of America,Public,Q4.11,What percentage of your population is food insecure and/or lives in a food desert?,1,Response,Data available for the percentage of population that is food insecure,10,,based on county-level data from 2021 https://www.flhealthcharts.gov/ChartsDashboards/rdPage.aspx?rdReport=NonVitalIndRateOnly.TenYrsRpt&cid=9910
2025 Disclosure Cycle,779465,CDP,35883,"City of San José, CA",City,North America,United States of America,Public,Q4.11,What percentage of your population is food insecure and/or lives in a food desert?,1,Response,Data available for the percentage of population that lives in a food desert,,21.0,Based on data from this analysis by ABC7 news: https://abc7news.com/food-desert-bay-area-deserts-pantry-near-me-alameda-bank/11254529/
2025 Disclosure Cycle,779465,CDP,35884,"City of San Diego, CA",City,North America,United States of America,Public,Q4.11,What percentage of your population is food insecure and/or lives in a food desert?,1,Response,Data available for the percentage of population that is food insecure,25,,"2025 Update from 14% to 25%:\n25% of City of SD Population is Nutrition Insecure (March 2025), per SD Hunger Coalition:\nhttps://www.sandiegohungercoalition.org/data-dashboards/#board"
2025 Disclosure Cycle,779465,CDP,35885,Tel Aviv-Yafo Municipality,City,UKWW,Israel,Public,Q4.11,What percentage of your population is food insecure and/or lives in a food desert?,1,Response,Data available for the percentage of population that is food insecure,14.6,,data for 2022 based on residents under the poverty line from the City's \'Statistical Yearbook\' 2024\nhttps://www.tel-aviv.gov.il/Transparency/DocLib13/%D7%94%D7%90%D7%95%D7%9B%D7%9C%D7%95%D7%A1%D7%99%D7%99%D7%94%20%D7%9E%D7%AA%D7%97%D7%AA%20%D7%9C%D7%A7%D7%95%20%D7%94%D7%A2%D7%95%D7%A0%D7%99%20%D7%9B%D7%90%D7%97%D7%95%D7%96%20%D7%9E%D7%94%D7%90%D7%95%D7%9B%D7%9C%D7%95%D7%A1%D7%99%D7%99%D7%94%20%D7%94%D7%9E%D7%AA%D7%90%D7%99%D7%9E%D7%94%202024.pdf
2025 Disclosure Cycle,779465,CDP,35886,City of Turin,City,Europe,Italy,Public,Q4.11,What percentage of your population is food insecure and/or lives in a food desert?,1,Response,No data available for the percentage of population that is food insecure/lives in a food desert,,,
2025 Disclosure Cycle,779465,CDP,35894,"Ville de Montreal, QC",City,North America,Canada,Public,Q4.11,What percentage of your population is food insecure and/or lives in a food desert?,1,Response,Data available for the percentage of population that is food insecure,14.8,,"Selon l'Enquête canadienne sur le revenu de 2023, l'insécurité alimentaire se situe à 19,8 %. Depuis 4 ans, cette statistique est en constante augmentation passant de 10,9 % en 2019 à 19,8 % en 2023. Cela équivaut à une hausse de 81,7 % en 4 ans. Il est important de mentionner que toute la population n'est pas touchée de la même manière : \nPersonnes racisées : 34,8 % souffrent d'insécurité alimentaire, contrairement à 15,9 % pour les personnes qui ne s'identifient pas comme minorité visible. Ce chiffre dépasse les 50 % (50,6 %) pour les personnes qui s'identifient comme Noire.\nPopulation immigrante : 27,4 % des personnes de plus de 15 ans et ayant immigré au Canada, versus 15,4 % pour les personnes nées au Canada\nPopulation autochtone : 23,3 % comparativement à 19,8 % pour les populations allochtones\nCependant, ces statistiques sont à la grandeur de la province et ne sont pas encore ventilées pour Montréal. Pour Montréal, les chiffres les plus récents datent de 2020, et donc avant la pandémie, et sont basées selon l'Enquête sur la santé dans les communautés canadiennes (ESCC). On est alors à 14,8 %."
2025 Disclosure Cycle,779465,CDP,35897,Municipality of Campinas,City,Latin America,Brazil,Public,Q4.11,What percentage of your population is food insecure and/or lives in a food desert?,1,Response,Data available for the percentage of population that lives in a food desert,,33.5,"Para se considerar uma família/pessoa em insegurança alimentar e nutricional é necessário a sistematização de uma série de fatores: entre eles produção de alimentos para consumo, acesso a renda e consequentemente acesso aos alimentos através da renda, e o quão permanente esse acesso é: desta forma, se uma família tem renda oscilante, ela está em risco de Insegurança Alimentar e Nutricional. A melhor metodologia aplicada é o questionário da Escala Brasileira de Insegurança Alimentar e Nutricional - EBBIA. Porém ele só é aplicado em inquéritos nacionais. O município possui a informação em relação a renda dos munícipes sistematizados no cadastro único. Famílias com renda per capita inferior a R$ 210,00 são consideradas em situação de pobreza. Famílias com renda per capita inferior a R$ 105,00 são consideradas em situação de extrema pobreza. Desta forma a renda referente a maço de 2022 dos munícipes revela um total de:44% dos cadastrados vivendo em pobreza34% dos cadastrados vivendo em extrema pobreza. Os números absolutos do cadastro único em março de 2022 são: 249.334 Famílias com renda per capita inferior a R$ 210,00 são consideradas em situação de pobreza: 85.818. Famílias com renda per capita inferior a R$ 105,00 são consideradas em situação de extrema pobreza: 110.874. Desertos Alimentares\' Mapeamento dos Desertos e Pântanos Alimentares, Secretaria Nacional de Segurança Alimentar e Nutricional (Sesan), do Ministério do Desenvolvimento e Assistência Social, Família e Combate à Fome (MDS), em parceria com o Grupo de Políticas Públicas da Escola Superior de Agricultura Luiz de Queiroz e a Fundação de Estudos Agrários Luiz de Queiroz (Fealq) da Universidade de São Paulo (USP).https://app.powerbi.com/view?r=eyJrIjoiOWMyZDY5Y2YtZDNkZS00MTk1LWExNmUtNDQ0NThmMDFjYzJlIiwidCI6IjY5ZWE4OTY4LWZhMTgtNDg2MS05ZDljLWU2YWNhZGEwY2U1ZiJ9 "
2025 Disclosure Cycle,779465,CDP,35898,Greater Manchester Combined Authority,City,UKWW,United Kingdom,Public,Q4.11,What percentage of your population is food insecure and/or lives in a food desert?,1,Response,Data available for the percentage of population that lives in a food desert|Data available for the percentage of population that is food insecure,48,5.27,"Survey conducted in November 2023 of 1546 households in Greater Manchester of which 48% experiencing low (20%) or very low (28%) food security. \n\nData is not available at a GM level for food deserts but can be viewed here at LA level, data has been added for Tameside as this is the highest https://shefuni.maps.arcgis.com/apps/instant/interactivelegend/index.html?appid=8be0cd9e18904c258afd3c959d6fc4d7"
2025 Disclosure Cycle,779465,CDP,35914,Greater Hyderabad Municipal Corporation,City,India,India,Public,Q4.11,What percentage of your population is food insecure and/or lives in a food desert?,1,Response,No data available for the percentage of population that is food insecure/lives in a food desert,,,City level information on food insecure population is not available.
2025 Disclosure Cycle,779465,CDP,35993,Singapore Government,City,South East Asia & Oceania,Singapore,Public,Q4.11,What percentage of your population is food insecure and/or lives in a food desert?,1,Response,No data available for the percentage of population that is food insecure/lives in a food desert,,,Singapore does not routinely collect data on these food insecurity indicators.
2025 Disclosure Cycle,779465,CDP,36032,Ville de Dakar,City,UKWW,Senegal,Public,Q4.11,What percentage of your population is food insecure and/or lives in a food desert?,1,Response,,,,Non connu à l'échelle de la ville suivant une étude récente
2025 Disclosure Cycle,779465,CDP,36036,City of Ibadan,City,UKWW,Nigeria,Public,Q4.11,What percentage of your population is food insecure and/or lives in a food desert?,1,Response,Data available for the percentage of population that is food insecure,60.0,,
