disclosure_cycle,cdp_requesting_org_number,requesting_organization,cdp_disclosing_org_number,disclosing_organization,disclosing_org_type,cdp_region,discloser_country_or_area,public_status,question_number,question_text,row_order,row_name,col1_Indicator used to estimate energy poverty^,col2_Percentage of households or total population within the jurisdiction boundary that face energy poverty^,col3_Threshold used for energy poverty^,col4_Comment
2025 Disclosure Cycle,779465,CDP,31187,Seoul Metropolitan Government,City,South East Asia & Oceania,Korea (The Republic of),Public,Q4.3,How many households within the jurisdiction boundary face energy poverty? Select the threshold used for energy poverty in your jurisdiction.,1,Response,Percentage of households within the jurisdiction boundary that face energy poverty,5,Other: Households that meet the eligibility criteria for the Energy Voucher Program,"Households that qualify for the national Energy Voucher Program are classified as energy-poor. Eligibility requires meeting both an income criterion—being a recipient of livelihood, medical, housing, or education assistance under the National Basic Livelihood Security Act—and a household characteristics criterion, which includes the presence of elderly persons, infants, persons with disabilities, pregnant women, individuals with serious illnesses, or single-parent and child-headed households."
2025 Disclosure Cycle,779465,CDP,31446,Taipei City Government,City,China,East Asia,Public,Q4.3,How many households within the jurisdiction boundary face energy poverty? Select the threshold used for energy poverty in your jurisdiction.,1,Response,Percentage of households within the jurisdiction boundary that face energy poverty,0.84,Other: 1.79%,"In 2023, the number of low-income households was 21,557 in Taipei City, accounting for about 1.69% of the City's population. Low-income households in Taipei City are defined as having a monthly income per person below NT$19,013. Taipei City has a multi-year multi-phase free-of-charge project was initiated in 2017 to assist low-income households in the adoption of high-performance LED bulbs, in order to reduce utility bills. From 2017 to 2020, 3,971 low-income households had been served, with about 39,000 lights replaced and around 1.66 million kWh of electricity saved.\n"
2025 Disclosure Cycle,779465,CDP,32480,City of Adelaide,City,South East Asia & Oceania,Australia,Public,Q4.3,How many households within the jurisdiction boundary face energy poverty? Select the threshold used for energy poverty in your jurisdiction.,1,Response,Percentage of households within the jurisdiction boundary that face energy poverty,0,Up to 10% of income spent on energy services,"There is not currently enough data to provide a figure for energy poverty in the City of Adelaide.\n\nWhat we know is that 27.6% of the City of Adelaide population are low income earners (earning less than $800 per week - https://profile.id.com.au/adelaide/household-income). According to the Australian Energy Regulator, South Australian low-income earners are spending 4.4% of their household income on electricity (page 53) and 2.8% of their household income on gas (page 58).\nCombining these values, energy expenses for low income households equates to 7.2% of income (https://www.aer.gov.au/system/files/2024-12/Annual%20Retail%20Market%20Report%202023%E2%80%9324%20-%2030%20November%202024.pdf). \n\nFurther breakdown of the data, including the number of households where energy expenses are higher than 10%, is not currently available."
2025 Disclosure Cycle,779465,CDP,32550,"City of Denver, CO",City,North America,United States of America,Public,Q4.3,How many households within the jurisdiction boundary face energy poverty? Select the threshold used for energy poverty in your jurisdiction.,1,Response,Percentage of households within the jurisdiction boundary that face energy poverty,1.0,Up to 5% of income spent on energy services,"Based on The Low-Income Energy Affordability Data (LEAD) Tool is designed to help states, communities and other stakeholders create better energy strategies and programs by improving their understanding of low income housing and energy characteristics. Data for the LEAD Tool comes from the U.S. Census Bureau's American Community Survey 2020 Public Use Microdata Samples. The energy data is for housing only. The LEAD Tool was initially conceived and developed as part of the Clean Energy for Low Income Communities Accelerator. More details on how the LEAD Tool was used by state and local partners can be found in the CELICA Toolkit."
2025 Disclosure Cycle,779465,CDP,35268,"City of Boston, MA",City,North America,United States of America,Public,Q4.3,How many households within the jurisdiction boundary face energy poverty? Select the threshold used for energy poverty in your jurisdiction.,1,Response,Percentage of households within the jurisdiction boundary that face energy poverty,37,Other: At least 3% of income spent on energy services,"Energy Burden is the percent of median yearly income that households pay for electricity and gas bills. Households nationally on average pay about 3% of their income on energy bills. A household that pays more than 3% of their income on energy bills is considered to experience energy burden. In Boston, 106,137 households were estimated to experience an energy burden in 2022. Source: ACS 2023, https://www.energy.gov/scep/slsc/lead-too l . Total number of HH (288,129) based on ACS 2023 https://data.census.gov/table?q=boston+fuel&g=040XX00US25&y=2023 "
2025 Disclosure Cycle,779465,CDP,35274,"City of Portland, ME",City,North America,United States of America,Public,Q4.3,How many households within the jurisdiction boundary face energy poverty? Select the threshold used for energy poverty in your jurisdiction.,1,Response,Energy poverty not estimated,,,The City of Portland currently does not measure energy poverty and will consider this metric in future vulnerability assessments and energy updates.
2025 Disclosure Cycle,779465,CDP,35449,City of Zürich,City,Europe,Switzerland,Public,Q4.3,How many households within the jurisdiction boundary face energy poverty? Select the threshold used for energy poverty in your jurisdiction.,1,Response,Percentage of households within the jurisdiction boundary that face energy poverty,0.0,Other: Zero,There are hardly any households in the city of Zurich facing energy poverty.
2025 Disclosure Cycle,779465,CDP,35475,"City of Calgary, AB",City,North America,Canada,Public,Q4.3,How many households within the jurisdiction boundary face energy poverty? Select the threshold used for energy poverty in your jurisdiction.,1,Response,Percentage of households within the jurisdiction boundary that face energy poverty,14.1,Other: Dual assessment criteria - households that spend greater than double the median energy vs income spend and do not meet the minimum income standard as defined by the Market Basket Measure for Calgary.,The City of Calgary has conducted it's own analysis on Energy Poverty for 2024 which utilizes a revised dual income MBM indicator. This indicator introduces a minimum income standard as opposed to be solely based on energy vs income calculation. \n\nEnergy poverty programming will follow in 2025. \n
2025 Disclosure Cycle,779465,CDP,35848,Municipality of Belo Horizonte,City,Latin America,Brazil,Public,Q4.3,How many households within the jurisdiction boundary face energy poverty? Select the threshold used for energy poverty in your jurisdiction.,1,Response,Percentage of total population within the jurisdiction boundary that face energy poverty,0.11,Up to 10% of income spent on energy services,"De acordo com os dados dos Indicadores dos objetivos de desenvolvimento sustentável - ODS, apresentados pelo e para o município de Belo Horizonte, aponta que 0,11% da população não tem acesso à eletricidade. Os dados referentes a esta variável podem ser acessados pelo link https://prefeitura.pbh.gov.br/planejamento/planejamento-e-orcamento/objetivos-de-desenvolvimento-sustentavel/indicadores-ods e são disponibilizado pela PNAD."
2025 Disclosure Cycle,779465,CDP,35852,Ankara Metropolitan Municipality,City,UKWW,Türkiye,Public,Q4.3,How many households within the jurisdiction boundary face energy poverty? Select the threshold used for energy poverty in your jurisdiction.,1,Response,Percentage of households within the jurisdiction boundary that face energy poverty,15,Up to 10% of income spent on energy services,"Energy poverty is an increasingly important issue for Ankara Metropolitan Municipality (ABB), particularly in the context of rising global energy prices, limited energy efficiency in the existing building stock, and the socio-economic vulnerabilities of certain household groups. Although Turkey has achieved almost universal household access to modern energy services such as electricity and natural gas (>99% connection rates in urban areas), the affordability dimension remains a major challenge. Energy poverty in Ankara is therefore not a matter of access but of financial ability to maintain secure, sustainable, and affordable energy services.\n\nIn line with international definitions, ABB uses the “10% income threshold” to identify energy poverty, meaning households spending 10% or more of their disposable income on energy services (heating, cooling, lighting, cooking, and appliances). This threshold is widely used in both the European Union (EU) and national academic research. Based on available statistics from the Turkish Statistical Institute (TurkStat/TÜİK) Household Budget Surveys, as well as independent studies carried out under the European Energy Poverty Observatory (EPOV) and national energy economics research, approximately 15% of households in Ankara can be considered energy poor according to this indicator. While this share is lower than rural and less developed regions in Turkey, it still represents a significant number of households across the capital city.\n\nThe main drivers of energy poverty in Ankara are:\n\nLow household income: Vulnerable groups, including unemployed individuals, retirees, and informal sector workers, are most affected.\n\nHigh energy costs: Natural gas and electricity tariffs have increased significantly since 2018, creating affordability pressures.\n\nInefficient building stock: Many residential buildings constructed before 2000 lack adequate insulation, efficient heating systems, or renewable integration.\n\nLimited awareness and behavioral factors: Households may not fully utilize available subsidies, energy-saving devices, or renewable energy programs.\n\nABB has integrated the energy poverty dimension into its Sustainable Energy and Climate Action Plan (SECAP, also referred to as YIDEP - Ankara's Local Climate Action Plan). Actions in the plan directly or indirectly reduce household exposure to energy poverty by lowering energy bills, improving efficiency, or supporting vulnerable groups. Key initiatives include:\n\nBuilding energy efficiency programs: Promoting retrofits, insulation, and replacement of inefficient boilers with modern, cleaner systems.\n\nSupport for renewable energy deployment: Expanding solar PV for public buildings, rural cooperatives, and agricultural irrigation, which helps reduce dependency on expensive fossil fuels.\n\nPublic transport and mobility improvements: Expanding bus, metro, and bicycle infrastructure, reducing household transport-related energy costs.\n\nAwareness campaigns: Water and energy-saving initiatives by Ankara Water and Sewerage Administration (ASKI) and other municipal subsidiaries.\n\nSocial support programs: Targeted subsidies for low-income groups, especially in heating and electricity, in coordination with national government programs.\n\nThe municipality also collaborates with Middle East Technical University (METU), civil society organizations, and professional chambers to better assess the scale of energy poverty, monitor indicators, and design cost-effective interventions. ABB is aligning its monitoring approach with the Global Covenant of Mayors (GCoM) Common Reporting Framework (CRF) to ensure international comparability and transparency.\n\nWhile no official nationwide definition of energy poverty currently exists in Turkey, ABB acknowledges the urgency of addressing this issue as part of climate action, sustainable development, and social equity. In practice, energy poverty in Ankara is monitored through household expenditure surveys and qualitative assessments conducted under SECAP/YIDEP. The municipality recognizes that energy poverty is not only an economic and social challenge but also an environmental one: households with limited financial capacity may rely on inefficient heating devices or low-quality fuels, leading to higher emissions and worsening air quality.\n\nGoing forward, ABB plans to:\n\nConduct regular local surveys to complement national data and obtain more granular understanding of household energy expenditures.\n\nExplore new indicators beyond the 10% threshold, such as the “Low Income High Costs” (LIHC) approach used in the UK or multidimensional energy poverty indicators (MEPI), to better capture hidden vulnerabilities.\n\nStrengthen cooperation with development agencies and national ministries to channel funding towards building retrofits and clean energy access programs."
2025 Disclosure Cycle,779465,CDP,35853,"City of Baltimore, MD",City,North America,United States of America,Public,Q4.3,How many households within the jurisdiction boundary face energy poverty? Select the threshold used for energy poverty in your jurisdiction.,1,Response,Percentage of households within the jurisdiction boundary that face energy poverty,23,Other: 6,"We only have data for energy burdens within the metropolitan area, not for just households within the City boundary. https://www.aceee.org/sites/default/files/pdfs/aceee-01_energy_burden_-_baltimore.pdf\n\nMedian energy burden is 3.0%, and the median low-income energy burden is 10.5% in the Baltimore metropolitan area.\n\nA quarter of low-income households have an energy burden above 22% in the Baltimore metropolitan area, which is more than seven times higher than the median energy burden.\n\nIn 2022, the Maryland State Office of the People's Council published an update of datasets for energy poverty burdens: https://opc.maryland.gov/Portals/0/Files/Publications/Reports/Maryland%20Low-Income%20Market%20Characterization_September%202022%20final.pdf?ver=7fFmfM9U0mFT8s81cHe6HQ%3d%3d\n\n\n23% of Baltimore households (237,681) have a high energy burden (above 6%).11% of Baltimore households (120,345) have a severe energy burden (above 10%)."
2025 Disclosure Cycle,779465,CDP,35856,Busan Metropolitan City,City,South East Asia & Oceania,Korea (The Republic of),Public,Q4.3,How many households within the jurisdiction boundary face energy poverty? Select the threshold used for energy poverty in your jurisdiction.,1,Response,Percentage of total population within the jurisdiction boundary that face energy poverty,6.8,Other: 국민기초생활보장 수급자,"국민기초생활보장법에 따르면 생활비나 국민건강수당을 받는 국민은 에너지빈곤층에 해당한다. 2023년 기준 부산 국민기초생활보장 수급자는 230,100명(171,576가구, 남자인원 : 100,765명, 여자인원 : 129,335명)으로 2023년 부산광역시 전체인구(3,349,556명) 대비 약 6.8%에 해당하는 수치임. 부산광역시 국민기초생활보장 수급자의 구성으로는 일반수급자는 230,100명이며 시설수급자는 4,557명으로 나타남\n\nsource: KOSIS 국민기초생활보장수급자현황https://kosis.kr/statHtml/statHtml.do?sso=ok&returnurl=https%3A%2F%2Fkosis.kr%3A443%2FstatHtml%2FstatHtml.do%3Fconn_path%3DI2%26tblId%3DDT_106N_01_0100069%26orgId%3D106%26"
2025 Disclosure Cycle,779465,CDP,35857,"City of Cincinnati, OH",City,North America,United States of America,Public,Q4.3,How many households within the jurisdiction boundary face energy poverty? Select the threshold used for energy poverty in your jurisdiction.,1,Response,Percentage of households within the jurisdiction boundary that face energy poverty,24.95,Other: Energy poverty is defined as greater than 6% of income spent on energy services.,The last study of energy burden was completed in 2019. The City is working to obtain new data to complete an update of the study. The 2019 study is available at the following link: \n\nhttps://www.cincinnati-oh.gov/sites/oes/assets/GCEA%20Energy%20Burden%20in%20Cincinnati%20report.pdf 
2025 Disclosure Cycle,779465,CDP,35858,City of Cape Town,City,UKWW,South Africa,Public,Q4.3,How many households within the jurisdiction boundary face energy poverty? Select the threshold used for energy poverty in your jurisdiction.,1,Response,Energy poverty not estimated,,,"The City of Cape Town does not currently formally measure energy poverty. However, there have been efforts made to understand the extent of energy poverty in Cape Town. Although Cape Town has one of the highest electrification rates in the country, at 96.7% in 2022, an estimated 70 000 households are not connected to grid electricity. Of these, an estimated 13 335 (2022/2023) households are located in informal settlements that cannot be provided electricity from the grid due to their location on land unsuited to development (located on wetlands, former landfills, etc.). \nAt present, these residents are left more vulnerable to energy poverty relative to those that have access to grid electricity because they do not have access to an energy poverty relief subsidy and are subject to high local prices for heating fuels. Around 250,000 households rent space informally in so-called 'backyards' or in multi-unit structures. The majority that are connected access electricity through the main connection of a landlord. Due to the absence of a formal connection, the occupants are vulnerable to exploitation from landlords. The landlords may opt to cut off electricity supply whenever they want in the absence of rent payments or charge exorbitant rates for electricity, without adhering to regulated prices. Additionally, occupants of these units do not have access to the subsidized electricity tariff and free basic electricity that the City provides to low-income households.\n\nThe expenditure-based approach that defines energy poverty by the share of total household income used to purchase energy is most widely used in South Africa. Households spending more than 10% of their income on energy are classified as energy poor (using this measure about 40% of the population is energy poor). However, using the expenditure-based approach to understand energy poverty in Cape Town has proven to be sub-optimal in understanding its extent. Several studies with varying results indicate a wide variation of household energy expenditure across low-income households. \n"
2025 Disclosure Cycle,779465,CDP,35859,"City of Cleveland, OH",City,North America,United States of America,Public,Q4.3,How many households within the jurisdiction boundary face energy poverty? Select the threshold used for energy poverty in your jurisdiction.,1,Response,Percentage of households within the jurisdiction boundary that face energy poverty,21.8,Other: 10 % or more of income spent on utility bills,"More than 100,000 Cleveland households live in high energy burden (above 6 percent) and over 40,000 households live in severe energy burden (above 10 percent). Therefore we used 10% or above facing severe energy burden, as the threshold for 'energy poverty'. Avg. # households in Cleveland by Census Bureau = 168000. Hence, % of households who face energy poverty = 40,000/168,0000 = 23.,8%"
2025 Disclosure Cycle,779465,CDP,35860,"City of Dallas, TX",City,North America,United States of America,Public,Q4.3,How many households within the jurisdiction boundary face energy poverty? Select the threshold used for energy poverty in your jurisdiction.,1,Response,Percentage of households within the jurisdiction boundary that face energy poverty,12,Up to 20% or more of income spent on energy services,Estimate of 11 percent American Council for an Energy-Efficient Economy (2020) (efaidnbmnnnibpcajpcglclefindmkaj/https://www.aceee.org/sites/default/files/pdfs/aceee-01_energy_burden_-_dallas.pdf). 
2025 Disclosure Cycle,779465,CDP,35862,"City of Detroit, MI",City,North America,United States of America,Public,Q4.3,How many households within the jurisdiction boundary face energy poverty? Select the threshold used for energy poverty in your jurisdiction.,1,Response,Percentage of households within the jurisdiction boundary that face energy poverty,16,Up to 10% of income spent on energy services,"Source: Drehobl, A., L. Ross, and R. Ayala. 2020. How High Are Household Energy Burdens? Washington, DC: American Council for an Energy-Efficient Economy."
2025 Disclosure Cycle,779465,CDP,35863,eThekwini Municipality,City,UKWW,South Africa,Public,Q4.3,How many households within the jurisdiction boundary face energy poverty? Select the threshold used for energy poverty in your jurisdiction.,1,Response,Energy poverty not estimated,,,Not estimated
2025 Disclosure Cycle,779465,CDP,35864,Ekurhuleni Metropolitan Municipality,City,UKWW,South Africa,Public,Q4.3,How many households within the jurisdiction boundary face energy poverty? Select the threshold used for energy poverty in your jurisdiction.,1,Response,Percentage of households within the jurisdiction boundary that face energy poverty,10,Other: Households with access to energy services,Other: Total number of households that face energy poverty is only the informal settlements. All formal households have access. The 2022 Census put electrification with the city at 93% this covers all households in the City. 
2025 Disclosure Cycle,779465,CDP,35865,Municipality of Fortaleza,City,Latin America,Brazil,Public,Q4.3,How many households within the jurisdiction boundary face energy poverty? Select the threshold used for energy poverty in your jurisdiction.,1,Response,Percentage of households within the jurisdiction boundary that face energy poverty,0.31,Up to 20% or more of income spent on energy services,"O município de Fortaleza aumentou em 35,3% o número de domicílios que tinham energia elétrica na década de 2000 (13ª posição no ranking nacional), passando de 523.080 domicílios (99,4%) em 2000 para 707.938 (99,7%) em 2010. Tal informação aponta para a universalização deste serviço na capital do Ceará (IBGE, 2010)."
2025 Disclosure Cycle,779465,CDP,35867,Region Metropolitana de Guadalajara,City,Latin America,Mexico,Public,Q4.3,How many households within the jurisdiction boundary face energy poverty? Select the threshold used for energy poverty in your jurisdiction.,1,Response,Energy poverty not estimated,,,No se cuenta con los datos de ingresos gastados en energía eléctrica. Se tiene el porcentaje de viviendas que no cuentan con acceso al servicio.
2025 Disclosure Cycle,779465,CDP,35870,"City of Miami, FL",City,North America,United States of America,Public,Q4.3,How many households within the jurisdiction boundary face energy poverty? Select the threshold used for energy poverty in your jurisdiction.,1,Response,Percentage of total population within the jurisdiction boundary that face energy poverty,23.0,Up to 10% of income spent on energy services,This value is a Countywide figure but the value within the City is likely equal or higher as the City has a lower median household income than the County. Data source is ACEEE: https://www.aceee.org/sites/default/files/pdfs/aceee-01_energy_burden_-_miami.pdf
2025 Disclosure Cycle,779465,CDP,35871,City of Monterrey,City,Latin America,Mexico,Public,Q4.3,How many households within the jurisdiction boundary face energy poverty? Select the threshold used for energy poverty in your jurisdiction.,1,Response,Percentage of households within the jurisdiction boundary that face energy poverty,0.9,Other: Porcentaje de las viviendas que no cuentan con la disponibilidad de servicios y/o equipamiento para acceso a la energía eléctrica.,
2025 Disclosure Cycle,779465,CDP,35872,Municipality of Recife,City,Latin America,Brazil,Public,Q4.3,How many households within the jurisdiction boundary face energy poverty? Select the threshold used for energy poverty in your jurisdiction.,1,Response,Percentage of total population within the jurisdiction boundary that face energy poverty,13.5496,Up to 20% or more of income spent on energy services,"Utilizando os dados do CadUnico (Cadastro Único para Programas Sociais é um instrumento governamental brasileiro de coleta de dados e informações que objetiva identificar todas as famílias de baixa renda existentes no país para fins de inclusão em programas de redistribuição de renda e assistência social tanto a nivel nacional, estadual e municipal.) pode-se calcular a porcentagem de Recifenses que vivem na pobreza energetica."
2025 Disclosure Cycle,779465,CDP,35873,Medellín,City,Latin America,Colombia,Public,Q4.3,How many households within the jurisdiction boundary face energy poverty? Select the threshold used for energy poverty in your jurisdiction.,1,Response,Energy poverty not estimated,,,"No se mide pobreza energética en el municipio. Se evalúa la cobertura y accesibilidad al servicio procurando su universalidad. Se estima que ha un acceso superó el 99% a energía eléctrica limpia y segura. La ciudad desarrolla la encuesta anual de calidad de vida, en la cual se indaga por a percepción de los habitantes sobre la calidad de la energía. Se indaga por P_184 : El estado actual del servicio de energía es:P_185 : ¿Cuántas horas al día la vivienda cuenta con servicios públicos de energía?P_186 : ¿Cómo califica su calidad?P_246 : ¿Qué energía o combustible utilizan principalmente para cocinar?P_247 : ¿Qué tipo de alumbrado utiliza principalmente este hogar?Los resultados se pueden descargar en https://www.medellin.gov.co/es/centro-documental/encuesta-de-calidad-de-vida-2022/"
2025 Disclosure Cycle,779465,CDP,35874,"City of Phoenix, AZ",City,North America,United States of America,Public,Q4.3,How many households within the jurisdiction boundary face energy poverty? Select the threshold used for energy poverty in your jurisdiction.,1,Response,Percentage of households within the jurisdiction boundary that face energy poverty,20.8,Other: high energy burden (> 6%),"The City of Phoenix is creating an Energy Access Plan to address high energy burden. 82,345 Phoenix households spend over 6% of their income on energy bills; 96% of which are low-income. On January 15, 2025, the Phoenix City Council approved the Energy Access Plan target of a 25% increase in low-income energy assistance participation by 2030.  The plan is designed to make energy affordable and accessible for low-income residents and mitigate the physical and mental burdens of energy burden. The OOS is hosting a series of workshops citywide to gather community input and develop solutions to incorporate into the plan.  "
2025 Disclosure Cycle,779465,CDP,35877,"City of Pittsburgh, PA",City,North America,United States of America,Public,Q4.3,How many households within the jurisdiction boundary face energy poverty? Select the threshold used for energy poverty in your jurisdiction.,1,Response,Percentage of households within the jurisdiction boundary that face energy poverty,25.0,Up to 5% of income spent on energy services,https://www.energy.gov/sites/default/files/2023-05/Attachment%20J%20-%20ACEEE%2C%20How%20High%20are%20Household%20Energy%20Burdens.pdf
2025 Disclosure Cycle,779465,CDP,35880,Municipality of Porto Alegre,City,Latin America,Brazil,Public,Q4.3,How many households within the jurisdiction boundary face energy poverty? Select the threshold used for energy poverty in your jurisdiction.,1,Response,Energy poverty not estimated,,,-
2025 Disclosure Cycle,779465,CDP,35882,"City of Tampa, FL",City,North America,United States of America,Public,Q4.3,How many households within the jurisdiction boundary face energy poverty? Select the threshold used for energy poverty in your jurisdiction.,1,Response,Energy poverty not estimated,,,
2025 Disclosure Cycle,779465,CDP,35883,"City of San José, CA",City,North America,United States of America,Public,Q4.3,How many households within the jurisdiction boundary face energy poverty? Select the threshold used for energy poverty in your jurisdiction.,1,Response,Percentage of households within the jurisdiction boundary that face energy poverty,18.3,Other: 6% or more of income spent on energy services (electricity and natural gas bills),"In the U.S., we generally discuss energy burden - the percentage of household income that goes to utility energy costs. High energy burden is widely considered as paying more than 6% of total income, and extreme/severe energy burden is over 10%. The national average is about 3%. We sourced data on energy burden from the 2019 American Community Survey via the Greenlink Equity Map. In 2019, over 10% of households in San Jose faced an energy burden of 10% or higher."
2025 Disclosure Cycle,779465,CDP,35884,"City of San Diego, CA",City,North America,United States of America,Public,Q4.3,How many households within the jurisdiction boundary face energy poverty? Select the threshold used for energy poverty in your jurisdiction.,1,Response,Percentage of households within the jurisdiction boundary that face energy poverty,5.0,Up to 5% of income spent on energy services,"from San Diego Climate Equity Index, calculated using SDG&E and ACS 2013-2017 median income data, then mapped geospatially to number of residential units across the City."
2025 Disclosure Cycle,779465,CDP,35885,Tel Aviv-Yafo Municipality,City,UKWW,Israel,Public,Q4.3,How many households within the jurisdiction boundary face energy poverty? Select the threshold used for energy poverty in your jurisdiction.,1,Response,Percentage of households within the jurisdiction boundary that face energy poverty,10,Up to 10% of income spent on energy services,"In August 2023, the Research and Information Center of the Israeli Knesset published a study estimating the extent of energy poverty among Israeli households. According to this report, about 10% of all households in the Tel Aviv district experience energy poverty. Additionally, in comparing the results of 2022 survey conducted among residents supported and recognized by social services with the results of the 2024 survey shows a decrease in the percentage of families who reported being unable to cool or heat their homes: More specifically, in 2022, 4% did not own an air conditioner or could not repair a broken one, in 2024. Only 1.5%, however, in 2022. 3% had an air conditioner but could not pay the electricity bill and thus did not use it, while in 2024 - 3.9% indicated not being able to use. In 2022, 24% had an air conditioner but could not operate it whenever necessary, forcing them to limit its use based on affordability, while in 2024, this was reduced to 20.8%. \n3% had an air conditioner but could not pay the electricity bill and thus did not use it.\n24% had an air conditioner but could not operate it whenever necessary, forcing them to limit its use based on affordability.\n\nhttps://fs.knesset.gov.il/globaldocs/MMM/4693aa54-a615-ee11-8159-005056aac6c3/2_4693aa54-a615-ee11-8159-005056aac6c3_11_20394.pdf\n(page 7, board 4 - Hebrew) \n"
2025 Disclosure Cycle,779465,CDP,35886,City of Turin,City,Europe,Italy,Public,Q4.3,How many households within the jurisdiction boundary face energy poverty? Select the threshold used for energy poverty in your jurisdiction.,1,Response,Percentage of households within the jurisdiction boundary that face energy poverty,4.4,Up to 15% of income spent on energy services,http://www.cittametropolitana.torino.it/cms/risorse/ambiente/dwd/ris-energetiche/osservatorio_energia/studi_analisi/fuel_poverty.pdf
2025 Disclosure Cycle,779465,CDP,35894,"Ville de Montreal, QC",City,North America,Canada,Public,Q4.3,How many households within the jurisdiction boundary face energy poverty? Select the threshold used for energy poverty in your jurisdiction.,1,Response,Percentage of households within the jurisdiction boundary that face energy poverty,19.0,Other: Up to 6% of income spent on energy services,"In 2015, nearly 30% of households (230 330 households) in Montréal lived below the low-income cut-off. For detailed information : http://ville.montreal.qc.ca/pls/portal/docs/PAGE/MTL_STATS_FR/MEDIA/DOCUMENTS/PROFIL_MENAGES_LOGEMENTS_2016-VILLE_MONTR%C9AL.PDFNumber of households (870370 households) from 2016 data : http://ville.montreal.qc.ca/portal/page?_pageid=6897,67887650&_dad=portal&_schema=PORTALhttps://energypoverty.ca/mappingtool/"
2025 Disclosure Cycle,779465,CDP,35897,Municipality of Campinas,City,Latin America,Brazil,Public,Q4.3,How many households within the jurisdiction boundary face energy poverty? Select the threshold used for energy poverty in your jurisdiction.,1,Response,Energy poverty not estimated,,,Não foram encontrados dados para essa questão.
2025 Disclosure Cycle,779465,CDP,35898,Greater Manchester Combined Authority,City,UKWW,United Kingdom,Public,Q4.3,How many households within the jurisdiction boundary face energy poverty? Select the threshold used for energy poverty in your jurisdiction.,1,Response,Percentage of households within the jurisdiction boundary that face energy poverty,11.95,Other: See comments section for full details.,"Data published in 2025 applies to 2023 Fuel poverty in England is now measured using the Low Income Low Energy Efficiency (LILEE) indicator rather than the old Low Income High Costs (LIHC) indicator. Under the LILEE indicator, a household is considered to be fuel poor if:- they are living in a property with a fuel poverty energy efficiency rating of band D or below and- when they spend the required amount to heat their home, they are left with a residual income below the official poverty line (60% or below equivalised after-housing costs versus median household income).Full details on fuel poverty definitions can be found here https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/966509/Annual_Fuel_Poverty_Statistics_LILEE_Report_2021__2019_data_.pdf"
2025 Disclosure Cycle,779465,CDP,35914,Greater Hyderabad Municipal Corporation,City,India,India,Public,Q4.3,How many households within the jurisdiction boundary face energy poverty? Select the threshold used for energy poverty in your jurisdiction.,1,Response,Energy poverty not estimated,,,No city level information available on energy poverty
2025 Disclosure Cycle,779465,CDP,35993,Singapore Government,City,South East Asia & Oceania,Singapore,Public,Q4.3,How many households within the jurisdiction boundary face energy poverty? Select the threshold used for energy poverty in your jurisdiction.,1,Response,Energy poverty not estimated,,,This indicator is not tracked as a SDG indicator.
2025 Disclosure Cycle,779465,CDP,36032,Ville de Dakar,City,UKWW,Senegal,Public,Q4.3,How many households within the jurisdiction boundary face energy poverty? Select the threshold used for energy poverty in your jurisdiction.,1,Response,Energy poverty not estimated,,,
2025 Disclosure Cycle,779465,CDP,36036,City of Ibadan,City,UKWW,Nigeria,Public,Q4.3,How many households within the jurisdiction boundary face energy poverty? Select the threshold used for energy poverty in your jurisdiction.,1,Response,Percentage of households within the jurisdiction boundary that face energy poverty,60.0,Up to 20% or more of income spent on energy services,
2025 Disclosure Cycle,779465,CDP,36037,Santiago de Cali,City,Latin America,Colombia,Public,Q4.3,How many households within the jurisdiction boundary face energy poverty? Select the threshold used for energy poverty in your jurisdiction.,1,Response,Energy poverty not estimated,,,N/A
2025 Disclosure Cycle,779465,CDP,36039,Accra Metropolitan Assembly,City,UKWW,Ghana,Public,Q4.3,How many households within the jurisdiction boundary face energy poverty? Select the threshold used for energy poverty in your jurisdiction.,1,Response,Energy poverty not estimated,,,Data on energy poverty within jurisdiction not available.
2025 Disclosure Cycle,779465,CDP,36045,Santiago de Guayaquil,City,Latin America,Ecuador,Public,Q4.3,How many households within the jurisdiction boundary face energy poverty? Select the threshold used for energy poverty in your jurisdiction.,1,Response,Energy poverty not estimated,,,No se estima la pobreza energética en el cantón.
2025 Disclosure Cycle,779465,CDP,36152,City of Tallinn,City,Europe,Estonia,Public,Q4.3,How many households within the jurisdiction boundary face energy poverty? Select the threshold used for energy poverty in your jurisdiction.,1,Response,Energy poverty not estimated,,,
2025 Disclosure Cycle,779465,CDP,36159,City of Lisbon,City,Europe,Portugal,Public,Q4.3,How many households within the jurisdiction boundary face energy poverty? Select the threshold used for energy poverty in your jurisdiction.,1,Response,Energy poverty not estimated,,,Quantification in-process. Threshold not yet adopted
2025 Disclosure Cycle,779465,CDP,36218,Fukuoka City,City,Japan,Japan,Public,Q4.3,How many households within the jurisdiction boundary face energy poverty? Select the threshold used for energy poverty in your jurisdiction.,1,Response,Energy poverty not estimated,,,
2025 Disclosure Cycle,779465,CDP,36219,City of Sapporo,City,Japan,Japan,Public,Q4.3,How many households within the jurisdiction boundary face energy poverty? Select the threshold used for energy poverty in your jurisdiction.,1,Response,Energy poverty not estimated,,,特になし
