disclosure_cycle,cdp_requesting_org_number,requesting_organization,cdp_disclosing_org_number,disclosing_organization,disclosing_org_type,cdp_region,discloser_country_or_area,public_status,question_number,question_text,row_order,row_name,col1_Data availability,col2_Percentage of households with access to safely managed drinking water services,col3_Percentage of households with access to safely managed sanitation services,col4_Household water consumption (litres/capita/day),col5_Comment
2025 Disclosure Cycle,779465,CDP,11315,City of Manchester,City,UKWW,United Kingdom,Public,Q4.10,"Provide details of the household access to water, sanitation services and water consumption in your jurisdiction.",1,Response,Data is available for the average household water consumption in litres per capita per day|Data is available for the percentage of households with access to safely managed sanitation services|Data is available for the percentage of households with access to safely managed drinking water services,100,98.96,377,% of households with safe managed water in 2022: https://sdgdata.gov.uk/6-1-1/\n% sanitation- \nUK average 99% in 2022 https://data.worldbank.org/indicator/SH.STA.SMSS.UR.ZS?locations=GB&view=map\nHousehold water consumption taken from: https://energysavingtrust.org.uk/sites/default/files/reports/AHHW2%20final.pdf
2025 Disclosure Cycle,779465,CDP,13067,"City of New Orleans, LA",City,North America,United States of America,Public,Q4.10,"Provide details of the household access to water, sanitation services and water consumption in your jurisdiction.",1,Response,Data is available for the average household water consumption in litres per capita per day|Data is available for the percentage of households with access to safely managed sanitation services|Data is available for the percentage of households with access to safely managed drinking water services,99.99,99.8,556.46,"This estimate comes from a general estimate from our water utility of 147 gal per day for households. We have total consumption for the entire City, but it includes all customers, which skews the household level data."
2025 Disclosure Cycle,779465,CDP,13113,Newcastle City Council,City,UKWW,United Kingdom,Public,Q4.10,"Provide details of the household access to water, sanitation services and water consumption in your jurisdiction.",1,Response,Data is available for the percentage of households with access to safely managed sanitation services|Data is available for the average household water consumption in litres per capita per day|Data is available for the percentage of households with access to safely managed drinking water services,100.0,100.0,166.0,"The data in this section has been provided by the regional water company, Northumbrian Water Limited (NWL). https://www.nwg.co.uk/news-and-media/news-releases/new-tool-will-help-reduce-your-water-and-energy-bills/"
2025 Disclosure Cycle,779465,CDP,13490,Northumberland County Council,City,UKWW,United Kingdom,Public,Q4.10,"Provide details of the household access to water, sanitation services and water consumption in your jurisdiction.",1,Response,Data is available for the average household water consumption in litres per capita per day,,,150,This information is from Northumbrian Water. The supply area is larger than the jurisdiction area. northumbrian-water_waters-worth-saving_home.pdf
2025 Disclosure Cycle,779465,CDP,13506,Nottingham City Council,City,UKWW,United Kingdom,Public,Q4.10,"Provide details of the household access to water, sanitation services and water consumption in your jurisdiction.",1,Response,Data is available for the percentage of households with access to safely managed sanitation services|Data is available for the average household water consumption in litres per capita per day|Data is available for the percentage of households with access to safely managed drinking water services,100,100,126.2,https://www.stwater.co.uk/content/dam/stw/about_us/documents/severn-trent-water-adaptation-report-2024.pdf
2025 Disclosure Cycle,779465,CDP,14088,Oslo Municipality,City,Europe,Norway,Public,Q4.10,"Provide details of the household access to water, sanitation services and water consumption in your jurisdiction.",1,Response,Data is available for the percentage of households with access to safely managed drinking water services|Data is available for the percentage of households with access to safely managed sanitation services|Data is available for the average household water consumption in litres per capita per day,100,100.0,160.0,"Household water consumption is not mainly measured by water meters, but estimated based on the square meter size of the living area. The 3% of the households that are metered, have an average consumption of 148 litres per capita per day."
2025 Disclosure Cycle,779465,CDP,14136,Oxford City Council,City,UKWW,United Kingdom,Public,Q4.10,"Provide details of the household access to water, sanitation services and water consumption in your jurisdiction.",1,Response,None of the above data is available to report,,,,
2025 Disclosure Cycle,779465,CDP,14874,"City of Portland, OR",City,North America,United States of America,Public,Q4.10,"Provide details of the household access to water, sanitation services and water consumption in your jurisdiction.",1,Response,Data is available for the percentage of households with access to safely managed sanitation services|Data is available for the average household water consumption in litres per capita per day|Data is available for the percentage of households with access to safely managed drinking water services,100.0,98.0,174.13,"1% of properties do not have public sewer service. A portion of these properties have septic systems, but it is not currently known what portion do and whether those septic systems meet the definition of safely managed sanitation service, so those properties have been excluded. A further 1% of homes have access to sewer service that does not conform to current standards, and so has been excluded from the total. Water services data provided by the Portland Water Bureau. Sanitation service data provided by the Portland Bureau of Environmental Services."
2025 Disclosure Cycle,779465,CDP,15515,Reading Borough Council,City,UKWW,United Kingdom,Public,Q4.10,"Provide details of the household access to water, sanitation services and water consumption in your jurisdiction.",1,Response,Data is available for the percentage of households with access to safely managed sanitation services|Data is available for the percentage of households with access to safely managed drinking water services|Data is available for the average household water consumption in litres per capita per day,100.0,98,138.47,"The access to safe drinking water and sanitation statistics above are national statistics for the UK taken from the WHO/UNICEF Joint Monitoring Program for Water Supply and Sanitation report of 2025 - see https://data.unicef.org/resources/jmp-report-2025/\nAs a developed urban area, it is reasonable to assume that Reading will achieve at least these percentages which are based on national averages. The household water consumption figure is calculated by Thames Water which is the main water services provider for the Reading Borough area. The figure of 138.47 litres per capita per day relates to 2023/24 - see https://www.thameswater.co.uk/media-library/home/about-us/regulation/water-resources/thames-water-wrmpar24.pdf. There is no update to that report at the time of this disclosure. "
2025 Disclosure Cycle,779465,CDP,16581,"City of Seattle, WA",City,North America,United States of America,Public,Q4.10,"Provide details of the household access to water, sanitation services and water consumption in your jurisdiction.",1,Response,Data is available for the percentage of households with access to safely managed sanitation services|Data is available for the percentage of households with access to safely managed drinking water services|Data is available for the average household water consumption in litres per capita per day,100.0,100.0,220.73,"2025 update: SPU produced 45.3 billion gallons of treated drinking water in 2024. Of that, 2.55 billion gallons were lost to leakage. Saving Water Partnership set a 10-year (2019-2028) conservation goal to keep the total average annual retail water use of its members below 110 million gallons per day (mgd) through 2028, despite forecasted population growth, by reducing per capita water use. In 2024, our customers met this goal, using 94.5 mgd. \n\n2024 Update: SPU produced 45.8 billion gallons of treated drinking water in 2023. In 2023 Seattle area's 1.6 million residents used about 96.3 million gallons per day, beating SPU's conservation goal of 110 million gallons per day through 2028. https://www.seattle.gov/documents/Departments/SPU/Services/Water/Reports/Water%20Quality/2023WaterQualityAnnualReport.pdf\n\n\nFor 2021, the annual consumption figure dropped to about 45,400,000,000 gallons per year, bringing consumption to 95.5 million gallons per day for a population of over 1.5 million in the Greater Seattle area. https://www.seattle.gov/documents/Departments/SPU/Services/Water/WaterQualityReport-2021.pdf"
