disclosure_cycle,cdp_requesting_org_number,requesting_organization,cdp_disclosing_org_number,disclosing_organization,disclosing_org_type,cdp_region,discloser_country_or_area,public_status,question_number,question_text,row_order,row_name,col1_Data availability,col2_Percentage of households with access to safely managed drinking water services,col3_Percentage of households with access to safely managed sanitation services,col4_Household water consumption (litres/capita/day),col5_Comment
2025 Disclosure Cycle,779465,CDP,35870,"City of Miami, FL",City,North America,United States of America,Public,Q4.10,"Provide details of the household access to water, sanitation services and water consumption in your jurisdiction.",1,Response,Data is available for the percentage of households with access to safely managed sanitation services|Data is available for the average household water consumption in litres per capita per day|Data is available for the percentage of households with access to safely managed drinking water services,100,100,498.12,"Calculated from data Miami-Dade County Water and Sewer Department (WASD) provided for 2023 GHG Inventory\n\nConverted 21,900,000,000 gallons to liters which resulted in 82,900,518,069.6 \n\n82,900,518,069.6 liters was divided by 2023 population (455,955) which resulted in 181,817.32 liters \n\n181,817.32 liters was then divided by 365 days which resulted in a total of 498.12 liters/capita/day "
2025 Disclosure Cycle,779465,CDP,35871,City of Monterrey,City,Latin America,Mexico,Public,Q4.10,"Provide details of the household access to water, sanitation services and water consumption in your jurisdiction.",1,Response,Data is available for the average household water consumption in litres per capita per day|Data is available for the percentage of households with access to safely managed drinking water services|Data is available for the percentage of households with access to safely managed sanitation services,98,99.1,156,El organismo encargado de brindar acceso de agua y servicios de saneamiento a las viviendas en la jurisdicción es competencia de una entidad paraestatal.
2025 Disclosure Cycle,779465,CDP,35872,Municipality of Recife,City,Latin America,Brazil,Public,Q4.10,"Provide details of the household access to water, sanitation services and water consumption in your jurisdiction.",1,Response,Data is available for the average household water consumption in litres per capita per day|Data is available for the percentage of households with access to safely managed sanitation services|Data is available for the percentage of households with access to safely managed drinking water services,84.04,67.44,232.5,-
2025 Disclosure Cycle,779465,CDP,35873,Medellín,City,Latin America,Colombia,Public,Q4.10,"Provide details of the household access to water, sanitation services and water consumption in your jurisdiction.",1,Response,Data is available for the average household water consumption in litres per capita per day|Data is available for the percentage of households with access to safely managed drinking water services|Data is available for the percentage of households with access to safely managed sanitation services,96.75,96.05,135.35,"Cobertura de alcantarillado y acceso a agua potable dado por la Subsecretaría de servisio publicos. Estimaciones de consumo según reporte de consumo anual (2024) de agua potable, calculo con base en consumo por instalación y número de personas por vivienda estimado."
2025 Disclosure Cycle,779465,CDP,35874,"City of Phoenix, AZ",City,North America,United States of America,Public,Q4.10,"Provide details of the household access to water, sanitation services and water consumption in your jurisdiction.",1,Response,Data is available for the percentage of households with access to safely managed drinking water services|Data is available for the percentage of households with access to safely managed sanitation services|Data is available for the average household water consumption in litres per capita per day,100.0,99.68,572,"https://cmpr-dashboard-phoenix.hub.arcgis.com/pages/wsd \n\n \n\nWhere water mains are available, hook up is required. https://phoenix.municipal.codes/CC/37-39#:~:text=To%20protect%20and%20support%20public,the%20City%20public%20water%20system. "
2025 Disclosure Cycle,779465,CDP,35877,"City of Pittsburgh, PA",City,North America,United States of America,Public,Q4.10,"Provide details of the household access to water, sanitation services and water consumption in your jurisdiction.",1,Response,Data is available for the percentage of households with access to safely managed drinking water services|Data is available for the percentage of households with access to safely managed sanitation services|Data is available for the average household water consumption in litres per capita per day,100.0,100.0,235,2023 Pittsburgh Water and Sewer Authority (PWSA) Annual water quality report\n\nhttps://www.pgh2o.com/sites/default/files/2024-05/PWSA%20CCR%202023%205-30_FINAL.pdf\n\n\nPA PUC FAQ\nhttps://www.puc.pa.gov/general/consumer_ed/pdf/waterbrochure.pdf
2025 Disclosure Cycle,779465,CDP,35878,"City of Sacramento, CA",City,North America,United States of America,Public,Q4.10,"Provide details of the household access to water, sanitation services and water consumption in your jurisdiction.",1,Response,Data is available for the percentage of households with access to safely managed drinking water services,100,,,https://www.cityofsacramento.gov/content/dam/portal/dou/utilities/water/water-quality/documents/2024%20Consumer%20Confidence%20Report.pdf\n\nThe City of Sacramento Water Division treats more than 25 billion gallons of drinking water per year (https://www.cityofsacramento.org/Utilities/Water).
2025 Disclosure Cycle,779465,CDP,35880,Municipality of Porto Alegre,City,Latin America,Brazil,Public,Q4.10,"Provide details of the household access to water, sanitation services and water consumption in your jurisdiction.",1,Response,Data is available for the average household water consumption in litres per capita per day|Data is available for the percentage of households with access to safely managed drinking water services|Data is available for the percentage of households with access to safely managed sanitation services,100.0,91.48,328,"Segundo o Departamento Municipal de Água e Esgotos (DMAE), 100% da população é atendida pelo abastecimento de água em áreas regulares do município, sendo 88% destinado ao uso residencial. Mais de 91,30% da população é atendida com coleta de esgoto. Apenas 57% do esgoto produzido é tratado, contudo, a cidade tem capacidade de tratar 80% do esgoto coletado e, por isso, os esforços estão concentrados nas obras de ampliação de redes e na regularização de ramais domiciliares. No ano de 2022, o DMAE abastecia diariamente a população com cerca de 328 litros de água para cada habitante, valor acima da média de 50 a 100 litros indicados pela World Health Organization (WHO) como suficientes para garantir o acesso à água para uso pessoal e doméstico e o atendimento das necessidades básicas."
2025 Disclosure Cycle,779465,CDP,35882,"City of Tampa, FL",City,North America,United States of America,Public,Q4.10,"Provide details of the household access to water, sanitation services and water consumption in your jurisdiction.",1,Response,Data is available for the average household water consumption in litres per capita per day,,,408.82,This number is derived from a calculation required by Southwest Florida Water Management District in our annual water use permit report.
2025 Disclosure Cycle,779465,CDP,35883,"City of San José, CA",City,North America,United States of America,Public,Q4.10,"Provide details of the household access to water, sanitation services and water consumption in your jurisdiction.",1,Response,Data is available for the percentage of households with access to safely managed drinking water services|Data is available for the average household water consumption in litres per capita per day|Data is available for the percentage of households with access to safely managed sanitation services,100.0,100.0,244,"Water consumption data is for 2023, based on residential water consumption data received by each of San Jose's three water retailers."
2025 Disclosure Cycle,779465,CDP,35884,"City of San Diego, CA",City,North America,United States of America,Public,Q4.10,"Provide details of the household access to water, sanitation services and water consumption in your jurisdiction.",1,Response,Data is available for the average household water consumption in litres per capita per day,,,394,Per capita average. Not associated with household use. 
2025 Disclosure Cycle,779465,CDP,35885,Tel Aviv-Yafo Municipality,City,UKWW,Israel,Public,Q4.10,"Provide details of the household access to water, sanitation services and water consumption in your jurisdiction.",1,Response,Data is available for the percentage of households with access to safely managed drinking water services|Data is available for the percentage of households with access to safely managed sanitation services|Data is available for the average household water consumption in litres per capita per day,100.0,100.0,66,for 2021 based on the \'Statistical Yearbook\' Tel Aviv\n 2023 \nhttps://www.tel-aviv.gov.il/Transparency/DocLib13/%E2%80%8F%D7%A2%D7%99%D7%A7%D7%A8%D7%99%20%D7%94%D7%A0%D7%AA%D7%95%D7%A0%D7%99%D7%9D%20%D7%95%D7%94%D7%9E%D7%92%D7%9E%D7%95%D7%AA%202023.pdf (page 56) 
2025 Disclosure Cycle,779465,CDP,35886,City of Turin,City,Europe,Italy,Public,Q4.10,"Provide details of the household access to water, sanitation services and water consumption in your jurisdiction.",1,Response,Data is available for the percentage of households with access to safely managed drinking water services,100.0,,,
2025 Disclosure Cycle,779465,CDP,35894,"Ville de Montreal, QC",City,North America,Canada,Public,Q4.10,"Provide details of the household access to water, sanitation services and water consumption in your jurisdiction.",1,Response,Data is available for the average household water consumption in litres per capita per day|Data is available for the percentage of households with access to safely managed drinking water services|Data is available for the percentage of households with access to safely managed sanitation services,99.9,99.9,315,https://mtl.ged.montreal.ca/constellio/?collection=mtlca&portal=REPDOCVDM#!displayDocument/00000103784
2025 Disclosure Cycle,779465,CDP,35897,Municipality of Campinas,City,Latin America,Brazil,Public,Q4.10,"Provide details of the household access to water, sanitation services and water consumption in your jurisdiction.",1,Response,Data is available for the percentage of households with access to safely managed sanitation services|Data is available for the percentage of households with access to safely managed drinking water services|Data is available for the average household water consumption in litres per capita per day,99.84,96.42,135.4,Referente aos Índices de População Urbana Com Abastecimento de Água e Coleta e Afastamento de Esgoto.
2025 Disclosure Cycle,779465,CDP,35898,Greater Manchester Combined Authority,City,UKWW,United Kingdom,Public,Q4.10,"Provide details of the household access to water, sanitation services and water consumption in your jurisdiction.",1,Response,Data is available for the percentage of households with access to safely managed drinking water services|Data is available for the percentage of households with access to safely managed sanitation services|Data is available for the average household water consumption in litres per capita per day,100.0,100.0,144.0,"Household water consumption is litres per person per day, as reported by United Utilities (2018/19). United Utilities are the water provider responsible for water and wastewater services in the North West of England, and cover the majority of properties across Greater Manchester. Some properties are not serviced by United Utilities and have a private supply; the percentage/volume of these properties is unknown at time of reporting, but 100% of properties serviced by UU have safe drinking water and sanitation services. "
2025 Disclosure Cycle,779465,CDP,35914,Greater Hyderabad Municipal Corporation,City,India,India,Public,Q4.10,"Provide details of the household access to water, sanitation services and water consumption in your jurisdiction.",1,Response,Data is available for the average household water consumption in litres per capita per day|Data is available for the percentage of households with access to safely managed sanitation services|Data is available for the percentage of households with access to safely managed drinking water services,100,97,150,The urban service analysis in sections 4.1.3 and 4.2.5 of CRVA will give further details on service level in the city.
2025 Disclosure Cycle,779465,CDP,35993,Singapore Government,City,South East Asia & Oceania,Singapore,Public,Q4.10,"Provide details of the household access to water, sanitation services and water consumption in your jurisdiction.",1,Response,Data is available for the average household water consumption in litres per capita per day|Data is available for the percentage of households with access to safely managed sanitation services|Data is available for the percentage of households with access to safely managed drinking water services,100.0,100,142,N/A
2025 Disclosure Cycle,779465,CDP,36032,Ville de Dakar,City,UKWW,Senegal,Public,Q4.10,"Provide details of the household access to water, sanitation services and water consumption in your jurisdiction.",1,Response,Data is available for the percentage of households with access to safely managed sanitation services|Data is available for the percentage of households with access to safely managed drinking water services|Data is available for the average household water consumption in litres per capita per day,100.0,90.0,,Un important volume d'eau consommé dans la ville de Dakar provient du Lac de Guiers situé dans le haut delta du fleuve Sénégal à 300 km de Dakar. De ce plan d'eau de 170 km2 situé au nord-ouest du pays provient la ressource en eau brute traitée pour la rendre apte à la consommation. 
2025 Disclosure Cycle,779465,CDP,36036,City of Ibadan,City,UKWW,Nigeria,Public,Q4.10,"Provide details of the household access to water, sanitation services and water consumption in your jurisdiction.",1,Response,Data is available for the percentage of households with access to safely managed drinking water services,35.0,,,There is need for improvement in the drive towards increasing the percentage of population having access to safely managed drinking water.
2025 Disclosure Cycle,779465,CDP,36037,Santiago de Cali,City,Latin America,Colombia,Public,Q4.10,"Provide details of the household access to water, sanitation services and water consumption in your jurisdiction.",1,Response,Data is available for the percentage of households with access to safely managed sanitation services|Data is available for the average household water consumption in litres per capita per day|Data is available for the percentage of households with access to safely managed drinking water services,83,83,114,"La información se encuentra disponible en la página de indicadores sociales de la ciudad. Es posible visualizarlos en el siguiente enlace: \nhttps://indicadores.cali.gov.co/consulta-indicadores/igc/IGC_1/IGC_1_T1/IGC_1_T1_I1/cali_en_cifras_-_emcali_y_dap/Total/2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022/Cali"
2025 Disclosure Cycle,779465,CDP,36039,Accra Metropolitan Assembly,City,UKWW,Ghana,Public,Q4.10,"Provide details of the household access to water, sanitation services and water consumption in your jurisdiction.",1,Response,Data is available for the percentage of households with access to safely managed drinking water services|Data is available for the percentage of households with access to safely managed sanitation services,98.7,93.1,,"Data in respect of Greater Accra Region (2021 Ghana Population and Housing Census General Report 3M, Water and Sanitation)"
2025 Disclosure Cycle,779465,CDP,36045,Santiago de Guayaquil,City,Latin America,Ecuador,Public,Q4.10,"Provide details of the household access to water, sanitation services and water consumption in your jurisdiction.",1,Response,Data is available for the percentage of households with access to safely managed drinking water services|Data is available for the average household water consumption in litres per capita per day|Data is available for the percentage of households with access to safely managed sanitation services,93.7,98.5,166.0,N/A
2025 Disclosure Cycle,779465,CDP,36152,City of Tallinn,City,Europe,Estonia,Public,Q4.10,"Provide details of the household access to water, sanitation services and water consumption in your jurisdiction.",1,Response,Data is available for the average household water consumption in litres per capita per day|Data is available for the percentage of households with access to safely managed sanitation services|Data is available for the percentage of households with access to safely managed drinking water services,99.9,99.9,62,
2025 Disclosure Cycle,779465,CDP,36159,City of Lisbon,City,Europe,Portugal,Public,Q4.10,"Provide details of the household access to water, sanitation services and water consumption in your jurisdiction.",1,Response,Data is available for the average household water consumption in litres per capita per day|Data is available for the percentage of households with access to safely managed drinking water services|Data is available for the percentage of households with access to safely managed sanitation services,99.9,99.9,131,2023 data. From https://www.observatorios-lisboa.pt/info_agua.html
2025 Disclosure Cycle,779465,CDP,36218,Fukuoka City,City,Japan,Japan,Public,Q4.10,"Provide details of the household access to water, sanitation services and water consumption in your jurisdiction.",1,Response,Data is available for the percentage of households with access to safely managed sanitation services|Data is available for the average household water consumption in litres per capita per day|Data is available for the percentage of households with access to safely managed drinking water services,99.7,99.7,198,
2025 Disclosure Cycle,779465,CDP,36219,City of Sapporo,City,Japan,Japan,Public,Q4.10,"Provide details of the household access to water, sanitation services and water consumption in your jurisdiction.",1,Response,Data is available for the percentage of households with access to safely managed sanitation services|Data is available for the average household water consumption in litres per capita per day|Data is available for the percentage of households with access to safely managed drinking water services,99.9,93.1,205,安全に管理された衛生サービスを利用可能な世帯の割合(%)\n\n総務省「汚水衛生処理率の状況（令和5年度）」\n\n「汚水衛生処理率」より転記\n\nhttps://www.soumu.go.jp/main_sosiki/c-zaisei/kouei/osui_syori.html
2025 Disclosure Cycle,779465,CDP,36247,City of Arezzo,City,Europe,Italy,Public,Q4.10,"Provide details of the household access to water, sanitation services and water consumption in your jurisdiction.",1,Response,Data is available for the percentage of households with access to safely managed sanitation services|Data is available for the average household water consumption in litres per capita per day|Data is available for the percentage of households with access to safely managed drinking water services,100.0,74.0,103.0,x
2025 Disclosure Cycle,779465,CDP,36254,City of Venice,City,Europe,Italy,Public,Q4.10,"Provide details of the household access to water, sanitation services and water consumption in your jurisdiction.",1,Response,Data is available for the average household water consumption in litres per capita per day|Data is available for the percentage of households with access to safely managed sanitation services|Data is available for the percentage of households with access to safely managed drinking water services,100.0,100.0,236,Data source Istat 2023
2025 Disclosure Cycle,779465,CDP,36262,City of Genoa,City,Europe,Italy,Public,Q4.10,"Provide details of the household access to water, sanitation services and water consumption in your jurisdiction.",1,Response,Data is available for the percentage of households with access to safely managed sanitation services|Data is available for the percentage of households with access to safely managed drinking water services|Data is available for the average household water consumption in litres per capita per day,100.0,91.0,201,"In Italy the percentage of drinking water leakage has grown since 32,1 % in 2008 to 37,4 in 2012, while in Genoa the dispersion rate was 25.89% (Water Balance 2023).Starting from 2018, the company has been promoting an intense activity of district metering and pressure monitoring in the Genoa water supply network, which has already brought many benefits in terms of leakage control. In a few years, real water losses have decreased from 35% to 25%. *This maintenance program will continue in the upcoming years. The storage capacity of Genoa reservoirs is currently 38.7 cu.m. of water and will reach almost 44 cu.m. thanks to the recovery of the Badana Lake, envisaged in the next years.** Water sources provide good quality water, ensuring full compliance with the parametric values prescribed by law. Reuse of treated sewage could be made in plants ensuring adequate treatment processes to comply with regulations in force (which are currently redefined by the EU). These conditions are complied with by the Quinto waste water treatment plant and will be met by the new Depuratore Area Centrale (Central Area Wastewater treatment plant) which will be operating from July 2024: the total amount of water available for reuse, after the needed authorizations will be 35,000 cu.m water/day. Water will be available for public purposes (street washing and irrigation) and for industrial and recreational uses.Wastewater reuse has become particularly important in the last years, due to the effects of climate change, dramatically affecting distribution and intensity of rainfall all around the years. It is an effective solution to preserve water for human consumption, ensure resilience and service continuity and reduce environmental impact.General data regarding national, regional and municipal data are available at the link in question.http://statistica.comune.genova.it/pubblicazioni/download/annuario/ANNUARIO_ED_2022/ANNUARIO%202022.pdf"
2025 Disclosure Cycle,779465,CDP,36285,City of Florence,City,Europe,Italy,Public,Q4.10,"Provide details of the household access to water, sanitation services and water consumption in your jurisdiction.",1,Response,Data is available for the average household water consumption in litres per capita per day|Data is available for the percentage of households with access to safely managed drinking water services|Data is available for the percentage of households with access to safely managed sanitation services,100.0,100.0,143.0,"https://www.publiacqua.it/sites/publiacqua/files/bilancio_di_sostenibilita_2022_03082023_def.pdf \n Currently, at city level, 75% of the water supply is destined to domestic consumption, whereas the remaining part is destined to utilities of the tertiary sector. The specific consumption is 143 litres/day per inhabitant.During the past few years there has been a decrease in demand for drinkable water due to:-Greater resource efficiency following the renewal interventions of internal systems as well as the use of devices favouring water saving (double-box WC, faucet aerators, household appliances with improved performances in regard to water consumption);-information and awareness campaign on the City's policies concerning the use of the resource (included actions targeted to tourists on the environmental blueprint)All the drinkable water consumers (domestic, public and non-domestic) are provided with a meter for the measurement of water consumption. The water losses registered in the area of Florence are equal to 33%, intended as the ratio between the overall volume entering the network and the sales volume. This figure is lower than the regional average (about 40%).The chemical-physical and microbiological data of the drinkable water are published on the Publiaqua's website; a total of 300 qualitative catchment areas have been identified and, for each one, the mean semester values per single parameter are published.In order to upgrade and improve the offered service, Publiacqua has implemented and continues to maintain the following certifications:oSystem for Quality Management, in compliance with UNI EN ISO 9001;oSystem for Environmental Management, in compliance with UNI EN ISO 14001;oA model of Organisation, Management and Control, in compliance with for in the D.Lgs 231/01;oSystem for Quality Management of the Laboratory, in compliance with UNI CEI EN ISO/IEC 17025:2005;oSystem for Personnel's Health and Safety Management, in compliance with BSI OHSAS 18001:2007."
2025 Disclosure Cycle,779465,CDP,36410,"City of Memphis, TN",City,North America,United States of America,Public,Q4.10,"Provide details of the household access to water, sanitation services and water consumption in your jurisdiction.",1,Response,Data is available for the average household water consumption in litres per capita per day|Data is available for the percentage of households with access to safely managed drinking water services|Data is available for the percentage of households with access to safely managed sanitation services,100.0,100.0,220.712,"Everyone in the Memphis jurisdiction is serviced by the utility MLG&W, and all waste water is managed by Memphis treatment systems. Household water consumption comes from MLG&W's Facts and Figures 2023 report (publicly available online), converted from ccf/customer to liters/person"
2025 Disclosure Cycle,779465,CDP,36496,City of Palermo,City,Europe,Italy,Public,Q4.10,"Provide details of the household access to water, sanitation services and water consumption in your jurisdiction.",1,Response,None of the above data is available to report,,,,
2025 Disclosure Cycle,779465,CDP,36501,City of Prato,City,Europe,Italy,Public,Q4.10,"Provide details of the household access to water, sanitation services and water consumption in your jurisdiction.",1,Response,Data is available for the percentage of households with access to safely managed sanitation services|Data is available for the average household water consumption in litres per capita per day|Data is available for the percentage of households with access to safely managed drinking water services,100.0,100,130,"Water Safety Plan with Decree of the Ministry of Health of 14.06.17 (Transposition of the EU directive 2015/1787)Web link: https://www.publiacqua.it/presentato-il-water-safety-plan (in Italian language)\nCosuption water : Legambiente, 2021 "
2025 Disclosure Cycle,779465,CDP,36517,City of Treviso,City,Europe,Italy,Public,Q4.10,"Provide details of the household access to water, sanitation services and water consumption in your jurisdiction.",1,Response,Data is available for the average household water consumption in litres per capita per day,,,154,Dato 2024
2025 Disclosure Cycle,779465,CDP,37261,City of Pietermaritzburg,City,UKWW,South Africa,Public,Q4.10,"Provide details of the household access to water, sanitation services and water consumption in your jurisdiction.",1,Response,None of the above data is available to report,,,,
2025 Disclosure Cycle,779465,CDP,42120,City of Salvador,City,Latin America,Brazil,Public,Q4.10,"Provide details of the household access to water, sanitation services and water consumption in your jurisdiction.",1,Response,Data is available for the average household water consumption in litres per capita per day|Data is available for the percentage of households with access to safely managed sanitation services|Data is available for the percentage of households with access to safely managed drinking water services,99,88,126.2,"Os dados reportados para Salvador baseiam-se no Sistema Nacional de Informações sobre Saneamento (SNIS 2022) e em informações compiladas pelo Instituto Água e Saneamento, que utilizam registros oficiais da EMBASA. Para acesso à água potável gerida com segurança, considerou-se a cobertura da rede geral de abastecimento, próxima de 99%. Para acesso a saneamento seguro, utilizou-se a cobertura de esgotamento sanitário por serviço público, de cerca de 88%, valor mais conservador em relação ao indicador ampliado de aproximadamente 95% quando consideradas conexões indiretas. O consumo per capita de água, de 126,2 litros por habitante ao dia, reflete tanto as características de demanda urbana quanto restrições de oferta e ganhos de eficiência do sistema. No caso da energia elétrica, o consumo municipal foi estimado a partir das emissões locais reportadas e do fator médio de emissão do Sistema Interligado Nacional, adotando-se como referência o Balanço Energético Nacional 2022 para a composição da matriz elétrica. Categorias sem participação significativa, como geotermia e outras fontes renováveis ou não renováveis, foram reportadas como zero. Dessa forma, os valores apresentados refletem a melhor estimativa disponível com base em fontes oficiais, em alinhamento com os conceitos do ODS 6 e com a matriz elétrica nacional como proxy para o município."
2025 Disclosure Cycle,779465,CDP,42123,City of Goiânia,City,Latin America,Brazil,Public,Q4.10,"Provide details of the household access to water, sanitation services and water consumption in your jurisdiction.",1,Response,Data is available for the percentage of households with access to safely managed drinking water services|Data is available for the percentage of households with access to safely managed sanitation services,99.62,99.62,,Dados da Saneamento de Goiás S.A. - Saneago
2025 Disclosure Cycle,779465,CDP,42178,Distrito Metropolitano de Quito,City,Latin America,Ecuador,Public,Q4.10,"Provide details of the household access to water, sanitation services and water consumption in your jurisdiction.",1,Response,Data is available for the average household water consumption in litres per capita per day|Data is available for the percentage of households with access to safely managed drinking water services|Data is available for the percentage of households with access to safely managed sanitation services,98.33,94.15,137.9,"En Quito, el consumo habitual bordea los 140 litros por persona al día.\n"
2025 Disclosure Cycle,779465,CDP,42388,Intendencia de Montevideo,City,Latin America,Uruguay,Public,Q4.10,"Provide details of the household access to water, sanitation services and water consumption in your jurisdiction.",1,Response,Data is available for the percentage of households with access to safely managed drinking water services|Data is available for the percentage of households with access to safely managed sanitation services,99.5,97.1,,"Los datos son de 2019, proporcionados por el Ministerio de Desarrollo social con la fuente de la Encuesta Continua de Hogares del Instituto Nacional de Estadística."
2025 Disclosure Cycle,779465,CDP,43905,"City of San Antonio, TX",City,North America,United States of America,Public,Q4.10,"Provide details of the household access to water, sanitation services and water consumption in your jurisdiction.",1,Response,Data is available for the percentage of households with access to safely managed sanitation services|Data is available for the average household water consumption in litres per capita per day|Data is available for the percentage of households with access to safely managed drinking water services,100.0,100.0,443,https://my.saws.org/conservation/ \n117GPCD (gallons/capita/day) converted into liters/capita/day. 
2025 Disclosure Cycle,779465,CDP,43907,"City of Indianapolis, IN",City,North America,United States of America,Public,Q4.10,"Provide details of the household access to water, sanitation services and water consumption in your jurisdiction.",1,Response,None of the above data is available to report,,,,
2025 Disclosure Cycle,779465,CDP,43908,"City of Milwaukee, WI",City,North America,United States of America,Public,Q4.10,"Provide details of the household access to water, sanitation services and water consumption in your jurisdiction.",1,Response,Data is available for the percentage of households with access to safely managed drinking water services|Data is available for the percentage of households with access to safely managed sanitation services,99.0,99.0,,
2025 Disclosure Cycle,779465,CDP,43909,"City of Orlando, FL",City,North America,United States of America,Public,Q4.10,"Provide details of the household access to water, sanitation services and water consumption in your jurisdiction.",1,Response,Data is available for the percentage of households with access to safely managed sanitation services|Data is available for the percentage of households with access to safely managed drinking water services|Data is available for the average household water consumption in litres per capita per day,100.0,100,554,"According to the OUC Water Quality Report (Report attached), the utility pumps approximately 32.3 billion gallons of water annually to its customers, covering a service area of 200 square miles. This utility provides water not only to the city of Orlando but also to parts of unincorporated Orange County. Therefore, it's essential to estimate the amount of water explicitly supplied to the city of Orlando.\n\nBased on data from the United States Census Bureau, Orlando occupies a land area of 110.6 square miles, which represents about 55% of the total 200-square-mile service area. This source also notes that the city has a total of 141669 households. Additionally, as of 2024, the population of Orlando is 334,490.\n\nTaking these factors into account, the city of Orlando's household water consumption and per capita water consumption are estimated to be 1,307 liters/household/day and 554 liters per capita per day, respectively. \n\nRegarding access to safely managed drinking water and sanitation services, it is estimated that the city of Orlando has 100% access to both. This assessment is based on the city's urban context and robust water infrastructure. The World Health Organization indicates that most urban areas in the United States, including Orlando, have access to safely managed sanitation services.\n"
2025 Disclosure Cycle,779465,CDP,43910,"City of Columbus, OH",City,North America,United States of America,Public,Q4.10,"Provide details of the household access to water, sanitation services and water consumption in your jurisdiction.",1,Response,Data is available for the percentage of households with access to safely managed sanitation services|Data is available for the percentage of households with access to safely managed drinking water services|Data is available for the average household water consumption in litres per capita per day,100.0,100.0,1015.2,"City of Columbus Department of Public Utilities Division of Water delivers over 53 billion gallons (200 billion liters) of water a year to 1.4 million people. In an average day, 145 million gallons of water is pumped throughout the city with average usage of over 112 gallons (423 liters) per person per day. The average household in the City of Columbus contains 2.4 persons. Therefore, converting gallons to liters, and per person to household: 423 liters x 2.4 persons = 1015.2 liters/per household/per day."
2025 Disclosure Cycle,779465,CDP,43911,"City of Ottawa, ON",City,North America,Canada,Public,Q4.10,"Provide details of the household access to water, sanitation services and water consumption in your jurisdiction.",1,Response,Data is available for the percentage of households with access to safely managed sanitation services|Data is available for the percentage of households with access to safely managed drinking water services|Data is available for the average household water consumption in litres per capita per day,90,90,268.7,Household water consumption is calculated by dividing the Municipal drinking water summary by the population. 
2025 Disclosure Cycle,779465,CDP,43912,"City of Edmonton, AB",City,North America,Canada,Public,Q4.10,"Provide details of the household access to water, sanitation services and water consumption in your jurisdiction.",1,Response,Data is available for the percentage of households with access to safely managed sanitation services|Data is available for the percentage of households with access to safely managed drinking water services|Data is available for the average household water consumption in litres per capita per day,100.0,100.0,184.0,Household access to safely managed drinking water and sanitation services is required by law. The affordability of these services for the entire community is the only access challenge. Water consumption provided by EPCOR: https://www.epcor.com/products-services/water/Pages/high-water-usage.aspx
2025 Disclosure Cycle,779465,CDP,43914,"City of Charlotte, NC",City,North America,United States of America,Public,Q4.10,"Provide details of the household access to water, sanitation services and water consumption in your jurisdiction.",1,Response,Data is available for the average household water consumption in litres per capita per day|Data is available for the percentage of households with access to safely managed drinking water services|Data is available for the percentage of households with access to safely managed sanitation services,85,85,48,•\tPercentage of households with access to safely managed drinking water services: 85-90%\n\n•\tPercentage of households with access to safely managed sanitation services: 85-90%\n\n\n•\tHousehold water consumption was recorded in (gallons/capita/day)
2025 Disclosure Cycle,779465,CDP,43917,Capital Municipality of Sofia,City,Europe,Bulgaria,Public,Q4.10,"Provide details of the household access to water, sanitation services and water consumption in your jurisdiction.",1,Response,Data is available for the percentage of households with access to safely managed sanitation services|Data is available for the percentage of households with access to safely managed drinking water services,96.0,92.0,,No more data available
2025 Disclosure Cycle,779465,CDP,43920,City of Ljubljana,City,Europe,Slovenia,Public,Q4.10,"Provide details of the household access to water, sanitation services and water consumption in your jurisdiction.",1,Response,Data is available for the percentage of households with access to safely managed drinking water services|Data is available for the average household water consumption in litres per capita per day|Data is available for the percentage of households with access to safely managed sanitation services,100,93,130,"Data from a public utility company VOKA Snaga d.o.o., which is the largest company in Slovenia in terms of the number of users of the public drinking water supply system, the waste water drainage and treatment system as well as waste management system. All three public utility services are performed in the City of Ljubljana and other municipalities nearby."
2025 Disclosure Cycle,779465,CDP,43921,City of Zagreb,City,Europe,Croatia,Public,Q4.10,"Provide details of the household access to water, sanitation services and water consumption in your jurisdiction.",1,Response,Data is available for the percentage of households with access to safely managed drinking water services|Data is available for the average household water consumption in litres per capita per day|Data is available for the percentage of households with access to safely managed sanitation services,97,92,137,"97% percentage of connection to the public water supply system in the area of the City of Zagreb. Public water service provider in the City of Zagreb is VIO d.o.o., company for freshwater distribution and wastewater managment.\n\nSpecific consumption in the area of the City of Zagreb is around 135 - 138 l/capital/day\n"
2025 Disclosure Cycle,779465,CDP,43926,City of Mannheim,City,Europe,Germany,Public,Q4.10,"Provide details of the household access to water, sanitation services and water consumption in your jurisdiction.",1,Response,Data is available for the percentage of households with access to safely managed sanitation services|Data is available for the percentage of households with access to safely managed drinking water services|Data is available for the average household water consumption in litres per capita per day,99,99,145,"The Federal Government in Germany last confirmed this in writing in 2023: In Germany, access to sanitation and clean drinking water is guaranteed and there is currently no water shortage. Values close to 100% can therefore be assumed. There are no studies specific to Mannheim, as there is no need due to the good situation. Source: https://www.bundesregierung.de/breg-de/themen/nachhaltigkeitspolitik/sichere-wasserversorgung-313276 \n\nAnnual water consumption in Mannheim is 145 cubic meters per capita. his data applies to the year 2022 and was provided by our municipal utilities. "
