disclosure_cycle,cdp_requesting_org_number,requesting_organization,cdp_disclosing_org_number,disclosing_organization,disclosing_org_type,cdp_region,discloser_country_or_area,public_status,question_number,question_text,row_order,row_name,col1_Total quantity of food procured (tonnes),col2_Breakdown of procured food by food group,col3_Year data applies to,col4_Comment
2025 Disclosure Cycle,779465,CDP,35873,Medellín,City,Latin America,Colombia,Public,Q4.12,"Report the total quantity of food that is procured (in tonnes) for government-owned and/or operated facilities (including municipal facilities, schools, hospitals, youth centers, shelters, public canteens, prisons etc.). If available, please provide a breakdown per food group.",1,Response,11245.14,Para 2024 la ciudad no cuenta con el desglose por grupo de alimentos. Los aportes adquiridos por la ciudad son contabilizados en número de raciones y/o paquetes alimentarios adquiridos y entregados. ,2023,"579, 26 ton de alimentados entregados en paquetes alimentarios bajo el programa de Apoyo Nutricional para población vulnerable\n\n10.665,88 ton de alimentos adquiridos y entregados a través del programa de Alimentación Escolar - PAE. La información corresponde a 2023. \n\nEn 2024 Se garantizaron 313 días de atención institucional y 100 días de atención no institucional a través de BC 365 en las comunas 1, 3, 8, 60 y 80. En la modalidad institucional, niñas y niños en riesgo nutricional \nrecibieron raciones para fines de semana y festivos, mientras que en la modalidad familiar se entregaron paquetes alimentarios mejorados. Además, se distribuyeron 48.000 paquetes alimentarios y material literario para el receso de fin de año a todos los beneficiarios de Buen Comienzo (primera infancia). \n\nPara 2024, se atendió la población vulnerable con los programas de alimentación escolar, apoyo nutricional, bonos alimentarios, huertas de auto consumo y educación nutricional, acciones en pro de la disminución de los niveles de inseguridad alimentaria del Distrito con aproximadamente 400.000 personas beneficiadas en el año.\n\nDurante el año 2024, se atendieron 31.907 personas con complementación alimentaria y educación nutricional, de las cuales, 18.053 pertenecen al programa de apoyo nutricional, 6.526 al proyecto de bonos \nalimentarios priorizados por iniciativas de presupuesto participativo en el año 2023 y 7.328 al proyecto de bonos del año 2024. Se supera la meta en un 45% debido a la inclusión de los proyectos de bonos \nalimentarios.\n"
2025 Disclosure Cycle,779465,CDP,35874,"City of Phoenix, AZ",City,North America,United States of America,Public,Q4.12,"Report the total quantity of food that is procured (in tonnes) for government-owned and/or operated facilities (including municipal facilities, schools, hospitals, youth centers, shelters, public canteens, prisons etc.). If available, please provide a breakdown per food group.",1,Response,15616,"For Convention Center only: Dairy 53 tons, Produce 77 tons, Meat/Protein 74 tons, canned and dry groceries 156 tons, Frozen 80 tons, Bakery and Pasta 0.5 tons, and Processed food 31 tons. ",2024,"The data available to the city is limited. The amount provided is from the food consumed through the Convention Center. In addition to the Convention Center food consumption, from July 1, 2024 through April 30, 2025, the Phoenix Local Food Systems program were funded by the City of Phoenix Food Systems Transformation (FTS) grant: 1) diverted 61,552 pounds of food waste from the landfills through the Food Waste Watchers Programs for residents, 2) 1,397,468 pounds of food was grown by Phoenix farmers, and 3) 52,298 pounds of produce was made available to Phoenix residents through food banks and nonprofit organizations. The city of Phoenix has estimated the emissions related to the consumption of food at 3,326 kg CO2e per capita based on the work of Mohareb et al. (https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5956282/pdf/es7b02600.pdf) and was included in the 2020 Community-wide GHG Emissions Inventory (https://www.phoenix.gov/content/dam/phoenix/oepsite/documents/ghg-inventories/2020-community-ghg-report-05092022-final.pdf) as an initial estimate. "
2025 Disclosure Cycle,779465,CDP,35877,"City of Pittsburgh, PA",City,North America,United States of America,Public,Q4.12,"Report the total quantity of food that is procured (in tonnes) for government-owned and/or operated facilities (including municipal facilities, schools, hospitals, youth centers, shelters, public canteens, prisons etc.). If available, please provide a breakdown per food group.",1,Response,23500,do not know,2023,"The Greater Pittsburgh Community Food Bank distributed 47 million pounds of food in its last fiscal year, the most ever. Separately, Pittsburgh Public Schools (PPS) spent approximately $6 million on food annually during the 2022-2023 school year, with over 15% of that budget going to local and family-owned suppliers. "
2025 Disclosure Cycle,779465,CDP,35883,"City of San José, CA",City,North America,United States of America,Public,Q4.12,"Report the total quantity of food that is procured (in tonnes) for government-owned and/or operated facilities (including municipal facilities, schools, hospitals, youth centers, shelters, public canteens, prisons etc.). If available, please provide a breakdown per food group.",1,Response,,N/A,,We have data on number of meals served by City facilities/programs but not on kg or tonnes of food served.
2025 Disclosure Cycle,779465,CDP,35884,"City of San Diego, CA",City,North America,United States of America,Public,Q4.12,"Report the total quantity of food that is procured (in tonnes) for government-owned and/or operated facilities (including municipal facilities, schools, hospitals, youth centers, shelters, public canteens, prisons etc.). If available, please provide a breakdown per food group.",1,Response,16.75,1,2024,"Plus 297,872 meals provided (tons not available). Tons and meal count are from CDBG data and is Fiscal Year 2024."
2025 Disclosure Cycle,779465,CDP,35885,Tel Aviv-Yafo Municipality,City,UKWW,Israel,Public,Q4.12,"Report the total quantity of food that is procured (in tonnes) for government-owned and/or operated facilities (including municipal facilities, schools, hospitals, youth centers, shelters, public canteens, prisons etc.). If available, please provide a breakdown per food group.",1,Response,33299.0,,2020.0,"The number 33,299 is relevant to the number of meals being subsidized by the government in Tel Aviv. The city does not have data regarding private programs' meals. There are 14 programs that feeds the children in kindergarten through high school and are being subsidized through the municipality, private organizations, and due to this we can not get an accurate amount in tonnes."
2025 Disclosure Cycle,779465,CDP,35886,City of Turin,City,Europe,Italy,Public,Q4.12,"Report the total quantity of food that is procured (in tonnes) for government-owned and/or operated facilities (including municipal facilities, schools, hospitals, youth centers, shelters, public canteens, prisons etc.). If available, please provide a breakdown per food group.",1,Response,4425,"This figure relates to food delivered to school canteens, for a total of 6,035,196 meals delivered, 55% of which (2,433 tonnes) consisted of organic food.\n(source Food Metrics Report 2023 https://www.torinovivibile.it/wp-content/uploads/2023/01/TFMR-2023_Eng_Web.pdf)",2022,"In addition to the food served in school canteens in 2022, 3,296 tonnes of food were delivered by charitable organisations to vulnerable people."
2025 Disclosure Cycle,779465,CDP,35894,"Ville de Montreal, QC",City,North America,Canada,Public,Q4.12,"Report the total quantity of food that is procured (in tonnes) for government-owned and/or operated facilities (including municipal facilities, schools, hospitals, youth centers, shelters, public canteens, prisons etc.). If available, please provide a breakdown per food group.",1,Response,0,"Amounts committed for food in 2022: $1,890,378; Catering accessories and equipment: $84,658; Accessory rental and catering equipment: $21,152; Drink and food: $445,677; Drinking water - Emergency measure: $74,749; Food for resale: $37,201; Service - Dining room: $59,613; Catering service: $1,167,327;",2022,"We don't have the data in terms of tonnage, only in terms of the sums involved."
2025 Disclosure Cycle,779465,CDP,35898,Greater Manchester Combined Authority,City,UKWW,United Kingdom,Public,Q4.12,"Report the total quantity of food that is procured (in tonnes) for government-owned and/or operated facilities (including municipal facilities, schools, hospitals, youth centers, shelters, public canteens, prisons etc.). If available, please provide a breakdown per food group.",1,Response,,,,Data not available 
2025 Disclosure Cycle,779465,CDP,35993,Singapore Government,City,South East Asia & Oceania,Singapore,Public,Q4.12,"Report the total quantity of food that is procured (in tonnes) for government-owned and/or operated facilities (including municipal facilities, schools, hospitals, youth centers, shelters, public canteens, prisons etc.). If available, please provide a breakdown per food group.",1,Response,,N/A,,N/A. There is no administrative data for this.
2025 Disclosure Cycle,779465,CDP,36004,City of Abidjan,City,UKWW,Côte d'Ivoire,Public,Q4.12,"Report the total quantity of food that is procured (in tonnes) for government-owned and/or operated facilities (including municipal facilities, schools, hospitals, youth centers, shelters, public canteens, prisons etc.). If available, please provide a breakdown per food group.",1,Response,,Le District n'a pas encore de donnée officielle sur cette action,,
2025 Disclosure Cycle,779465,CDP,36032,Ville de Dakar,City,UKWW,Senegal,Public,Q4.12,"Report the total quantity of food that is procured (in tonnes) for government-owned and/or operated facilities (including municipal facilities, schools, hospitals, youth centers, shelters, public canteens, prisons etc.). If available, please provide a breakdown per food group.",1,Response,,n/a,,"non connu, données pas disponibles"
2025 Disclosure Cycle,779465,CDP,36037,Santiago de Cali,City,Latin America,Colombia,Public,Q4.12,"Report the total quantity of food that is procured (in tonnes) for government-owned and/or operated facilities (including municipal facilities, schools, hospitals, youth centers, shelters, public canteens, prisons etc.). If available, please provide a breakdown per food group.",1,Response,17654,"1. Carnes\n\nCarne de res y cerdo : usada en menús escolares y comunitarios como proteína principal.\n\n\n\nAves (pollo): proteína más común en PAE y comedores comunitarios.\n\n2. Pescados y mariscos\n\nEn los programas oficiales de Cali (PAE y comedores) casi no se reporta pescado fresco, aunque a veces se incluyen enlatados (atún) en menús escolares.\n\n3. Lácteos líquidos y sólidos\n\nLeche fluida o en polvo: frecuente en el PAE, hospitales y hogares infantiles.\n\nYogur: en algunas modalidades del PAE.\n\nQueso: aparece en comedores comunitarios y programas hospitalarios.\n\n4. Huevos\n\nAlto uso en menús escolares y comedores comunitarios (fácil almacenamiento y costo bajo).\n\n5. Legumbres\n\nFrijol, lenteja, garbanzo, arveja: base proteica no animal en los menús del PAE y comedores comunitarios.\n\n6. Frutos secos y semillas\n\nMuy poco frecuentes en compras públicas de Cali. Algunos contratos de hospitales incluyen semillas oleaginosas para dietas especiales.\n\n7. Granos y cereales\n\nArroz: alimento básico en todos los programas.\n\nMaíz (harinas, arepas): frecuente en comedores comunitarios.\n\nTrigo (pan, pasta, fideos): habitual en PAE y hospitales.\n\n8. Reemplazos vegetales de la leche\n\nNo identificados en procesos de Cali (leches vegetales no hacen parte del PAE oficial).\n\n9. Frutas\n\nBanano, naranja, manzana, papaya, piña: aparecen en PAE y comedores comunitarios como parte de raciones diarias.\n\n10. Vegetales (sin raíces / tubérculos)\n\nTomate, cebolla, pepino, pimentón: presentes en raciones escolares y hospitales.\n\n11. Vegetales con raíces y tubérculos\n\nPapa, yuca, plátano: básicos en menús comunitarios y escolares.\n\n12. Azúcares y endulzantes\n\nAzúcar blanca, panela: usadas en preparación de bebidas escolares y comunitarias.\n\n13. Aceites vegetales\n\nAceite de soya, girasol o mezcla vegetal: suministrado en contratos del PAE y comedores para preparación de alimentos.",2025,N/A
2025 Disclosure Cycle,779465,CDP,36039,Accra Metropolitan Assembly,City,UKWW,Ghana,Public,Q4.12,"Report the total quantity of food that is procured (in tonnes) for government-owned and/or operated facilities (including municipal facilities, schools, hospitals, youth centers, shelters, public canteens, prisons etc.). If available, please provide a breakdown per food group.",1,Response,,Data not available,,Data unavailable.
2025 Disclosure Cycle,779465,CDP,36045,Santiago de Guayaquil,City,Latin America,Ecuador,Public,Q4.12,"Report the total quantity of food that is procured (in tonnes) for government-owned and/or operated facilities (including municipal facilities, schools, hospitals, youth centers, shelters, public canteens, prisons etc.). If available, please provide a breakdown per food group.",1,Response,,N/A,,No hay datos disponibles
2025 Disclosure Cycle,779465,CDP,36159,City of Lisbon,City,Europe,Portugal,Public,Q4.12,"Report the total quantity of food that is procured (in tonnes) for government-owned and/or operated facilities (including municipal facilities, schools, hospitals, youth centers, shelters, public canteens, prisons etc.). If available, please provide a breakdown per food group.",1,Response,10531,"95,6 % School Meals \n4,36% Municipal Canteens",2024,Estimated values based on quantitative maps presented in public tenders
2025 Disclosure Cycle,779465,CDP,36218,Fukuoka City,City,Japan,Japan,Public,Q4.12,"Report the total quantity of food that is procured (in tonnes) for government-owned and/or operated facilities (including municipal facilities, schools, hospitals, youth centers, shelters, public canteens, prisons etc.). If available, please provide a breakdown per food group.",1,Response,,,,福岡市が所有/運営する施設で調達された食料の総量は不明です。
2025 Disclosure Cycle,779465,CDP,36219,City of Sapporo,City,Japan,Japan,Public,Q4.12,"Report the total quantity of food that is procured (in tonnes) for government-owned and/or operated facilities (including municipal facilities, schools, hospitals, youth centers, shelters, public canteens, prisons etc.). If available, please provide a breakdown per food group.",1,Response,13519,"札幌市の学校給食における主な取扱い品目の調達量\n\n農産物　2,182t\n水産物　977t\n畜産物　272t\n乳製品　193t　\n主食　2,115t\n飲用牛乳　5,637t\n\nデータ掲載先\nhttps://www.city.sapporo.jp/kyoiku/top/kyushoku/chisanchisyo/chisanchisyo.html",2024,報告値は、札幌市の学校給食における主な取扱い品目の調達量のみを示しています。
2025 Disclosure Cycle,779465,CDP,36501,City of Prato,City,Europe,Italy,Public,Q4.12,"Report the total quantity of food that is procured (in tonnes) for government-owned and/or operated facilities (including municipal facilities, schools, hospitals, youth centers, shelters, public canteens, prisons etc.). If available, please provide a breakdown per food group.",1,Response,325750,Food Group\nCereals\nMilk & Dairies\nSugars\nFish\nPoultry\nPork\nBeef\nVegetables\nFruit\nNon tropical Oils\nNuts\nPotatoes\n,2025,"Estimation in Prato\n\nBasis: Detailed Food Balance Sheet data for Italy from sources like FAO, OECD, MDPI studies, providing per capita availability in kilograms per food group (cereals, dairy, meat types, vegetables, fruit, oils, etc.).\n\nCalculation:\nMultiply each food group's per capita supply by Prato's population (~196,300), then sum all groups.\nTotal ≈ 325,750 tonnes/year."
2025 Disclosure Cycle,779465,CDP,37261,City of Pietermaritzburg,City,UKWW,South Africa,Public,Q4.12,"Report the total quantity of food that is procured (in tonnes) for government-owned and/or operated facilities (including municipal facilities, schools, hospitals, youth centers, shelters, public canteens, prisons etc.). If available, please provide a breakdown per food group.",1,Response,0,unknown,,
2025 Disclosure Cycle,779465,CDP,42120,City of Salvador,City,Latin America,Brazil,Public,Q4.12,"Report the total quantity of food that is procured (in tonnes) for government-owned and/or operated facilities (including municipal facilities, schools, hospitals, youth centers, shelters, public canteens, prisons etc.). If available, please provide a breakdown per food group.",1,Response,0,Dados não disponíveis.,2025,Dados não disponíveis.
2025 Disclosure Cycle,779465,CDP,42178,Distrito Metropolitano de Quito,City,Latin America,Ecuador,Public,Q4.12,"Report the total quantity of food that is procured (in tonnes) for government-owned and/or operated facilities (including municipal facilities, schools, hospitals, youth centers, shelters, public canteens, prisons etc.). If available, please provide a breakdown per food group.",1,Response,5966793.0,"Vegetales 6143,66 tonFrutas 1262,31 tonLácteos 27550,25 tonTubérculos o alimentos con almidón 16843,23 tonFuentes de proteínas 4604,63 tonGrasas agregadas 1140,44 tonAlimentos con azúcar agregada 385,77 ton",2019.0,"No se coloca la cantidad de peso de los granos enteros, debido a que forman partedel grupo de las proteínas y dentro de las fichas técnicas no poseen un gramaje único.Al ser la nutrición uno de los componentes más sólidos que poseen los proyectos, laobligación de la Unidad Patronato Municipal San José, es asegurar que esta adquisiciónse adapte a las necesidades de todas las usuarios y usuarios que acuden diariamente a los proyectos. "
2025 Disclosure Cycle,779465,CDP,43907,"City of Indianapolis, IN",City,North America,United States of America,Public,Q4.12,"Report the total quantity of food that is procured (in tonnes) for government-owned and/or operated facilities (including municipal facilities, schools, hospitals, youth centers, shelters, public canteens, prisons etc.). If available, please provide a breakdown per food group.",1,Response,,,,Not scored
2025 Disclosure Cycle,779465,CDP,43908,"City of Milwaukee, WI",City,North America,United States of America,Public,Q4.12,"Report the total quantity of food that is procured (in tonnes) for government-owned and/or operated facilities (including municipal facilities, schools, hospitals, youth centers, shelters, public canteens, prisons etc.). If available, please provide a breakdown per food group.",1,Response,0,,,We don't have data to report.
2025 Disclosure Cycle,779465,CDP,43909,"City of Orlando, FL",City,North America,United States of America,Public,Q4.12,"Report the total quantity of food that is procured (in tonnes) for government-owned and/or operated facilities (including municipal facilities, schools, hospitals, youth centers, shelters, public canteens, prisons etc.). If available, please provide a breakdown per food group.",1,Response,105.23,Gleaned food,2024,"Procurement typically includes both purchased and donated food; however, government-owned or operated facilities currently do not collect data on direct purchasing. The sustainability team in the city of Orlando gathers information related to gleaning programs. Between 2020 and 2024, the team has gleaned approximately 210,430 pounds (105.23 Tons) of food. In this section, the total quantity of food procured by government-owned and operated facilities exclusively refers to food obtained through gleaning programs, surplus redistribution, and donations.\n"
2025 Disclosure Cycle,779465,CDP,43910,"City of Columbus, OH",City,North America,United States of America,Public,Q4.12,"Report the total quantity of food that is procured (in tonnes) for government-owned and/or operated facilities (including municipal facilities, schools, hospitals, youth centers, shelters, public canteens, prisons etc.). If available, please provide a breakdown per food group.",1,Response,120,"240,000 lbs of fresh pounds in produce were delivered in 2024 in partnership with Mid Ohio Food Collective. ",2024,
2025 Disclosure Cycle,779465,CDP,43912,"City of Edmonton, AB",City,North America,Canada,Public,Q4.12,"Report the total quantity of food that is procured (in tonnes) for government-owned and/or operated facilities (including municipal facilities, schools, hospitals, youth centers, shelters, public canteens, prisons etc.). If available, please provide a breakdown per food group.",1,Response,,,,No data or information available on food procurement.
2025 Disclosure Cycle,779465,CDP,43914,"City of Charlotte, NC",City,North America,United States of America,Public,Q4.12,"Report the total quantity of food that is procured (in tonnes) for government-owned and/or operated facilities (including municipal facilities, schools, hospitals, youth centers, shelters, public canteens, prisons etc.). If available, please provide a breakdown per food group.",1,Response,0,The city does not track this data.,2024,The city does not \ntrack this data.
2025 Disclosure Cycle,779465,CDP,43921,City of Zagreb,City,Europe,Croatia,Public,Q4.12,"Report the total quantity of food that is procured (in tonnes) for government-owned and/or operated facilities (including municipal facilities, schools, hospitals, youth centers, shelters, public canteens, prisons etc.). If available, please provide a breakdown per food group.",1,Response,10.103,"Bread and bakery products- 1486 t\nMeat- 910,50 t\nMilk and milk products- 3272,10 t\nEggs- 1.484.739 pieces/90 t\nFruits- 1575,37 t\nVegetable- 2154,11 t\nVegetable products- 150,11 t\nCanned fruits and vegetables- 208.30 t\nFrozen fruits and vegetables- 256,48 t",2022,"The data refers to one-year food needs for student dormitories, primary schools and kindergartens. We do not have data for other institutions. In 2022, an analysis of the needs of the above-mentioned foodstuffs was made for the purposes of launching a pilot project of green public procurement for student dormitories, schools and kindergartens. In the following years, the needs of the aforementioned foods remained the same."
2025 Disclosure Cycle,779465,CDP,43932,Auckland Council,City,South East Asia & Oceania,New Zealand,Public,Q4.12,"Report the total quantity of food that is procured (in tonnes) for government-owned and/or operated facilities (including municipal facilities, schools, hospitals, youth centers, shelters, public canteens, prisons etc.). If available, please provide a breakdown per food group.",1,Response,,,,no data available
2025 Disclosure Cycle,779465,CDP,43937,Wellington City Council,City,South East Asia & Oceania,New Zealand,Public,Q4.12,"Report the total quantity of food that is procured (in tonnes) for government-owned and/or operated facilities (including municipal facilities, schools, hospitals, youth centers, shelters, public canteens, prisons etc.). If available, please provide a breakdown per food group.",1,Response,,,,There is no data available to report this year.
2025 Disclosure Cycle,779465,CDP,43938,"Environment and Climate Change Authority, Govt of Dubai",City,UKWW,United Arab Emirates,Public,Q4.12,"Report the total quantity of food that is procured (in tonnes) for government-owned and/or operated facilities (including municipal facilities, schools, hospitals, youth centers, shelters, public canteens, prisons etc.). If available, please provide a breakdown per food group.",1,Response,,,,This was not estimated for the year 2024 as the procurement is decentralised making it difficult to estimate and gather the required data. 
2025 Disclosure Cycle,779465,CDP,43940,City of Malmö,City,Europe,Sweden,Public,Q4.12,"Report the total quantity of food that is procured (in tonnes) for government-owned and/or operated facilities (including municipal facilities, schools, hospitals, youth centers, shelters, public canteens, prisons etc.). If available, please provide a breakdown per food group.",1,Response,7971,"Beef: 126902 kg, Buffalo: 0 kg, Other ruminant meat (goat, lamb, sheep): 483 kg, Pork: 72113 kg, Poultry: 305230 kg, Fish and seafood: 256179 kg, Liquid dairy: 1655503 kg, Solid dairy: 233518 kg, Eggs: 73981 kg, Legumes and pulses: 12059, Nuts and seed: 4099 kg, Grains: 975033 kg, Plant-based milk substitutes: 125359, Fruits: 1041892, Vegetables: 1258253, Roots and tubers: 811455, Sugars and sweeteners: 53287, Vegetable oils: 203247 kg, Others: 763047 kg",2024,N/A
2025 Disclosure Cycle,779465,CDP,43970,Alcaldía Distrital de Barranquilla,City,Latin America,Colombia,Public,Q4.12,"Report the total quantity of food that is procured (in tonnes) for government-owned and/or operated facilities (including municipal facilities, schools, hospitals, youth centers, shelters, public canteens, prisons etc.). If available, please provide a breakdown per food group.",1,Response,,,,No disponible
2025 Disclosure Cycle,779465,CDP,44080,City of Kitakyushu,City,Japan,Japan,Public,Q4.12,"Report the total quantity of food that is procured (in tonnes) for government-owned and/or operated facilities (including municipal facilities, schools, hospitals, youth centers, shelters, public canteens, prisons etc.). If available, please provide a breakdown per food group.",1,Response,,,,利用可能なデータがありません
2025 Disclosure Cycle,779465,CDP,44180,Daegu Metropolitan City,City,South East Asia & Oceania,Korea (The Republic of),Public,Q4.12,"Report the total quantity of food that is procured (in tonnes) for government-owned and/or operated facilities (including municipal facilities, schools, hospitals, youth centers, shelters, public canteens, prisons etc.). If available, please provide a breakdown per food group.",1,Response,532032,"- vegetables and fruits : 493,547 ton\n- fishery products : 14,742 ton\n- livestock products : 23,743 ton",2023,market distribution volume
2025 Disclosure Cycle,779465,CDP,44181,Gwangju Metropolitan City,City,South East Asia & Oceania,Korea (The Republic of),Public,Q4.12,"Report the total quantity of food that is procured (in tonnes) for government-owned and/or operated facilities (including municipal facilities, schools, hospitals, youth centers, shelters, public canteens, prisons etc.). If available, please provide a breakdown per food group.",1,Response,,,,관련 데이터 없음
2025 Disclosure Cycle,779465,CDP,44184,Ulsan Metropolitan City,City,South East Asia & Oceania,Korea (The Republic of),Public,Q4.12,"Report the total quantity of food that is procured (in tonnes) for government-owned and/or operated facilities (including municipal facilities, schools, hospitals, youth centers, shelters, public canteens, prisons etc.). If available, please provide a breakdown per food group.",1,Response,,데이터 없음,,정확한 데이터 확보 어려움
2025 Disclosure Cycle,779465,CDP,44185,Suwon City,City,South East Asia & Oceania,Korea (The Republic of),Public,Q4.12,"Report the total quantity of food that is procured (in tonnes) for government-owned and/or operated facilities (including municipal facilities, schools, hospitals, youth centers, shelters, public canteens, prisons etc.). If available, please provide a breakdown per food group.",1,Response,0,0,2023,관련 자료 검색 불가로 0 값을 입력함
2025 Disclosure Cycle,779465,CDP,44187,Goyang City,City,South East Asia & Oceania,Korea (The Republic of),Public,Q4.12,"Report the total quantity of food that is procured (in tonnes) for government-owned and/or operated facilities (including municipal facilities, schools, hospitals, youth centers, shelters, public canteens, prisons etc.). If available, please provide a breakdown per food group.",1,Response,29311.6,milled grain:7524\nVegetables:2731\n,2023,https://www.goyang.go.kr/bigdata/statsData/statsData.do?selected=2
2025 Disclosure Cycle,779465,CDP,44194,Jeonju City,City,South East Asia & Oceania,Korea (The Republic of),Public,Q4.12,"Report the total quantity of food that is procured (in tonnes) for government-owned and/or operated facilities (including municipal facilities, schools, hospitals, youth centers, shelters, public canteens, prisons etc.). If available, please provide a breakdown per food group.",1,Response,0,-,2024,There is no related data.
2025 Disclosure Cycle,779465,CDP,44299,Dangjin City,City,South East Asia & Oceania,Korea (The Republic of),Public,Q4.12,"Report the total quantity of food that is procured (in tonnes) for government-owned and/or operated facilities (including municipal facilities, schools, hospitals, youth centers, shelters, public canteens, prisons etc.). If available, please provide a breakdown per food group.",1,Response,0,00,2020.0,No related data.
2025 Disclosure Cycle,779465,CDP,46263,Amdavad Municipal Corporation (Ahmedabad),City,India,India,Public,Q4.12,"Report the total quantity of food that is procured (in tonnes) for government-owned and/or operated facilities (including municipal facilities, schools, hospitals, youth centers, shelters, public canteens, prisons etc.). If available, please provide a breakdown per food group.",1,Response,30,Mid-day meal for school students and patients etc. ,2023,AMC spent about INR 5 million on food procurement in 2023
2025 Disclosure Cycle,779465,CDP,46514,City of Porto,City,Europe,Portugal,Public,Q4.12,"Report the total quantity of food that is procured (in tonnes) for government-owned and/or operated facilities (including municipal facilities, schools, hospitals, youth centers, shelters, public canteens, prisons etc.). If available, please provide a breakdown per food group.",1,Response,1880.53,"The breakdown is the following: 714.88 tons of vegetables for soup; 84.37 tons of fish; 95.56 tons of meat and eggs; 96.92 carbohydrates; 358.53 tons of vegetables on the plate; 256.40 tons of fruit; 104.35 tons of bread; 113.06 tons of milk and dairy products; 54.81 tons of fruit juices and 14.98 tons of other foods (jam, ham, vegetable cream and biscuits). ",2024,"The reported tons (1880.53) consider school meals served in schools' canteens during the school period, and in school breaks (January to December 2024), for those students that are neediest. Every school day, there are around 10266 meals served to students from every schoolyear, in addition to around 7355 snacks for only pre-primary and primary school students. Municipality of Porto also manages the Municipal Solidarity Restaurants Network, which is a program included in the Municipal Strategy for Homeless People to provide assistance and a dignified space where people in need can take a healthy meal. This social network assists 550 people, serving them a meal every day of the year, in a total of more than 200000 meals. The number of tonnes of these meals were not considered in the total number of tonnes of food served. "
2025 Disclosure Cycle,779465,CDP,49326,"Ville de Quebec, QC",City,North America,Canada,Public,Q4.12,"Report the total quantity of food that is procured (in tonnes) for government-owned and/or operated facilities (including municipal facilities, schools, hospitals, youth centers, shelters, public canteens, prisons etc.). If available, please provide a breakdown per food group.",1,Response,0,,,Ne dispose pas de cette information
2025 Disclosure Cycle,779465,CDP,49330,"Kansas City, MO",City,North America,United States of America,Public,Q4.12,"Report the total quantity of food that is procured (in tonnes) for government-owned and/or operated facilities (including municipal facilities, schools, hospitals, youth centers, shelters, public canteens, prisons etc.). If available, please provide a breakdown per food group.",1,Response,0,,2024,"The city does not have a centralized program that records this data. Many organizations throughout the Kansas City community provide meals, which may include government operated facilities and those in need. The areas largest provider is Harvesters. Harvesters distributes food and resources through a network of more than 760 partner agencies and programs such as food pantries, kitchens, emergency shelters, and day programs that serve families, kids and seniors. The city has also created a resource page for meal and grocery assistance: https://www.kcmo.gov/city-hall/departments/health/coronavirus-covid-19-kcmo-information-and-response/help-for-residents"
2025 Disclosure Cycle,779465,CDP,49333,"City of Louisville, KY",City,North America,United States of America,Public,Q4.12,"Report the total quantity of food that is procured (in tonnes) for government-owned and/or operated facilities (including municipal facilities, schools, hospitals, youth centers, shelters, public canteens, prisons etc.). If available, please provide a breakdown per food group.",1,Response,,,,We do not have this data.
2025 Disclosure Cycle,779465,CDP,49335,"Metropolitan Government of Nashville and Davidson County, TN",City,North America,United States of America,Public,Q4.12,"Report the total quantity of food that is procured (in tonnes) for government-owned and/or operated facilities (including municipal facilities, schools, hospitals, youth centers, shelters, public canteens, prisons etc.). If available, please provide a breakdown per food group.",1,Response,,"The following is a list of most major contracts related to food. This is not exhaustive. Our Public School System is not included. Dollar amounts listed are maximum spend amounts associated with each contract.Inmate Food Service Management - $18,000,000 Fruit & Veg Gift Boxes - $500,000Milk/Dairy Products, Fruit Juice, Tea - $733,000We also having multiple revenue generating contracts for which contract max spend amounts are not applicable.",2021.0,"Metro Nashville government procures food through a number of departments, including the Sheriff, Fire, OEM, Police, Parks, Schools, Social Services, Municipal Auditorium, and Fairgrounds. We do not have centralized tracking of procurement on Metro-wide contracts as quantities ordered are maintained by individual departments. Dollar amounts listed represent max spend amounts on each contract. Metro Nashville Public Schools is not included."
