disclosure_cycle,cdp_requesting_org_number,requesting_organization,cdp_disclosing_org_number,disclosing_organization,disclosing_org_type,cdp_region,discloser_country_or_area,public_status,question_number,question_text,row_order,row_name,col1_Installed capacity (MW)^,"col2_If you have no installed capacity data to report, please select a notation key to explain why^",col3_Annual generation (MWh)^,"col4_If you have no generation data to report, please select a notation key to explain why^",col5_Year data applies to,col6_Comment
2025 Disclosure Cycle,779465,CDP,1093,"City of Atlanta, GA",City,North America,United States of America,Public,Q4.1.3,"For each type of renewable energy within the jurisdiction boundary, report the installed capacity (MW) and annual generation (MWh).",1,Solar PV,2.8,,2781.239,,2024,"This includes phase III Solar Atlanta program, which is our Solar Energy Procurement Agreement (SEPA) for rooftop and ground-mount solar. Data was given from our energy provider across all 40 sites of the CoA portfolio.\nhttps://www.100atl.com/solar-atlanta."
2025 Disclosure Cycle,779465,CDP,1093,"City of Atlanta, GA",City,North America,United States of America,Public,Q4.1.3,"For each type of renewable energy within the jurisdiction boundary, report the installed capacity (MW) and annual generation (MWh).",2,Solar thermal,0.0,Not Occurring (NO),,Not Occurring (NO),,
2025 Disclosure Cycle,779465,CDP,1093,"City of Atlanta, GA",City,North America,United States of America,Public,Q4.1.3,"For each type of renewable energy within the jurisdiction boundary, report the installed capacity (MW) and annual generation (MWh).",3,Hydropower,0.0,Not Estimated (NE),,Not Estimated (NE),,
2025 Disclosure Cycle,779465,CDP,1093,"City of Atlanta, GA",City,North America,United States of America,Public,Q4.1.3,"For each type of renewable energy within the jurisdiction boundary, report the installed capacity (MW) and annual generation (MWh).",4,Wind,0.0,Not Estimated (NE),,Not Estimated (NE),,
2025 Disclosure Cycle,779465,CDP,1093,"City of Atlanta, GA",City,North America,United States of America,Public,Q4.1.3,"For each type of renewable energy within the jurisdiction boundary, report the installed capacity (MW) and annual generation (MWh).",5,Bioenergy (Biomass and Biofuels),0.0,Not Estimated (NE),,Not Estimated (NE),,
2025 Disclosure Cycle,779465,CDP,1093,"City of Atlanta, GA",City,North America,United States of America,Public,Q4.1.3,"For each type of renewable energy within the jurisdiction boundary, report the installed capacity (MW) and annual generation (MWh).",6,Geothermal,0.0,Not Estimated (NE),,Not Estimated (NE),,
2025 Disclosure Cycle,779465,CDP,1093,"City of Atlanta, GA",City,North America,United States of America,Public,Q4.1.3,"For each type of renewable energy within the jurisdiction boundary, report the installed capacity (MW) and annual generation (MWh).",7,Other,358.11,,,Not Estimated (NE),2023,"Georgia Power breaks down their Kw capacity as Nuclear = 2,513,279, Hydro = 1,112,162, and Renewables = 358,106 out of a total of 14,146,391. \nhttps://www.georgiapower.com/about/company/facts-and-figures.html"
2025 Disclosure Cycle,779465,CDP,1499,City of Barcelona,City,Europe,Spain,Public,Q4.1.3,"For each type of renewable energy within the jurisdiction boundary, report the installed capacity (MW) and annual generation (MWh).",1,Solar PV,51.68,,64603,,2023,-
2025 Disclosure Cycle,779465,CDP,1499,City of Barcelona,City,Europe,Spain,Public,Q4.1.3,"For each type of renewable energy within the jurisdiction boundary, report the installed capacity (MW) and annual generation (MWh).",2,Solar thermal,84.1,,89710,,2023,-
2025 Disclosure Cycle,779465,CDP,1499,City of Barcelona,City,Europe,Spain,Public,Q4.1.3,"For each type of renewable energy within the jurisdiction boundary, report the installed capacity (MW) and annual generation (MWh).",3,Hydropower,0.75,,572,,2023,Reparation works till 2022
2025 Disclosure Cycle,779465,CDP,1499,City of Barcelona,City,Europe,Spain,Public,Q4.1.3,"For each type of renewable energy within the jurisdiction boundary, report the installed capacity (MW) and annual generation (MWh).",4,Wind,0,Not Occurring (NO),0,Not Occurring (NO),2023,No resource
2025 Disclosure Cycle,779465,CDP,1499,City of Barcelona,City,Europe,Spain,Public,Q4.1.3,"For each type of renewable energy within the jurisdiction boundary, report the installed capacity (MW) and annual generation (MWh).",5,Bioenergy (Biomass and Biofuels),10,,8057,,2023,-
2025 Disclosure Cycle,779465,CDP,1499,City of Barcelona,City,Europe,Spain,Public,Q4.1.3,"For each type of renewable energy within the jurisdiction boundary, report the installed capacity (MW) and annual generation (MWh).",6,Geothermal,0,Not Estimated (NE),0,Not Estimated (NE),2023,Negligible resource
2025 Disclosure Cycle,779465,CDP,1499,City of Barcelona,City,Europe,Spain,Public,Q4.1.3,"For each type of renewable energy within the jurisdiction boundary, report the installed capacity (MW) and annual generation (MWh).",7,Other,0,Not Occurring (NO),0,Not Occurring (NO),2023,-
2025 Disclosure Cycle,779465,CDP,1850,Birmingham City Council,City,UKWW,United Kingdom,Public,Q4.1.3,"For each type of renewable energy within the jurisdiction boundary, report the installed capacity (MW) and annual generation (MWh).",1,Solar PV,44.2,Not Occurring (NO),37309,Not Occurring (NO),2023,Note: had to select not occuring when had data to allow portal to accept question as complete
2025 Disclosure Cycle,779465,CDP,1850,Birmingham City Council,City,UKWW,United Kingdom,Public,Q4.1.3,"For each type of renewable energy within the jurisdiction boundary, report the installed capacity (MW) and annual generation (MWh).",2,Solar thermal,0,Not Estimated (NE),0,Not Estimated (NE),2023,Renewable electricity by local authority 2014 - 2023
2025 Disclosure Cycle,779465,CDP,1850,Birmingham City Council,City,UKWW,United Kingdom,Public,Q4.1.3,"For each type of renewable energy within the jurisdiction boundary, report the installed capacity (MW) and annual generation (MWh).",3,Hydropower,0,Not Occurring (NO),0,Not Occurring (NO),2023,Renewable electricity by local authority 2014 - 2023
2025 Disclosure Cycle,779465,CDP,1850,Birmingham City Council,City,UKWW,United Kingdom,Public,Q4.1.3,"For each type of renewable energy within the jurisdiction boundary, report the installed capacity (MW) and annual generation (MWh).",4,Wind,0,Not Occurring (NO),0,Not Occurring (NO),2023,Renewable electricity by local authority 2014 - 2023
2025 Disclosure Cycle,779465,CDP,1850,Birmingham City Council,City,UKWW,United Kingdom,Public,Q4.1.3,"For each type of renewable energy within the jurisdiction boundary, report the installed capacity (MW) and annual generation (MWh).",5,Bioenergy (Biomass and Biofuels),12,Not Occurring (NO),0,Not Occurring (NO),2023, Note: had to select not occuring when had data to allow portal to accept question as complete
2025 Disclosure Cycle,779465,CDP,1850,Birmingham City Council,City,UKWW,United Kingdom,Public,Q4.1.3,"For each type of renewable energy within the jurisdiction boundary, report the installed capacity (MW) and annual generation (MWh).",6,Geothermal,0,Not Estimated (NE),0,Not Estimated (NE),2023,Renewable electricity by local authority 2014 - 2023
2025 Disclosure Cycle,779465,CDP,1850,Birmingham City Council,City,UKWW,United Kingdom,Public,Q4.1.3,"For each type of renewable energy within the jurisdiction boundary, report the installed capacity (MW) and annual generation (MWh).",7,Other,59.9,Not Occurring (NO),88793,Not Occurring (NO),2023,Sewage gas and municipal solid waste. Note: had to select not occuring when had data to allow portal to accept question as complete
2025 Disclosure Cycle,779465,CDP,2621,Cambridgeshire County Council,City,UKWW,United Kingdom,Public,Q4.1.3,"For each type of renewable energy within the jurisdiction boundary, report the installed capacity (MW) and annual generation (MWh).",1,Solar PV,664,,597787.42,,2023,Data from https://www.gov.uk/government/statistics/regional-renewable-statisticsCambridge + East Cambridgeshire + Fenland + Huntingdonshire + South Cambridgeshire = Cambridgeshire total. 
2025 Disclosure Cycle,779465,CDP,2621,Cambridgeshire County Council,City,UKWW,United Kingdom,Public,Q4.1.3,"For each type of renewable energy within the jurisdiction boundary, report the installed capacity (MW) and annual generation (MWh).",2,Solar thermal,,Not Estimated (NE),,Not Estimated (NE),,Unknown. This is not centrally monitored. 
2025 Disclosure Cycle,779465,CDP,2621,Cambridgeshire County Council,City,UKWW,United Kingdom,Public,Q4.1.3,"For each type of renewable energy within the jurisdiction boundary, report the installed capacity (MW) and annual generation (MWh).",3,Hydropower,0.04,,0.0,Confidential (C),2023,"Data from https://www.gov.uk/government/statistics/regional-renewable-statistics Cambridge + East Cambridgeshire + Fenland + Huntingdonshire + South Cambridgeshire = Cambridgeshire total. \n\nIn generation figures, some hydropower is suppressed (confidential) in the source data to prevent the output of individual plants being revealed, and is therefore not included in the total presented here for this category. "
2025 Disclosure Cycle,779465,CDP,2621,Cambridgeshire County Council,City,UKWW,United Kingdom,Public,Q4.1.3,"For each type of renewable energy within the jurisdiction boundary, report the installed capacity (MW) and annual generation (MWh).",4,Wind,213.2,,475939.53,,2023,Data from https://www.gov.uk/government/statistics/regional-renewable-statisticsCambridge + East Cambridgeshire + Fenland + Huntingdonshire + South Cambridgeshire = Cambridgeshire total. 
2025 Disclosure Cycle,779465,CDP,2621,Cambridgeshire County Council,City,UKWW,United Kingdom,Public,Q4.1.3,"For each type of renewable energy within the jurisdiction boundary, report the installed capacity (MW) and annual generation (MWh).",5,Bioenergy (Biomass and Biofuels),72.3,,370486,,2023,"Data from https://www.gov.uk/government/statistics/regional-renewable-statisticsCambridge + East Cambridgeshire + Fenland + Huntingdonshire + South Cambridgeshire = Cambridgeshire total. \n\nIn generation figures, some bioenergy is suppressed (confidential) in the source data to prevent the output of individual plants being revealed, and is therefore not included in the total presented here for this category. "
2025 Disclosure Cycle,779465,CDP,2621,Cambridgeshire County Council,City,UKWW,United Kingdom,Public,Q4.1.3,"For each type of renewable energy within the jurisdiction boundary, report the installed capacity (MW) and annual generation (MWh).",6,Geothermal,,Not Estimated (NE),,Not Estimated (NE),,Unknown. This is not centrally monitored.
2025 Disclosure Cycle,779465,CDP,2621,Cambridgeshire County Council,City,UKWW,United Kingdom,Public,Q4.1.3,"For each type of renewable energy within the jurisdiction boundary, report the installed capacity (MW) and annual generation (MWh).",7,Other,15.3,,40769,,2023,"Data from https://www.gov.uk/government/statistics/regional-renewable-statisticsCambridge + East Cambridgeshire + Fenland + Huntingdonshire + South Cambridgeshire = Cambridgeshire total. Anaerobic digestion + Sewage gas + Landfill gas\n\nIn generation figures, sewage gas, and some landfill gas, is suppressed (confidential) in the source data to prevent the output of individual plants being revealed, and is therefore not included in the total presented here for this category. "
2025 Disclosure Cycle,779465,CDP,3422,Greater London Authority,City,UKWW,United Kingdom,Public,Q4.1.3,"For each type of renewable energy within the jurisdiction boundary, report the installed capacity (MW) and annual generation (MWh).",1,Solar PV,246,,,Not Estimated (NE),2022,Source: https://www.gov.uk/government/statistics/regional-renewable-statistics
2025 Disclosure Cycle,779465,CDP,3422,Greater London Authority,City,UKWW,United Kingdom,Public,Q4.1.3,"For each type of renewable energy within the jurisdiction boundary, report the installed capacity (MW) and annual generation (MWh).",2,Solar thermal,,Not Estimated (NE),,Not Estimated (NE),,
2025 Disclosure Cycle,779465,CDP,3422,Greater London Authority,City,UKWW,United Kingdom,Public,Q4.1.3,"For each type of renewable energy within the jurisdiction boundary, report the installed capacity (MW) and annual generation (MWh).",3,Hydropower,,Not Occurring (NO),,Not Occurring (NO),,
2025 Disclosure Cycle,779465,CDP,3422,Greater London Authority,City,UKWW,United Kingdom,Public,Q4.1.3,"For each type of renewable energy within the jurisdiction boundary, report the installed capacity (MW) and annual generation (MWh).",4,Wind,11.4,,,Not Estimated (NE),2022,Source: https://www.gov.uk/government/statistics/regional-renewable-statistics
2025 Disclosure Cycle,779465,CDP,3422,Greater London Authority,City,UKWW,United Kingdom,Public,Q4.1.3,"For each type of renewable energy within the jurisdiction boundary, report the installed capacity (MW) and annual generation (MWh).",5,Bioenergy (Biomass and Biofuels),,Not Estimated (NE),,Not Estimated (NE),,
2025 Disclosure Cycle,779465,CDP,3422,Greater London Authority,City,UKWW,United Kingdom,Public,Q4.1.3,"For each type of renewable energy within the jurisdiction boundary, report the installed capacity (MW) and annual generation (MWh).",6,Geothermal,,Not Occurring (NO),,Not Occurring (NO),,
2025 Disclosure Cycle,779465,CDP,3422,Greater London Authority,City,UKWW,United Kingdom,Public,Q4.1.3,"For each type of renewable energy within the jurisdiction boundary, report the installed capacity (MW) and annual generation (MWh).",7,Other,313.3,,,Not Estimated (NE),2022,"\'Other\' here includes installed capacity for landfill gas, sewage gas, anaerobic digestion and other bioenergy.\n\nSource: https://www.gov.uk/government/statistics/regional-renewable-statistics"
2025 Disclosure Cycle,779465,CDP,5871,Essex County Council,City,UKWW,United Kingdom,Public,Q4.1.3,"For each type of renewable energy within the jurisdiction boundary, report the installed capacity (MW) and annual generation (MWh).",1,Solar PV,458.22,,363637,,2023,From Department of Energy Security and Net Zero
2025 Disclosure Cycle,779465,CDP,5871,Essex County Council,City,UKWW,United Kingdom,Public,Q4.1.3,"For each type of renewable energy within the jurisdiction boundary, report the installed capacity (MW) and annual generation (MWh).",2,Solar thermal,,Not Occurring (NO),,Not Occurring (NO),2023,Not Occurring
2025 Disclosure Cycle,779465,CDP,5871,Essex County Council,City,UKWW,United Kingdom,Public,Q4.1.3,"For each type of renewable energy within the jurisdiction boundary, report the installed capacity (MW) and annual generation (MWh).",3,Hydropower,,Not Occurring (NO),,Not Occurring (NO),2023,Not Occurring
2025 Disclosure Cycle,779465,CDP,5871,Essex County Council,City,UKWW,United Kingdom,Public,Q4.1.3,"For each type of renewable energy within the jurisdiction boundary, report the installed capacity (MW) and annual generation (MWh).",4,Wind,257.43,,797148,,2023,From Department of Energy Security and Net Zero
2025 Disclosure Cycle,779465,CDP,5871,Essex County Council,City,UKWW,United Kingdom,Public,Q4.1.3,"For each type of renewable energy within the jurisdiction boundary, report the installed capacity (MW) and annual generation (MWh).",5,Bioenergy (Biomass and Biofuels),10.99,,,Not Occurring (NO),2023,From Department of Energy Security and Net Zero
2025 Disclosure Cycle,779465,CDP,5871,Essex County Council,City,UKWW,United Kingdom,Public,Q4.1.3,"For each type of renewable energy within the jurisdiction boundary, report the installed capacity (MW) and annual generation (MWh).",6,Geothermal,,Not Occurring (NO),,Not Occurring (NO),2023,Not Occurring
2025 Disclosure Cycle,779465,CDP,5871,Essex County Council,City,UKWW,United Kingdom,Public,Q4.1.3,"For each type of renewable energy within the jurisdiction boundary, report the installed capacity (MW) and annual generation (MWh).",7,Other,38.28,,60156.09,,2023,From Department of Energy Security and Net Zero
2025 Disclosure Cycle,779465,CDP,10894,"City of Los Angeles, CA",City,North America,United States of America,Public,Q4.1.3,"For each type of renewable energy within the jurisdiction boundary, report the installed capacity (MW) and annual generation (MWh).",1,Solar PV,1622.0,,3630000.0,,2020,Sourced for Los Angeles Department of Water and Power
2025 Disclosure Cycle,779465,CDP,10894,"City of Los Angeles, CA",City,North America,United States of America,Public,Q4.1.3,"For each type of renewable energy within the jurisdiction boundary, report the installed capacity (MW) and annual generation (MWh).",2,Solar thermal,0.0,Not Occurring (NO),0.0,Not Occurring (NO),,Sourced for Los Angeles Department of Water and Power
2025 Disclosure Cycle,779465,CDP,10894,"City of Los Angeles, CA",City,North America,United States of America,Public,Q4.1.3,"For each type of renewable energy within the jurisdiction boundary, report the installed capacity (MW) and annual generation (MWh).",3,Hydropower,122.0,,732656.0,,2020,Sourced for Los Angeles Department of Water and Power
2025 Disclosure Cycle,779465,CDP,10894,"City of Los Angeles, CA",City,North America,United States of America,Public,Q4.1.3,"For each type of renewable energy within the jurisdiction boundary, report the installed capacity (MW) and annual generation (MWh).",4,Wind,924.4,,2187.8,,2020,Sourced for Los Angeles Department of Water and Power
2025 Disclosure Cycle,779465,CDP,10894,"City of Los Angeles, CA",City,North America,United States of America,Public,Q4.1.3,"For each type of renewable energy within the jurisdiction boundary, report the installed capacity (MW) and annual generation (MWh).",5,Bioenergy (Biomass and Biofuels),14.3,,29.6,,2020,Sourced for Los Angeles Department of Water and Power
2025 Disclosure Cycle,779465,CDP,10894,"City of Los Angeles, CA",City,North America,United States of America,Public,Q4.1.3,"For each type of renewable energy within the jurisdiction boundary, report the installed capacity (MW) and annual generation (MWh).",6,Geothermal,281.0,,2195.9,,2020,Sourced for Los Angeles Department of Water and Power
2025 Disclosure Cycle,779465,CDP,10894,"City of Los Angeles, CA",City,North America,United States of America,Public,Q4.1.3,"For each type of renewable energy within the jurisdiction boundary, report the installed capacity (MW) and annual generation (MWh).",7,Other,0.0,,0.0,,,
2025 Disclosure Cycle,779465,CDP,11315,City of Manchester,City,UKWW,United Kingdom,Public,Q4.1.3,"For each type of renewable energy within the jurisdiction boundary, report the installed capacity (MW) and annual generation (MWh).",1,Solar PV,32.2,,27248,,2023,Data from https://www.gov.uk/government/statistics/regional-renewable-statistics\n
2025 Disclosure Cycle,779465,CDP,11315,City of Manchester,City,UKWW,United Kingdom,Public,Q4.1.3,"For each type of renewable energy within the jurisdiction boundary, report the installed capacity (MW) and annual generation (MWh).",2,Solar thermal,0,Not Estimated (NE),0,Not Estimated (NE),2023,Data from https://www.gov.uk/government/statistics/regional-renewable-statistics
2025 Disclosure Cycle,779465,CDP,11315,City of Manchester,City,UKWW,United Kingdom,Public,Q4.1.3,"For each type of renewable energy within the jurisdiction boundary, report the installed capacity (MW) and annual generation (MWh).",3,Hydropower,0,Not Estimated (NE),0,Not Estimated (NE),2023,Data from https://www.gov.uk/government/statistics/regional-renewable-statistics
2025 Disclosure Cycle,779465,CDP,11315,City of Manchester,City,UKWW,United Kingdom,Public,Q4.1.3,"For each type of renewable energy within the jurisdiction boundary, report the installed capacity (MW) and annual generation (MWh).",4,Wind,,Not Estimated (NE),0,Not Estimated (NE),2023,Data from https://www.gov.uk/government/statistics/regional-renewable-statistics
2025 Disclosure Cycle,779465,CDP,11315,City of Manchester,City,UKWW,United Kingdom,Public,Q4.1.3,"For each type of renewable energy within the jurisdiction boundary, report the installed capacity (MW) and annual generation (MWh).",5,Bioenergy (Biomass and Biofuels),10.7,,55955,,2023,Data from https://www.gov.uk/government/statistics/regional-renewable-statistics
2025 Disclosure Cycle,779465,CDP,11315,City of Manchester,City,UKWW,United Kingdom,Public,Q4.1.3,"For each type of renewable energy within the jurisdiction boundary, report the installed capacity (MW) and annual generation (MWh).",6,Geothermal,0,Not Estimated (NE),0,Not Estimated (NE),2023,Data from https://www.gov.uk/government/statistics/regional-renewable-statistics
2025 Disclosure Cycle,779465,CDP,11315,City of Manchester,City,UKWW,United Kingdom,Public,Q4.1.3,"For each type of renewable energy within the jurisdiction boundary, report the installed capacity (MW) and annual generation (MWh).",7,Other,0,Not Occurring (NO),0,Not Occurring (NO),2023,Data from https://www.gov.uk/government/statistics/regional-renewable-statistics
2025 Disclosure Cycle,779465,CDP,13067,"City of New Orleans, LA",City,North America,United States of America,Public,Q4.1.3,"For each type of renewable energy within the jurisdiction boundary, report the installed capacity (MW) and annual generation (MWh).",1,Solar PV,85,,129176,,2023,"This represents 27MW from the local utility and approximately 58MW from private rooftop solar in the City. Estimates provided by Entergy, see \'2023 Net Metering Data\' and \'2023 Utility Solar Data\' tabs in ENO GHG inventory spreadsheet previously attached."
2025 Disclosure Cycle,779465,CDP,13067,"City of New Orleans, LA",City,North America,United States of America,Public,Q4.1.3,"For each type of renewable energy within the jurisdiction boundary, report the installed capacity (MW) and annual generation (MWh).",2,Solar thermal,0.0,Not Occurring (NO),0.0,Not Occurring (NO),,
2025 Disclosure Cycle,779465,CDP,13067,"City of New Orleans, LA",City,North America,United States of America,Public,Q4.1.3,"For each type of renewable energy within the jurisdiction boundary, report the installed capacity (MW) and annual generation (MWh).",3,Hydropower,0.0,Not Occurring (NO),0.0,Not Occurring (NO),,
2025 Disclosure Cycle,779465,CDP,13067,"City of New Orleans, LA",City,North America,United States of America,Public,Q4.1.3,"For each type of renewable energy within the jurisdiction boundary, report the installed capacity (MW) and annual generation (MWh).",4,Wind,0.0,Not Occurring (NO),0.0,Not Occurring (NO),,
2025 Disclosure Cycle,779465,CDP,13067,"City of New Orleans, LA",City,North America,United States of America,Public,Q4.1.3,"For each type of renewable energy within the jurisdiction boundary, report the installed capacity (MW) and annual generation (MWh).",5,Bioenergy (Biomass and Biofuels),0.0,Not Occurring (NO),0.0,Not Occurring (NO),,
2025 Disclosure Cycle,779465,CDP,13067,"City of New Orleans, LA",City,North America,United States of America,Public,Q4.1.3,"For each type of renewable energy within the jurisdiction boundary, report the installed capacity (MW) and annual generation (MWh).",6,Geothermal,0.0,Not Occurring (NO),0.0,Not Occurring (NO),,
2025 Disclosure Cycle,779465,CDP,13067,"City of New Orleans, LA",City,North America,United States of America,Public,Q4.1.3,"For each type of renewable energy within the jurisdiction boundary, report the installed capacity (MW) and annual generation (MWh).",7,Other,0.0,Not Occurring (NO),0.0,Not Occurring (NO),,
2025 Disclosure Cycle,779465,CDP,13113,Newcastle City Council,City,UKWW,United Kingdom,Public,Q4.1.3,"For each type of renewable energy within the jurisdiction boundary, report the installed capacity (MW) and annual generation (MWh).",1,Solar PV,16.38,Confidential (C),13827,Confidential (C),2023,https://www.gov.uk/government/statistics/regional-renewable-statistics using Installed Capacity & Generation\n
2025 Disclosure Cycle,779465,CDP,13113,Newcastle City Council,City,UKWW,United Kingdom,Public,Q4.1.3,"For each type of renewable energy within the jurisdiction boundary, report the installed capacity (MW) and annual generation (MWh).",2,Solar thermal,0.01,Confidential (C),1,Confidential (C),2022,Based on Renewable Heat Incentive (RHI) monthly deployment data to end of 2019. Please see 4.1 appendix document (in this section - 04 Assessment - Sectoral Data) and comment in section 4.1 above. Data on annual generation is not currently available.
2025 Disclosure Cycle,779465,CDP,13113,Newcastle City Council,City,UKWW,United Kingdom,Public,Q4.1.3,"For each type of renewable energy within the jurisdiction boundary, report the installed capacity (MW) and annual generation (MWh).",3,Hydropower,0.0,Not Occurring (NO),0,Not Estimated (NE),2023,https://www.gov.uk/government/statistics/regional-renewable-statistics using Installed Capacity & Generation
2025 Disclosure Cycle,779465,CDP,13113,Newcastle City Council,City,UKWW,United Kingdom,Public,Q4.1.3,"For each type of renewable energy within the jurisdiction boundary, report the installed capacity (MW) and annual generation (MWh).",4,Wind,0.0,Not Occurring (NO),0,Not Estimated (NE),2023,https://www.gov.uk/government/statistics/regional-renewable-statistics using Installed Capacity & Generation\n
2025 Disclosure Cycle,779465,CDP,13113,Newcastle City Council,City,UKWW,United Kingdom,Public,Q4.1.3,"For each type of renewable energy within the jurisdiction boundary, report the installed capacity (MW) and annual generation (MWh).",5,Bioenergy (Biomass and Biofuels),2.69,Confidential (C),0,Not Estimated (NE),2022,Based on Renewable Heat Incentive (RHI) monthly deployment data to end of 2019. Please see 4.1 appendix document (in this section - 04 Assessment - Sectoral Data) and comment in section 4.1 above. Data on annual generation is not currently available.
2025 Disclosure Cycle,779465,CDP,13113,Newcastle City Council,City,UKWW,United Kingdom,Public,Q4.1.3,"For each type of renewable energy within the jurisdiction boundary, report the installed capacity (MW) and annual generation (MWh).",6,Geothermal,0.22,Confidential (C),1,Not Estimated (NE),2022,Based on Renewable Heat Incentive (RHI) monthly deployment data to end of 2019. Please see 4.1 appendix document (in this section - 04 Assessment - Sectoral Data) and comment in section 4.1 above. Data on annual generation is not currently available.
2025 Disclosure Cycle,779465,CDP,13113,Newcastle City Council,City,UKWW,United Kingdom,Public,Q4.1.3,"For each type of renewable energy within the jurisdiction boundary, report the installed capacity (MW) and annual generation (MWh).",7,Other,0.31,Confidential (C),1,Not Estimated (NE),2023,https://www.gov.uk/government/statistics/regional-renewable-statistics using Installed Capacity & Generation\n
2025 Disclosure Cycle,779465,CDP,13506,Nottingham City Council,City,UKWW,United Kingdom,Public,Q4.1.3,"For each type of renewable energy within the jurisdiction boundary, report the installed capacity (MW) and annual generation (MWh).",1,Solar PV,31.5,,26596,,2023,"The UK Government's Regional Renewable Statistics portal provides detailed data on renewable generation across the UK, broken down by region and local authority.\nAs of the end of 2023, the dataset includes figures for Installed Renewable Capacity (MW) at the Local Authority level, offering insights into the scale and distribution of renewable energy infrastructure across areas like Nottingham.\n"
2025 Disclosure Cycle,779465,CDP,13506,Nottingham City Council,City,UKWW,United Kingdom,Public,Q4.1.3,"For each type of renewable energy within the jurisdiction boundary, report the installed capacity (MW) and annual generation (MWh).",2,Solar thermal,3.03,,,Not Estimated (NE),2023,Data includes only non-domestic RHI installations up to March 2023. Annual generation is not known for the installed capacity.
2025 Disclosure Cycle,779465,CDP,13506,Nottingham City Council,City,UKWW,United Kingdom,Public,Q4.1.3,"For each type of renewable energy within the jurisdiction boundary, report the installed capacity (MW) and annual generation (MWh).",3,Hydropower,1.4,,,Confidential (C),2023,Annual generation data for hydro has been suppressed to prevent the output of individual plants being revealed.
2025 Disclosure Cycle,779465,CDP,13506,Nottingham City Council,City,UKWW,United Kingdom,Public,Q4.1.3,"For each type of renewable energy within the jurisdiction boundary, report the installed capacity (MW) and annual generation (MWh).",4,Wind,0.01,,,Confidential (C),2023,Annual generation data for onshore wind has been suppressed to prevent the output of individual plants being revealed.
2025 Disclosure Cycle,779465,CDP,13506,Nottingham City Council,City,UKWW,United Kingdom,Public,Q4.1.3,"For each type of renewable energy within the jurisdiction boundary, report the installed capacity (MW) and annual generation (MWh).",5,Bioenergy (Biomass and Biofuels),0.54,,2569,,2023,Plant Biomass
2025 Disclosure Cycle,779465,CDP,13506,Nottingham City Council,City,UKWW,United Kingdom,Public,Q4.1.3,"For each type of renewable energy within the jurisdiction boundary, report the installed capacity (MW) and annual generation (MWh).",6,Geothermal,,Not Estimated (NE),,Not Estimated (NE),,Not Estimated
2025 Disclosure Cycle,779465,CDP,13506,Nottingham City Council,City,UKWW,United Kingdom,Public,Q4.1.3,"For each type of renewable energy within the jurisdiction boundary, report the installed capacity (MW) and annual generation (MWh).",7,Other,11,,,Confidential (C),2023,Municipal solid waste. Annual generation data for municipal solid waste has been suppressed to prevent the output of individual plants being revealed.
2025 Disclosure Cycle,779465,CDP,15515,Reading Borough Council,City,UKWW,United Kingdom,Public,Q4.1.3,"For each type of renewable energy within the jurisdiction boundary, report the installed capacity (MW) and annual generation (MWh).",1,Solar PV,10.5,,8868,,2023,
2025 Disclosure Cycle,779465,CDP,15515,Reading Borough Council,City,UKWW,United Kingdom,Public,Q4.1.3,"For each type of renewable energy within the jurisdiction boundary, report the installed capacity (MW) and annual generation (MWh).",2,Solar thermal,,Not Occurring (NO),,,,
2025 Disclosure Cycle,779465,CDP,15515,Reading Borough Council,City,UKWW,United Kingdom,Public,Q4.1.3,"For each type of renewable energy within the jurisdiction boundary, report the installed capacity (MW) and annual generation (MWh).",3,Hydropower,0.05,Confidential (C),320,,,Reading has a community hydro station has been generating since 2021. Figures are provided from the ReadingHydro website. (note cannot undo tab showing 'confidential' in second column) 
2025 Disclosure Cycle,779465,CDP,15515,Reading Borough Council,City,UKWW,United Kingdom,Public,Q4.1.3,"For each type of renewable energy within the jurisdiction boundary, report the installed capacity (MW) and annual generation (MWh).",7,Other,9.7,,,,2023,"Combined landfill gas and sewerage gas (3.4 and 6.4 MW resp) Since 2019 whilst there has been some generation from these sources, data in the national data set has been suppressed to prevent the output of individual plants being revealed\n"
2025 Disclosure Cycle,779465,CDP,31009,Copenhagen Municipality,City,Europe,Denmark,Public,Q4.1.3,"For each type of renewable energy within the jurisdiction boundary, report the installed capacity (MW) and annual generation (MWh).",1,Solar PV,28,Confidential (C),14404,Confidential (C),2023,"Source: Energidataservice. Notation key required despite data being available, therefore marked confidential. Data is NOT confidential"
2025 Disclosure Cycle,779465,CDP,31009,Copenhagen Municipality,City,Europe,Denmark,Public,Q4.1.3,"For each type of renewable energy within the jurisdiction boundary, report the installed capacity (MW) and annual generation (MWh).",2,Solar thermal,0,Not Occurring (NO),0,Not Occurring (NO),2023,n/a
2025 Disclosure Cycle,779465,CDP,31009,Copenhagen Municipality,City,Europe,Denmark,Public,Q4.1.3,"For each type of renewable energy within the jurisdiction boundary, report the installed capacity (MW) and annual generation (MWh).",3,Hydropower,0.0,Not Occurring (NO),0.0,Not Occurring (NO),2023,n/a
2025 Disclosure Cycle,779465,CDP,31009,Copenhagen Municipality,City,Europe,Denmark,Public,Q4.1.3,"For each type of renewable energy within the jurisdiction boundary, report the installed capacity (MW) and annual generation (MWh).",4,Wind,50.65,Confidential (C),97864,Confidential (C),2023,"10.65 MW onshore plus 40 MW near-shore Source: Energidataservice. Notation key required despite data being available, therefore marked confidential. Data is NOT confidential"
