disclosure_cycle,cdp_requesting_org_number,requesting_organization,cdp_disclosing_org_number,disclosing_organization,disclosing_org_type,cdp_region,discloser_country_or_area,public_status,question_number,question_text,row_order,row_name,col1_Data availability,col2_Response (in unit specified),col3_Year data applies to,col4_Comment
2025 Disclosure Cycle,779465,CDP,1093,"City of Atlanta, GA",City,North America,United States of America,Public,Q4.7,Report the following waste-related data for your jurisdiction.,1,Total amount of solid waste generated (tonnes/year),Reporting jurisdiction-level data,107421.37,2023,Data collected from CoA Department of Public Works.
2025 Disclosure Cycle,779465,CDP,1093,"City of Atlanta, GA",City,North America,United States of America,Public,Q4.7,Report the following waste-related data for your jurisdiction.,2,Percentage of the total solid waste generated that is utilized for waste to energy (%),Reporting jurisdiction-level data,3,2023,Data collected from Department of Public Works.
2025 Disclosure Cycle,779465,CDP,1093,"City of Atlanta, GA",City,North America,United States of America,Public,Q4.7,Report the following waste-related data for your jurisdiction.,3,Percentage of the total solid waste generated that is diverted away from landfill and incineration (%),Reporting jurisdiction-level data,19.69,2023,Data collected from CoA Department of Public Works.
2025 Disclosure Cycle,779465,CDP,1093,"City of Atlanta, GA",City,North America,United States of America,Public,Q4.7,Report the following waste-related data for your jurisdiction.,4,Percentage of the diverted solid waste generated that is recycled (%),Reporting jurisdiction-level data,13.74,2023, Data collected from CoA Department of Public Works.
2025 Disclosure Cycle,779465,CDP,1093,"City of Atlanta, GA",City,North America,United States of America,Public,Q4.7,Report the following waste-related data for your jurisdiction.,5,Percentage of the diverted solid waste generated that is reused (%),Reporting jurisdiction-level data,5.95,2023,Data collected from CoA Department of Public Works.
2025 Disclosure Cycle,779465,CDP,1093,"City of Atlanta, GA",City,North America,United States of America,Public,Q4.7,Report the following waste-related data for your jurisdiction.,6,Percentage of waste collected where separation at source is taking place (%),Reporting jurisdiction-level data,13.74,2023,Data collected from CoA Department of Public Works.
2025 Disclosure Cycle,779465,CDP,1093,"City of Atlanta, GA",City,North America,United States of America,Public,Q4.7,Report the following waste-related data for your jurisdiction.,7,Total annual amount of food waste produced in the jurisdiction (tonnes/year),Reporting jurisdiction-level data,125000.0,2023,"From NRDC Food Matters Report Draft 2021 https://www.aglanta.org/food-mattersReported. Annually 125,000 tons of food waste per year. In GA, food residuals make up 12% (800,000 tons) of waste sent to landfills. https://shapiroe.com/blog/food-waste-by-state/"
2025 Disclosure Cycle,779465,CDP,1093,"City of Atlanta, GA",City,North America,United States of America,Public,Q4.7,Report the following waste-related data for your jurisdiction.,8,Volume of wastewater produced within the jurisdiction boundary (megalitres/year),Reporting jurisdiction-level data,24367004.54,2023,"\'The City of Atlanta operates four water reclamation centers (WRCs). The UtoyCreek, RM Clayton, and South River WRCs service the entirety of Atlanta's population. Because the City operates under a combined sanitary sewer system (CSS), the plants treat both wastewater and stormwater, which requires additional infrastructure in the form of overflow storage tanks and increased treatment capacity. 132.8 million gallons are treated each day in the three facilities. \' RM Clayton plant uses digester gas to generate electricity. This process of cogeneration takes advantage of the waste gas generated during wastewater treatment. Instead of releasing methane directly into the atmosphere, the greenhouse gas is diverted to electricity generation. Cogeneration reduces the demand for traditional, grid-supplied electricity and reduces the amount of greenhouse gases that escape during the treatment process (Hazen and Sawyer, 2012). \'https://www.atlantawatershed.org/annualreport2019/"
2025 Disclosure Cycle,779465,CDP,1093,"City of Atlanta, GA",City,North America,United States of America,Public,Q4.7,Report the following waste-related data for your jurisdiction.,9,Percentage of wastewater safely treated to at least secondary level (%),Reporting jurisdiction-level data,100.0,2023,"\'At each of the plants, wastewater is treated through bar screens, gritremoval, primary and secondary clarification, filtration, disinfection, and aerationprocesses. All three WRCs discharge water to the Chattahoochee River after treatment\'https://www.atlantawatershed.org/wp-content/uploads/2019/10/CEIP-SystemOverview_final.pdf"
2025 Disclosure Cycle,779465,CDP,1184,"City of Austin, TX",City,North America,United States of America,Public,Q4.7,Report the following waste-related data for your jurisdiction.,1,Total amount of solid waste generated (tonnes/year),Reporting jurisdiction-level data,1228467,2023,Texas Commission on Environmental Quality Municipal Solid Waste Annual Report 2023
2025 Disclosure Cycle,779465,CDP,1184,"City of Austin, TX",City,North America,United States of America,Public,Q4.7,Report the following waste-related data for your jurisdiction.,2,Percentage of the total solid waste generated that is utilized for waste to energy (%),Reporting jurisdiction-level data,0,2023,Austin Resource Recovery
2025 Disclosure Cycle,779465,CDP,1184,"City of Austin, TX",City,North America,United States of America,Public,Q4.7,Report the following waste-related data for your jurisdiction.,3,Percentage of the total solid waste generated that is diverted away from landfill and incineration (%),Reporting jurisdiction-level data,38,2023,Austin Resource Recovery
2025 Disclosure Cycle,779465,CDP,1184,"City of Austin, TX",City,North America,United States of America,Public,Q4.7,Report the following waste-related data for your jurisdiction.,4,Percentage of the diverted solid waste generated that is recycled (%),Reporting jurisdiction-level data,0,2024,No data available
2025 Disclosure Cycle,779465,CDP,1184,"City of Austin, TX",City,North America,United States of America,Public,Q4.7,Report the following waste-related data for your jurisdiction.,5,Percentage of the diverted solid waste generated that is reused (%),Reporting jurisdiction-level data,0,2024,No data available
2025 Disclosure Cycle,779465,CDP,1184,"City of Austin, TX",City,North America,United States of America,Public,Q4.7,Report the following waste-related data for your jurisdiction.,6,Percentage of waste collected where separation at source is taking place (%),Reporting jurisdiction-level data,0,2024,No data available.
2025 Disclosure Cycle,779465,CDP,1184,"City of Austin, TX",City,North America,United States of America,Public,Q4.7,Report the following waste-related data for your jurisdiction.,7,Total annual amount of food waste produced in the jurisdiction (tonnes/year),Reporting jurisdiction-level data,117353,2024,Austin State of the Food System Report and NRDC Baseline Study
2025 Disclosure Cycle,779465,CDP,1184,"City of Austin, TX",City,North America,United States of America,Public,Q4.7,Report the following waste-related data for your jurisdiction.,8,Volume of wastewater produced within the jurisdiction boundary (megalitres/year),Reporting jurisdiction-level data,142346,2023,Estimated from Austin Water Utility report
2025 Disclosure Cycle,779465,CDP,1184,"City of Austin, TX",City,North America,United States of America,Public,Q4.7,Report the following waste-related data for your jurisdiction.,9,Percentage of wastewater safely treated to at least secondary level (%),Reporting jurisdiction-level data,100.0,2023,Estimated from Austin Water Utility report submitted to the Texas Commission on Environmental Quality (TCEQ)
2025 Disclosure Cycle,779465,CDP,1499,City of Barcelona,City,Europe,Spain,Public,Q4.7,Report the following waste-related data for your jurisdiction.,1,Total amount of solid waste generated (tonnes/year),Reporting jurisdiction-level data,747043.35,2024,-
2025 Disclosure Cycle,779465,CDP,1499,City of Barcelona,City,Europe,Spain,Public,Q4.7,Report the following waste-related data for your jurisdiction.,2,Percentage of the total solid waste generated that is utilized for waste to energy (%),Reporting jurisdiction-level data,1.4,2024,-
2025 Disclosure Cycle,779465,CDP,1499,City of Barcelona,City,Europe,Spain,Public,Q4.7,Report the following waste-related data for your jurisdiction.,3,Percentage of the total solid waste generated that is diverted away from landfill and incineration (%),Reporting jurisdiction-level data,6.5,2024,-
2025 Disclosure Cycle,779465,CDP,1499,City of Barcelona,City,Europe,Spain,Public,Q4.7,Report the following waste-related data for your jurisdiction.,4,Percentage of the diverted solid waste generated that is recycled (%),Reporting jurisdiction-level data,41.65,2024,-
2025 Disclosure Cycle,779465,CDP,1499,City of Barcelona,City,Europe,Spain,Public,Q4.7,Report the following waste-related data for your jurisdiction.,5,Percentage of the diverted solid waste generated that is reused (%),Reporting jurisdiction-level data,0.32,2024,-
2025 Disclosure Cycle,779465,CDP,1499,City of Barcelona,City,Europe,Spain,Public,Q4.7,Report the following waste-related data for your jurisdiction.,6,Percentage of waste collected where separation at source is taking place (%),Reporting jurisdiction-level data,41.65,2024,-
2025 Disclosure Cycle,779465,CDP,1499,City of Barcelona,City,Europe,Spain,Public,Q4.7,Report the following waste-related data for your jurisdiction.,7,Total annual amount of food waste produced in the jurisdiction (tonnes/year),Reporting jurisdiction-level data,5315.84,2021,-
2025 Disclosure Cycle,779465,CDP,1499,City of Barcelona,City,Europe,Spain,Public,Q4.7,Report the following waste-related data for your jurisdiction.,8,Volume of wastewater produced within the jurisdiction boundary (megalitres/year),Reporting jurisdiction-level data,107300,2024,-
2025 Disclosure Cycle,779465,CDP,1499,City of Barcelona,City,Europe,Spain,Public,Q4.7,Report the following waste-related data for your jurisdiction.,9,Percentage of wastewater safely treated to at least secondary level (%),Reporting jurisdiction-level data,100.0,2024,-
2025 Disclosure Cycle,779465,CDP,1850,Birmingham City Council,City,UKWW,United Kingdom,Public,Q4.7,Report the following waste-related data for your jurisdiction.,1,Total amount of solid waste generated (tonnes/year),Reporting national data scaled to jurisdiction-level,438.543,2024,
2025 Disclosure Cycle,779465,CDP,1850,Birmingham City Council,City,UKWW,United Kingdom,Public,Q4.7,Report the following waste-related data for your jurisdiction.,2,Percentage of the total solid waste generated that is utilized for waste to energy (%),Reporting jurisdiction-level data,59,2024,"Most of the residual waste managed by BCC was sent for incineration with energy recovery at either the Tyseley Energy Recovery Facility (ERF) or alternate ERFs, with some waste materials sent to facilities that produce Refuse Derived Fuel (RDF) that is subsequently used to create energy."
2025 Disclosure Cycle,779465,CDP,1850,Birmingham City Council,City,UKWW,United Kingdom,Public,Q4.7,Report the following waste-related data for your jurisdiction.,3,Percentage of the total solid waste generated that is diverted away from landfill and incineration (%),Reporting jurisdiction-level data,39,2024,Amount of waste material diverted away from landfill and incineration compared to Local Authority Collected Waste. \nThis tonnage includes materials that are subsequently rejected during the recycling process but excludes any post incineration recycling. Amount of diverted waste material sent for recycling and reuse and were recycled or reused:\n
2025 Disclosure Cycle,779465,CDP,1850,Birmingham City Council,City,UKWW,United Kingdom,Public,Q4.7,Report the following waste-related data for your jurisdiction.,4,Percentage of the diverted solid waste generated that is recycled (%),Reporting jurisdiction-level data,4.6,2024,This tonnage is an estimate of the recycling rejection rate.
2025 Disclosure Cycle,779465,CDP,1850,Birmingham City Council,City,UKWW,United Kingdom,Public,Q4.7,Report the following waste-related data for your jurisdiction.,5,Percentage of the diverted solid waste generated that is reused (%),Reporting jurisdiction-level data,4.6,2024,This tonnage is an estimate
2025 Disclosure Cycle,779465,CDP,1850,Birmingham City Council,City,UKWW,United Kingdom,Public,Q4.7,Report the following waste-related data for your jurisdiction.,6,Percentage of waste collected where separation at source is taking place (%),Reporting jurisdiction-level data,16.3,2024,"This shows tonnages separated at source collected directly from households (Paper), Street Cleansing (Wet road sweepings) and recycling at BCC Recycling Centres but excludes dry mixed recyclables.\n\n"
2025 Disclosure Cycle,779465,CDP,1850,Birmingham City Council,City,UKWW,United Kingdom,Public,Q4.7,Report the following waste-related data for your jurisdiction.,7,Total annual amount of food waste produced in the jurisdiction (tonnes/year),Reporting jurisdiction-level data,0,2024,"Sorry, we do not have actual tonnage for food waste."
2025 Disclosure Cycle,779465,CDP,1850,Birmingham City Council,City,UKWW,United Kingdom,Public,Q4.7,Report the following waste-related data for your jurisdiction.,8,Volume of wastewater produced within the jurisdiction boundary (megalitres/year),This data is not available to report,,,"Response from Severn Trent: The City of Birmingham Council area is served by several Wastewater Treatment Works as our sewerage networks follow ground contours rather than arbitrary local authority boundaries. This makes it extremely difficult to calculate the volume of wastewater as, whilst we will have MCERT monitors at each of the WwTW serving Birmingham Council, they also serve neighbouring council areas. Calculating this would have an associated cost and as such it was not feasible to calculate. "
2025 Disclosure Cycle,779465,CDP,1850,Birmingham City Council,City,UKWW,United Kingdom,Public,Q4.7,Report the following waste-related data for your jurisdiction.,9,Percentage of wastewater safely treated to at least secondary level (%),Reporting state/regional data scaled to jurisdiction-level,100.0,2024,"Response from Severn Trent: The City of Birmingham Council area is served by several Wastewater Treatment Works as our sewerage networks follow ground contours rather than arbitrary local authority boundaries. This makes it extremely difficult to calculate the volume of wastewater as, whilst we will have MCERT monitors at each of the WwTW serving Birmingham Council, they also serve neighbouring council areas. Calculating this would have an associated cost and as such it was not feasible to calculate. "
2025 Disclosure Cycle,779465,CDP,2621,Cambridgeshire County Council,City,UKWW,United Kingdom,Public,Q4.7,Report the following waste-related data for your jurisdiction.,1,Total amount of solid waste generated (tonnes/year),Reporting jurisdiction-level data,288785,2024,Household waste only. For financial year 2024-25. Commercial waste unknown.
2025 Disclosure Cycle,779465,CDP,2621,Cambridgeshire County Council,City,UKWW,United Kingdom,Public,Q4.7,Report the following waste-related data for your jurisdiction.,2,Percentage of the total solid waste generated that is utilized for waste to energy (%),Reporting jurisdiction-level data,6.4,2024,Household waste only. For financial year 2024-25. Commercial waste unknown.
2025 Disclosure Cycle,779465,CDP,2621,Cambridgeshire County Council,City,UKWW,United Kingdom,Public,Q4.7,Report the following waste-related data for your jurisdiction.,3,Percentage of the total solid waste generated that is diverted away from landfill and incineration (%),Reporting jurisdiction-level data,47,2024,Household waste only. For financial year 2024-25. Commercial waste unknown.
2025 Disclosure Cycle,779465,CDP,2621,Cambridgeshire County Council,City,UKWW,United Kingdom,Public,Q4.7,Report the following waste-related data for your jurisdiction.,4,Percentage of the diverted solid waste generated that is recycled (%),Reporting jurisdiction-level data,22.2,2024,Household waste only. For financial year 2024-25. Commercial waste unknown.
2025 Disclosure Cycle,779465,CDP,2621,Cambridgeshire County Council,City,UKWW,United Kingdom,Public,Q4.7,Report the following waste-related data for your jurisdiction.,5,Percentage of the diverted solid waste generated that is reused (%),This data is not available to report,,,n/a
2025 Disclosure Cycle,779465,CDP,2621,Cambridgeshire County Council,City,UKWW,United Kingdom,Public,Q4.7,Report the following waste-related data for your jurisdiction.,6,Percentage of waste collected where separation at source is taking place (%),Reporting jurisdiction-level data,100.0,2024,Household waste only. For financial year 2024-25. Commercial waste unknown. All waste is separated at source.
2025 Disclosure Cycle,779465,CDP,2621,Cambridgeshire County Council,City,UKWW,United Kingdom,Public,Q4.7,Report the following waste-related data for your jurisdiction.,7,Total annual amount of food waste produced in the jurisdiction (tonnes/year),Reporting jurisdiction-level data,51673,2024,"Household waste only. For financial year 2024-25. Total food waste is estimated from waste compositional analysis in 2021, applied to total tonnages for black bin and kerbside compostable waste for 2024.25."
2025 Disclosure Cycle,779465,CDP,2621,Cambridgeshire County Council,City,UKWW,United Kingdom,Public,Q4.7,Report the following waste-related data for your jurisdiction.,8,Volume of wastewater produced within the jurisdiction boundary (megalitres/year),Reporting state/regional data scaled to jurisdiction-level,30801,2024,Water supply per capita per day for Anglian Water region for 2023-24 (https://prod-swd.anglianwater.co.uk/siteassets/household/about-us/our-reports/service-commitment-plan-2024.pdf); multiplied by Cambridgeshire's 2024 population; and with a standard wastewater factor (90%) applied to estimate volume of wastewater within Cambridgeshire.
2025 Disclosure Cycle,779465,CDP,2621,Cambridgeshire County Council,City,UKWW,United Kingdom,Public,Q4.7,Report the following waste-related data for your jurisdiction.,9,Percentage of wastewater safely treated to at least secondary level (%),Reporting national data scaled to jurisdiction-level,99.0,2022,Estimated
2025 Disclosure Cycle,779465,CDP,3203,City of Chicago,City,North America,United States of America,Public,Q4.7,Report the following waste-related data for your jurisdiction.,1,Total amount of solid waste generated (tonnes/year),Reporting jurisdiction-level data,3478938.7,2024,
2025 Disclosure Cycle,779465,CDP,3203,City of Chicago,City,North America,United States of America,Public,Q4.7,Report the following waste-related data for your jurisdiction.,2,Percentage of the total solid waste generated that is utilized for waste to energy (%),This data is not available to report,,,
2025 Disclosure Cycle,779465,CDP,3203,City of Chicago,City,North America,United States of America,Public,Q4.7,Report the following waste-related data for your jurisdiction.,3,Percentage of the total solid waste generated that is diverted away from landfill and incineration (%),Reporting state/regional data scaled to jurisdiction-level,37.3,2024,This is the diversion rate reported by the Illinois Environmental Protection Agency and represents statewide diversion rate. It is worth noting that Chicago contains the vast majority of the people in the state and it produces the majority of the waste. 
2025 Disclosure Cycle,779465,CDP,3203,City of Chicago,City,North America,United States of America,Public,Q4.7,Report the following waste-related data for your jurisdiction.,4,Percentage of the diverted solid waste generated that is recycled (%),Reporting jurisdiction-level data,9.0,2024,This data is derived from Chicago's Department of Streets and Sanitation. Please note that this represents residential recycling rates. Construction and demolition recycling rates are fall around 50%.
2025 Disclosure Cycle,779465,CDP,3203,City of Chicago,City,North America,United States of America,Public,Q4.7,Report the following waste-related data for your jurisdiction.,5,Percentage of the diverted solid waste generated that is reused (%),This data is not available to report,,,
2025 Disclosure Cycle,779465,CDP,3203,City of Chicago,City,North America,United States of America,Public,Q4.7,Report the following waste-related data for your jurisdiction.,6,Percentage of waste collected where separation at source is taking place (%),This data is not available to report,,,
2025 Disclosure Cycle,779465,CDP,3203,City of Chicago,City,North America,United States of America,Public,Q4.7,Report the following waste-related data for your jurisdiction.,7,Total annual amount of food waste produced in the jurisdiction (tonnes/year),Reporting jurisdiction-level data,43069.01,2024,
2025 Disclosure Cycle,779465,CDP,3203,City of Chicago,City,North America,United States of America,Public,Q4.7,Report the following waste-related data for your jurisdiction.,8,Volume of wastewater produced within the jurisdiction boundary (megalitres/year),Reporting jurisdiction-level data,1930000,2024,The Metropolitan Water Reclamation District treats 500 billion gallons of wastewater annually: https://mwrd.org/water-reclamation-plants
2025 Disclosure Cycle,779465,CDP,3417,"New York City, NY",City,North America,United States of America,Public,Q4.7,Report the following waste-related data for your jurisdiction.,1,Total amount of solid waste generated (tonnes/year),Reporting jurisdiction-level data,3271589,2024,"DSNY predicts that this figure is much larger than this, but data collection constraints exist in the data in the commercial and construction & demolition waste industries. This figure represents residential waste including government operations. Curbside and Containerized collection routes serve individual districts; trucks on these routes pass over scales each day which transmit tonnage data into DSNY's centralized computer system. For this reason, monthly statistics, by Community Districts, can be tracked and reported. Additional tonnage managed by DSNY (in commercial, construction & demolition, to name a few areas) is diverted through other mechanisms and transfer facilities but is only available on a voluntary reporting basis. Materials including Textile & Used Materials Donations, E-Waste, Hazardous Waste, other Organics collections, Redeemed Bottle & Can Deposit containers, and other take-back and diversion programs are included on the annual report from DSNY only and contribute to an overall annual diversion percentage of DSNY-managed waste that is different from the real total."
2025 Disclosure Cycle,779465,CDP,3417,"New York City, NY",City,North America,United States of America,Public,Q4.7,Report the following waste-related data for your jurisdiction.,2,Percentage of the total solid waste generated that is utilized for waste to energy (%),Reporting jurisdiction-level data,1.07,2024,Organics anaerobically digested at DEP Newtown Creek facility as a percent of total city-collected refuse in 2024. Source: DSNY CY24 Organics Refuse Tonnages.\n
2025 Disclosure Cycle,779465,CDP,3417,"New York City, NY",City,North America,United States of America,Public,Q4.7,Report the following waste-related data for your jurisdiction.,3,Percentage of the total solid waste generated that is diverted away from landfill and incineration (%),Reporting jurisdiction-level data,20.2,2023,https://www.nyc.gov/assets/dsny/downloads/resources/reports/waste-characterization-studies/2023/wcs-2023.pdf\n\nThere was no waste characterization study done for 2024 - the report is typically updated every 5 years. The next report should be released in 2028.\n
2025 Disclosure Cycle,779465,CDP,3417,"New York City, NY",City,North America,United States of America,Public,Q4.7,Report the following waste-related data for your jurisdiction.,4,Percentage of the diverted solid waste generated that is recycled (%),Reporting jurisdiction-level data,80,2023,Contamination makes a full 100% diversion rate challenging. DSNY estimates that there is probably close to a 20% contamination rate based on DSNY's 2023 waste characterization study. https://www.nyc.gov/assets/dsny/downloads/resources/reports/waste-characterization-studies/2023/wcs-2023.pdf\n\nThere was no waste characterization study done for 2024 - the report is typically updated every 5 years. The next report should be released in 2028.
2025 Disclosure Cycle,779465,CDP,3417,"New York City, NY",City,North America,United States of America,Public,Q4.7,Report the following waste-related data for your jurisdiction.,5,Percentage of the diverted solid waste generated that is reused (%),This data is not available to report,,,"NYC does not currently track what material is reused (i.e. what requires no processing). DonateNYC is a program that facilitates reuse. There are also informal exchanges online, through Goodwill and Housingworks. In addition, \'refashionNYC\' program has donation bins in buildings across the city. Because of the decentralized and informal nature of this market, it is a difficult sector to quantify. https://www.nyc.gov/assets/donate/site/NewsEvents/news/details/1168"
2025 Disclosure Cycle,779465,CDP,3417,"New York City, NY",City,North America,United States of America,Public,Q4.7,Report the following waste-related data for your jurisdiction.,6,Percentage of waste collected where separation at source is taking place (%),Reporting jurisdiction-level data,100.0,2024,100% of waste has the potential to be put in recycling bins.
2025 Disclosure Cycle,779465,CDP,3417,"New York City, NY",City,North America,United States of America,Public,Q4.7,Report the following waste-related data for your jurisdiction.,7,Total annual amount of food waste produced in the jurisdiction (tonnes/year),Reporting jurisdiction-level data,92385,2024,Source: DSNY CY24 Organics Refuse Tonnages. Total organics produced. Will overestimate the amount of actual food waste from DSNY collection (since this includes yard organics) but undercounting the amount of food waste produced from commercial sources that are collected by private waste collection vendors.\n
2025 Disclosure Cycle,779465,CDP,3417,"New York City, NY",City,North America,United States of America,Public,Q4.7,Report the following waste-related data for your jurisdiction.,8,Volume of wastewater produced within the jurisdiction boundary (megalitres/year),Other: unit is VMT (volumetric tonnes),2487,2021,CH4 and N2O wastewater treatment data from NYC DEP from one time report.
2025 Disclosure Cycle,779465,CDP,3417,"New York City, NY",City,North America,United States of America,Public,Q4.7,Report the following waste-related data for your jurisdiction.,9,Percentage of wastewater safely treated to at least secondary level (%),Reporting jurisdiction-level data,100.0,2024,from NYC DEP
2025 Disclosure Cycle,779465,CDP,3422,Greater London Authority,City,UKWW,United Kingdom,Public,Q4.7,Report the following waste-related data for your jurisdiction.,1,Total amount of solid waste generated (tonnes/year),Reporting jurisdiction-level data,8035278,2022,"Data from London 2022 GPC inventory - includes tonnes waste going to landfill, biological treatment and incineration"
2025 Disclosure Cycle,779465,CDP,3422,Greater London Authority,City,UKWW,United Kingdom,Public,Q4.7,Report the following waste-related data for your jurisdiction.,2,Percentage of the total solid waste generated that is utilized for waste to energy (%),Reporting jurisdiction-level data,24,2022,Estimated as percentage of total waste incinerated\n
2025 Disclosure Cycle,779465,CDP,3422,Greater London Authority,City,UKWW,United Kingdom,Public,Q4.7,Report the following waste-related data for your jurisdiction.,3,Percentage of the total solid waste generated that is diverted away from landfill and incineration (%),Reporting jurisdiction-level data,45.0,2020,"Due to limitations in available data, this estimate is provided for household and municipal-like C&I solid waste only (i.e. this total excludes the C&D waste tonnage which is included in the 'Amount of solid waste generated' tonnage metric above). "
2025 Disclosure Cycle,779465,CDP,3422,Greater London Authority,City,UKWW,United Kingdom,Public,Q4.7,Report the following waste-related data for your jurisdiction.,4,Percentage of the diverted solid waste generated that is recycled (%),Reporting jurisdiction-level data,42.0,2020,"Due to limitations in available data, this estimate is provided for household and municipal-like C&I solid waste only (i.e. this total excludes the C&D waste tonnage which is included in the 'Amount of solid waste generated' tonnage metric above). "
2025 Disclosure Cycle,779465,CDP,3422,Greater London Authority,City,UKWW,United Kingdom,Public,Q4.7,Report the following waste-related data for your jurisdiction.,5,Percentage of the diverted solid waste generated that is reused (%),Reporting jurisdiction-level data,1.0,2020,"Due to limitations in available data this is an indicative estimate only. Again, this estimate applies specifically to household waste and municipal-like C&I waste."
2025 Disclosure Cycle,779465,CDP,3422,Greater London Authority,City,UKWW,United Kingdom,Public,Q4.7,Report the following waste-related data for your jurisdiction.,6,Percentage of waste collected where separation at source is taking place (%),This data is not available to report,,,"N/A. For household waste, provision of collections allowing separation of recyclable materials at source is a universal requirement. For businesses, availability and use of source separated collections varies widely and is not recorded, though it is likely that the majority of businesses undertake some form of source separation."
2025 Disclosure Cycle,779465,CDP,3422,Greater London Authority,City,UKWW,United Kingdom,Public,Q4.7,Report the following waste-related data for your jurisdiction.,7,Total annual amount of food waste produced in the jurisdiction (tonnes/year),Reporting jurisdiction-level data,1200000.0,2020,"Estimated total food waste generated, including contributions from household waste, and municipal-like C&I waste. Please note that this value is estimate only, being contingent on assumed composition data, which is poorly defined particularly for C&I waste. "
2025 Disclosure Cycle,779465,CDP,3422,Greater London Authority,City,UKWW,United Kingdom,Public,Q4.7,Report the following waste-related data for your jurisdiction.,8,Volume of wastewater produced within the jurisdiction boundary (megalitres/year),Reporting state/regional data scaled to jurisdiction-level,1704674.53,2021,"We cannot quantify the wastewater produced as this is also dependant on rainwater and infiltration. Currently we only measure the inflow at the major works post storm water separation, which excludes any flow that is beyond the consented flow (e.g., large rainfall), and thus is only a proportion on the total wastewater. Therefore this figure is more accurately described as the volume of wastewater receiving treatment at sewage treatment works, which is the closest indicative value of this metric."
2025 Disclosure Cycle,779465,CDP,3422,Greater London Authority,City,UKWW,United Kingdom,Public,Q4.7,Report the following waste-related data for your jurisdiction.,9,Percentage of wastewater safely treated to at least secondary level (%),Reporting jurisdiction-level data,100,2022,Based on Thames Water annual performance report indicator showing 99.48 % treatment works compliance in 2022/23 https://www.thameswater.co.uk/media-library/home/about-us/investors/our-results/2023-reports/annual-performance-report-2022-23.pdf
2025 Disclosure Cycle,779465,CDP,3429,City of Stockholm,City,Europe,Sweden,Public,Q4.7,Report the following waste-related data for your jurisdiction.,1,Total amount of solid waste generated (tonnes/year),"Other: City scale metrics, actual ammounts",349679,2024,-
2025 Disclosure Cycle,779465,CDP,3429,City of Stockholm,City,Europe,Sweden,Public,Q4.7,Report the following waste-related data for your jurisdiction.,2,Percentage of the total solid waste generated that is utilized for waste to energy (%),"Other: City scale metrics, actual ammounts",67,2024,-
2025 Disclosure Cycle,779465,CDP,3429,City of Stockholm,City,Europe,Sweden,Public,Q4.7,Report the following waste-related data for your jurisdiction.,3,Percentage of the total solid waste generated that is diverted away from landfill and incineration (%),"Other: City scale metrics, actual ammounts",32,2024,"If we consider the city's waste to energy system that produces district heating and\nelectricity to the citizens in combination with our \'CO2-filtering\' sorting facility to\nbe a system better than the system here referred to simply as \'incineration\', we\nalready divert 97% of our waste from landfill and incineration. (Former years the\nfigure has been appr 98,5%, but changes in regulations now considers inert material for\ninternal construction work on landfills to count as \'landfilling\'.)"
2025 Disclosure Cycle,779465,CDP,3429,City of Stockholm,City,Europe,Sweden,Public,Q4.7,Report the following waste-related data for your jurisdiction.,4,Percentage of the diverted solid waste generated that is recycled (%),"Other: City scale metrics, actual ammounts",54,2024,Materials recycling: 54 % \nand anaerobic digestion: 32%. \nTotal: 86% (of the diverted solid waste generated)
2025 Disclosure Cycle,779465,CDP,3429,City of Stockholm,City,Europe,Sweden,Public,Q4.7,Report the following waste-related data for your jurisdiction.,5,Percentage of the diverted solid waste generated that is reused (%),"Other: City scale metrics, actual ammounts",1.8,2024,-
2025 Disclosure Cycle,779465,CDP,3429,City of Stockholm,City,Europe,Sweden,Public,Q4.7,Report the following waste-related data for your jurisdiction.,6,Percentage of waste collected where separation at source is taking place (%),"Other: City scale metrics, actual ammounts",52,2024,"Food waste, bulky waste, reuse, hazardous- and electrical waste, packaging materials and paper included in this figure.\nNote: 100% of households in Stockholm have the possibility to separate package waste and paper at source, however collection points may be located within the building or within a distance of approx. 400 metres. A rough estimate is that 50% of households have such collection points located within the buildning. "
2025 Disclosure Cycle,779465,CDP,3429,City of Stockholm,City,Europe,Sweden,Public,Q4.7,Report the following waste-related data for your jurisdiction.,7,Total annual amount of food waste produced in the jurisdiction (tonnes/year),"Other: City scale metrics, actual ammounts.",75203,2024,"This estimate changed for this years reporting, which might be worth noting for comparisons between years. In the reporting for the \'Towards Zero Waste Accellerator\' in June, we erroniously reported the former estimate of appr 81 000 tonnes. \n"
2025 Disclosure Cycle,779465,CDP,3429,City of Stockholm,City,Europe,Sweden,Public,Q4.7,Report the following waste-related data for your jurisdiction.,8,Volume of wastewater produced within the jurisdiction boundary (megalitres/year),"Other: City scale metrics, actual ammounts",157000,2024,157 Mm3 (from Sustainability Report 2024 (Hållbarhetsrapport 2024))\n
2025 Disclosure Cycle,779465,CDP,3429,City of Stockholm,City,Europe,Sweden,Public,Q4.7,Report the following waste-related data for your jurisdiction.,9,Percentage of wastewater safely treated to at least secondary level (%),"Other: City scale metrics, actual ammounts",100.0,2024,-
