disclosure_cycle,cdp_requesting_org_number,requesting_organization,cdp_disclosing_org_number,disclosing_organization,disclosing_org_type,cdp_region,discloser_country_or_area,public_status,question_number,question_text,row_order,row_name,col1_Source of jurisdiction's water supply,col2_Are you able to report volumetric data for this source?,col3_Annual volume of water withdrawn per source (in megalitres) ,col4_Projected level of change over next 5-10 years,col5_Comment
2025 Disclosure Cycle,779465,CDP,31180,Región Metropolitana de Santiago,City,Latin America,Chile,Public,Q4.13,"Report the sources of your jurisdiction's water supply, volumes withdrawn per source, and the projected change.",3,Row 3,Ground water (renewable),No,,,"El agua subterránea es alrededor de 30.000 Hm3, 100 veces mas que el embalse el Yeso.https://www.elmostrador.cl/noticias/opinion/2022/07/16/agua-subterranea-vs-racionamiento-en-la-rm/"
2025 Disclosure Cycle,779465,CDP,31181,"City of Philadelphia, PA",City,North America,United States of America,Public,Q4.13,"Report the sources of your jurisdiction's water supply, volumes withdrawn per source, and the projected change.",1,Row 1,"Fresh surface water, including rainwater, water from wetlands, rivers and lakes",Yes,145087.5,About the same volume projected to be withdrawn,"The Schuylkill River (surface waters) is the source of just under half of Philadelphia's water supply. On average, 105 million gallons a day are withdrawn, which equals 397.5 megalitres a day or 145,087.5 megalitres annually."
2025 Disclosure Cycle,779465,CDP,31181,"City of Philadelphia, PA",City,North America,United States of America,Public,Q4.13,"Report the sources of your jurisdiction's water supply, volumes withdrawn per source, and the projected change.",2,Row 2,"Fresh surface water, including rainwater, water from wetlands, rivers and lakes",Yes,185146.25,About the same volume projected to be withdrawn,"The Tidal Delaware River (surface water) is the source of over half of Philadelphia's water supply. On average, 134 million gallons a day are withdrawn, which equals 507.25 megalitres a day or 185,146 megalitres annually."
2025 Disclosure Cycle,779465,CDP,31182,"City of San Francisco, CA",City,North America,United States of America,Public,Q4.13,"Report the sources of your jurisdiction's water supply, volumes withdrawn per source, and the projected change.",1,Row 1,"Fresh surface water, including rainwater, water from wetlands, rivers and lakes",No,,,"The SFPUC owns and operates the Hetch Hetchy Regional Water System (HHRWS). This water system serves 2.7 million people, including San Francisco and 26 other municipal water providers. The HHRWS captures water beginning in the Tuolumne river watershed in the Sierra Nevada mountains. The water is transported through hydro-electric pumphouses, pipelines, and treatment plants before being stored in approximately a dozen reservoirs spread across numerous counties. The water that is provided to San Francisco comes from a mix of reservoirs including, but not limited to, Crystal Springs and San Andreas. Due to the blending of Hetch-Hetchy water with other sources (i.e. groundwater), we are unable to track the exact amount of Hetch Hetchy water consumed. "
2025 Disclosure Cycle,779465,CDP,31182,"City of San Francisco, CA",City,North America,United States of America,Public,Q4.13,"Report the sources of your jurisdiction's water supply, volumes withdrawn per source, and the projected change.",2,Row 2,Ground water (non-renewable),Yes,2879,Higher volume projected to be withdrawn,"The Westside Basin Groundwater Aquifer provides a small portion of water to various entities within San Francisco. These include the City of San Francisco, Golden Gate Park, The SF Zoo, and the SF Golf Club. The SFPUC is required to increase groundwater production by no more than 1 mgd per year.\n\nNote: There appears to be a large increase in annual water withdrawn in 2024 compared to 2023 due to prior years' data being incorrectly reported. Datapoints from 2024 reporting years and prior were measured in acre-feet and were mistakenly documented as megaliters without the proper conversion. This year's reported datapoint has been correctly converted from acre-feet (2,334) to megalitres (2,879).\n"
2025 Disclosure Cycle,779465,CDP,31184,Prefeitura de São Paulo,City,Latin America,Brazil,Public,Q4.13,"Report the sources of your jurisdiction's water supply, volumes withdrawn per source, and the projected change.",1,Row 1,"Fresh surface water, including rainwater, water from wetlands, rivers and lakes",Yes,1.2532,Do not know,"O valor anual se aplica a soma de Água doce da superfície, incluindo água da chuva, água de pântanos, rios e lagos,Água subterrânea (não renovável) e Água subterrânea (renovável) "
2025 Disclosure Cycle,779465,CDP,31185,City of Warsaw,City,Europe,Poland,Public,Q4.13,"Report the sources of your jurisdiction's water supply, volumes withdrawn per source, and the projected change.",1,Row 1,"Fresh surface water, including rainwater, water from wetlands, rivers and lakes",Yes,94525.214,About the same volume projected to be withdrawn,"Source - Vistula river, Water Treatment Station \'Filtry\' + Water Treatment Station \'Praga\', (infiltration water in the majority + fresh surface water in the minority)"
2025 Disclosure Cycle,779465,CDP,31185,City of Warsaw,City,Europe,Poland,Public,Q4.13,"Report the sources of your jurisdiction's water supply, volumes withdrawn per source, and the projected change.",2,Row 2,"Fresh surface water, including rainwater, water from wetlands, rivers and lakes",Yes,36183.403,About the same volume projected to be withdrawn,"Source - Zegrze reservoir, Water Treatment Station \'Wieliszew\'"
2025 Disclosure Cycle,779465,CDP,31185,City of Warsaw,City,Europe,Poland,Public,Q4.13,"Report the sources of your jurisdiction's water supply, volumes withdrawn per source, and the projected change.",3,Row 3,Ground water (renewable),Yes,458.014,About the same volume projected to be withdrawn,Water Treatment Station \'Radość\'
2025 Disclosure Cycle,779465,CDP,31185,City of Warsaw,City,Europe,Poland,Public,Q4.13,"Report the sources of your jurisdiction's water supply, volumes withdrawn per source, and the projected change.",4,Row 4,Ground water (renewable),Yes,759.522,About the same volume projected to be withdrawn,Water Treatment Station \'Falenica\'
2025 Disclosure Cycle,779465,CDP,31185,City of Warsaw,City,Europe,Poland,Public,Q4.13,"Report the sources of your jurisdiction's water supply, volumes withdrawn per source, and the projected change.",5,Row 5,Ground water (renewable),Yes,1045.33,About the same volume projected to be withdrawn,Water Treatment Station \'Stara Miłosna\' + Water Treatment Station \'Wola Grzybowska\' + Water Treatment Station \'OSP Centrum\'
2025 Disclosure Cycle,779465,CDP,31186,Changwon City,City,South East Asia & Oceania,Korea (The Republic of),Public,Q4.13,"Report the sources of your jurisdiction's water supply, volumes withdrawn per source, and the projected change.",1,Row 1,"Fresh surface water, including rainwater, water from wetlands, rivers and lakes",Yes,122,Higher volume projected to be withdrawn,"창원시는 현재 안정적인 정수장 운영을 통해 충분한 수돗물 공급을 유지하고 있으며, 기후위기·재난 상황에도 대비한 비상 공급망 체계 구축을 적극적으로 추진하고 있습니다. \n\n향후 5~10년간 물 수요가 증가할 것으로 전망되나, 창원시는 시설 확충·관망 정비·비상대응 체계를 통해 안정적이고 지속가능한 물 공급 체계를 마련해 나가고 있습니다.\n\n1. 주요 물 공급원\n- 창원시는 주로 칠서정수장과 대산정수장을 통해 수돗물을 공급받고 있음.\n- 이 두 정수장은 창원시의 주요 수돗물 공급원으로, 정수 처리된 물이 창원시 전역으로 공급됨.\n- 물 공급원은 강수, 습지, 강, 호수의 물을 포함한 탁수 표면수에 해당.\n\n2. 연간 인출량\n- 칠서정수장: 연간 약 122 메가리터(Ml)\n- 대산정수장: 연간 약 122 메가리터(Ml)\n- 합계: 연간 약 244 메가리터(Ml) 수준\n\n3. 향후 5~10년 예상 변화\n- 기후변화와 산업·인구 수요 증가로 인해 더 많은 양의 인출이 필요할 것으로 예상됨.\n- 창원시는 2026년까지 비상연계 공급망 구축사업을 완료할 계획임.\n- 칠서정수장과 대산정수장을 연결하여, 비상 상황 시에도 안정적으로 수돗물 공급이 가능하도록 설계.\n- 노후 상수관망 정비 및 상수도 시설 현대화 사업도 병행 추진 중.\n\n4. 추가 코멘트\n- 창원시는 남강댐과 낙동강 계통이라는 안정적인 수자원 기반 위에, 대산·칠서·석동정수장 등 다중 정수장 운영으로 수원 다변화를 확보하고 있습니다. \n- 최근에는 유수율 개선·관망 정비·스마트 상수도 관리체계 도입을 통해 취수 효율성을 제고하고 있으며, K-water와의 협력을 통해 장기적인 공급 안정성을 강화하고 있습니다.\n- 따라서 향후 10년 내 창원시의 급수량은 기후변화에 따른 일부 변동 가능성이 있으나, 비상연계망 확충과 공급체계 현대화로 안정적 수준을 유지할 것으로 기대됩니다."
2025 Disclosure Cycle,779465,CDP,31187,Seoul Metropolitan Government,City,South East Asia & Oceania,Korea (The Republic of),Public,Q4.13,"Report the sources of your jurisdiction's water supply, volumes withdrawn per source, and the projected change.",1,Row 1,"Fresh surface water, including rainwater, water from wetlands, rivers and lakes",Yes,1139144,Higher volume projected to be withdrawn,"The total volume of water withdrawn from the Han River in 2024 amounted to 1,060,104 megaliters, whereas 79,040 megaliters were withdrawn from Paldang Lake. Based on December 2024 data, the combined water intake from Amssa, Gangbuk, Jayang, and Pungnam accounted for 93.1% of Seoul's total water consumption."
2025 Disclosure Cycle,779465,CDP,31446,Taipei City Government,City,China,East Asia,Public,Q4.13,"Report the sources of your jurisdiction's water supply, volumes withdrawn per source, and the projected change.",1,Row 1,"Fresh surface water, including rainwater, water from wetlands, rivers and lakes",Yes,93.66,About the same volume projected to be withdrawn,"Although the projected water intake is expected to remain largely unchanged, the following measures are being implemented to address climate change:\n•Promote pipeline network improvements and carry out facility upgrades to enhance water supply resilience and emergency response capacity.\n•Implement full-process water quality management to provide Taipei residents with safe and sufficient high-quality water.\n•Promote water environment education, water conservation, and net-zero carbon initiatives to ensure sustainable water resources."
2025 Disclosure Cycle,779465,CDP,31446,Taipei City Government,City,China,East Asia,Public,Q4.13,"Report the sources of your jurisdiction's water supply, volumes withdrawn per source, and the projected change.",2,Row 2,"Fresh surface water, including rainwater, water from wetlands, rivers and lakes",Yes,1.27,About the same volume projected to be withdrawn,"Although the projected water intake is expected to remain largely unchanged, the following measures are being implemented to address climate change:\n•Promote pipeline network improvements and carry out facility upgrades to enhance water supply resilience and emergency response capacity.\n•Implement full-process water quality management to provide Taipei residents with safe and sufficient high-quality water.\n•Promote water environment education, water conservation, and net-zero carbon initiatives to ensure sustainable water resources."
2025 Disclosure Cycle,779465,CDP,31446,Taipei City Government,City,China,East Asia,Public,Q4.13,"Report the sources of your jurisdiction's water supply, volumes withdrawn per source, and the projected change.",3,Row 3,"Fresh surface water, including rainwater, water from wetlands, rivers and lakes",Yes,0.91,About the same volume projected to be withdrawn,"Although the projected water intake is expected to remain largely unchanged, the following measures are being implemented to address climate change:\n•Promote pipeline network improvements and carry out facility upgrades to enhance water supply resilience and emergency response capacity.\n•Implement full-process water quality management to provide Taipei residents with safe and sufficient high-quality water.\n•Promote water environment education, water conservation, and net-zero carbon initiatives to ensure sustainable water resources."
2025 Disclosure Cycle,779465,CDP,32480,City of Adelaide,City,South East Asia & Oceania,Australia,Public,Q4.13,"Report the sources of your jurisdiction's water supply, volumes withdrawn per source, and the projected change.",1,Row 1,"Fresh surface water, including rainwater, water from wetlands, rivers and lakes",No,,,"Surface water:\nWater in our streams, rivers, lakes, reservoirs, dams and wetlands is known as surface water. \nSurface water systems are replenished by rainfall and when groundwater discharges to the \nsurface. Surface water from the River Murray and Mount Lofty Ranges is treated to provide \ndrinking water for Greater Adelaide. \n\nRiver Murray:\nWater from the River Murray is treated to provide drinking water for Greater Adelaide and many \nregional towns across South Australia, as well as industrial use and irrigation. The River Murray \nalso supports important floodplains, wetlands and ecosystems along the length of the river.\n\nReservoirs:\nReservoirs throughout the Mount Lofty Ranges catchment area are an important source of \nwater for metropolitan Adelaide. As well as catching and storing rainwater that falls across \nfrom the Adelaide Hills, reservoirs store water pumped from the River Murray to supplement \nAdelaide's water supply. At full capacity, the reservoirs hold a little less than one year's supply for metropolitan Adelaide.\n\nNote in FY2024/25 the City of Adelaide extracted 231,900 kL directly from the Torrens River."
2025 Disclosure Cycle,779465,CDP,32480,City of Adelaide,City,South East Asia & Oceania,Australia,Public,Q4.13,"Report the sources of your jurisdiction's water supply, volumes withdrawn per source, and the projected change.",2,Row 2,Ground water (renewable),No,,,"Groundwater:\nGroundwater is contained in underground water bodies known as aquifers. More than half of \nSouth Australia's drinking water supply systems use aquifers as their primary source of water for \nhouseholds and businesses. Groundwater is critical to the health of ecological communities and \nthe viability of the agricultural, pastoral, mining and tourism industries in South Australia"
2025 Disclosure Cycle,779465,CDP,32480,City of Adelaide,City,South East Asia & Oceania,Australia,Public,Q4.13,"Report the sources of your jurisdiction's water supply, volumes withdrawn per source, and the projected change.",3,Row 3,Desalinated seawater,No,,,"Seawater:\nDesalinated seawater is treated to become high quality drinking water by removing salt and \nimpurities using a process called reverse osmosis. It is safe to drink and meets the stringent \nstandards set by the Australian Drinking Water Guidelines. Desalinated seawater is a climate \nindependent water source that contributes to South Australia's water security.\n\nIn metropolitan Adelaide, the Adelaide Desalination Plant has been producing drinking water since late 2011. "
2025 Disclosure Cycle,779465,CDP,32480,City of Adelaide,City,South East Asia & Oceania,Australia,Public,Q4.13,"Report the sources of your jurisdiction's water supply, volumes withdrawn per source, and the projected change.",4,Row 4,"Other: Recycled water from sewerage systems, stormwater or industrial processes.",No,,,"Recycled water:\nRecycled water is water that comes from sewerage systems, stormwater or industrial processes and is treated to a standard that is safe and appropriate for its end use. Recycled water is a key component of sustainable water use. It can be used for a variety of purposes where water treated to drinking standards is not needed and to reduce the demand on freshwater supplies.\n\nPurified recycled water:\nPurified recycled water comes from treated wastewater or stormwater that has gone through \nadvanced water treatment processes to filter and purify so it's safe to drink and meets the \nrequired health and safety standards. Using purified recycled water would improve the diversity of our water supply and our climate resilience, contributing to South Australia's water security.\n\nNote we do not have the volume of recycled water used by our community but the City of Adelaide consumed 919,115 kL in FY2024/25."
2025 Disclosure Cycle,779465,CDP,32550,"City of Denver, CO",City,North America,United States of America,Public,Q4.13,"Report the sources of your jurisdiction's water supply, volumes withdrawn per source, and the projected change.",2,Row 2,"Fresh surface water, including rainwater, water from wetlands, rivers and lakes",No,,,Denver's primary source of drinking water is from snowmelt. Changes in the timing and amount of snowmelt will likely impact availability in the future.
2025 Disclosure Cycle,779465,CDP,35268,"City of Boston, MA",City,North America,United States of America,Public,Q4.13,"Report the sources of your jurisdiction's water supply, volumes withdrawn per source, and the projected change.",1,Row 1,"Fresh surface water, including rainwater, water from wetlands, rivers and lakes",Yes,721.6,Higher volume projected to be withdrawn,"The Massachusetts WateResource Authority (MWRA) and the Department of Conservation and Recreation keep a daily watch on reservoir levels at Quabbin (412 billion gallon capacity) and Wachusett (65 billion).While Wachusett levels are kept relatively fixed, Quabbin levels fluctuate with precipitation and watershed runoff.Ware River stream flows are also watched daily to determine if seasonal transfers to Quabbin during high-flow periods are possible. To gauge current system status, water supply planners have identified six reservoir status conditions that allow for normal monthly fluctuation.The Quabbin/Wachusett system is so large that it can withstand short- and medium-length droughts and dry periods without a significant impact on its operating levels. Base demand has been increasing slightly, possibly due to improving regional economy and growing population outpacing incremental improvements to water efficiency. https://www.mwra.com/04water/html/wsupdate.htm"
2025 Disclosure Cycle,779465,CDP,35475,"City of Calgary, AB",City,North America,Canada,Public,Q4.13,"Report the sources of your jurisdiction's water supply, volumes withdrawn per source, and the projected change.",1,Row 1,"Fresh surface water, including rainwater, water from wetlands, rivers and lakes",Yes,196003,Higher volume projected to be withdrawn,Withdrawn amount combined from the Elbow and Bow Rivers. Withdrawals were lower than normal in 2024 due to the infrastructure damage and repairs following the Bearspaw Feeder main incident. 
2025 Disclosure Cycle,779465,CDP,35852,Ankara Metropolitan Municipality,City,UKWW,Türkiye,Public,Q4.13,"Report the sources of your jurisdiction's water supply, volumes withdrawn per source, and the projected change.",1,Row 1,"Fresh surface water, including rainwater, water from wetlands, rivers and lakes",Yes,360000,About the same volume projected to be withdrawn,"The majority of Ankara's water (~97%) comes from surface water reservoirs, notably Çamlıdere, Kurtboğazı, Eğrekkaya, Kesikköprü, Kavşakkaya, and Akyar Dams. These are operated by ASKİ, providing water for domestic and municipal use. Climate projections indicate recurrent drought risk in Central Anatolia, but capacity expansions and inter-basin transfers (e.g., Kesikköprü from Kızılırmak River) help stabilize supply. Demand growth due to urbanization is expected to be offset by leakage reduction (currently ~30%) and conservation policies."
2025 Disclosure Cycle,779465,CDP,35852,Ankara Metropolitan Municipality,City,UKWW,Türkiye,Public,Q4.13,"Report the sources of your jurisdiction's water supply, volumes withdrawn per source, and the projected change.",2,Row 2,Ground water (renewable),Yes,10000,Less volume projected to be withdrawn,"Renewable groundwater (~3% of supply) is used mainly for backup and emergency periods. Over-extraction risks aquifer depletion and declining water quality. ASKİ plans to reduce reliance on groundwater and prioritize sustainable surface water management, combined with demand-side efficiency programs."
2025 Disclosure Cycle,779465,CDP,35852,Ankara Metropolitan Municipality,City,UKWW,Türkiye,Public,Q4.13,"Report the sources of your jurisdiction's water supply, volumes withdrawn per source, and the projected change.",3,Row 3,Ground water (renewable),No,,,Non-renewable aquifers are not systematically exploited in Ankara. No reliable volumetric data is available. Geological studies indicate potential reserves but sustainability concerns limit use.
2025 Disclosure Cycle,779465,CDP,35852,Ankara Metropolitan Municipality,City,UKWW,Türkiye,Public,Q4.13,"Report the sources of your jurisdiction's water supply, volumes withdrawn per source, and the projected change.",4,Row 4,Desalinated seawater,No,,,Not applicable for Ankara due to its inland geographic position. Desalination is not part of current or future water planning.
2025 Disclosure Cycle,779465,CDP,35853,"City of Baltimore, MD",City,North America,United States of America,Public,Q4.13,"Report the sources of your jurisdiction's water supply, volumes withdrawn per source, and the projected change.",1,Row 1,"Fresh surface water, including rainwater, water from wetlands, rivers and lakes",Yes,307367,Higher volume projected to be withdrawn,"Water supplies for the residents of Baltimore City and adjacent service areas are obtained from three sources: the Gunpowder Falls, the north branch of the Patapsco River, and the Susquehanna River. All three sources are classified as surface supplies. The Central System does not make use of ground water as a source of supply. \n\nhttps://publicworks.baltimorecity.gov/sites/default/files/Draft_Water-Wastewater_Plan%20-%2020211122_0.pdf"
2025 Disclosure Cycle,779465,CDP,35856,Busan Metropolitan City,City,South East Asia & Oceania,Korea (The Republic of),Public,Q4.13,"Report the sources of your jurisdiction's water supply, volumes withdrawn per source, and the projected change.",1,Row 1,"Fresh surface water, including rainwater, water from wetlands, rivers and lakes",Yes,392689.171,Do not know,"2024년 기준 부산광역시의 취수원으로는 물금취수장, 매리취수장, 회동수원지, 법기수원지로 총 4개의 취수장을 운영중이며, 정수시설로는 덕산정수장(생활), 화명정수장, 명장정수장, 범어사정수장, 덕산정수장(공업)으로 총 5개소로 보고됨.\n\n부산광역시 소재 5개소의 정수 시설에서 생산되는 정수는 일평균 1,072.922메가리터로 보고됨.\n\nSource : 부산광역시 상수도사업본부 2025년 상수도 통계연보(2024년 기준)\nhttps://www.busan.go.kr/water/statisticsWater"
2025 Disclosure Cycle,779465,CDP,35858,City of Cape Town,City,UKWW,South Africa,Public,Q4.13,"Report the sources of your jurisdiction's water supply, volumes withdrawn per source, and the projected change.",2,Row 2,"Fresh surface water, including rainwater, water from wetlands, rivers and lakes",Yes,297475,Higher volume projected to be withdrawn,"The City's water supply management include working towards maximising storage of raw water, in addition to planning for a 25% reduction in yield (available water) by 2045. In addition to these factors influencing an increase in water withdrawn, other factors include: population growth, increase demand over summer, climate change considerations, and an inflow reduction into the Western Cape Water Supply System (WCWSS). The WCWSS consist of 6 major rainfed dams, in addition to water for the city being withdrawn from 8 minor rainfed dams. The annual volume of water withdrawn is therefore reported as a combination of major and minor dams as of Aug. 2025. *Data fluctuations between the current and previous reporting year could likely be attributed to changes in data methodologies.\n\nInvasive alien vegetation clearing: \nBetween April 2019 and June 2024 49 828 hectares were cleared in priority sub-catchments of the Theewaterskloof, Berg River and Wemmershoek Dams, with an additional 6 742 hectares cleared in the Steenbras catchment, and a total of 4 998 hectares cleared in the Atlantis Aquifer Together this has resulted in 10,19 MLD measured from invasive species clearing between 2021/22 to 2023/24.\n\nSurface Water: The City is in the process of entering into a water supply agreement with the National Department of Water and Sanitation (DWS) regarding for the Berg River to Voëlvlei Augmentation Scheme with a revised water delivery date of June 2027. During 2023/24, the City and DWS also worked towards intensifying and aligning future planned surface water schemes through the various Reconciliation Strategy Platforms.\n\nWater reuse - A detailed design on the Faure New Water Scheme was undertaken by the City, involving an Independent Advisory Panel (IAP) and internal workshops to comprehensively review the design, water safety planning, catchment control strategies, and monitoring protocols of the Faure New Water Scheme (FNWS). Various mechanisms for implementation of the FNWS were also investigated, including both ownership and operation of the facility by the City, seeking external financing, as well as a Public Private Partnership. The project aims to provide 70 Mℓ per day and ultimately increasing to 100 Mℓ per day, if required. \n\nhttps://www.capetown.gov.za/Family%20and%20home/residential-utility-services/residential-water-and-sanitation-services/this-weeks-dam-levels\n"
2025 Disclosure Cycle,779465,CDP,35858,City of Cape Town,City,UKWW,South Africa,Public,Q4.13,"Report the sources of your jurisdiction's water supply, volumes withdrawn per source, and the projected change.",3,Row 3,Ground water (renewable),Yes,3285,Higher volume projected to be withdrawn,"The City's Water Strategy continues to be implemented and include the City's commitment to 300 MLD of additional water by 2030 through the New Water Programme. To achieve this 2030 target, the City is currently developing and commissioning three groundwater schemes to augment current supply. The annual volume of water withdrawn is therefore reported as the total volume of groundwater and spring water withdrawn as of August 2025. \n\nGroundwater Development: The development of groundwater infrastructure continued in 2023/24, and included the commencement of the drilling of several production boreholes at the Table Mountain Group Aquifer, Cape Flats Aquifer and Atlantis Aquifer. The City also embarked on a process to determine the best approach for groundwater management on a local scale and a review of the regulatory framework for groundwater management within the local government context \n\nhttps://www.capetown.gov.za/Family%20and%20home/residential-utility-services/residential-water-and-sanitation-services/groundwater-extraction\n"
2025 Disclosure Cycle,779465,CDP,35858,City of Cape Town,City,UKWW,South Africa,Public,Q4.13,"Report the sources of your jurisdiction's water supply, volumes withdrawn per source, and the projected change.",4,Row 4,Desalinated seawater,No,,,"Desalination: Work on feasibility studies for desalination is ongoing and the environmental impact assessment process has been initiated with an indication that the project is still on track to deliver approximately 70 mega litres of water per day by 2030. During 2023/24 the City initiated feasibility studies to investigate the most suitable options for construction, financing and operations of the planned Paarden Eiland Desalination Plant and Faure New Water Scheme, for purified recycled water. A qualified transaction advisory team has been appointed to undertake the study. \n\nhttps://www.capetown.gov.za/Media-and-news/Science%20and%20expertise%20at%20the%20heart%20of%20City's%20planned%20desalination%20plant \nhttps://www.capetown.gov.za/Media-and-news/City%20progresses%20with%20plans%20for%20permanent%20desalination%20plant\nhttps://resource.capetown.gov.za/documentcentre/Documents/Graphics%20and%20educational%20material/Desalination_Booklet_English.pdf \n"
2025 Disclosure Cycle,779465,CDP,35860,"City of Dallas, TX",City,North America,United States of America,Public,Q4.13,"Report the sources of your jurisdiction's water supply, volumes withdrawn per source, and the projected change.",2,Row 2,"Fresh surface water, including rainwater, water from wetlands, rivers and lakes",Yes,526172.237976,Higher volume projected to be withdrawn,Dallas Water Utilities data indicates 139 billion gallons of water treated in 2022https://dallascityhall.com/departments/budget/financialtransparency/AuditedFinancials/Annual%20Comprehensive%20Financial%20Report%202022.pdf
2025 Disclosure Cycle,779465,CDP,35863,eThekwini Municipality,City,UKWW,South Africa,Public,Q4.13,"Report the sources of your jurisdiction's water supply, volumes withdrawn per source, and the projected change.",1,Row 1,"Fresh surface water, including rainwater, water from wetlands, rivers and lakes",Yes,403690,Much higher volume projected to be withdrawn,N/A
2025 Disclosure Cycle,779465,CDP,35864,Ekurhuleni Metropolitan Municipality,City,UKWW,South Africa,Public,Q4.13,"Report the sources of your jurisdiction's water supply, volumes withdrawn per source, and the projected change.",1,Row 1,"Fresh surface water, including rainwater, water from wetlands, rivers and lakes",Yes,354123,Higher volume projected to be withdrawn,The volume to be withdrawn is projected to increase by 1.80 to 2.88% per annum
2025 Disclosure Cycle,779465,CDP,35865,Municipality of Fortaleza,City,Latin America,Brazil,Public,Q4.13,"Report the sources of your jurisdiction's water supply, volumes withdrawn per source, and the projected change.",1,Row 1,"Fresh surface water, including rainwater, water from wetlands, rivers and lakes",Yes,304.562,About the same volume projected to be withdrawn,"Dados de 2024.Conforme dados consolidados através da GDOPE (Gerência de Controle, Desenvolvimento e\nEficiência Operacional Operacional), o volume anual de água retirada das fontes superficiais são da ordem\nde 304.562 ML.\n"
2025 Disclosure Cycle,779465,CDP,35867,Region Metropolitana de Guadalajara,City,Latin America,Mexico,Public,Q4.13,"Report the sources of your jurisdiction's water supply, volumes withdrawn per source, and the projected change.",1,Row 1,"Fresh surface water, including rainwater, water from wetlands, rivers and lakes",Yes,3855039231310,Higher volume projected to be withdrawn,"El volumen de agua superficial contempla la extracción del agua para distintos usos (acuacultura, agrícola, doméstico, para generación de energía eléctrica, uso industrial, pecuario, público, urbano y servicios) para todos los municipios que conforman la jurisdicción.\nLa información se obtuvo del Registro Público de Derechos de Agua (REPDA) 2024: https://www.gob.mx/conagua/acciones-y-programas/consulta-la-base-de-datos-del-repda\n"
2025 Disclosure Cycle,779465,CDP,35867,Region Metropolitana de Guadalajara,City,Latin America,Mexico,Public,Q4.13,"Report the sources of your jurisdiction's water supply, volumes withdrawn per source, and the projected change.",2,Row 2,Ground water (renewable),Yes,35247000,Less volume projected to be withdrawn,"El volumen de agua subterránea renovable reportado, corresponde a la totalidad para el año 2022 de la región hidrológico-administrativa VIII: Lerma-Santiago-Pacífico, la cual excede los límites de la jurisdicción del Área Metropolitana de Guadalajara.\nSe trata de la información más precisa con que se cuenta, proveniente de la publicación “Estadísticas del Agua en México 2023”, de la Comisión Nacional del Agua (CONAGUA). Disponible en: https://sinav30.conagua.gob.mx:8080/port_publicaciones.html"
2025 Disclosure Cycle,779465,CDP,35870,"City of Miami, FL",City,North America,United States of America,Public,Q4.13,"Report the sources of your jurisdiction's water supply, volumes withdrawn per source, and the projected change.",1,Row 1,Ground water (renewable),Yes,455954,Higher volume projected to be withdrawn,"https://www.miamidade.gov/global/water/water-supply-and-treatment.page\n120,450,000,000 gallons - 330 million gallons per day (1,249.19 megaliters per day=455,954 annual)\n\nSource: Miami-Dade County Office of Resilience. All water withdrawn from Biscayne Aquifer Groundwater. 21,900,000,000 Gallons\npubs.usgs.gov/fs/2019/3056/fs20193056.pdf\nThe primary source of drinking water comes from the Biscayne Aquifer, which is replenish by the Everglades, and is located just below the land surface in South Florida. The Biscayne Aquifer is composed of a porous rock with small cracks and holes through which rainwater seeps and fills. Due to sea level rise, the aquifer is vulnerable to saltwater intrusion, threatening contamination of the water supply. To protect its drinking water, the county is restoring canal systems and installing salinity control structures - gates which help separate fresh water and saltwater. Mangrove forests are being restored too, because they help slow the movement of saltwater through canals, keeping the water behind the gates fresher."
2025 Disclosure Cycle,779465,CDP,35871,City of Monterrey,City,Latin America,Mexico,Public,Q4.13,"Report the sources of your jurisdiction's water supply, volumes withdrawn per source, and the projected change.",1,Row 1,Jurisdiction does not have this data,,,,"No se tiene el dato por Municipio, debido a que el organismo es una Institución Pública Descentralizada del Gobierno del Estado. "
2025 Disclosure Cycle,779465,CDP,35872,Municipality of Recife,City,Latin America,Brazil,Public,Q4.13,"Report the sources of your jurisdiction's water supply, volumes withdrawn per source, and the projected change.",1,Row 1,Jurisdiction does not have this data,,,,
2025 Disclosure Cycle,779465,CDP,35873,Medellín,City,Latin America,Colombia,Public,Q4.13,"Report the sources of your jurisdiction's water supply, volumes withdrawn per source, and the projected change.",1,Row 1,"Fresh surface water, including rainwater, water from wetlands, rivers and lakes",Yes,18387.5,Higher volume projected to be withdrawn,"Dato regional de volumen total de agua superficial extraído por Empresas Públicas de Medellín para uso productivo, principalmente para la generación de energía y la provisión de agua .El Estudio Nacional del Agua (ENA) 2018, continúa siendo la fuente de referenciamiento para el Índice de vulnerabilidad hídrica (IVH) para Colombia y sus diferentes regiones, en el que se evidencia que el departamento de Antioquia, presenta un IVH moderado en año medio."
2025 Disclosure Cycle,779465,CDP,35874,"City of Phoenix, AZ",City,North America,United States of America,Public,Q4.13,"Report the sources of your jurisdiction's water supply, volumes withdrawn per source, and the projected change.",2,Row 2,"Fresh surface water, including rainwater, water from wetlands, rivers and lakes",Yes,416804,Less volume projected to be withdrawn,Includes Salt and Verde River system and Colorado River system water 
